Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
8.25,I,7,0,1,7,59,4
8.5,I,7,0,1,7,62,7
8.75,I,7,0,1,7,59,4
8.88,I,7,0,1,7,64,9
9.0,iii64,11,4,3,7,64,9
9.25,iii64,11,4,3,7,59,4
9.38,iii64,11,4,3,7,62,7
9.75,iii64,11,4,3,7,64,9
10.0,vi,4,9,6,7,64,9
10.25,vi,4,9,6,7,59,4
12.0,IV,0,5,4,7,59,4
12.25,IV,0,5,4,7,55,0
12.38,IV,0,5,4,7,59,4
12.75,IV,0,5,4,7,60,5
13.0,vi64,4,9,6,7,60,5
13.0,vi64,4,9,6,7,59,4
13.12,vi64,4,9,6,7,57,2
13.25,vi64,4,9,6,7,55,0
13.75,vi64,4,9,6,7,57,2
14.0,ii,9,2,2,7,57,2
14.0,ii,9,2,2,7,52,9
14.25,ii,9,2,2,7,59,4
14.38,ii,9,2,2,7,59,4
16.0,I,7,0,1,7,59,4
16.25,I,7,0,1,7,59,4
16.5,I,7,0,1,7,62,7
16.75,I,7,0,1,7,62,7
16.88,I,7,0,1,7,64,9
17.0,iii64,11,4,3,7,64,9
17.25,iii64,11,4,3,7,59,4
17.5,iii64,11,4,3,7,62,7
17.75,iii64,11,4,3,7,64,9
18.0,vi,4,9,6,7,64,9
18.0,vi,4,9,6,7,59,4
20.0,IV,0,5,4,7,59,4
20.25,IV,0,5,4,7,55,0
20.5,IV,0,5,4,7,59,4
20.75,IV,0,5,4,7,60,5
21.0,IV,0,5,4,7,59,4
21.0,bVII,5,10,7,7,59,4
21.25,bVII,5,10,7,7,57,2
21.38,bVII,5,10,7,7,55,0
21.62,bVII,5,10,7,7,57,2
21.75,bVII,5,10,7,7,55,0
22.0,vi,4,9,6,7,55,0
24.0,IV,0,5,4,7,55,0
24.25,IV,0,5,4,7,55,0
24.5,IV,0,5,4,7,59,4
24.75,IV,0,5,4,7,60,5
25.0,bVII,5,10,7,7,60,5
25.0,bVII,5,10,7,7,59,4
25.25,bVII,5,10,7,7,57,2
25.38,bVII,5,10,7,7,55,0
25.62,bVII,5,10,7,7,57,2
25.75,bVII,5,10,7,7,55,0
26.0,vi,4,9,6,7,55,0
27.0,IV,0,5,4,7,55,0
27.75,V,2,7,5,7,55,0
28.0,I,7,0,1,7,55,0
28.25,I,7,0,1,7,62,7
28.5,I,7,0,1,7,62,7
28.62,I,7,0,1,7,62,7
28.88,I,7,0,1,7,64,9
29.0,iii64,11,4,3,7,64,9
29.25,iii64,11,4,3,7,59,4
29.5,iii64,11,4,3,7,62,7
29.62,iii64,11,4,3,7,64,9
29.88,iii64,11,4,3,7,59,4
30.0,vi,4,9,6,7,59,4
32.0,IV,0,5,4,7,59,4
32.25,IV,0,5,4,7,55,0
32.5,IV,0,5,4,7,59,4
32.62,IV,0,5,4,7,60,5
32.88,IV,0,5,4,7,59,4
33.0,vi64,4,9,6,7,59,4
33.12,vi64,4,9,6,7,57,2
33.5,vi64,4,9,6,7,55,0
33.75,vi64,4,9,6,7,57,2
33.88,vi64,4,9,6,7,52,9
34.0,ii,9,2,2,7,52,9
34.25,ii,9,2,2,7,59,4
34.5,ii,9,2,2,7,59,4
36.0,I,7,0,1,7,59,4
36.25,I,7,0,1,7,59,4
36.5,I,7,0,1,7,62,7
36.75,I,7,0,1,7,59,4
37.0,iii64,11,4,3,7,59,4
37.0,iii64,11,4,3,7,64,9
37.12,iii64,11,4,3,7,59,4
37.5,iii64,11,4,3,7,62,7
37.62,iii64,11,4,3,7,64,9
38.0,vi,4,9,6,7,64,9
38.0,vi,4,9,6,7,59,4
40.0,IV,0,5,4,7,59,4
40.25,IV,0,5,4,7,55,0
40.5,IV,0,5,4,7,59,4
40.75,IV,0,5,4,7,60,5
41.0,bVII,5,10,7,7,60,5
41.0,bVII,5,10,7,7,59,4
41.25,bVII,5,10,7,7,57,2
41.38,bVII,5,10,7,7,55,0
42.0,bVII,5,10,7,7,59,4
42.0,vi,4,9,6,7,59,4
42.12,vi,4,9,6,7,58,3
42.25,vi,4,9,6,7,59,4
42.38,vi,4,9,6,7,58,3
42.5,vi,4,9,6,7,59,4
42.62,vi,4,9,6,7,58,3
42.75,vi,4,9,6,7,59,4
42.88,vi,4,9,6,7,58,3
43.0,vi,4,9,6,7,59,4
43.12,vi,4,9,6,7,58,3
43.25,vi,4,9,6,7,59,4
43.38,vi,4,9,6,7,58,3
43.5,vi,4,9,6,7,59,4
43.75,vi,4,9,6,7,64,9
44.0,vi,4,9,6,7,67,0
44.0,IV,0,5,4,7,67,0
46.0,I,7,0,1,7,67,0
46.25,I,7,0,1,7,59,4
46.5,I,7,0,1,7,62,7
46.75,I,7,0,1,7,59,4
47.0,iii64,11,4,3,7,59,4
47.0,iii64,11,4,3,7,64,9
47.25,iii64,11,4,3,7,59,4
47.38,iii64,11,4,3,7,62,7
47.75,iii64,11,4,3,7,64,9
48.0,vi,4,9,6,7,64,9
48.25,vi,4,9,6,7,59,4
50.0,IV,0,5,4,7,59,4
50.25,IV,0,5,4,7,55,0
50.5,IV,0,5,4,7,59,4
50.75,IV,0,5,4,7,60,5
50.88,IV,0,5,4,7,59,4
51.0,vi64,4,9,6,7,59,4
51.25,vi64,4,9,6,7,57,2
51.5,vi64,4,9,6,7,55,0
51.75,vi64,4,9,6,7,57,2
52.0,vi64,4,9,6,7,52,9
52.0,ii,9,2,2,7,52,9
52.25,ii,9,2,2,7,59,4
