Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
0.62,v7s4,2,7,5,7,60,5
0.75,v7s4,2,7,5,7,60,5
0.88,v7s4,2,7,5,7,59,4
1.0,I,7,0,1,7,59,4
1.0,I,7,0,1,7,62,7
1.5,IV,0,5,4,7,62,7
1.5,IV,0,5,4,7,62,7
1.88,IV,0,5,4,7,62,7
2.0,I,7,0,1,7,62,7
2.62,I,7,0,1,7,62,7
2.75,I,7,0,1,7,62,7
2.88,I,7,0,1,7,60,5
3.0,I,7,0,1,7,62,7
3.0,bVII,5,10,7,7,62,7
3.12,bVII,5,10,7,7,65,10
3.62,bVII,5,10,7,7,62,7
3.75,bVII,5,10,7,7,60,5
3.88,bVII,5,10,7,7,62,7
4.0,I,7,0,1,7,62,7
4.0,I,7,0,1,7,60,5
4.12,I,7,0,1,7,59,4
4.62,I,7,0,1,7,60,5
4.75,I,7,0,1,7,60,5
4.88,I,7,0,1,7,59,4
5.0,I,7,0,1,7,62,7
5.5,I,7,0,1,7,62,7
5.5,IV,0,5,4,7,62,7
5.88,IV,0,5,4,7,62,7
6.0,I,7,0,1,7,62,7
6.62,I,7,0,1,7,62,7
6.75,I,7,0,1,7,62,7
6.88,I,7,0,1,7,60,5
7.0,I,7,0,1,7,62,7
7.0,bVII,5,10,7,7,62,7
7.12,bVII,5,10,7,7,65,10
7.62,bVII,5,10,7,7,62,7
7.75,bVII,5,10,7,7,60,5
7.88,bVII,5,10,7,7,62,7
8.0,bVII,5,10,7,7,60,5
8.0,I,7,0,1,7,60,5
8.12,I,7,0,1,7,59,4
8.62,I,7,0,1,7,60,5
8.75,I,7,0,1,7,62,7
8.88,I,7,0,1,7,62,7
9.0,IV,0,5,4,7,62,7
9.0,IV,0,5,4,7,64,9
9.12,IV,0,5,4,7,63,8
9.25,IV,0,5,4,7,62,7
9.38,IV,0,5,4,7,60,5
9.62,IV,0,5,4,7,63,8
9.75,IV,0,5,4,7,64,9
9.88,IV,0,5,4,7,65,10
10.0,V,2,7,5,7,65,10
10.0,V,2,7,5,7,66,11
10.12,V,2,7,5,7,65,10
10.25,V,2,7,5,7,64,9
10.38,V,2,7,5,7,62,7
10.62,V,2,7,5,7,59,4
10.75,V,2,7,5,7,60,5
10.88,V,2,7,5,7,59,4
11.0,I,7,0,1,7,59,4
11.0,I,7,0,1,7,62,7
11.12,I,7,0,1,7,55,0
11.5,I,7,0,1,7,58,3
11.5,IV,0,5,4,7,58,3
11.62,IV,0,5,4,7,60,5
11.88,IV,0,5,4,7,58,3
12.0,I,7,0,1,7,58,3
12.5,V,2,7,5,7,58,3
12.62,V,2,7,5,7,60,5
12.75,V,2,7,5,7,60,5
12.88,V,2,7,5,7,59,4
13.0,I,7,0,1,7,59,4
13.0,I,7,0,1,7,62,7
13.5,IV,0,5,4,7,62,7
13.5,IV,0,5,4,7,62,7
13.88,IV,0,5,4,7,62,7
14.0,I,7,0,1,7,62,7
14.62,I,7,0,1,7,60,5
14.75,I,7,0,1,7,62,7
14.88,I,7,0,1,7,60,5
15.0,I,7,0,1,7,62,7
15.0,bVII,5,10,7,7,62,7
15.12,bVII,5,10,7,7,65,10
15.62,bVII,5,10,7,7,61,6
15.75,bVII,5,10,7,7,62,7
15.88,bVII,5,10,7,7,60,5
16.0,I,7,0,1,7,60,5
16.0,I,7,0,1,7,62,7
16.06,I,7,0,1,7,60,5
16.12,I,7,0,1,7,59,4
16.75,I,7,0,1,7,60,5
16.88,I,7,0,1,7,59,4
17.0,I,7,0,1,7,62,7
17.12,I,7,0,1,7,62,7
17.25,I,7,0,1,7,62,7
17.38,I,7,0,1,7,62,7
17.5,IV,0,5,4,7,62,7
17.5,IV,0,5,4,7,62,7
17.62,IV,0,5,4,7,62,7
17.88,IV,0,5,4,7,62,7
18.0,I,7,0,1,7,62,7
18.62,I,7,0,1,7,60,5
18.75,I,7,0,1,7,62,7
18.88,I,7,0,1,7,60,5
19.0,I,7,0,1,7,62,7
19.0,bVII,5,10,7,7,62,7
19.12,bVII,5,10,7,7,65,10
19.62,bVII,5,10,7,7,62,7
19.75,bVII,5,10,7,7,60,5
19.88,bVII,5,10,7,7,62,7
20.0,bVII,5,10,7,7,60,5
20.0,I,7,0,1,7,60,5
20.12,I,7,0,1,7,59,4
20.62,I,7,0,1,7,62,7
20.75,I,7,0,1,7,62,7
20.88,I,7,0,1,7,62,7
21.0,IV,0,5,4,7,62,7
21.0,IV,0,5,4,7,64,9
21.12,IV,0,5,4,7,63,8
21.25,IV,0,5,4,7,62,7
21.38,IV,0,5,4,7,60,5
21.62,IV,0,5,4,7,63,8
21.75,IV,0,5,4,7,64,9
21.88,IV,0,5,4,7,65,10
22.0,IV,0,5,4,7,66,11
22.0,V,2,7,5,7,66,11
22.12,V,2,7,5,7,65,10
22.25,V,2,7,5,7,64,9
22.38,V,2,7,5,7,62,7
22.62,V,2,7,5,7,59,4
22.75,V,2,7,5,7,60,5
22.88,V,2,7,5,7,59,4
23.0,I,7,0,1,7,59,4
23.0,I,7,0,1,7,62,7
23.12,I,7,0,1,7,55,0
23.5,I,7,0,1,7,58,3
23.5,IV,0,5,4,7,58,3
23.62,IV,0,5,4,7,60,5
23.88,IV,0,5,4,7,58,3
24.0,I,7,0,1,7,58,3
24.5,I,7,0,1,7,62,7
24.62,I,7,0,1,7,67,0
24.88,I,7,0,1,7,64,9
25.0,I,7,0,1,7,66,11
25.0,iii,11,4,3,7,66,11
26.0,iii,11,4,3,7,67,0
26.0,vi,4,9,6,7,67,0
26.12,vi,4,9,6,7,66,11
26.25,vi,4,9,6,7,64,9
26.38,vi,4,9,6,7,64,9
26.62,vi,4,9,6,7,66,11
26.75,vi,4,9,6,7,67,0
26.88,vi,4,9,6,7,64,9
27.0,iii,11,4,3,7,64,9
27.0,iii,11,4,3,7,66,11
28.5,iii,11,4,3,7,62,7
28.62,iii,11,4,3,7,66,11
28.88,iii,11,4,3,7,67,0
29.0,I,7,0,1,7,67,0
30.0,vi,4,9,6,7,67,0
30.0,vi,4,9,6,7,67,0
30.12,vi,4,9,6,7,66,11
30.25,vi,4,9,6,7,64,9
30.38,vi,4,9,6,7,64,9
30.62,vi,4,9,6,7,66,11
30.75,vi,4,9,6,7,67,0
31.0,vi,4,9,6,7,69,2
31.0,IVd7,0,5,4,7,69,2
31.88,IVd7,0,5,4,7,69,2
32.0,V,2,7,5,7,69,2
32.38,V,2,7,5,7,69,2
32.62,V,2,7,5,7,59,4
32.75,V,2,7,5,7,60,5
32.88,V,2,7,5,7,59,4
33.0,I,7,0,1,7,59,4
33.0,I,7,0,1,7,62,7
33.5,IV,0,5,4,7,62,7
33.5,IV,0,5,4,7,62,7
33.88,IV,0,5,4,7,62,7
34.0,I,7,0,1,7,62,7
34.62,I,7,0,1,7,60,5
34.75,I,7,0,1,7,62,7
34.88,I,7,0,1,7,60,5
35.0,I,7,0,1,7,62,7
35.0,bVII,5,10,7,7,62,7
35.12,bVII,5,10,7,7,65,10
35.62,bVII,5,10,7,7,62,7
35.75,bVII,5,10,7,7,60,5
35.88,bVII,5,10,7,7,62,7
36.0,bVII,5,10,7,7,60,5
36.0,I,7,0,1,7,60,5
36.12,I,7,0,1,7,59,4
36.62,I,7,0,1,7,59,4
36.75,I,7,0,1,7,60,5
36.88,I,7,0,1,7,59,4
37.0,I,7,0,1,7,62,7
37.5,IV,0,5,4,7,62,7
37.5,IV,0,5,4,7,62,7
37.88,IV,0,5,4,7,62,7
38.0,I,7,0,1,7,62,7
38.62,I,7,0,1,7,62,7
38.75,I,7,0,1,7,62,7
38.88,I,7,0,1,7,60,5
39.0,bVII,5,10,7,7,60,5
39.0,bVII,5,10,7,7,62,7
39.12,bVII,5,10,7,7,65,10
39.62,bVII,5,10,7,7,62,7
39.75,bVII,5,10,7,7,60,5
39.88,bVII,5,10,7,7,62,7
40.0,bVII,5,10,7,7,60,5
40.0,I,7,0,1,7,60,5
40.12,I,7,0,1,7,59,4
40.62,I,7,0,1,7,60,5
40.75,I,7,0,1,7,62,7
40.88,I,7,0,1,7,62,7
41.0,IV,0,5,4,7,62,7
41.0,IV,0,5,4,7,64,9
41.12,IV,0,5,4,7,63,8
41.25,IV,0,5,4,7,62,7
41.38,IV,0,5,4,7,60,5
41.62,IV,0,5,4,7,63,8
41.75,IV,0,5,4,7,64,9
41.88,IV,0,5,4,7,65,10
42.0,V,2,7,5,7,65,10
42.0,V,2,7,5,7,66,11
42.12,V,2,7,5,7,65,10
42.25,V,2,7,5,7,64,9
42.38,V,2,7,5,7,62,7
42.62,V,2,7,5,7,59,4
42.75,V,2,7,5,7,60,5
42.88,V,2,7,5,7,59,4
43.0,I,7,0,1,7,59,4
43.0,I,7,0,1,7,62,7
43.12,I,7,0,1,7,55,0
43.5,I,7,0,1,7,58,3
43.5,IV,0,5,4,7,58,3
43.62,IV,0,5,4,7,60,5
43.88,IV,0,5,4,7,58,3
44.0,I,7,0,1,7,58,3
44.5,V,2,7,5,7,58,3
45.0,I,7,0,1,7,58,3
45.5,IV,0,5,4,7,58,3
46.0,I,7,0,1,7,58,3
47.0,bVII,5,10,7,7,58,3
48.0,I,7,0,1,7,58,3
49.5,IV,0,5,4,7,58,3
50.0,I,7,0,1,7,58,3
51.0,bVII,5,10,7,7,58,3
52.0,I,7,0,1,7,58,3
52.62,I,7,0,1,7,62,7
52.75,I,7,0,1,7,62,7
52.88,I,7,0,1,7,63,8
53.0,IV,0,5,4,7,63,8
53.0,IV,0,5,4,7,64,9
53.12,IV,0,5,4,7,63,8
53.25,IV,0,5,4,7,62,7
53.38,IV,0,5,4,7,60,5
53.62,IV,0,5,4,7,63,8
53.75,IV,0,5,4,7,64,9
53.88,IV,0,5,4,7,65,10
54.0,V,2,7,5,7,65,10
54.0,V,2,7,5,7,66,11
54.12,V,2,7,5,7,65,10
54.25,V,2,7,5,7,64,9
54.38,V,2,7,5,7,62,7
54.62,V,2,7,5,7,59,4
54.75,V,2,7,5,7,60,5
54.88,V,2,7,5,7,59,4
55.0,V,2,7,5,7,62,7
55.0,I,7,0,1,7,62,7
55.12,I,7,0,1,7,55,0
55.5,I,7,0,1,7,58,3
55.5,IV,0,5,4,7,58,3
55.62,IV,0,5,4,7,60,5
55.88,IV,0,5,4,7,58,3
56.0,I,7,0,1,7,58,3
56.5,I,7,0,1,7,62,7
56.62,I,7,0,1,7,67,0
56.88,I,7,0,1,7,66,11
57.0,iii,11,4,3,7,66,11
58.0,iii,11,4,3,7,67,0
58.0,vi,4,9,6,7,67,0
58.12,vi,4,9,6,7,66,11
58.25,vi,4,9,6,7,64,9
58.38,vi,4,9,6,7,64,9
58.62,vi,4,9,6,7,66,11
58.75,vi,4,9,6,7,67,0
58.88,vi,4,9,6,7,64,9
59.0,vi,4,9,6,7,66,11
59.0,iii,11,4,3,7,66,11
59.38,iii,11,4,3,7,62,7
60.5,iii,11,4,3,7,62,7
60.62,iii,11,4,3,7,66,11
60.88,iii,11,4,3,7,67,0
61.0,I,7,0,1,7,67,0
62.0,vi,4,9,6,7,67,0
62.0,vi,4,9,6,7,67,0
62.12,vi,4,9,6,7,66,11
62.25,vi,4,9,6,7,64,9
62.38,vi,4,9,6,7,64,9
62.62,vi,4,9,6,7,66,11
62.75,vi,4,9,6,7,67,0
63.0,vi,4,9,6,7,69,2
63.0,IVd7,0,5,4,7,69,2
63.88,IVd7,0,5,4,7,69,2
64.0,V,2,7,5,7,69,2
64.38,V,2,7,5,7,69,2
64.62,V,2,7,5,7,59,4
64.75,V,2,7,5,7,60,5
64.88,V,2,7,5,7,59,4
65.0,V,2,7,5,7,62,7
65.0,I,7,0,1,7,62,7
65.5,IV,0,5,4,7,62,7
65.5,IV,0,5,4,7,62,7
65.88,IV,0,5,4,7,62,7
66.0,I,7,0,1,7,62,7
66.62,I,7,0,1,7,60,5
66.75,I,7,0,1,7,62,7
66.88,I,7,0,1,7,60,5
67.0,I,7,0,1,7,62,7
67.0,bVII,5,10,7,7,62,7
67.12,bVII,5,10,7,7,65,10
67.62,bVII,5,10,7,7,62,7
67.75,bVII,5,10,7,7,60,5
67.88,bVII,5,10,7,7,62,7
68.0,I,7,0,1,7,62,7
68.0,I,7,0,1,7,60,5
68.12,I,7,0,1,7,59,4
68.62,I,7,0,1,7,60,5
68.75,I,7,0,1,7,60,5
68.88,I,7,0,1,7,59,4
69.0,I,7,0,1,7,62,7
69.5,I,7,0,1,7,62,7
69.5,IV,0,5,4,7,62,7
69.88,IV,0,5,4,7,62,7
70.0,IV,0,5,4,7,60,5
70.0,I,7,0,1,7,60,5
70.06,I,7,0,1,7,59,4
70.62,I,7,0,1,7,60,5
70.75,I,7,0,1,7,62,7
70.88,I,7,0,1,7,60,5
71.0,I,7,0,1,7,62,7
71.0,bVII,5,10,7,7,62,7
71.12,bVII,5,10,7,7,65,10
71.62,bVII,5,10,7,7,62,7
71.75,bVII,5,10,7,7,60,5
71.88,bVII,5,10,7,7,62,7
72.0,bVII,5,10,7,7,60,5
72.0,I,7,0,1,7,60,5
72.12,I,7,0,1,7,59,4
72.62,I,7,0,1,7,62,7
72.75,I,7,0,1,7,62,7
72.88,I,7,0,1,7,62,7
73.0,I,7,0,1,7,64,9
73.0,IV,0,5,4,7,64,9
73.12,IV,0,5,4,7,63,8
73.25,IV,0,5,4,7,62,7
73.38,IV,0,5,4,7,60,5
73.62,IV,0,5,4,7,63,8
73.75,IV,0,5,4,7,64,9
73.88,IV,0,5,4,7,65,10
74.0,IV,0,5,4,7,66,11
74.0,V,2,7,5,7,66,11
74.12,V,2,7,5,7,65,10
74.25,V,2,7,5,7,64,9
74.38,V,2,7,5,7,62,7
74.62,V,2,7,5,7,59,4
74.75,V,2,7,5,7,60,5
74.88,V,2,7,5,7,59,4
