Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
8.44,I,0,0,1,0,55,7
8.5,iii64,4,4,3,0,55,7
8.5,iii64,4,4,3,0,64,4
8.62,iii64,4,4,3,0,62,2
8.69,iii64,4,4,3,0,64,4
8.81,iii64,4,4,3,0,62,2
8.94,iii64,4,4,3,0,62,2
9.0,vi,9,9,6,0,62,2
9.06,vi,9,9,6,0,62,2
9.12,vi,9,9,6,0,60,0
9.19,vi,9,9,6,0,60,0
9.5,I64,0,0,1,0,60,0
9.56,I64,0,0,1,0,57,9
9.62,I64,0,0,1,0,55,7
10.0,IV,5,5,4,0,55,7
10.44,IV,5,5,4,0,60,0
10.5,vi64,9,9,6,0,60,0
10.56,vi64,9,9,6,0,57,9
10.62,vi64,9,9,6,0,62,2
10.69,vi64,9,9,6,0,62,2
10.75,vi64,9,9,6,0,57,9
10.94,vi64,9,9,6,0,60,0
11.0,ii,2,2,2,0,60,0
11.0,ii,2,2,2,0,57,9
11.06,ii,2,2,2,0,60,0
11.12,ii,2,2,2,0,57,9
11.5,IV64,5,5,4,0,57,9
12.0,V,7,7,5,0,57,9
12.38,V,7,7,5,0,59,11
12.44,V,7,7,5,0,57,9
12.5,V,7,7,5,0,59,11
12.56,V,7,7,5,0,59,11
12.69,V,7,7,5,0,57,9
12.81,V,7,7,5,0,57,9
12.88,V,7,7,5,0,57,9
13.0,V,7,7,5,0,55,7
13.12,V,7,7,5,0,55,7
13.19,V,7,7,5,0,57,9
14.0,I,0,0,1,0,57,9
14.44,I,0,0,1,0,55,7
14.5,iii64,4,4,3,0,55,7
14.5,iii64,4,4,3,0,64,4
14.75,iii64,4,4,3,0,62,2
14.81,iii64,4,4,3,0,60,0
14.88,iii64,4,4,3,0,60,0
15.0,vi,9,9,6,0,60,0
15.06,vi,9,9,6,0,57,9
15.12,vi,9,9,6,0,64,4
15.5,I64,0,0,1,0,64,4
16.0,IV,5,5,4,0,64,4
16.44,IV,5,5,4,0,60,0
16.5,IV,5,5,4,0,62,2
16.5,vi64,9,9,6,0,62,2
16.62,vi64,9,9,6,0,60,0
16.69,vi64,9,9,6,0,60,0
16.75,vi64,9,9,6,0,60,0
16.88,vi64,9,9,6,0,57,9
16.94,vi64,9,9,6,0,60,0
17.0,ii,2,2,2,0,60,0
17.06,ii,2,2,2,0,60,0
17.12,ii,2,2,2,0,62,2
17.5,IV64,5,5,4,0,62,2
18.0,V,7,7,5,0,62,2
18.44,V,7,7,5,0,57,9
18.47,V,7,7,5,0,57,9
18.5,V,7,7,5,0,59,11
18.62,V,7,7,5,0,59,11
18.75,V,7,7,5,0,57,9
18.81,V,7,7,5,0,57,9
18.88,V,7,7,5,0,57,9
18.94,V,7,7,5,0,57,9
19.06,V,7,7,5,0,55,7
20.0,I,0,0,1,0,55,7
20.38,I,0,0,1,0,62,2
20.44,I,0,0,1,0,64,4
20.5,iii64,4,4,3,0,64,4
20.56,iii64,4,4,3,0,67,7
20.69,iii64,4,4,3,0,67,7
20.81,iii64,4,4,3,0,67,7
20.88,iii64,4,4,3,0,64,4
20.94,iii64,4,4,3,0,67,7
21.0,iii64,4,4,3,0,69,9
21.0,vi,9,9,6,0,69,9
21.34,vi,9,9,6,0,64,4
21.5,I64,0,0,1,0,64,4
21.59,I64,0,0,1,0,62,2
21.62,I64,0,0,1,0,64,4
21.75,I64,0,0,1,0,64,4
21.81,I64,0,0,1,0,62,2
21.88,I64,0,0,1,0,60,0
22.0,IV,5,5,4,0,60,0
22.38,IV,5,5,4,0,60,0
22.44,IV,5,5,4,0,62,2
22.5,vi64,9,9,6,0,62,2
22.62,vi64,9,9,6,0,60,0
22.69,vi64,9,9,6,0,62,2
22.88,vi64,9,9,6,0,57,9
22.94,vi64,9,9,6,0,60,0
23.0,ii,2,2,2,0,60,0
23.06,ii,2,2,2,0,57,9
23.5,ii,2,2,2,0,64,4
23.5,V,7,7,5,0,64,4
23.69,V,7,7,5,0,64,4
23.88,V,7,7,5,0,67,7
24.0,V,7,7,5,0,69,9
24.0,I,0,0,1,0,69,9
24.38,I,0,0,1,0,67,7
24.5,iii64,4,4,3,0,67,7
24.75,iii64,4,4,3,0,62,2
24.88,iii64,4,4,3,0,64,4
25.0,vi,9,9,6,0,64,4
25.06,vi,9,9,6,0,62,2
25.12,vi,9,9,6,0,60,0
25.25,vi,9,9,6,0,60,0
25.5,I64,0,0,1,0,60,0
25.56,I64,0,0,1,0,62,2
25.62,I64,0,0,1,0,64,4
26.0,IV,5,5,4,0,64,4
26.38,IV,5,5,4,0,60,0
26.44,IV,5,5,4,0,60,0
26.5,vi64,9,9,6,0,60,0
26.56,vi64,9,9,6,0,62,2
26.62,vi64,9,9,6,0,60,0
26.75,vi64,9,9,6,0,60,0
26.88,vi64,9,9,6,0,57,9
27.0,ii,2,2,2,0,57,9
27.06,ii,2,2,2,0,60,0
27.12,ii,2,2,2,0,57,9
27.5,IV64,5,5,4,0,57,9
28.0,V,7,7,5,0,57,9
28.44,V,7,7,5,0,59,11
28.5,V,7,7,5,0,57,9
28.56,V,7,7,5,0,59,11
28.69,V,7,7,5,0,57,9
28.75,V,7,7,5,0,59,11
28.94,V,7,7,5,0,57,9
29.06,V,7,7,5,0,57,9
29.19,V,7,7,5,0,55,7
29.25,V,7,7,5,0,57,9
29.88,V,7,7,5,0,57,9
30.0,I,0,0,1,0,57,9
30.06,I,0,0,1,0,60,0
