Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
9.12,i,0,0,1,0,60,0
9.25,i,0,0,1,0,59,11
9.38,i,0,0,1,0,60,0
9.5,bVII,10,10,7,0,60,0
9.5,bVII,10,10,7,0,58,10
9.62,bVII,10,10,7,0,60,0
9.75,bVII,10,10,7,0,58,10
9.88,bVII,10,10,7,0,60,0
10.0,bVI,8,8,6,0,60,0
10.0,bVI,8,8,6,0,63,3
10.12,bVI,8,8,6,0,58,10
10.25,bVI,8,8,6,0,60,0
10.5,bVII,10,10,7,0,60,0
11.0,i,0,0,1,0,60,0
11.12,i,0,0,1,0,58,10
11.25,i,0,0,1,0,60,0
11.38,i,0,0,1,0,63,3
11.5,bVII,10,10,7,0,63,3
11.5,bVII,10,10,7,0,60,0
11.62,bVII,10,10,7,0,58,10
11.75,bVII,10,10,7,0,60,0
11.88,bVII,10,10,7,0,60,0
12.0,bVI,8,8,6,0,60,0
12.5,bVII,10,10,7,0,60,0
13.0,i,0,0,1,0,60,0
13.12,i,0,0,1,0,60,0
13.25,i,0,0,1,0,59,11
13.38,i,0,0,1,0,60,0
13.5,i,0,0,1,0,58,10
13.5,bVII,10,10,7,0,58,10
13.62,bVII,10,10,7,0,63,3
13.75,bVII,10,10,7,0,60,0
14.0,bVI,8,8,6,0,60,0
14.5,bVII,10,10,7,0,60,0
15.0,i,0,0,1,0,60,0
15.12,i,0,0,1,0,58,10
15.25,i,0,0,1,0,58,10
15.5,i,0,0,1,0,63,3
15.5,bVII,10,10,7,0,63,3
15.62,bVII,10,10,7,0,60,0
15.75,bVII,10,10,7,0,60,0
15.88,bVII,10,10,7,0,60,0
16.0,bVI,8,8,6,0,60,0
16.5,bVII,10,10,7,0,60,0
17.0,i,0,0,1,0,60,0
17.12,i,0,0,1,0,66,6
17.25,i,0,0,1,0,65,5
17.38,i,0,0,1,0,65,5
17.5,i,0,0,1,0,63,3
17.5,bVII,10,10,7,0,63,3
18.0,bVI,8,8,6,0,63,3
18.0,bVI,8,8,6,0,67,7
18.12,bVI,8,8,6,0,60,0
18.25,bVI,8,8,6,0,63,3
18.5,bVII,10,10,7,0,63,3
19.0,i,0,0,1,0,63,3
19.12,i,0,0,1,0,58,10
19.25,i,0,0,1,0,60,0
19.5,i,0,0,1,0,63,3
