Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
8.0,I,1,0,1,1,53,4
8.12,I,1,0,1,1,53,4
8.5,I,1,0,1,1,53,4
8.62,I,1,0,1,1,54,5
8.88,I,1,0,1,1,56,7
10.0,I,1,0,1,1,65,4
10.25,I,1,0,1,1,63,2
10.38,I,1,0,1,1,61,0
10.75,I,1,0,1,1,59,10
10.88,I,1,0,1,1,56,7
12.0,I,1,0,1,1,53,4
12.12,I,1,0,1,1,53,4
12.5,I,1,0,1,1,53,4
12.62,I,1,0,1,1,54,5
12.88,I,1,0,1,1,56,7
14.0,I,1,0,1,1,65,4
14.25,I,1,0,1,1,63,2
14.38,I,1,0,1,1,61,0
14.75,I,1,0,1,1,59,10
14.88,I,1,0,1,1,56,7
16.0,I,1,0,1,1,53,4
16.12,I,1,0,1,1,53,4
16.5,I,1,0,1,1,53,4
16.62,I,1,0,1,1,54,5
16.88,I,1,0,1,1,56,7
18.0,I,1,0,1,1,65,4
18.25,I,1,0,1,1,63,2
18.38,I,1,0,1,1,61,0
18.75,I,1,0,1,1,59,10
18.88,I,1,0,1,1,56,7
20.0,I,1,0,1,1,53,4
20.12,I,1,0,1,1,53,4
20.5,I,1,0,1,1,53,4
20.62,I,1,0,1,1,54,5
20.88,I,1,0,1,1,56,7
22.0,I,1,0,1,1,65,4
22.25,I,1,0,1,1,63,2
22.38,I,1,0,1,1,61,0
22.75,I,1,0,1,1,59,10
22.88,I,1,0,1,1,56,7
24.0,IV,6,5,4,1,56,7
24.5,IV,6,5,4,1,58,9
24.62,IV,6,5,4,1,59,10
24.88,IV,6,5,4,1,61,0
25.5,IV,6,5,4,1,58,9
25.62,IV,6,5,4,1,61,0
25.88,IV,6,5,4,1,65,4
26.25,IV,6,5,4,1,63,2
26.38,IV,6,5,4,1,61,0
26.75,IV,6,5,4,1,59,10
26.88,IV,6,5,4,1,56,7
27.5,IV,6,5,4,1,56,7
27.62,IV,6,5,4,1,58,9
