Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
10.0,I,4,0,1,4,76,0
10.06,I,4,0,1,4,76,0
10.19,I,4,0,1,4,76,0
10.5,bVII,2,10,7,4,76,0
10.56,bVII,2,10,7,4,74,10
10.62,bVII,2,10,7,4,74,10
10.69,bVII,2,10,7,4,74,10
10.75,bVII,2,10,7,4,74,10
11.0,IV6,9,5,4,4,74,10
11.06,IV6,9,5,4,4,74,10
11.12,IV6,9,5,4,4,74,10
11.19,IV6,9,5,4,4,74,10
11.25,IV6,9,5,4,4,76,0
11.38,IV6,9,5,4,4,71,7
11.44,IV6,9,5,4,4,69,5
11.56,IV6,9,5,4,4,67,3
11.62,IV6,9,5,4,4,71,7
11.75,IV6,9,5,4,4,69,5
11.81,IV6,9,5,4,4,67,3
11.88,IV6,9,5,4,4,69,5
11.94,IV6,9,5,4,4,67,3
12.0,I,4,0,1,4,67,3
12.12,I,4,0,1,4,74,10
12.25,I,4,0,1,4,74,10
12.5,bVII,2,10,7,4,74,10
12.62,bVII,2,10,7,4,74,10
12.69,bVII,2,10,7,4,74,10
12.75,bVII,2,10,7,4,74,10
13.0,IV6,9,5,4,4,74,10
13.12,IV6,9,5,4,4,71,7
13.25,IV6,9,5,4,4,71,7
13.38,IV6,9,5,4,4,71,7
13.5,IV6,9,5,4,4,74,10
13.56,IV6,9,5,4,4,71,7
13.62,IV6,9,5,4,4,69,5
13.69,IV6,9,5,4,4,71,7
13.81,IV6,9,5,4,4,71,7
13.88,IV6,9,5,4,4,71,7
14.0,IV6,9,5,4,4,75,11
14.0,I,4,0,1,4,75,11
14.06,I,4,0,1,4,75,11
14.12,I,4,0,1,4,75,11
14.19,I,4,0,1,4,71,7
14.25,I,4,0,1,4,75,11
14.38,I,4,0,1,4,71,7
14.44,I,4,0,1,4,67,3
14.5,I,4,0,1,4,69,5
14.5,bVII,2,10,7,4,69,5
14.56,bVII,2,10,7,4,67,3
14.62,bVII,2,10,7,4,71,7
14.75,bVII,2,10,7,4,67,3
15.0,IV6,9,5,4,4,67,3
15.06,IV6,9,5,4,4,71,7
15.12,IV6,9,5,4,4,71,7
15.19,IV6,9,5,4,4,71,7
15.25,IV6,9,5,4,4,71,7
15.38,IV6,9,5,4,4,71,7
15.44,IV6,9,5,4,4,71,7
15.5,IV6,9,5,4,4,74,10
15.56,IV6,9,5,4,4,74,10
15.62,IV6,9,5,4,4,74,10
15.81,IV6,9,5,4,4,76,0
15.88,IV6,9,5,4,4,76,0
16.0,I,4,0,1,4,76,0
16.12,I,4,0,1,4,76,0
16.25,I,4,0,1,4,76,0
16.5,bVII,2,10,7,4,76,0
16.62,bVII,2,10,7,4,74,10
16.75,bVII,2,10,7,4,74,10
17.0,bVII,2,10,7,4,71,7
17.0,IV6,9,5,4,4,71,7
17.06,IV6,9,5,4,4,71,7
17.12,IV6,9,5,4,4,71,7
17.19,IV6,9,5,4,4,71,7
17.25,IV6,9,5,4,4,71,7
17.31,IV6,9,5,4,4,71,7
17.38,IV6,9,5,4,4,71,7
17.44,IV6,9,5,4,4,71,7
17.5,IV6,9,5,4,4,74,10
17.56,IV6,9,5,4,4,74,10
17.62,IV6,9,5,4,4,71,7
17.81,IV6,9,5,4,4,71,7
17.88,IV6,9,5,4,4,75,11
18.0,V,11,7,5,4,75,11
18.0,V,11,7,5,4,71,7
18.75,V,11,7,5,4,75,11
18.81,V,11,7,5,4,71,7
19.0,V,11,7,5,4,75,11
19.06,V,11,7,5,4,71,7
19.75,V,11,7,5,4,76,0
19.81,V,11,7,5,4,76,0
20.0,IV,9,5,4,4,76,0
20.06,IV,9,5,4,4,71,7
20.81,IV,9,5,4,4,71,7
20.88,IV,9,5,4,4,71,7
21.06,IV,9,5,4,4,74,10
21.75,IV,9,5,4,4,74,10
21.81,IV,9,5,4,4,74,10
21.88,IV,9,5,4,4,71,7
22.0,V,11,7,5,4,71,7
22.12,V,11,7,5,4,69,5
22.31,V,11,7,5,4,71,7
22.5,V,11,7,5,4,75,11
22.69,V,11,7,5,4,71,7
22.88,V,11,7,5,4,75,11
23.12,V,11,7,5,4,69,5
23.31,V,11,7,5,4,71,7
23.5,V,11,7,5,4,74,10
23.69,V,11,7,5,4,71,7
23.81,V,11,7,5,4,74,10
23.88,V,11,7,5,4,74,10
24.0,V,11,7,5,4,74,10
24.0,bIII,7,3,3,4,74,10
24.06,bIII,7,3,3,4,74,10
24.19,bIII,7,3,3,4,74,10
24.81,bIII,7,3,3,4,74,10
24.88,bIII,7,3,3,4,74,10
25.0,bVII,2,10,7,4,74,10
25.0,bVII,2,10,7,4,78,2
25.19,bVII,2,10,7,4,74,10
25.38,bVII,2,10,7,4,74,10
25.75,bVII,2,10,7,4,78,2
26.0,I,4,0,1,4,78,2
26.0,I,4,0,1,4,78,2
26.06,I,4,0,1,4,76,0
26.12,I,4,0,1,4,76,0
26.19,I,4,0,1,4,76,0
26.38,I,4,0,1,4,69,5
26.44,I,4,0,1,4,67,3
