Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
1.0,I,4,0,1,4,64,0
1.0,I,4,0,1,4,64,0
1.25,I,4,0,1,4,64,0
1.42,I,4,0,1,4,59,7
1.5,I,4,0,1,4,62,10
1.75,I,4,0,1,4,64,0
2.0,I,4,0,1,4,64,0
2.25,I,4,0,1,4,64,0
2.5,I,4,0,1,4,62,10
2.75,I,4,0,1,4,64,0
3.17,I,4,0,1,4,64,0
3.25,I,4,0,1,4,64,0
3.42,I,4,0,1,4,59,7
3.5,I,4,0,1,4,62,10
3.75,I,4,0,1,4,64,0
3.92,I,4,0,1,4,64,0
4.0,I,4,0,1,4,64,0
4.25,I,4,0,1,4,64,0
4.5,I,4,0,1,4,62,10
4.75,I,4,0,1,4,64,0
5.0,IV,9,5,4,4,64,0
5.17,IV,9,5,4,4,67,3
5.25,IV,9,5,4,4,67,3
5.42,IV,9,5,4,4,67,3
5.5,IV,9,5,4,4,64,0
5.75,IV,9,5,4,4,66,2
6.0,IV,9,5,4,4,67,3
6.25,IV,9,5,4,4,67,3
6.5,IV,9,5,4,4,64,0
6.75,IV,9,5,4,4,66,2
7.0,I,4,0,1,4,66,2
7.17,I,4,0,1,4,64,0
7.25,I,4,0,1,4,64,0
7.42,I,4,0,1,4,59,7
7.5,I,4,0,1,4,62,10
7.75,I,4,0,1,4,64,0
7.92,I,4,0,1,4,64,0
8.0,I,4,0,1,4,64,0
8.25,I,4,0,1,4,64,0
8.5,I,4,0,1,4,62,10
8.75,I,4,0,1,4,64,0
9.0,V,11,7,5,4,64,0
9.17,V,11,7,5,4,59,7
9.25,V,11,7,5,4,59,7
9.42,V,11,7,5,4,54,2
9.5,V,11,7,5,4,57,5
9.75,V,11,7,5,4,59,7
9.92,V,11,7,5,4,57,5
10.0,IV,9,5,4,4,57,5
10.17,IV,9,5,4,4,57,5
10.42,IV,9,5,4,4,55,3
10.67,IV,9,5,4,4,52,0
10.75,IV,9,5,4,4,52,0
10.92,IV,9,5,4,4,52,0
11.0,I,4,0,1,4,52,0
11.0,I,4,0,1,4,52,0
11.17,I,4,0,1,4,52,0
11.25,I,4,0,1,4,52,0
11.42,I,4,0,1,4,52,0
11.5,I,4,0,1,4,52,0
11.67,I,4,0,1,4,52,0
11.75,I,4,0,1,4,52,0
11.92,I,4,0,1,4,52,0
12.0,I,4,0,1,4,52,0
12.67,I,4,0,1,4,64,0
13.0,I,4,0,1,4,64,0
13.25,I,4,0,1,4,64,0
13.5,I,4,0,1,4,62,10
13.75,I,4,0,1,4,59,7
13.92,I,4,0,1,4,59,7
14.0,I,4,0,1,4,64,0
14.25,I,4,0,1,4,64,0
14.5,I,4,0,1,4,62,10
15.17,I,4,0,1,4,59,7
15.25,I,4,0,1,4,64,0
15.42,I,4,0,1,4,59,7
15.5,I,4,0,1,4,62,10
15.67,I,4,0,1,4,64,0
15.75,I,4,0,1,4,62,10
15.92,I,4,0,1,4,59,7
16.0,I,4,0,1,4,64,0
16.25,I,4,0,1,4,64,0
16.5,I,4,0,1,4,62,10
17.17,I,4,0,1,4,59,7
17.25,I,4,0,1,4,64,0
17.42,I,4,0,1,4,59,7
17.5,I,4,0,1,4,62,10
17.67,I,4,0,1,4,64,0
17.75,I,4,0,1,4,62,10
17.92,I,4,0,1,4,59,7
18.0,I,4,0,1,4,64,0
18.25,I,4,0,1,4,64,0
18.5,I,4,0,1,4,62,10
19.25,I,4,0,1,4,64,0
19.42,I,4,0,1,4,64,0
19.5,I,4,0,1,4,64,0
19.67,I,4,0,1,4,64,0
19.75,I,4,0,1,4,64,0
20.0,I,4,0,1,4,67,3
20.25,I,4,0,1,4,67,3
20.5,I,4,0,1,4,67,3
20.75,I,4,0,1,4,66,2
20.92,I,4,0,1,4,64,0
21.0,IV,9,5,4,4,64,0
21.17,IV,9,5,4,4,64,0
21.25,IV,9,5,4,4,64,0
21.42,IV,9,5,4,4,61,9
21.5,IV,9,5,4,4,64,0
21.75,IV,9,5,4,4,66,2
22.0,IV,9,5,4,4,67,3
22.25,IV,9,5,4,4,66,2
22.5,IV,9,5,4,4,64,0
22.75,IV,9,5,4,4,66,2
23.0,I,4,0,1,4,66,2
23.17,I,4,0,1,4,64,0
23.25,I,4,0,1,4,64,0
23.42,I,4,0,1,4,59,7
23.5,I,4,0,1,4,62,10
23.75,I,4,0,1,4,64,0
23.92,I,4,0,1,4,64,0
24.0,I,4,0,1,4,64,0
24.25,I,4,0,1,4,64,0
24.5,I,4,0,1,4,62,10
24.75,I,4,0,1,4,64,0
25.0,V,11,7,5,4,64,0
25.17,V,11,7,5,4,59,7
25.25,V,11,7,5,4,59,7
25.42,V,11,7,5,4,54,2
25.5,V,11,7,5,4,57,5
25.75,V,11,7,5,4,59,7
25.92,V,11,7,5,4,57,5
26.0,IV,9,5,4,4,57,5
26.17,IV,9,5,4,4,57,5
26.42,IV,9,5,4,4,55,3
26.67,IV,9,5,4,4,52,0
26.75,IV,9,5,4,4,52,0
26.92,IV,9,5,4,4,52,0
27.0,IV,9,5,4,4,52,0
27.0,I,4,0,1,4,52,0
27.17,I,4,0,1,4,52,0
27.25,I,4,0,1,4,52,0
27.42,I,4,0,1,4,52,0
27.5,I,4,0,1,4,52,0
27.67,I,4,0,1,4,47,7
27.75,I,4,0,1,4,52,0
27.92,I,4,0,1,4,52,0
28.0,I,4,0,1,4,52,0
33.0,IV,9,5,4,4,52,0
35.0,I,4,0,1,4,52,0
37.0,V,11,7,5,4,52,0
38.0,IV,9,5,4,4,52,0
39.0,I,4,0,1,4,52,0
40.17,I,4,0,1,4,64,0
40.92,I,4,0,1,4,59,7
41.0,I,4,0,1,4,64,0
41.25,I,4,0,1,4,64,0
41.5,I,4,0,1,4,62,10
41.75,I,4,0,1,4,59,7
41.92,I,4,0,1,4,59,7
42.0,I,4,0,1,4,64,0
42.25,I,4,0,1,4,64,0
42.5,I,4,0,1,4,62,10
43.17,I,4,0,1,4,59,7
43.25,I,4,0,1,4,64,0
43.42,I,4,0,1,4,59,7
43.5,I,4,0,1,4,62,10
43.67,I,4,0,1,4,64,0
43.75,I,4,0,1,4,62,10
43.92,I,4,0,1,4,59,7
44.0,I,4,0,1,4,64,0
44.25,I,4,0,1,4,64,0
44.5,I,4,0,1,4,62,10
45.17,I,4,0,1,4,59,7
45.25,I,4,0,1,4,64,0
45.42,I,4,0,1,4,59,7
45.5,I,4,0,1,4,62,10
45.67,I,4,0,1,4,64,0
45.75,I,4,0,1,4,62,10
45.92,I,4,0,1,4,59,7
46.0,I,4,0,1,4,64,0
46.25,I,4,0,1,4,64,0
46.5,I,4,0,1,4,62,10
47.25,I,4,0,1,4,64,0
47.42,I,4,0,1,4,64,0
47.5,I,4,0,1,4,64,0
47.67,I,4,0,1,4,64,0
47.75,I,4,0,1,4,64,0
48.0,I,4,0,1,4,67,3
48.25,I,4,0,1,4,67,3
48.5,I,4,0,1,4,67,3
48.75,I,4,0,1,4,66,2
48.92,I,4,0,1,4,64,0
49.0,IV,9,5,4,4,64,0
49.17,IV,9,5,4,4,64,0
49.25,IV,9,5,4,4,64,0
49.42,IV,9,5,4,4,61,9
49.5,IV,9,5,4,4,64,0
49.75,IV,9,5,4,4,66,2
50.0,IV,9,5,4,4,67,3
50.25,IV,9,5,4,4,66,2
50.5,IV,9,5,4,4,64,0
50.75,IV,9,5,4,4,66,2
51.0,I,4,0,1,4,66,2
51.17,I,4,0,1,4,64,0
51.25,I,4,0,1,4,64,0
51.42,I,4,0,1,4,59,7
51.5,I,4,0,1,4,62,10
51.75,I,4,0,1,4,64,0
51.92,I,4,0,1,4,64,0
52.0,I,4,0,1,4,64,0
52.25,I,4,0,1,4,64,0
52.5,I,4,0,1,4,62,10
52.75,I,4,0,1,4,64,0
53.0,V,11,7,5,4,64,0
53.17,V,11,7,5,4,59,7
53.25,V,11,7,5,4,59,7
53.42,V,11,7,5,4,54,2
53.5,V,11,7,5,4,57,5
53.75,V,11,7,5,4,59,7
53.92,V,11,7,5,4,57,5
54.0,IV,9,5,4,4,57,5
54.17,IV,9,5,4,4,57,5
54.42,IV,9,5,4,4,55,3
54.67,IV,9,5,4,4,52,0
54.75,IV,9,5,4,4,52,0
54.92,IV,9,5,4,4,52,0
55.0,I,4,0,1,4,52,0
55.0,I,4,0,1,4,52,0
55.17,I,4,0,1,4,52,0
55.25,I,4,0,1,4,52,0
55.42,I,4,0,1,4,52,0
55.5,I,4,0,1,4,52,0
55.67,I,4,0,1,4,52,0
55.75,I,4,0,1,4,52,0
55.92,I,4,0,1,4,52,0
56.0,I,4,0,1,4,52,0
61.0,IV,9,5,4,4,52,0
63.0,I,4,0,1,4,52,0
65.0,V,11,7,5,4,52,0
66.0,IV,9,5,4,4,52,0
67.0,I,4,0,1,4,52,0
68.17,I,4,0,1,4,64,0
68.92,I,4,0,1,4,64,0
69.25,I,4,0,1,4,64,0
69.42,I,4,0,1,4,59,7
69.5,I,4,0,1,4,62,10
69.75,I,4,0,1,4,64,0
70.0,I,4,0,1,4,64,0
70.25,I,4,0,1,4,64,0
70.5,I,4,0,1,4,62,10
70.75,I,4,0,1,4,64,0
71.17,I,4,0,1,4,64,0
71.25,I,4,0,1,4,64,0
71.42,I,4,0,1,4,59,7
71.5,I,4,0,1,4,62,10
71.75,I,4,0,1,4,64,0
71.92,I,4,0,1,4,64,0
72.0,I,4,0,1,4,64,0
72.25,I,4,0,1,4,64,0
72.5,I,4,0,1,4,62,10
72.75,I,4,0,1,4,64,0
73.0,IV,9,5,4,4,64,0
73.17,IV,9,5,4,4,67,3
73.25,IV,9,5,4,4,67,3
73.42,IV,9,5,4,4,67,3
73.5,IV,9,5,4,4,64,0
73.75,IV,9,5,4,4,66,2
74.0,IV,9,5,4,4,67,3
74.25,IV,9,5,4,4,67,3
74.5,IV,9,5,4,4,64,0
74.75,IV,9,5,4,4,66,2
75.0,I,4,0,1,4,66,2
75.17,I,4,0,1,4,64,0
75.25,I,4,0,1,4,64,0
75.42,I,4,0,1,4,59,7
75.5,I,4,0,1,4,62,10
75.75,I,4,0,1,4,64,0
75.92,I,4,0,1,4,64,0
76.0,I,4,0,1,4,64,0
76.25,I,4,0,1,4,64,0
76.5,I,4,0,1,4,62,10
76.75,I,4,0,1,4,64,0
77.0,V,11,7,5,4,64,0
77.17,V,11,7,5,4,59,7
77.25,V,11,7,5,4,59,7
77.42,V,11,7,5,4,54,2
77.5,V,11,7,5,4,57,5
77.75,V,11,7,5,4,59,7
77.92,V,11,7,5,4,57,5
78.0,IV,9,5,4,4,57,5
78.17,IV,9,5,4,4,57,5
78.42,IV,9,5,4,4,55,3
78.67,IV,9,5,4,4,52,0
78.75,IV,9,5,4,4,52,0
78.92,IV,9,5,4,4,52,0
79.0,IV,9,5,4,4,52,0
79.0,I,4,0,1,4,52,0
79.17,I,4,0,1,4,52,0
79.25,I,4,0,1,4,52,0
79.42,I,4,0,1,4,52,0
79.5,I,4,0,1,4,52,0
79.67,I,4,0,1,4,52,0
79.75,I,4,0,1,4,52,0
79.92,I,4,0,1,4,52,0
80.0,I,4,0,1,4,52,0
81.0,End,4,0,1,4,52,0
