Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
4.38,I,4,0,1,4,64,0
4.5,I,4,0,1,4,64,0
4.75,I,4,0,1,4,63,11
5.0,I,4,0,1,4,63,11
5.25,I,4,0,1,4,61,9
5.5,I,4,0,1,4,63,11
5.75,I,4,0,1,4,64,0
6.0,ii,6,2,2,4,64,0
6.5,ii,6,2,2,4,66,2
6.62,ii,6,2,2,4,66,2
6.75,ii,6,2,2,4,64,0
7.0,V,11,7,5,4,64,0
7.0,V,11,7,5,4,63,11
8.0,I,4,0,1,4,63,11
8.38,I,4,0,1,4,64,0
8.5,I,4,0,1,4,64,0
8.62,I,4,0,1,4,63,11
9.0,I,4,0,1,4,63,11
9.25,I,4,0,1,4,61,9
9.38,I,4,0,1,4,63,11
9.75,I,4,0,1,4,64,0
10.0,ii,6,2,2,4,64,0
10.25,ii,6,2,2,4,66,2
10.38,ii,6,2,2,4,64,0
10.5,ii,6,2,2,4,66,2
10.75,ii,6,2,2,4,64,0
11.0,ii,6,2,2,4,63,11
11.0,V,11,7,5,4,63,11
12.0,V/vi,8,4,3,4,63,11
12.38,V/vi,8,4,3,4,68,4
12.5,V/vi,8,4,3,4,67,3
12.75,V/vi,8,4,3,4,68,4
13.0,V/vi,8,4,3,4,69,5
13.12,V/vi,8,4,3,4,68,4
13.38,V/vi,8,4,3,4,66,2
13.62,V/vi,8,4,3,4,68,4
14.0,V/ii,1,9,6,4,68,4
14.38,V/ii,1,9,6,4,68,4
14.62,V/ii,1,9,6,4,67,3
14.75,V/ii,1,9,6,4,68,4
15.0,V/ii,1,9,6,4,69,5
15.38,V/ii,1,9,6,4,68,4
15.5,V/ii,1,9,6,4,65,1
15.75,V/ii,1,9,6,4,61,9
16.0,V/V,6,2,2,4,61,9
16.38,V/V,6,2,2,4,66,2
16.5,V/V,6,2,2,4,65,1
16.75,V/V,6,2,2,4,66,2
17.0,V/V,6,2,2,4,67,3
17.25,V/V,6,2,2,4,66,2
17.5,V/V,6,2,2,4,61,9
18.0,V,11,7,5,4,61,9
18.0,V,11,7,5,4,63,11
18.25,V,11,7,5,4,63,11
18.5,V,11,7,5,4,64,0
18.75,V,11,7,5,4,64,0
18.88,V,11,7,5,4,66,2
19.25,V,11,7,5,4,63,11
19.5,V,11,7,5,4,64,0
19.75,V,11,7,5,4,66,2
19.88,V,11,7,5,4,66,2
20.0,I,4,0,1,4,66,2
20.0,I,4,0,1,4,68,4
21.5,I,4,0,1,4,68,4
21.62,I,4,0,1,4,66,2
21.75,I,4,0,1,4,64,0
21.81,I,4,0,1,4,66,2
21.88,I,4,0,1,4,68,4
22.0,vi,1,9,6,4,68,4
22.12,vi,1,9,6,4,64,0
23.38,vi,1,9,6,4,68,4
23.5,vi,1,9,6,4,66,2
23.62,vi,1,9,6,4,64,0
23.75,vi,1,9,6,4,66,2
23.88,vi,1,9,6,4,66,2
24.0,IV,9,5,4,4,66,2
24.0,IV,9,5,4,4,68,4
24.06,IV,9,5,4,4,66,2
24.12,IV,9,5,4,4,64,0
24.25,IV,9,5,4,4,66,2
24.38,IV,9,5,4,4,64,0
25.38,IV,9,5,4,4,69,5
25.5,IV,9,5,4,4,69,5
25.67,IV,9,5,4,4,68,4
25.83,IV,9,5,4,4,66,2
26.0,IV,9,5,4,4,69,5
26.0,V,11,7,5,4,69,5
26.38,V,11,7,5,4,68,4
26.5,V,11,7,5,4,66,2
26.88,V,11,7,5,4,66,2
27.0,V,11,7,5,4,71,7
27.25,V,11,7,5,4,69,5
27.5,V,11,7,5,4,68,4
27.75,V,11,7,5,4,66,2
28.0,I,4,0,1,4,66,2
28.62,I,4,0,1,4,64,0
28.75,I,4,0,1,4,64,0
28.88,I,4,0,1,4,63,11
29.0,I,4,0,1,4,63,11
29.12,I,4,0,1,4,61,9
29.38,I,4,0,1,4,63,11
29.62,I,4,0,1,4,64,0
30.0,ii,6,2,2,4,64,0
30.38,ii,6,2,2,4,66,2
30.62,ii,6,2,2,4,66,2
30.75,ii,6,2,2,4,64,0
31.0,V,11,7,5,4,64,0
31.0,V,11,7,5,4,63,11
32.0,I,4,0,1,4,63,11
32.38,I,4,0,1,4,64,0
32.5,I,4,0,1,4,64,0
32.62,I,4,0,1,4,63,11
32.88,I,4,0,1,4,63,11
33.38,I,4,0,1,4,61,9
33.5,I,4,0,1,4,63,11
33.62,I,4,0,1,4,64,0
34.0,ii,6,2,2,4,64,0
34.38,ii,6,2,2,4,66,2
34.62,ii,6,2,2,4,66,2
34.75,ii,6,2,2,4,64,0
35.0,V,11,7,5,4,64,0
35.0,V,11,7,5,4,63,11
36.0,V/vi,8,4,3,4,63,11
36.38,V/vi,8,4,3,4,68,4
36.62,V/vi,8,4,3,4,67,3
36.75,V/vi,8,4,3,4,68,4
36.88,V/vi,8,4,3,4,69,5
37.12,V/vi,8,4,3,4,68,4
37.38,V/vi,8,4,3,4,66,2
37.62,V/vi,8,4,3,4,68,4
38.0,V/ii,1,9,6,4,68,4
38.38,V/ii,1,9,6,4,68,4
38.62,V/ii,1,9,6,4,67,3
38.75,V/ii,1,9,6,4,68,4
38.88,V/ii,1,9,6,4,69,5
39.12,V/ii,1,9,6,4,68,4
39.38,V/ii,1,9,6,4,65,1
39.5,V/ii,1,9,6,4,61,9
39.62,V/ii,1,9,6,4,61,9
40.0,V/V,6,2,2,4,61,9
40.38,V/V,6,2,2,4,66,2
40.5,V/V,6,2,2,4,65,1
40.62,V/V,6,2,2,4,66,2
40.88,V/V,6,2,2,4,67,3
41.12,V/V,6,2,2,4,66,2
41.38,V/V,6,2,2,4,61,9
41.62,V/V,6,2,2,4,61,9
42.0,V,11,7,5,4,61,9
42.0,V,11,7,5,4,63,11
42.25,V,11,7,5,4,63,11
42.5,V,11,7,5,4,64,0
42.62,V,11,7,5,4,64,0
42.88,V,11,7,5,4,66,2
43.25,V,11,7,5,4,68,4
43.5,V,11,7,5,4,71,7
43.75,V,11,7,5,4,68,4
44.0,I,4,0,1,4,68,4
44.0,I,4,0,1,4,66,2
44.12,I,4,0,1,4,64,0
45.38,I,4,0,1,4,68,4
45.56,I,4,0,1,4,66,2
45.75,I,4,0,1,4,64,0
45.81,I,4,0,1,4,66,2
45.88,I,4,0,1,4,68,4
46.0,vi,1,9,6,4,68,4
46.12,vi,1,9,6,4,64,0
47.38,vi,1,9,6,4,68,4
47.5,vi,1,9,6,4,66,2
47.62,vi,1,9,6,4,64,0
47.75,vi,1,9,6,4,66,2
47.88,vi,1,9,6,4,66,2
48.0,vi,1,9,6,4,68,4
48.0,IV,9,5,4,4,68,4
48.06,IV,9,5,4,4,66,2
48.12,IV,9,5,4,4,64,0
48.25,IV,9,5,4,4,66,2
48.38,IV,9,5,4,4,64,0
49.38,IV,9,5,4,4,69,5
49.5,IV,9,5,4,4,69,5
49.67,IV,9,5,4,4,68,4
49.83,IV,9,5,4,4,66,2
50.0,IV,9,5,4,4,69,5
50.0,V,11,7,5,4,69,5
50.38,V,11,7,5,4,68,4
50.5,V,11,7,5,4,66,2
50.88,V,11,7,5,4,66,2
51.0,V,11,7,5,4,71,7
51.25,V,11,7,5,4,69,5
51.5,V,11,7,5,4,68,4
51.75,V,11,7,5,4,68,4
51.81,V,11,7,5,4,66,2
52.0,I,4,0,1,4,66,2
52.0,I,4,0,1,4,64,0
54.0,ii,6,2,2,4,64,0
55.0,V,11,7,5,4,64,0
56.0,I,4,0,1,4,64,0
58.0,ii,6,2,2,4,64,0
59.0,V,11,7,5,4,64,0
59.38,V,11,7,5,4,68,4
59.5,V,11,7,5,4,71,7
59.62,V,11,7,5,4,68,4
59.88,V,11,7,5,4,66,2
60.0,V,11,7,5,4,66,2
