Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
23.62,IV,9,5,4,4,56,4
23.75,IV,9,5,4,4,57,5
23.88,IV,9,5,4,4,57,5
24.0,IV,9,5,4,4,56,4
24.0,I,4,0,1,4,56,4
24.12,I,4,0,1,4,56,4
24.38,I,4,0,1,4,57,5
24.5,v7,11,7,5,4,57,5
25.0,IV,9,5,4,4,57,5
25.0,IV,9,5,4,4,62,10
25.12,IV,9,5,4,4,62,10
25.38,IV,9,5,4,4,62,10
25.62,IV,9,5,4,4,61,9
25.88,IV,9,5,4,4,61,9
26.0,I,4,0,1,4,61,9
26.12,I,4,0,1,4,59,7
26.19,I,4,0,1,4,61,9
26.5,v7,11,7,5,4,61,9
27.0,IV,9,5,4,4,61,9
27.62,IV,9,5,4,4,57,5
27.75,IV,9,5,4,4,57,5
27.88,IV,9,5,4,4,56,4
28.0,I,4,0,1,4,56,4
28.12,I,4,0,1,4,56,4
28.38,I,4,0,1,4,57,5
28.5,v7,11,7,5,4,57,5
28.62,v7,11,7,5,4,57,5
28.75,v7,11,7,5,4,57,5
28.88,v7,11,7,5,4,62,10
29.0,IV,9,5,4,4,62,10
29.12,IV,9,5,4,4,62,10
29.25,IV,9,5,4,4,62,10
29.38,IV,9,5,4,4,62,10
29.5,IV,9,5,4,4,61,9
29.62,IV,9,5,4,4,61,9
29.75,IV,9,5,4,4,61,9
29.88,IV,9,5,4,4,61,9
30.0,I,4,0,1,4,61,9
30.12,I,4,0,1,4,59,7
30.19,I,4,0,1,4,61,9
30.5,v7,11,7,5,4,61,9
31.0,IV,9,5,4,4,61,9
31.62,IV,9,5,4,4,57,5
31.75,IV,9,5,4,4,57,5
31.88,IV,9,5,4,4,57,5
32.0,I,4,0,1,4,57,5
32.0,I,4,0,1,4,56,4
32.25,I,4,0,1,4,56,4
32.5,I,4,0,1,4,57,5
32.5,v7,11,7,5,4,57,5
32.75,v7,11,7,5,4,57,5
33.0,v7,11,7,5,4,62,10
33.0,IV,9,5,4,4,62,10
33.25,IV,9,5,4,4,62,10
33.38,IV,9,5,4,4,64,0
33.5,IV,9,5,4,4,62,10
33.62,IV,9,5,4,4,61,9
33.88,IV,9,5,4,4,61,9
34.0,I,4,0,1,4,61,9
34.12,I,4,0,1,4,61,9
34.5,v7,11,7,5,4,61,9
35.0,IV,9,5,4,4,61,9
35.62,IV,9,5,4,4,56,4
35.75,IV,9,5,4,4,57,5
35.88,IV,9,5,4,4,57,5
36.0,I,4,0,1,4,57,5
36.0,I,4,0,1,4,56,4
36.25,I,4,0,1,4,56,4
36.5,v7,11,7,5,4,56,4
36.5,v7,11,7,5,4,57,5
36.62,v7,11,7,5,4,57,5
36.75,v7,11,7,5,4,57,5
36.88,v7,11,7,5,4,57,5
37.0,v7,11,7,5,4,62,10
37.0,IV,9,5,4,4,62,10
37.12,IV,9,5,4,4,62,10
37.25,IV,9,5,4,4,62,10
37.38,IV,9,5,4,4,62,10
37.62,IV,9,5,4,4,61,9
37.69,IV,9,5,4,4,61,9
37.88,IV,9,5,4,4,61,9
38.0,I,4,0,1,4,61,9
38.12,I,4,0,1,4,59,7
38.19,I,4,0,1,4,61,9
38.5,v7,11,7,5,4,61,9
39.0,IV,9,5,4,4,61,9
40.0,I,4,0,1,4,61,9
40.0,I,4,0,1,4,59,7
40.12,I,4,0,1,4,59,7
40.25,I,4,0,1,4,59,7
40.38,I,4,0,1,4,59,7
40.5,I,4,0,1,4,59,7
40.5,v7,11,7,5,4,59,7
40.62,v7,11,7,5,4,59,7
40.75,v7,11,7,5,4,59,7
40.88,v7,11,7,5,4,59,7
41.0,IV,9,5,4,4,59,7
41.12,IV,9,5,4,4,57,5
41.25,IV,9,5,4,4,56,4
41.38,IV,9,5,4,4,59,7
41.62,IV,9,5,4,4,59,7
41.75,IV,9,5,4,4,59,7
