Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
37.25,IV,3,5,4,10,62,4
37.38,IV,3,5,4,10,62,4
37.62,IV,3,5,4,10,62,4
37.88,IV,3,5,4,10,62,4
38.0,V,5,7,5,10,62,4
38.25,V,5,7,5,10,60,2
38.38,V,5,7,5,10,58,0
38.5,V,5,7,5,10,57,11
38.62,V,5,7,5,10,57,11
38.75,V,5,7,5,10,57,11
38.88,V,5,7,5,10,58,0
39.0,V,5,7,5,10,58,0
39.0,I,10,0,1,10,58,0
39.25,I,10,0,1,10,60,2
39.5,I,10,0,1,10,60,2
39.75,I,10,0,1,10,60,2
39.88,I,10,0,1,10,62,4
40.0,IV,3,5,4,10,62,4
40.0,IV,3,5,4,10,58,0
40.12,IV,3,5,4,10,57,11
40.38,IV,3,5,4,10,55,9
40.75,IV,3,5,4,10,58,0
40.88,IV,3,5,4,10,55,9
41.0,IV,3,5,4,10,58,0
41.12,IV,3,5,4,10,58,0
41.25,IV,3,5,4,10,58,0
41.38,IV,3,5,4,10,58,0
41.62,IV,3,5,4,10,58,0
41.75,IV,3,5,4,10,55,9
41.88,IV,3,5,4,10,58,0
42.0,V,5,7,5,10,58,0
42.0,V,5,7,5,10,58,0
42.12,V,5,7,5,10,60,2
42.25,V,5,7,5,10,58,0
42.38,V,5,7,5,10,62,4
43.0,I,10,0,1,10,62,4
43.0,I,10,0,1,10,57,11
43.12,I,10,0,1,10,57,11
43.25,I,10,0,1,10,57,11
43.38,I,10,0,1,10,57,11
43.62,I,10,0,1,10,57,11
43.75,I,10,0,1,10,55,9
43.88,I,10,0,1,10,57,11
44.0,IV,3,5,4,10,57,11
44.12,IV,3,5,4,10,58,0
44.25,IV,3,5,4,10,57,11
44.38,IV,3,5,4,10,55,9
45.25,IV,3,5,4,10,62,4
45.38,IV,3,5,4,10,62,4
45.62,IV,3,5,4,10,62,4
45.88,IV,3,5,4,10,62,4
46.0,V,5,7,5,10,62,4
46.25,V,5,7,5,10,65,7
46.31,V,5,7,5,10,63,5
46.5,V,5,7,5,10,62,4
46.56,V,5,7,5,10,60,2
46.88,V,5,7,5,10,57,11
47.0,V,5,7,5,10,60,2
47.0,I,10,0,1,10,60,2
47.12,I,10,0,1,10,58,0
47.25,I,10,0,1,10,60,2
47.38,I,10,0,1,10,58,0
47.5,I,10,0,1,10,60,2
47.75,I,10,0,1,10,62,4
48.0,I,10,0,1,10,58,0
48.0,IV,3,5,4,10,58,0
48.12,IV,3,5,4,10,57,11
48.38,IV,3,5,4,10,55,9
48.62,IV,3,5,4,10,55,9
48.75,IV,3,5,4,10,58,0
48.88,IV,3,5,4,10,55,9
49.0,IV,3,5,4,10,58,0
49.12,IV,3,5,4,10,58,0
49.25,IV,3,5,4,10,55,9
49.38,IV,3,5,4,10,58,0
49.62,IV,3,5,4,10,58,0
49.75,IV,3,5,4,10,55,9
49.88,IV,3,5,4,10,58,0
50.0,IV,3,5,4,10,58,0
50.0,V,5,7,5,10,58,0
50.12,V,5,7,5,10,60,2
50.25,V,5,7,5,10,60,2
50.38,V,5,7,5,10,62,4
50.88,V,5,7,5,10,57,11
51.0,V,5,7,5,10,57,11
51.0,I,10,0,1,10,57,11
51.12,I,10,0,1,10,57,11
51.38,I,10,0,1,10,57,11
51.62,I,10,0,1,10,55,9
51.88,I,10,0,1,10,57,11
52.0,IV,3,5,4,10,57,11
52.12,IV,3,5,4,10,58,0
52.25,IV,3,5,4,10,57,11
52.38,IV,3,5,4,10,55,9
54.0,V,5,7,5,10,55,9
55.0,I,10,0,1,10,55,9
56.0,IV,3,5,4,10,55,9
58.0,V,5,7,5,10,55,9
59.0,I,10,0,1,10,55,9
60.0,IV,3,5,4,10,55,9
61.0,IV,3,5,4,10,55,9
61.25,IV,3,5,4,10,57,11
61.5,IV,3,5,4,10,58,0
61.62,IV,3,5,4,10,60,2
61.88,IV,3,5,4,10,62,4
62.0,V,5,7,5,10,62,4
62.12,V,5,7,5,10,60,2
62.38,V,5,7,5,10,58,0
62.62,V,5,7,5,10,60,2
62.88,V,5,7,5,10,53,7
63.0,I,10,0,1,10,53,7
63.0,I,10,0,1,10,65,7
63.25,I,10,0,1,10,63,5
63.5,I,10,0,1,10,62,4
63.62,I,10,0,1,10,60,2
63.88,I,10,0,1,10,58,0
64.0,IV,3,5,4,10,58,0
64.12,IV,3,5,4,10,60,2
64.38,IV,3,5,4,10,55,9
64.88,IV,3,5,4,10,53,7
65.0,IV,3,5,4,10,55,9
65.25,IV,3,5,4,10,57,11
65.5,IV,3,5,4,10,58,0
65.62,IV,3,5,4,10,60,2
65.88,IV,3,5,4,10,62,4
66.0,V,5,7,5,10,62,4
66.12,V,5,7,5,10,60,2
66.38,V,5,7,5,10,58,0
66.62,V,5,7,5,10,57,11
66.88,V,5,7,5,10,53,7
67.0,I,10,0,1,10,53,7
67.25,I,10,0,1,10,65,7
67.38,I,10,0,1,10,63,5
67.5,I,10,0,1,10,62,4
67.62,I,10,0,1,10,60,2
67.88,I,10,0,1,10,58,0
68.0,IV,3,5,4,10,58,0
68.12,IV,3,5,4,10,60,2
68.38,IV,3,5,4,10,55,9
70.0,V,5,7,5,10,55,9
71.0,I,10,0,1,10,55,9
72.0,IV,3,5,4,10,55,9
74.0,V,5,7,5,10,55,9
75.0,I,10,0,1,10,55,9
76.0,IV,3,5,4,10,55,9
77.25,IV,3,5,4,10,62,4
77.38,IV,3,5,4,10,62,4
77.62,IV,3,5,4,10,62,4
77.88,IV,3,5,4,10,62,4
78.0,V,5,7,5,10,62,4
78.12,V,5,7,5,10,65,7
78.38,V,5,7,5,10,63,5
78.5,V,5,7,5,10,62,4
78.62,V,5,7,5,10,60,2
79.0,I,10,0,1,10,60,2
79.12,I,10,0,1,10,55,9
79.25,I,10,0,1,10,60,2
79.38,I,10,0,1,10,58,0
79.5,I,10,0,1,10,60,2
79.75,I,10,0,1,10,62,4
80.0,I,10,0,1,10,58,0
80.0,IV,3,5,4,10,58,0
80.12,IV,3,5,4,10,57,11
80.38,IV,3,5,4,10,55,9
80.62,IV,3,5,4,10,55,9
80.75,IV,3,5,4,10,58,0
80.88,IV,3,5,4,10,55,9
81.0,IV,3,5,4,10,58,0
81.12,IV,3,5,4,10,58,0
