Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
16.0,I,9,0,1,9,64,7
16.5,I,9,0,1,9,64,7
17.25,I,9,0,1,9,64,7
17.5,I,9,0,1,9,64,7
18.0,I,9,0,1,9,64,7
18.5,I,9,0,1,9,64,7
19.25,I,9,0,1,9,64,7
19.5,I,9,0,1,9,64,7
20.0,I,9,0,1,9,64,7
20.5,I,9,0,1,9,64,7
21.25,I,9,0,1,9,64,7
21.5,I,9,0,1,9,64,7
22.0,I,9,0,1,9,64,7
22.5,I,9,0,1,9,64,7
23.25,I,9,0,1,9,64,7
23.5,I,9,0,1,9,64,7
23.88,I,9,0,1,9,61,4
24.0,I,9,0,1,9,64,7
24.12,I,9,0,1,9,64,7
24.25,I,9,0,1,9,64,7
24.38,I,9,0,1,9,64,7
24.5,I,9,0,1,9,61,4
24.75,I,9,0,1,9,64,7
25.0,IV,2,5,4,9,64,7
25.5,V,4,7,5,9,64,7
25.88,V,4,7,5,9,61,4
26.0,V,4,7,5,9,64,7
26.0,I,9,0,1,9,64,7
26.12,I,9,0,1,9,64,7
26.25,I,9,0,1,9,64,7
26.38,I,9,0,1,9,64,7
26.5,I,9,0,1,9,61,4
26.75,I,9,0,1,9,64,7
27.0,IV,2,5,4,9,64,7
27.5,V,4,7,5,9,64,7
27.88,V,4,7,5,9,61,4
28.0,I,9,0,1,9,61,4
28.0,I,9,0,1,9,64,7
28.12,I,9,0,1,9,64,7
28.25,I,9,0,1,9,64,7
28.38,I,9,0,1,9,61,4
28.5,I,9,0,1,9,61,4
28.75,I,9,0,1,9,57,0
29.0,IV,2,5,4,9,57,0
29.5,IV,2,5,4,9,64,7
29.5,V,4,7,5,9,64,7
29.75,V,4,7,5,9,64,7
30.0,V,4,7,5,9,61,4
30.0,I,9,0,1,9,61,4
30.5,IV,2,5,4,9,61,4
31.0,I,9,0,1,9,61,4
31.88,I,9,0,1,9,61,4
32.0,I,9,0,1,9,64,7
32.12,I,9,0,1,9,64,7
32.25,I,9,0,1,9,64,7
32.38,I,9,0,1,9,64,7
32.5,I,9,0,1,9,61,4
32.75,I,9,0,1,9,64,7
33.0,IV,2,5,4,9,64,7
33.5,V,4,7,5,9,64,7
33.88,V,4,7,5,9,61,4
34.0,I,9,0,1,9,61,4
34.0,I,9,0,1,9,64,7
34.12,I,9,0,1,9,64,7
34.25,I,9,0,1,9,64,7
34.5,I,9,0,1,9,61,4
34.75,I,9,0,1,9,64,7
35.0,IV,2,5,4,9,64,7
35.5,V,4,7,5,9,64,7
35.88,V,4,7,5,9,61,4
36.0,I,9,0,1,9,61,4
36.0,I,9,0,1,9,64,7
36.25,I,9,0,1,9,64,7
36.38,I,9,0,1,9,61,4
36.5,I,9,0,1,9,61,4
36.75,I,9,0,1,9,57,0
37.0,IV,2,5,4,9,57,0
37.5,IV,2,5,4,9,64,7
37.5,V,4,7,5,9,64,7
37.75,V,4,7,5,9,64,7
38.0,V,4,7,5,9,61,4
38.0,I,9,0,1,9,61,4
38.5,IV,2,5,4,9,61,4
39.0,I,9,0,1,9,61,4
40.0,IV,2,5,4,9,61,4
40.0,IV,2,5,4,9,62,5
40.5,IV,2,5,4,9,62,5
41.25,IV,2,5,4,9,62,5
41.5,IV,2,5,4,9,62,5
41.88,IV,2,5,4,9,61,4
42.0,IV,2,5,4,9,64,7
42.0,I,9,0,1,9,64,7
42.12,I,9,0,1,9,64,7
42.25,I,9,0,1,9,64,7
42.38,I,9,0,1,9,62,5
42.5,I,9,0,1,9,61,4
42.75,I,9,0,1,9,57,0
43.0,IV,2,5,4,9,57,0
43.5,I,9,0,1,9,57,0
44.0,I,9,0,1,9,62,5
44.0,IV,2,5,4,9,62,5
44.25,IV,2,5,4,9,62,5
44.5,IV,2,5,4,9,62,5
45.0,IV,2,5,4,9,62,5
45.12,IV,2,5,4,9,62,5
45.38,IV,2,5,4,9,62,5
45.88,IV,2,5,4,9,59,2
46.0,IV,2,5,4,9,59,2
46.0,II,11,2,2,9,59,2
46.25,II,11,2,2,9,59,2
46.5,II,11,2,2,9,59,2
46.75,II,11,2,2,9,59,2
47.0,IV,2,5,4,9,59,2
47.0,IV,2,5,4,9,62,5
47.12,IV,2,5,4,9,62,5
47.25,IV,2,5,4,9,62,5
47.38,IV,2,5,4,9,64,7
47.5,V,4,7,5,9,64,7
47.88,V,4,7,5,9,61,4
48.0,I,9,0,1,9,61,4
48.0,I,9,0,1,9,64,7
48.12,I,9,0,1,9,64,7
48.25,I,9,0,1,9,64,7
48.38,I,9,0,1,9,61,4
48.5,I,9,0,1,9,61,4
48.75,I,9,0,1,9,64,7
49.0,IV,2,5,4,9,64,7
49.5,V,4,7,5,9,64,7
49.88,V,4,7,5,9,61,4
50.0,I,9,0,1,9,61,4
50.0,I,9,0,1,9,64,7
50.12,I,9,0,1,9,64,7
50.25,I,9,0,1,9,64,7
50.38,I,9,0,1,9,61,4
50.5,I,9,0,1,9,61,4
50.75,I,9,0,1,9,64,7
51.0,IV,2,5,4,9,64,7
51.5,V,4,7,5,9,64,7
51.88,V,4,7,5,9,61,4
52.0,I,9,0,1,9,61,4
52.0,I,9,0,1,9,64,7
52.12,I,9,0,1,9,64,7
52.25,I,9,0,1,9,64,7
52.38,I,9,0,1,9,62,5
52.5,I,9,0,1,9,61,4
52.75,I,9,0,1,9,57,0
53.0,IV,2,5,4,9,57,0
53.38,IV,2,5,4,9,59,2
53.5,IV,2,5,4,9,64,7
53.5,V,4,7,5,9,64,7
53.75,V,4,7,5,9,64,7
54.0,I,9,0,1,9,64,7
54.0,I,9,0,1,9,61,4
54.5,IV,2,5,4,9,61,4
55.0,I,9,0,1,9,61,4
55.88,I,9,0,1,9,61,4
56.0,I,9,0,1,9,64,7
56.12,I,9,0,1,9,64,7
56.25,I,9,0,1,9,64,7
56.38,I,9,0,1,9,61,4
56.5,I,9,0,1,9,61,4
56.75,I,9,0,1,9,64,7
57.0,IV,2,5,4,9,64,7
57.5,V,4,7,5,9,64,7
57.88,V,4,7,5,9,61,4
58.0,I,9,0,1,9,61,4
58.0,I,9,0,1,9,64,7
58.12,I,9,0,1,9,64,7
58.25,I,9,0,1,9,64,7
58.5,I,9,0,1,9,61,4
58.75,I,9,0,1,9,64,7
59.0,IV,2,5,4,9,64,7
59.5,V,4,7,5,9,64,7
59.88,V,4,7,5,9,61,4
60.0,V,4,7,5,9,64,7
60.0,I,9,0,1,9,64,7
60.25,I,9,0,1,9,64,7
60.38,I,9,0,1,9,61,4
60.5,I,9,0,1,9,61,4
60.75,I,9,0,1,9,57,0
61.0,IV,2,5,4,9,57,0
61.5,V,4,7,5,9,57,0
61.5,V,4,7,5,9,64,7
61.75,V,4,7,5,9,64,7
62.0,V,4,7,5,9,61,4
62.0,I,9,0,1,9,61,4
62.5,IV,2,5,4,9,61,4
63.0,I,9,0,1,9,61,4
64.0,IV,2,5,4,9,61,4
64.0,IV,2,5,4,9,62,5
64.5,IV,2,5,4,9,62,5
65.25,IV,2,5,4,9,62,5
65.5,IV,2,5,4,9,62,5
66.0,IV,2,5,4,9,64,7
66.0,I,9,0,1,9,64,7
66.12,I,9,0,1,9,64,7
66.25,I,9,0,1,9,64,7
66.38,I,9,0,1,9,62,5
66.5,I,9,0,1,9,61,4
66.75,I,9,0,1,9,57,0
67.0,IV,2,5,4,9,57,0
67.5,I,9,0,1,9,57,0
68.0,IV,2,5,4,9,57,0
68.0,IV,2,5,4,9,62,5
68.25,IV,2,5,4,9,62,5
68.5,IV,2,5,4,9,62,5
69.0,IV,2,5,4,9,62,5
69.12,IV,2,5,4,9,62,5
69.38,IV,2,5,4,9,62,5
69.88,IV,2,5,4,9,59,2
70.0,IV,2,5,4,9,59,2
70.0,II,11,2,2,9,59,2
70.25,II,11,2,2,9,59,2
70.5,II,11,2,2,9,59,2
70.75,II,11,2,2,9,59,2
71.0,II,11,2,2,9,62,5
71.0,IV,2,5,4,9,62,5
