Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
1.0,I,9,0,1,9,55,10
1.0,I,9,0,1,9,57,0
1.25,I,9,0,1,9,57,0
1.42,I,9,0,1,9,57,0
1.5,I,9,0,1,9,60,3
1.67,I,9,0,1,9,60,3
3.0,I,9,0,1,9,57,0
3.25,I,9,0,1,9,57,0
3.42,I,9,0,1,9,57,0
3.5,I,9,0,1,9,60,3
5.0,I,9,0,1,9,57,0
5.17,I,9,0,1,9,57,0
5.25,I,9,0,1,9,57,0
5.42,I,9,0,1,9,57,0
5.5,I,9,0,1,9,61,4
5.67,I,9,0,1,9,61,4
5.75,I,9,0,1,9,64,7
6.0,I,9,0,1,9,67,10
6.25,I,9,0,1,9,64,7
6.5,I,9,0,1,9,60,3
6.75,I,9,0,1,9,57,0
6.92,I,9,0,1,9,60,3
7.0,I,9,0,1,9,57,0
7.0,IV,2,5,4,9,57,0
7.17,IV,2,5,4,9,60,3
8.0,IV,2,5,4,9,64,7
8.17,IV,2,5,4,9,64,7
8.33,IV,2,5,4,9,62,5
8.5,IV,2,5,4,9,60,3
8.75,IV,2,5,4,9,57,0
9.0,I,9,0,1,9,57,0
9.0,I,9,0,1,9,57,0
10.67,I,9,0,1,9,64,7
10.92,I,9,0,1,9,62,5
11.0,I,9,0,1,9,64,7
11.0,V,4,7,5,9,64,7
11.17,V,4,7,5,9,64,7
11.25,V,4,7,5,9,64,7
11.42,V,4,7,5,9,64,7
11.67,V,4,7,5,9,52,7
11.75,V,4,7,5,9,54,9
11.92,V,4,7,5,9,57,0
12.17,V,4,7,5,9,57,0
12.25,V,4,7,5,9,59,2
12.42,V,4,7,5,9,57,0
12.5,V,4,7,5,9,61,4
12.75,V,4,7,5,9,57,0
13.0,V,4,7,5,9,57,0
13.0,I,9,0,1,9,57,0
14.67,I,9,0,1,9,52,7
14.75,I,9,0,1,9,54,9
14.92,I,9,0,1,9,52,7
15.0,I,9,0,1,9,57,0
15.25,I,9,0,1,9,57,0
15.42,I,9,0,1,9,59,2
15.67,I,9,0,1,9,60,3
16.0,I,9,0,1,9,57,0
16.17,I,9,0,1,9,57,0
16.25,I,9,0,1,9,57,0
16.42,I,9,0,1,9,52,7
17.0,I,9,0,1,9,57,0
17.17,I,9,0,1,9,54,9
17.25,I,9,0,1,9,57,0
17.5,I,9,0,1,9,60,3
17.75,I,9,0,1,9,57,0
17.92,I,9,0,1,9,54,9
18.0,I,9,0,1,9,57,0
18.17,I,9,0,1,9,57,0
18.25,I,9,0,1,9,57,0
18.42,I,9,0,1,9,54,9
18.92,I,9,0,1,9,54,9
19.0,I,9,0,1,9,57,0
19.17,I,9,0,1,9,57,0
19.25,I,9,0,1,9,57,0
19.42,I,9,0,1,9,60,3
19.75,I,9,0,1,9,52,7
19.92,I,9,0,1,9,52,7
20.0,I,9,0,1,9,57,0
20.25,I,9,0,1,9,57,0
20.42,I,9,0,1,9,60,3
20.92,I,9,0,1,9,57,0
21.0,I,9,0,1,9,57,0
21.25,I,9,0,1,9,57,0
21.5,I,9,0,1,9,61,4
21.67,I,9,0,1,9,61,4
21.75,I,9,0,1,9,64,7
21.92,I,9,0,1,9,67,10
22.17,I,9,0,1,9,64,7
22.25,I,9,0,1,9,62,5
22.5,I,9,0,1,9,60,3
22.75,I,9,0,1,9,57,0
22.92,I,9,0,1,9,60,3
23.0,I,9,0,1,9,57,0
23.0,IV,2,5,4,9,57,0
23.17,IV,2,5,4,9,60,3
