Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
3.25,I,11,0,1,11,47,0
3.5,I,11,0,1,11,51,4
3.75,I,11,0,1,11,54,7
3.92,I,11,0,1,11,59,0
4.0,IV,4,5,4,11,59,0
4.0,IV,4,5,4,11,56,9
5.17,IV,4,5,4,11,56,9
5.58,IV,4,5,4,11,52,5
5.67,IV,4,5,4,11,47,0
5.75,IV,4,5,4,11,56,9
5.92,IV,4,5,4,11,54,7
6.0,I,11,0,1,11,54,7
6.0,I,11,0,1,11,56,9
6.08,I,11,0,1,11,54,7
7.25,I,11,0,1,11,56,9
7.5,I,11,0,1,11,56,9
7.67,I,11,0,1,11,54,7
7.75,I,11,0,1,11,51,4
7.92,I,11,0,1,11,51,4
8.0,V7,6,7,5,11,51,4
8.0,V7,6,7,5,11,49,2
9.25,V7,6,7,5,11,56,9
9.42,V7,6,7,5,11,56,9
9.75,V7,6,7,5,11,56,9
9.92,V7,6,7,5,11,56,9
10.0,I,11,0,1,11,56,9
10.0,I,11,0,1,11,54,7
10.5,IV,4,5,4,11,54,7
11.0,I,11,0,1,11,54,7
11.25,I,11,0,1,11,47,0
11.5,I,11,0,1,11,51,4
11.75,I,11,0,1,11,54,7
11.92,I,11,0,1,11,59,0
12.0,IV,4,5,4,11,59,0
12.0,IV,4,5,4,11,56,9
13.17,IV,4,5,4,11,56,9
13.58,IV,4,5,4,11,52,5
13.67,IV,4,5,4,11,47,0
13.75,IV,4,5,4,11,56,9
13.92,IV,4,5,4,11,54,7
14.0,I,11,0,1,11,54,7
14.0,I,11,0,1,11,56,9
14.08,I,11,0,1,11,54,7
15.25,I,11,0,1,11,56,9
15.5,I,11,0,1,11,56,9
15.67,I,11,0,1,11,54,7
15.75,I,11,0,1,11,51,4
15.92,I,11,0,1,11,51,4
16.0,I,11,0,1,11,49,2
16.0,V7,6,7,5,11,49,2
17.25,V7,6,7,5,11,56,9
17.5,V7,6,7,5,11,56,9
17.67,V7,6,7,5,11,54,7
17.75,V7,6,7,5,11,50,3
17.92,V7,6,7,5,11,49,2
18.0,V7,6,7,5,11,47,0
18.0,I,11,0,1,11,47,0
18.5,IV,4,5,4,11,47,0
19.0,I,11,0,1,11,47,0
19.25,I,11,0,1,11,54,7
19.5,I,11,0,1,11,49,2
19.67,I,11,0,1,11,51,4
19.83,I,11,0,1,11,52,5
20.0,I,11,0,1,11,54,7
20.42,I,11,0,1,11,54,7
20.5,I,11,0,1,11,54,7
21.0,ii7,1,2,2,11,54,7
21.25,ii7,1,2,2,11,54,7
21.5,ii7,1,2,2,11,49,2
21.5,V,6,7,5,11,49,2
21.67,V,6,7,5,11,51,4
21.83,V,6,7,5,11,52,5
22.0,V,6,7,5,11,54,7
22.0,I,11,0,1,11,54,7
23.25,I,11,0,1,11,54,7
23.5,V7/iii,10,11,7,11,54,7
23.5,V7/iii,10,11,7,11,53,6
23.67,V7/iii,10,11,7,11,54,7
23.83,V7/iii,10,11,7,11,56,9
24.0,iii,3,4,3,11,56,9
24.0,iii,3,4,3,11,58,11
24.42,iii,3,4,3,11,58,11
24.5,V7/iii,10,11,7,11,58,11
24.5,V7/iii,10,11,7,11,58,11
25.0,iii,3,4,3,11,58,11
25.25,iii,3,4,3,11,58,11
25.5,iii,3,4,3,11,53,6
25.5,V7/iii,10,11,7,11,53,6
25.67,V7/iii,10,11,7,11,54,7
25.83,V7/iii,10,11,7,11,56,9
25.92,V7/iii,10,11,7,11,58,11
26.0,iii,3,4,3,11,58,11
27.0,V7,6,7,5,11,58,11
27.25,V7,6,7,5,11,47,0
27.5,V7/IV,11,0,1,11,47,0
27.5,V7/IV,11,0,1,11,51,4
27.75,V7/IV,11,0,1,11,54,7
27.92,V7/IV,11,0,1,11,59,0
28.0,V7/IV,11,0,1,11,56,9
28.0,IV,4,5,4,11,56,9
29.17,IV,4,5,4,11,56,9
29.58,IV,4,5,4,11,52,5
29.67,IV,4,5,4,11,47,0
29.75,IV,4,5,4,11,56,9
29.92,IV,4,5,4,11,54,7
30.0,IV,4,5,4,11,56,9
30.0,I,11,0,1,11,56,9
30.08,I,11,0,1,11,54,7
31.25,I,11,0,1,11,56,9
31.5,I,11,0,1,11,56,9
31.67,I,11,0,1,11,54,7
31.75,I,11,0,1,11,51,4
31.92,I,11,0,1,11,51,4
32.0,I,11,0,1,11,49,2
32.0,V7,6,7,5,11,49,2
33.25,V7,6,7,5,11,56,9
33.5,V7,6,7,5,11,56,9
33.67,V7,6,7,5,11,54,7
33.75,V7,6,7,5,11,50,3
33.92,V7,6,7,5,11,50,3
34.0,V7,6,7,5,11,47,0
34.0,I,11,0,1,11,47,0
34.5,IV,4,5,4,11,47,0
35.0,I,11,0,1,11,47,0
35.33,I,11,0,1,11,54,7
35.5,I,11,0,1,11,49,2
35.67,I,11,0,1,11,51,4
35.83,I,11,0,1,11,52,5
36.0,I,11,0,1,11,54,7
36.42,I,11,0,1,11,54,7
36.5,I,11,0,1,11,54,7
37.0,ii7,1,2,2,11,54,7
37.33,ii7,1,2,2,11,54,7
37.5,ii7,1,2,2,11,49,2
37.5,V,6,7,5,11,49,2
37.67,V,6,7,5,11,51,4
37.83,V,6,7,5,11,52,5
38.0,I,11,0,1,11,52,5
38.0,I,11,0,1,11,54,7
39.25,I,11,0,1,11,54,7
39.5,V7/iii,10,11,7,11,54,7
39.5,V7/iii,10,11,7,11,53,6
39.67,V7/iii,10,11,7,11,54,7
39.83,V7/iii,10,11,7,11,56,9
40.0,V7/iii,10,11,7,11,58,11
40.0,iii,3,4,3,11,58,11
40.42,iii,3,4,3,11,58,11
40.5,iii,3,4,3,11,58,11
40.5,V7/iii,10,11,7,11,58,11
41.0,iii,3,4,3,11,58,11
41.42,iii,3,4,3,11,54,7
41.5,iii,3,4,3,11,53,6
41.5,V7/iii,10,11,7,11,53,6
41.67,V7/iii,10,11,7,11,54,7
41.83,V7/iii,10,11,7,11,56,9
41.92,V7/iii,10,11,7,11,58,11
42.0,iii,3,4,3,11,58,11
43.0,V7,6,7,5,11,58,11
43.25,V7,6,7,5,11,47,0
43.5,V7,6,7,5,11,51,4
43.5,V7/IV,11,0,1,11,51,4
43.75,V7/IV,11,0,1,11,54,7
43.92,V7/IV,11,0,1,11,59,0
44.0,V7/IV,11,0,1,11,56,9
44.0,IV,4,5,4,11,56,9
45.17,IV,4,5,4,11,56,9
45.58,IV,4,5,4,11,52,5
45.67,IV,4,5,4,11,47,0
45.75,IV,4,5,4,11,56,9
45.92,IV,4,5,4,11,54,7
46.0,IV,4,5,4,11,56,9
46.0,I,11,0,1,11,56,9
46.08,I,11,0,1,11,54,7
47.25,I,11,0,1,11,56,9
47.5,I,11,0,1,11,56,9
47.67,I,11,0,1,11,54,7
47.75,I,11,0,1,11,51,4
47.92,I,11,0,1,11,51,4
48.0,V7,6,7,5,11,51,4
48.0,V7,6,7,5,11,49,2
49.25,V7,6,7,5,11,56,9
49.5,V7,6,7,5,11,56,9
49.67,V7,6,7,5,11,54,7
49.75,V7,6,7,5,11,50,3
49.92,V7,6,7,5,11,50,3
50.0,V7,6,7,5,11,47,0
50.0,I,11,0,1,11,47,0
50.5,IV,4,5,4,11,47,0
51.0,I,11,0,1,11,47,0
52.0,End,11,0,1,11,47,0
