Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
4.0,I,7,0,1,7,59,4
4.06,I,7,0,1,7,59,4
4.12,I,7,0,1,7,59,4
4.19,I,7,0,1,7,59,4
4.25,I,7,0,1,7,62,7
4.38,I,7,0,1,7,59,4
4.44,I,7,0,1,7,59,4
4.5,I,7,0,1,7,55,0
4.62,I,7,0,1,7,55,0
4.69,I,7,0,1,7,55,0
4.81,I,7,0,1,7,57,2
4.88,I,7,0,1,7,59,4
6.0,I,7,0,1,7,59,4
6.12,I,7,0,1,7,58,3
6.25,I,7,0,1,7,57,2
6.38,I,7,0,1,7,55,0
6.44,I,7,0,1,7,55,0
6.56,I,7,0,1,7,55,0
6.75,I,7,0,1,7,52,9
6.88,I,7,0,1,7,50,7
8.0,I,7,0,1,7,55,0
8.06,I,7,0,1,7,55,0
8.19,I,7,0,1,7,55,0
8.25,I,7,0,1,7,55,0
8.31,I,7,0,1,7,55,0
8.38,I,7,0,1,7,55,0
8.44,I,7,0,1,7,55,0
8.5,I,7,0,1,7,50,7
8.56,I,7,0,1,7,52,9
8.62,I,7,0,1,7,55,0
8.69,I,7,0,1,7,55,0
10.0,I,7,0,1,7,59,4
10.12,I,7,0,1,7,59,4
10.25,I,7,0,1,7,62,7
10.38,I,7,0,1,7,59,4
10.44,I,7,0,1,7,57,2
10.56,I,7,0,1,7,55,0
10.75,I,7,0,1,7,59,4
11.94,I,7,0,1,7,57,2
12.06,I,7,0,1,7,55,0
12.12,I,7,0,1,7,55,0
12.25,I,7,0,1,7,55,0
12.38,I,7,0,1,7,50,7
12.44,I,7,0,1,7,50,7
12.56,I,7,0,1,7,52,9
12.62,I,7,0,1,7,55,0
12.75,I,7,0,1,7,55,0
16.5,bVII,5,10,7,7,55,0
17.0,I,7,0,1,7,55,0
17.5,bVII,5,10,7,7,55,0
18.0,I,7,0,1,7,55,0
20.94,I,7,0,1,7,59,4
21.06,I,7,0,1,7,59,4
21.19,I,7,0,1,7,59,4
21.25,I,7,0,1,7,62,7
21.38,I,7,0,1,7,59,4
21.5,I,7,0,1,7,57,2
21.62,I,7,0,1,7,55,0
21.69,I,7,0,1,7,55,0
21.81,I,7,0,1,7,57,2
21.88,I,7,0,1,7,59,4
22.94,I,7,0,1,7,55,0
23.0,I,7,0,1,7,59,4
23.06,I,7,0,1,7,59,4
23.12,I,7,0,1,7,59,4
23.19,I,7,0,1,7,59,4
23.25,I,7,0,1,7,57,2
23.31,I,7,0,1,7,57,2
23.38,I,7,0,1,7,55,0
23.5,I,7,0,1,7,55,0
23.62,I,7,0,1,7,55,0
23.69,I,7,0,1,7,52,9
25.0,I,7,0,1,7,59,4
25.12,I,7,0,1,7,59,4
25.19,I,7,0,1,7,59,4
25.25,I,7,0,1,7,62,7
25.38,I,7,0,1,7,59,4
25.5,I,7,0,1,7,57,2
25.62,I,7,0,1,7,55,0
25.69,I,7,0,1,7,55,0
26.94,I,7,0,1,7,55,0
27.0,I,7,0,1,7,59,4
27.06,I,7,0,1,7,59,4
27.12,I,7,0,1,7,59,4
27.19,I,7,0,1,7,59,4
27.25,I,7,0,1,7,57,2
27.31,I,7,0,1,7,57,2
27.38,I,7,0,1,7,55,0
27.5,I,7,0,1,7,55,0
27.62,I,7,0,1,7,55,0
27.69,I,7,0,1,7,52,9
33.0,IV,0,5,4,7,52,9
33.5,bVI,3,8,6,7,52,9
33.75,IV,0,5,4,7,52,9
34.0,I,7,0,1,7,52,9
35.0,IV,0,5,4,7,52,9
35.5,V,2,7,5,7,52,9
35.75,IV,0,5,4,7,52,9
36.0,I,7,0,1,7,52,9
40.5,bVII,5,10,7,7,52,9
41.0,I,7,0,1,7,52,9
42.5,bVII,5,10,7,7,52,9
43.0,I,7,0,1,7,52,9
44.94,I,7,0,1,7,58,3
45.06,I,7,0,1,7,58,3
45.12,I,7,0,1,7,58,3
45.19,I,7,0,1,7,58,3
45.25,I,7,0,1,7,57,2
45.31,I,7,0,1,7,55,0
45.44,I,7,0,1,7,52,9
45.5,I,7,0,1,7,55,0
45.62,I,7,0,1,7,55,0
45.75,I,7,0,1,7,55,0
45.81,I,7,0,1,7,57,2
45.88,I,7,0,1,7,59,4
46.94,I,7,0,1,7,55,0
47.0,I,7,0,1,7,58,3
47.12,I,7,0,1,7,58,3
47.25,I,7,0,1,7,57,2
47.31,I,7,0,1,7,55,0
47.38,I,7,0,1,7,55,0
47.44,I,7,0,1,7,55,0
47.5,I,7,0,1,7,55,0
47.62,I,7,0,1,7,55,0
47.69,I,7,0,1,7,55,0
50.0,I,7,0,1,7,59,4
50.06,I,7,0,1,7,59,4
50.12,I,7,0,1,7,59,4
50.25,I,7,0,1,7,57,2
50.31,I,7,0,1,7,55,0
50.44,I,7,0,1,7,52,9
50.5,I,7,0,1,7,55,0
50.62,I,7,0,1,7,55,0
50.69,I,7,0,1,7,55,0
50.81,I,7,0,1,7,57,2
50.88,I,7,0,1,7,59,4
52.0,I,7,0,1,7,58,3
52.12,I,7,0,1,7,55,0
52.25,I,7,0,1,7,55,0
52.38,I,7,0,1,7,55,0
52.5,I,7,0,1,7,52,9
52.62,I,7,0,1,7,55,0
52.69,I,7,0,1,7,55,0
54.0,I,7,0,1,7,59,4
54.06,I,7,0,1,7,59,4
54.19,I,7,0,1,7,59,4
54.25,I,7,0,1,7,62,7
54.38,I,7,0,1,7,59,4
54.44,I,7,0,1,7,59,4
54.5,I,7,0,1,7,57,2
54.62,I,7,0,1,7,55,0
54.69,I,7,0,1,7,55,0
54.81,I,7,0,1,7,50,7
54.88,I,7,0,1,7,52,9
55.94,I,7,0,1,7,57,2
56.0,I,7,0,1,7,59,4
56.06,I,7,0,1,7,57,2
56.19,I,7,0,1,7,57,2
56.25,I,7,0,1,7,59,4
56.31,I,7,0,1,7,55,0
56.38,I,7,0,1,7,55,0
56.5,I,7,0,1,7,55,0
56.56,I,7,0,1,7,55,0
56.69,I,7,0,1,7,55,0
62.5,bVII,5,10,7,7,55,0
63.0,I,7,0,1,7,55,0
64.5,bVII,5,10,7,7,55,0
65.0,I,7,0,1,7,55,0
71.0,End,7,0,1,7,55,0
