Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
0.0,vi7,7,9,6,10,65,7
0.12,vi7,7,9,6,10,65,7
0.25,vi7,7,9,6,10,65,7
0.38,vi7,7,9,6,10,65,7
0.62,vi7,7,9,6,10,65,7
1.0,V7/V,0,2,2,10,65,7
1.0,V7/V,0,2,2,10,64,6
1.12,V7/V,0,2,2,10,64,6
1.25,V7/V,0,2,2,10,65,7
1.38,V7/V,0,2,2,10,64,6
1.5,V7/V,0,2,2,10,62,4
1.56,V7/V,0,2,2,10,60,2
2.0,V7,5,7,5,10,60,2
2.0,V7,5,7,5,10,63,5
2.12,V7,5,7,5,10,63,5
2.25,V7,5,7,5,10,63,5
2.38,V7,5,7,5,10,63,5
2.62,V7,5,7,5,10,53,7
2.75,V7,5,7,5,10,53,7
2.88,V7,5,7,5,10,53,7
3.0,V7,5,7,5,10,62,4
3.0,I,10,0,1,10,62,4
3.12,I,10,0,1,10,62,4
3.25,I,10,0,1,10,63,5
3.38,I,10,0,1,10,62,4
3.5,I,10,0,1,10,60,2
3.62,I,10,0,1,10,58,0
4.0,I,10,0,1,10,62,4
4.0,vi,7,9,6,10,62,4
4.12,vi,7,9,6,10,62,4
4.25,vi,7,9,6,10,62,4
4.38,vi,7,9,6,10,62,4
4.88,vi,7,9,6,10,62,4
5.0,V7,10,7,5,3,62,4
5.0,V7,10,7,5,3,62,11
5.12,V7,10,7,5,3,62,11
5.25,V7,10,7,5,3,63,0
5.38,V7,10,7,5,3,63,0
5.44,V7,10,7,5,3,65,2
5.62,V7,10,7,5,3,58,7
5.88,V7,10,7,5,3,67,4
6.0,I,3,0,1,3,67,4
7.0,I,3,0,1,3,67,4
7.0,ii/V,0,9,6,3,67,4
7.12,ii/V,0,9,6,3,67,4
7.25,ii/V,0,9,6,3,67,4
7.38,ii/V,0,9,6,3,65,2
7.44,ii/V,0,9,6,3,67,4
7.62,ii/V,0,9,6,3,65,2
7.69,ii/V,0,9,6,3,67,4
8.0,ii/V,0,9,6,3,65,2
8.0,V/V,5,2,2,3,65,2
8.12,V/V,5,2,2,3,65,2
8.25,V/V,5,2,2,3,67,4
8.38,V/V,5,2,2,3,65,2
8.5,V/V,5,2,2,3,63,0
8.56,V/V,5,2,2,3,60,9
8.62,V/V,5,2,2,3,55,4
8.75,V/V,5,2,2,3,56,5
8.88,V/V,5,2,2,3,58,7
9.0,V/V,5,2,2,3,63,0
9.0,bVI,11,8,6,3,63,0
9.12,bVI,11,8,6,3,63,0
9.25,bVI,11,8,6,3,62,11
9.25,V,10,7,5,3,62,11
9.5,#IV,9,6,4,3,62,11
9.5,#IV,9,6,4,3,61,10
9.62,#IV,9,6,4,3,61,10
9.75,V,10,7,5,3,61,10
9.75,V,10,7,5,3,62,11
10.0,V,10,7,5,3,63,0
10.0,bVI,11,8,6,3,63,0
10.12,bVI,11,8,6,3,63,0
10.25,bVI,11,8,6,3,62,11
10.25,V,10,7,5,3,62,11
10.5,V,10,7,5,3,61,10
10.5,#IV,9,6,4,3,61,10
10.62,#IV,9,6,4,3,61,10
10.75,#IV,9,6,4,3,62,11
10.75,V,10,7,5,3,62,11
11.0,IV,3,5,4,10,62,11
11.0,IV,3,5,4,10,67,9
11.12,IV,3,5,4,10,67,9
11.25,IV,3,5,4,10,67,9
11.38,IV,3,5,4,10,67,9
11.5,I6,10,0,1,10,67,9
11.5,I6,10,0,1,10,65,7
11.75,I6,10,0,1,10,70,0
12.0,viix42/V,4,6,4,10,70,0
12.0,viix42/V,4,6,4,10,64,6
12.12,viix42/V,4,6,4,10,64,6
12.25,viix42/V,4,6,4,10,64,6
12.38,viix42/V,4,6,4,10,65,7
12.5,V64,5,7,5,10,65,7
12.5,V64,5,7,5,10,65,7
12.62,V64,5,7,5,10,53,7
12.75,V64,5,7,5,10,53,7
12.88,V64,5,7,5,10,57,11
13.0,V64,5,7,5,10,60,2
13.75,V64,5,7,5,10,57,11
13.88,V64,5,7,5,10,58,0
14.0,V64,5,7,5,10,58,0
14.0,I,10,0,1,10,58,0
16.0,I,10,0,1,10,62,4
16.09,I,10,0,1,10,60,2
16.12,I,10,0,1,10,62,4
16.88,I,10,0,1,10,58,0
17.0,vi,7,9,6,10,58,0
17.0,vi,7,9,6,10,60,2
17.12,vi,7,9,6,10,62,4
17.19,vi,7,9,6,10,62,4
17.88,vi,7,9,6,10,62,4
17.94,vi,7,9,6,10,62,4
18.0,vi,7,9,6,10,63,5
18.0,ii,0,2,2,10,63,5
18.06,ii,0,2,2,10,65,7
18.19,ii,0,2,2,10,63,5
18.31,ii,0,2,2,10,62,4
18.44,ii,0,2,2,10,60,2
18.75,ii,0,2,2,10,60,2
18.88,ii,0,2,2,10,62,4
19.0,ii,0,2,2,10,63,5
19.06,ii,0,2,2,10,65,7
19.19,ii,0,2,2,10,63,5
19.31,ii,0,2,2,10,62,4
19.44,ii,0,2,2,10,60,2
19.5,V,5,7,5,10,60,2
20.0,V,5,7,5,10,62,4
20.0,I,10,0,1,10,62,4
20.09,I,10,0,1,10,60,2
20.12,I,10,0,1,10,62,4
20.75,I,10,0,1,10,62,4
20.88,I,10,0,1,10,65,7
21.0,I,10,0,1,10,69,11
21.0,vi,7,9,6,10,69,11
21.19,vi,7,9,6,10,67,9
21.25,vi,7,9,6,10,67,9
21.88,vi,7,9,6,10,67,9
22.0,vi,7,9,6,10,70,0
22.0,ii,0,2,2,10,70,0
22.12,ii,0,2,2,10,70,0
22.25,ii,0,2,2,10,70,0
22.38,ii,0,2,2,10,70,0
22.5,ii,0,2,2,10,70,0
22.69,ii,0,2,2,10,67,9
22.75,ii,0,2,2,10,63,5
22.81,ii,0,2,2,10,62,4
23.0,viih7,9,11,7,10,62,4
23.06,viih7,9,11,7,10,60,2
23.12,viih7,9,11,7,10,60,2
23.75,ii64,0,2,2,10,60,2
24.0,ii64,0,2,2,10,67,4
24.0,I,3,0,1,3,67,4
24.09,I,3,0,1,3,65,2
24.12,I,3,0,1,3,67,4
24.75,V65,10,7,5,3,67,4
24.75,V65,10,7,5,3,65,2
24.88,V65,10,7,5,3,67,4
24.94,V65,10,7,5,3,68,5
25.0,V65,10,7,5,3,67,4
25.0,vi,0,9,6,3,67,4
25.88,vi,0,9,6,3,67,4
25.94,vi,0,9,6,3,67,4
26.0,ii,5,2,2,3,67,4
26.0,ii,5,2,2,3,68,5
26.19,ii,5,2,2,3,67,4
26.25,ii,5,2,2,3,67,4
26.38,ii,5,2,2,3,65,2
26.5,ii,5,2,2,3,65,2
26.75,viih7,2,11,7,3,65,2
26.94,viih7,2,11,7,3,58,7
27.0,viih7,2,11,7,3,58,7
27.0,V,10,7,5,3,58,7
27.12,V,10,7,5,3,65,2
27.25,V,10,7,5,3,65,2
27.38,V,10,7,5,3,67,4
27.44,V,10,7,5,3,67,4
27.62,V,10,7,5,3,68,5
27.75,V,10,7,5,3,68,5
27.88,V,10,7,5,3,70,7
28.0,I,3,0,1,3,70,7
28.0,I,3,0,1,3,68,5
28.06,I,3,0,1,3,67,4
28.12,I,3,0,1,3,67,4
28.38,I,3,0,1,3,65,2
28.44,I,3,0,1,3,67,4
28.5,I,3,0,1,3,70,7
28.5,V6,10,7,5,3,70,7
28.88,V6,10,7,5,3,65,2
28.94,V6,10,7,5,3,67,4
29.0,V6,10,7,5,3,63,0
29.0,vi,0,9,6,3,63,0
29.38,vi,0,9,6,3,58,7
29.44,vi,0,9,6,3,58,7
29.5,iv,8,5,4,3,58,7
29.5,iv,8,5,4,3,59,8
29.56,iv,8,5,4,3,61,10
29.69,iv,8,5,4,3,59,8
29.75,iv,8,5,4,3,61,10
29.88,iv,8,5,4,3,58,7
30.0,I,3,0,1,3,58,7
30.0,I,3,0,1,3,58,7
32.0,I,10,0,1,10,58,7
34.0,I,10,0,1,10,62,4
34.12,I,10,0,1,10,60,2
34.16,I,10,0,1,10,62,4
34.88,I,10,0,1,10,58,0
35.0,vi,7,9,6,10,58,0
35.0,vi,7,9,6,10,60,2
35.12,vi,7,9,6,10,62,4
35.19,vi,7,9,6,10,62,4
35.88,vi,7,9,6,10,62,4
36.0,vi,7,9,6,10,63,5
36.0,ii,0,2,2,10,63,5
36.06,ii,0,2,2,10,65,7
36.19,ii,0,2,2,10,63,5
36.31,ii,0,2,2,10,62,4
36.44,ii,0,2,2,10,60,2
36.75,ii,0,2,2,10,60,2
36.81,ii,0,2,2,10,62,4
37.0,ii,0,2,2,10,63,5
37.06,ii,0,2,2,10,65,7
37.12,ii,0,2,2,10,63,5
37.25,ii,0,2,2,10,62,4
37.38,ii,0,2,2,10,62,4
37.44,ii,0,2,2,10,60,2
37.5,V,5,7,5,10,60,2
38.0,V,5,7,5,10,62,4
38.0,I,10,0,1,10,62,4
38.09,I,10,0,1,10,60,2
38.12,I,10,0,1,10,62,4
38.38,I,10,0,1,10,60,2
38.44,I,10,0,1,10,58,0
38.5,I,10,0,1,10,60,2
