Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
8.0,I,4,0,1,4,50,10
8.12,I,4,0,1,4,52,0
8.25,I,4,0,1,4,52,0
8.38,I,4,0,1,4,52,0
8.5,I,4,0,1,4,55,3
8.75,I,4,0,1,4,52,0
10.0,I,4,0,1,4,61,9
10.12,I,4,0,1,4,62,10
10.25,I,4,0,1,4,62,10
10.38,I,4,0,1,4,62,10
10.5,I,4,0,1,4,64,0
10.75,I,4,0,1,4,64,0
12.0,I,4,0,1,4,50,10
12.12,I,4,0,1,4,52,0
12.25,I,4,0,1,4,55,3
12.38,I,4,0,1,4,52,0
12.5,I,4,0,1,4,57,5
12.75,I,4,0,1,4,55,3
13.75,I,4,0,1,4,59,7
13.88,I,4,0,1,4,62,10
14.0,I,4,0,1,4,64,0
14.12,I,4,0,1,4,64,0
14.25,I,4,0,1,4,64,0
14.44,I,4,0,1,4,64,0
14.62,I,4,0,1,4,59,7
14.69,I,4,0,1,4,57,5
14.75,I,4,0,1,4,55,3
16.0,bIII,7,3,3,4,55,3
16.25,bIII,7,3,3,4,67,3
16.5,IV,9,5,4,4,67,3
16.5,IV,9,5,4,4,66,2
16.62,IV,9,5,4,4,64,0
16.75,IV,9,5,4,4,64,0
16.88,IV,9,5,4,4,64,0
17.0,I,4,0,1,4,64,0
17.0,I,4,0,1,4,64,0
17.25,I,4,0,1,4,62,10
17.38,I,4,0,1,4,62,10
17.62,I,4,0,1,4,64,0
18.0,bIII,7,3,3,4,64,0
18.25,bIII,7,3,3,4,62,10
18.38,bIII,7,3,3,4,62,10
18.5,IV,9,5,4,4,62,10
18.5,IV,9,5,4,4,61,9
18.75,IV,9,5,4,4,61,9
18.88,IV,9,5,4,4,59,7
19.0,IV,9,5,4,4,61,9
19.0,I,4,0,1,4,61,9
19.12,I,4,0,1,4,59,7
19.38,I,4,0,1,4,59,7
20.0,bIII,7,3,3,4,59,7
20.25,bIII,7,3,3,4,62,10
20.5,bIII,7,3,3,4,61,9
20.5,IV,9,5,4,4,61,9
20.62,IV,9,5,4,4,59,7
20.75,IV,9,5,4,4,57,5
20.88,IV,9,5,4,4,59,7
21.0,I,4,0,1,4,59,7
21.25,I,4,0,1,4,57,5
21.38,I,4,0,1,4,55,3
21.75,I,4,0,1,4,59,7
22.0,bIII,7,3,3,4,59,7
22.25,bIII,7,3,3,4,62,10
22.5,bIII,7,3,3,4,61,9
22.5,IV,9,5,4,4,61,9
22.62,IV,9,5,4,4,59,7
22.75,IV,9,5,4,4,57,5
22.88,IV,9,5,4,4,58,6
23.0,I,4,0,1,4,58,6
23.25,I,4,0,1,4,59,7
24.0,I,4,0,1,4,52,0
24.12,I,4,0,1,4,52,0
24.25,I,4,0,1,4,52,0
24.38,I,4,0,1,4,52,0
24.5,I,4,0,1,4,55,3
24.75,I,4,0,1,4,52,0
26.0,I,4,0,1,4,61,9
26.12,I,4,0,1,4,62,10
26.25,I,4,0,1,4,62,10
26.38,I,4,0,1,4,62,10
26.5,I,4,0,1,4,64,0
26.75,I,4,0,1,4,64,0
28.0,I,4,0,1,4,50,10
28.12,I,4,0,1,4,52,0
28.25,I,4,0,1,4,55,3
28.38,I,4,0,1,4,52,0
28.5,I,4,0,1,4,57,5
