Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
4.25,I7,6,0,1,6,61,7
4.5,IV64,11,5,4,6,61,7
4.5,IV64,11,5,4,6,58,4
4.62,IV64,11,5,4,6,59,5
4.88,IV64,11,5,4,6,58,4
4.91,IV64,11,5,4,6,59,5
5.0,Vs4,1,7,5,6,59,5
5.12,Vs4,1,7,5,6,61,7
5.5,I,6,0,1,6,61,7
5.5,I,6,0,1,6,54,0
5.88,I,6,0,1,6,56,2
6.0,I,6,0,1,6,58,4
6.25,I,6,0,1,6,61,7
6.5,I,6,0,1,6,61,7
6.75,I,6,0,1,6,65,11
6.75,V,1,7,5,6,65,11
7.0,V,1,7,5,6,65,11
7.12,V,1,7,5,6,66,0
7.25,I,6,0,1,6,66,0
7.38,I,6,0,1,6,66,0
7.88,I,6,0,1,6,66,0
8.0,I,6,0,1,6,66,0
8.06,I,6,0,1,6,68,2
8.19,I,6,0,1,6,70,4
8.38,I,6,0,1,6,59,5
8.5,IV64,11,5,4,6,59,5
8.62,IV64,11,5,4,6,61,7
9.0,Vs4,1,7,5,6,61,7
9.12,Vs4,1,7,5,6,59,5
9.19,Vs4,1,7,5,6,58,4
9.25,Vs4,1,7,5,6,59,5
10.0,I7,6,0,1,6,59,5
10.12,I7,6,0,1,6,54,0
10.25,I7,6,0,1,6,54,0
10.38,I7,6,0,1,6,61,7
10.5,IV64,11,5,4,6,61,7
10.5,IV64,11,5,4,6,59,5
10.88,IV64,11,5,4,6,61,7
11.0,IV64,11,5,4,6,56,2
11.0,Vs4,1,7,5,6,56,2
12.0,I7,6,0,1,6,56,2
12.12,I7,6,0,1,6,54,0
12.25,I7,6,0,1,6,61,7
12.5,I7,6,0,1,6,59,5
12.5,IV64,11,5,4,6,59,5
12.53,IV64,11,5,4,6,61,7
12.56,IV64,11,5,4,6,59,5
12.75,IV64,11,5,4,6,58,4
13.0,IV64,11,5,4,6,59,5
13.0,Vs4,1,7,5,6,59,5
13.12,Vs4,1,7,5,6,61,7
13.38,Vs4,1,7,5,6,54,0
13.5,I,6,0,1,6,54,0
13.88,I,6,0,1,6,56,2
14.0,I,6,0,1,6,58,4
14.12,I,6,0,1,6,61,7
14.38,I,6,0,1,6,61,7
14.62,I,6,0,1,6,65,11
14.75,V,1,7,5,6,65,11
15.0,V,1,7,5,6,65,11
15.12,V,1,7,5,6,66,0
15.25,I,6,0,1,6,66,0
15.38,I,6,0,1,6,66,0
15.88,I,6,0,1,6,66,0
16.0,I,6,0,1,6,66,0
16.12,I,6,0,1,6,68,2
16.19,I,6,0,1,6,70,4
16.5,I,6,0,1,6,59,5
16.5,IV64,11,5,4,6,59,5
16.88,IV64,11,5,4,6,58,4
17.0,Vs4,1,7,5,6,58,4
17.12,Vs4,1,7,5,6,61,7
17.16,Vs4,1,7,5,6,59,5
17.25,Vs4,1,7,5,6,59,5
18.0,I7,6,0,1,6,59,5
18.12,I7,6,0,1,6,54,0
18.25,I7,6,0,1,6,61,7
18.5,IV64,11,5,4,6,61,7
18.5,IV64,11,5,4,6,59,5
18.62,IV64,11,5,4,6,59,5
18.88,IV64,11,5,4,6,61,7
19.0,Vs4,1,7,5,6,61,7
19.0,Vs4,1,7,5,6,56,2
20.0,I,6,0,1,6,56,2
20.12,I,6,0,1,6,66,0
20.25,I,6,0,1,6,70,4
20.38,I,6,0,1,6,66,0
20.5,I,6,0,1,6,68,2
20.5,V,1,7,5,6,68,2
20.88,V,1,7,5,6,70,4
21.0,V,1,7,5,6,71,5
21.0,I,6,0,1,6,71,5
21.12,I,6,0,1,6,70,4
21.25,V,1,7,5,6,70,4
21.25,V,1,7,5,6,68,2
21.38,V,1,7,5,6,61,7
21.5,I,6,0,1,6,61,7
21.75,I,6,0,1,6,66,0
22.0,I,6,0,1,6,70,4
22.12,I,6,0,1,6,70,4
22.25,I,6,0,1,6,68,2
22.38,I,6,0,1,6,61,7
22.5,V,1,7,5,6,61,7
22.75,I,6,0,1,6,61,7
22.88,I,6,0,1,6,66,0
23.0,I,6,0,1,6,71,5
23.12,I,6,0,1,6,70,4
23.25,I,6,0,1,6,61,7
23.38,I,6,0,1,6,61,7
23.5,V,1,7,5,6,61,7
23.62,V,1,7,5,6,66,0
23.75,I,6,0,1,6,66,0
24.25,I,6,0,1,6,66,0
24.38,I,6,0,1,6,65,11
24.5,I,6,0,1,6,63,9
24.5,IV64,11,5,4,6,63,9
24.62,IV64,11,5,4,6,61,7
25.0,I,6,0,1,6,61,7
25.25,I,6,0,1,6,61,7
25.25,IV64,11,5,4,6,61,7
25.38,IV64,11,5,4,6,61,7
25.5,I,6,0,1,6,61,7
25.5,I,6,0,1,6,54,0
25.88,I,6,0,1,6,61,7
26.0,I,6,0,1,6,61,7
26.12,I,6,0,1,6,59,5
26.25,I,6,0,1,6,59,5
26.38,I,6,0,1,6,58,4
26.5,IV64,11,5,4,6,58,4
26.5,IV64,11,5,4,6,58,4
26.75,IV64,11,5,4,6,54,0
27.0,Vs4,1,7,5,6,54,0
27.0,Vs4,1,7,5,6,54,0
28.88,Vs4,1,7,5,6,58,4
28.94,Vs4,1,7,5,6,56,2
29.0,I,6,0,1,6,56,2
29.0,I,6,0,1,6,54,0
29.5,IV64,11,5,4,6,54,0
30.0,I,6,0,1,6,54,0
30.75,IV64,11,5,4,6,54,0
31.0,I,6,0,1,6,54,0
31.75,IV64,11,5,4,6,54,0
32.0,I,6,0,1,6,54,0
32.75,IV64,11,5,4,6,54,0
33.0,I7,6,0,1,6,54,0
33.25,I7,6,0,1,6,61,7
33.5,I7,6,0,1,6,58,4
33.5,IV64,11,5,4,6,58,4
33.62,IV64,11,5,4,6,59,5
33.88,IV64,11,5,4,6,58,4
34.0,Vs4,1,7,5,6,58,4
34.0,Vs4,1,7,5,6,59,5
34.12,Vs4,1,7,5,6,59,5
34.19,Vs4,1,7,5,6,61,7
34.5,Vs4,1,7,5,6,54,0
34.5,I,6,0,1,6,54,0
34.88,I,6,0,1,6,56,2
35.0,I,6,0,1,6,58,4
35.12,I,6,0,1,6,61,7
35.38,I,6,0,1,6,61,7
35.62,I,6,0,1,6,65,11
35.75,V,1,7,5,6,65,11
36.0,V,1,7,5,6,65,11
36.12,V,1,7,5,6,66,0
36.25,I,6,0,1,6,66,0
36.38,I,6,0,1,6,66,0
36.88,I,6,0,1,6,66,0
37.0,I,6,0,1,6,66,0
37.12,I,6,0,1,6,68,2
37.25,I,6,0,1,6,70,4
37.38,I,6,0,1,6,59,5
37.5,IV64,11,5,4,6,59,5
37.56,IV64,11,5,4,6,61,7
38.0,Vs4,1,7,5,6,61,7
38.0,Vs4,1,7,5,6,59,5
38.31,Vs4,1,7,5,6,58,4
38.62,Vs4,1,7,5,6,59,5
39.0,I7,6,0,1,6,59,5
39.12,I7,6,0,1,6,54,0
39.25,I7,6,0,1,6,58,4
39.38,I7,6,0,1,6,61,7
39.5,I7,6,0,1,6,59,5
39.5,IV64,11,5,4,6,59,5
39.94,IV64,11,5,4,6,61,7
40.0,IV64,11,5,4,6,61,7
40.0,Vs4,1,7,5,6,61,7
40.12,Vs4,1,7,5,6,56,2
41.0,I7,6,0,1,6,56,2
41.12,I7,6,0,1,6,54,0
41.19,I7,6,0,1,6,61,7
41.5,I7,6,0,1,6,59,5
41.5,IV64,11,5,4,6,59,5
41.62,IV64,11,5,4,6,59,5
41.88,IV64,11,5,4,6,58,4
42.0,IV64,11,5,4,6,59,5
42.0,Vs4,1,7,5,6,59,5
42.12,Vs4,1,7,5,6,61,7
42.38,Vs4,1,7,5,6,54,0
42.5,I,6,0,1,6,54,0
42.88,I,6,0,1,6,56,2
43.0,I,6,0,1,6,58,4
43.12,I,6,0,1,6,61,7
43.38,I,6,0,1,6,61,7
