Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
7.75,IV64,8,5,4,3,56,5
7.94,IV64,8,5,4,3,56,5
8.0,I,3,0,1,3,56,5
8.25,I,3,0,1,3,55,4
8.38,I,3,0,1,3,53,2
8.5,I,3,0,1,3,51,0
9.0,IV64,8,5,4,3,51,0
9.75,IV64,8,5,4,3,56,5
9.88,IV64,8,5,4,3,58,7
10.0,I,3,0,1,3,58,7
10.25,I,3,0,1,3,53,2
10.38,I,3,0,1,3,55,4
11.0,IV,8,5,4,3,55,4
11.25,IV,8,5,4,3,60,9
11.5,IV,8,5,4,3,61,10
11.5,bVII,1,10,7,3,61,10
11.75,bVII,1,10,7,3,60,9
11.75,IV,8,5,4,3,60,9
11.94,IV,8,5,4,3,58,7
12.0,I7,3,0,1,3,58,7
12.75,I7,3,0,1,3,63,0
12.88,I7,3,0,1,3,60,9
13.0,ii,5,2,2,3,60,9
13.75,ii,5,2,2,3,60,9
13.88,ii,5,2,2,3,60,9
14.0,I,3,0,1,3,60,9
14.0,I,3,0,1,3,58,7
14.12,I,3,0,1,3,55,4
14.19,I,3,0,1,3,53,2
14.25,I,3,0,1,3,51,0
14.5,IV,8,5,4,3,51,0
15.0,I,3,0,1,3,51,0
15.0,I,3,0,1,3,63,0
15.5,IV,8,5,4,3,63,0
16.0,I,3,0,1,3,63,0
16.25,I,3,0,1,3,55,4
16.5,I,3,0,1,3,53,2
16.75,I,3,0,1,3,51,0
16.94,I,3,0,1,3,53,2
17.0,V,10,7,5,3,53,2
17.88,V,10,7,5,3,58,7
18.38,V,10,7,5,3,58,7
18.62,V,10,7,5,3,55,4
18.69,V,10,7,5,3,53,2
18.88,V,10,7,5,3,51,0
19.0,I,3,0,1,3,51,0
19.0,I,3,0,1,3,51,0
19.19,I,3,0,1,3,53,2
19.25,I,3,0,1,3,55,4
20.25,I,3,0,1,3,58,7
20.5,I,3,0,1,3,65,2
20.62,I,3,0,1,3,67,4
20.75,I,3,0,1,3,65,2
21.0,I,3,0,1,3,63,0
21.0,IV,8,5,4,3,63,0
21.5,IV,8,5,4,3,65,2
21.5,V/V,5,2,2,3,65,2
21.88,V/V,5,2,2,3,65,2
22.0,V,10,7,5,3,65,2
22.5,V,10,7,5,3,65,2
22.5,I,3,0,1,3,65,2
22.62,I,3,0,1,3,67,4
22.75,I,3,0,1,3,65,2
22.75,V,10,7,5,3,65,2
23.0,IV,8,5,4,3,65,2
23.0,IV,8,5,4,3,63,0
23.5,vii64,2,11,7,3,63,0
23.5,vii64,2,11,7,3,62,11
23.75,viix7/V,9,6,4,3,62,11
23.75,viix7/V,9,6,4,3,60,9
24.0,I64,3,0,1,3,60,9
24.0,I64,3,0,1,3,60,9
24.19,I64,3,0,1,3,58,7
24.5,VI7,0,9,6,3,58,7
24.5,VI7,0,9,6,3,55,4
24.69,VI7,0,9,6,3,58,7
25.0,IV,8,5,4,3,58,7
25.25,IV,8,5,4,3,60,9
25.38,IV,8,5,4,3,63,0
25.5,IV,8,5,4,3,65,2
25.5,viix7/vi,11,8,6,3,65,2
25.75,viix7/vi,11,8,6,3,67,4
25.94,viix7/vi,11,8,6,3,63,0
26.0,vi,0,9,6,3,63,0
26.5,vi,0,9,6,3,67,4
26.5,I,3,0,1,3,67,4
26.75,V,10,7,5,3,67,4
26.75,V,10,7,5,3,65,2
26.81,V,10,7,5,3,67,4
26.88,V,10,7,5,3,65,2
26.94,V,10,7,5,3,63,0
27.0,IV,8,5,4,3,63,0
27.12,IV,8,5,4,3,63,0
27.5,vii64,2,11,7,3,63,0
27.5,vii64,2,11,7,3,62,11
27.75,vii64,2,11,7,3,60,9
27.75,viix7/V,9,6,4,3,60,9
28.0,viix7/V,9,6,4,3,60,9
28.0,I64,3,0,1,3,60,9
28.19,I64,3,0,1,3,58,7
28.5,I64,3,0,1,3,55,4
28.5,VI7,0,9,6,3,55,4
28.69,VI7,0,9,6,3,58,7
29.0,IV,8,5,4,3,58,7
29.25,IV,8,5,4,3,60,9
29.38,IV,8,5,4,3,63,0
29.5,IV,8,5,4,3,65,2
29.5,viix42,2,11,7,3,65,2
29.75,viix42,2,11,7,3,67,4
29.94,viix42,2,11,7,3,63,0
30.0,I,3,0,1,3,63,0
31.0,IV64,8,5,4,3,63,0
32.0,I,3,0,1,3,63,0
33.0,IV64,8,5,4,3,63,0
34.0,I,3,0,1,3,63,0
35.0,IV64,8,5,4,3,63,0
35.88,IV64,8,5,4,3,56,5
35.94,IV64,8,5,4,3,56,5
36.0,I,3,0,1,3,56,5
36.12,I,3,0,1,3,55,4
36.44,I,3,0,1,3,53,2
36.5,I,3,0,1,3,51,0
37.0,IV64,8,5,4,3,51,0
37.69,IV64,8,5,4,3,56,5
37.75,IV64,8,5,4,3,56,5
37.81,IV64,8,5,4,3,56,5
37.88,IV64,8,5,4,3,58,7
38.0,I,3,0,1,3,58,7
38.0,I,3,0,1,3,55,4
39.0,IV,8,5,4,3,55,4
39.25,IV,8,5,4,3,60,9
39.5,bVII,1,10,7,3,60,9
39.5,bVII,1,10,7,3,61,10
39.75,IV,8,5,4,3,61,10
39.75,IV,8,5,4,3,60,9
39.94,IV,8,5,4,3,58,7
40.0,I7,3,0,1,3,58,7
40.75,I7,3,0,1,3,63,0
40.94,I7,3,0,1,3,58,7
41.0,I7,3,0,1,3,60,9
41.0,ii,5,2,2,3,60,9
41.75,ii,5,2,2,3,56,5
41.81,ii,5,2,2,3,58,7
41.94,ii,5,2,2,3,58,7
42.0,ii,5,2,2,3,60,9
42.0,I,3,0,1,3,60,9
42.12,I,3,0,1,3,58,7
42.25,I,3,0,1,3,55,4
42.31,I,3,0,1,3,53,2
42.44,I,3,0,1,3,51,0
42.5,IV,8,5,4,3,51,0
42.94,IV,8,5,4,3,60,9
43.0,I,3,0,1,3,60,9
43.0,I,3,0,1,3,63,0
43.5,IV,8,5,4,3,63,0
44.0,I,3,0,1,3,63,0
44.25,I,3,0,1,3,55,4
44.5,I,3,0,1,3,53,2
44.75,I,3,0,1,3,51,0
45.0,V,10,7,5,3,51,0
45.0,V,10,7,5,3,53,2
45.88,V,10,7,5,3,58,7
46.38,V,10,7,5,3,58,7
46.5,V,10,7,5,3,55,4
46.62,V,10,7,5,3,53,2
46.75,V,10,7,5,3,51,0
46.88,V,10,7,5,3,53,2
46.94,V,10,7,5,3,55,4
47.0,I,3,0,1,3,55,4
48.25,I,3,0,1,3,58,7
48.5,I,3,0,1,3,65,2
48.62,I,3,0,1,3,67,4
48.75,I,3,0,1,3,65,2
49.0,IV,8,5,4,3,65,2
49.0,IV,8,5,4,3,63,0
49.5,IV,8,5,4,3,65,2
49.5,V/V,5,2,2,3,65,2
49.88,V/V,5,2,2,3,65,2
50.0,V,10,7,5,3,65,2
50.5,V,10,7,5,3,67,4
50.5,I,3,0,1,3,67,4
50.75,V,10,7,5,3,67,4
50.75,V,10,7,5,3,65,2
51.0,IV,8,5,4,3,65,2
51.0,IV,8,5,4,3,63,0
51.5,IV,8,5,4,3,62,11
51.5,vii64,2,11,7,3,62,11
51.75,vii64,2,11,7,3,60,9
51.75,viix7/V,9,6,4,3,60,9
52.0,viix7/V,9,6,4,3,60,9
52.0,I64,3,0,1,3,60,9
52.19,I64,3,0,1,3,58,7
52.5,VI7,0,9,6,3,58,7
52.5,VI7,0,9,6,3,55,4
52.69,VI7,0,9,6,3,58,7
53.0,IV,8,5,4,3,58,7
53.25,IV,8,5,4,3,60,9
53.38,IV,8,5,4,3,63,0
53.5,IV,8,5,4,3,65,2
53.5,viix7/vi,11,8,6,3,65,2
53.75,viix7/vi,11,8,6,3,67,4
53.94,viix7/vi,11,8,6,3,63,0
54.0,vi,0,9,6,3,63,0
54.5,vi,0,9,6,3,67,4
54.5,I,3,0,1,3,67,4
54.75,I,3,0,1,3,65,2
54.75,V,10,7,5,3,65,2
54.81,V,10,7,5,3,67,4
54.88,V,10,7,5,3,65,2
54.94,V,10,7,5,3,63,0
55.0,IV,8,5,4,3,63,0
55.12,IV,8,5,4,3,63,0
55.5,vii64,2,11,7,3,63,0
55.5,vii64,2,11,7,3,62,11
55.75,viix7/V,9,6,4,3,62,11
55.75,viix7/V,9,6,4,3,60,9
56.0,I64,3,0,1,3,60,9
56.0,I64,3,0,1,3,60,9
56.19,I64,3,0,1,3,58,7
56.5,vi7,0,9,6,3,58,7
56.5,vi7,0,9,6,3,60,9
56.69,vi7,0,9,6,3,63,0
57.0,IV,8,5,4,3,63,0
57.25,IV,8,5,4,3,63,0
57.38,IV,8,5,4,3,65,2
57.5,V/vi,7,4,3,3,65,2
57.5,V/vi,7,4,3,3,63,0
57.75,V/vi,7,4,3,3,62,11
57.94,V/vi,7,4,3,3,62,11
58.0,V/vi,7,4,3,3,63,0
58.0,vi,0,9,6,3,63,0
59.0,II,5,2,2,3,63,0
59.5,bII,4,1,2,3,63,0
60.0,I64,3,0,1,3,63,0
60.5,V,10,7,5,3,63,0
61.0,IV,8,5,4,3,63,0
61.5,vi,0,9,6,3,63,0
62.0,IV,8,5,4,3,63,0
63.0,I,3,0,1,3,63,0
64.0,IV64,8,5,4,3,63,0
65.0,I,3,0,1,3,63,0
66.0,IV64,8,5,4,3,63,0
67.0,I,3,0,1,3,63,0
68.0,IV64,8,5,4,3,63,0
68.75,IV64,8,5,4,3,56,5
68.88,IV64,8,5,4,3,56,5
69.0,I,3,0,1,3,56,5
69.12,I,3,0,1,3,55,4
69.38,I,3,0,1,3,53,2
69.44,I,3,0,1,3,51,0
70.0,IV64,8,5,4,3,51,0
70.75,IV64,8,5,4,3,56,5
70.88,IV64,8,5,4,3,56,5
71.0,I,3,0,1,3,56,5
71.0,I,3,0,1,3,58,7
71.25,I,3,0,1,3,55,4
72.0,IV,8,5,4,3,55,4
72.25,IV,8,5,4,3,60,9
72.5,bVII,1,10,7,3,60,9
72.5,bVII,1,10,7,3,61,10
72.75,IV,8,5,4,3,61,10
72.75,IV,8,5,4,3,60,9
73.0,IV,8,5,4,3,58,7
73.0,I7,3,0,1,3,58,7
73.75,I7,3,0,1,3,63,0
73.94,I7,3,0,1,3,58,7
74.0,ii,5,2,2,3,58,7
74.0,ii,5,2,2,3,60,9
74.75,ii,5,2,2,3,60,9
74.88,ii,5,2,2,3,60,9
75.0,I,3,0,1,3,60,9
75.0,I,3,0,1,3,58,7
75.19,I,3,0,1,3,60,9
75.25,I,3,0,1,3,58,7
75.44,I,3,0,1,3,55,4
75.5,I,3,0,1,3,53,2
75.5,IV,8,5,4,3,53,2
75.56,IV,8,5,4,3,51,0
76.0,I,3,0,1,3,51,0
76.5,IV,8,5,4,3,51,0
77.0,I,3,0,1,3,51,0
77.25,I,3,0,1,3,55,4
77.5,I,3,0,1,3,53,2
77.75,I,3,0,1,3,51,0
78.0,I,3,0,1,3,53,2
78.0,V,10,7,5,3,53,2
78.88,V,10,7,5,3,58,7
79.62,V,10,7,5,3,58,7
79.88,V,10,7,5,3,58,7
80.0,I,3,0,1,3,58,7
80.0,I,3,0,1,3,58,7
80.25,I,3,0,1,3,56,5
80.38,I,3,0,1,3,55,4
81.25,I,3,0,1,3,58,7
81.5,I,3,0,1,3,65,2
81.56,I,3,0,1,3,67,4
81.75,I,3,0,1,3,65,2
82.0,I,3,0,1,3,63,0
82.0,IV,8,5,4,3,63,0
82.5,IV,8,5,4,3,65,2
82.5,V/V,5,2,2,3,65,2
82.88,V/V,5,2,2,3,65,2
83.0,V,10,7,5,3,65,2
83.5,V,10,7,5,3,67,4
83.5,I,3,0,1,3,67,4
83.75,V,10,7,5,3,67,4
83.75,V,10,7,5,3,65,2
84.0,IV,8,5,4,3,65,2
84.0,IV,8,5,4,3,63,0
84.5,vii64,2,11,7,3,63,0
84.5,vii64,2,11,7,3,62,11
84.75,viix7/V,9,6,4,3,62,11
84.75,viix7/V,9,6,4,3,60,9
85.0,I64,3,0,1,3,60,9
85.0,I64,3,0,1,3,60,9
85.19,I64,3,0,1,3,58,7
85.5,vi7,0,9,6,3,58,7
85.5,vi7,0,9,6,3,60,9
85.69,vi7,0,9,6,3,63,0
86.0,IV,8,5,4,3,63,0
86.25,IV,8,5,4,3,63,0
86.38,IV,8,5,4,3,65,2
86.5,IV,8,5,4,3,63,0
86.5,viix7/vi,11,8,6,3,63,0
86.75,viix7/vi,11,8,6,3,62,11
86.94,viix7/vi,11,8,6,3,63,0
87.0,vi,0,9,6,3,63,0
87.5,I,3,0,1,3,63,0
87.5,I,3,0,1,3,67,4
87.75,V,10,7,5,3,67,4
87.75,V,10,7,5,3,65,2
88.0,V,10,7,5,3,68,5
88.0,IV,8,5,4,3,68,5
88.5,IV,8,5,4,3,67,4
88.5,vii64,2,11,7,3,67,4
88.75,vii64,2,11,7,3,65,2
88.75,viix7/V,9,6,4,3,65,2
89.0,I64,3,0,1,3,65,2
89.0,I64,3,0,1,3,67,4
89.19,I64,3,0,1,3,68,5
89.38,I64,3,0,1,3,67,4
89.5,vi7,0,9,6,3,67,4
89.5,vi7,0,9,6,3,65,2
89.69,vi7,0,9,6,3,63,0
90.0,IV,8,5,4,3,63,0
90.25,IV,8,5,4,3,68,5
90.38,IV,8,5,4,3,68,5
90.5,IV,8,5,4,3,67,4
90.5,V/vi,7,4,3,3,67,4
90.75,V/vi,7,4,3,3,65,2
90.88,V/vi,7,4,3,3,65,2
91.0,vi,0,9,6,3,65,2
91.0,vi,0,9,6,3,67,4
92.0,II,5,2,2,3,67,4
92.5,bII,4,1,2,3,67,4
92.75,bII,4,1,2,3,65,2
92.81,bII,4,1,2,3,67,4
93.0,I64,3,0,1,3,67,4
93.0,I64,3,0,1,3,65,2
93.06,I64,3,0,1,3,63,0
93.5,V,10,7,5,3,63,0
94.0,IV,8,5,4,3,63,0
94.5,vi,0,9,6,3,63,0
95.0,IV,8,5,4,3,63,0
96.0,I,3,0,1,3,63,0
97.0,End,3,0,1,3,63,0
