Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
8.5,I,7,0,1,7,62,7
8.62,I,7,0,1,7,60,5
8.75,I,7,0,1,7,59,4
8.88,I,7,0,1,7,60,5
9.0,I,7,0,1,7,62,7
9.0,IV,0,5,4,7,62,7
10.0,I,7,0,1,7,62,7
10.38,I,7,0,1,7,59,4
10.62,I,7,0,1,7,57,2
10.75,I,7,0,1,7,55,0
10.88,I,7,0,1,7,57,2
11.0,V,2,7,5,7,57,2
11.12,V,2,7,5,7,59,4
12.0,I,7,0,1,7,59,4
12.38,I,7,0,1,7,62,7
12.62,I,7,0,1,7,62,7
12.75,I,7,0,1,7,62,7
12.88,I,7,0,1,7,62,7
13.0,I,7,0,1,7,60,5
13.0,IV,0,5,4,7,60,5
13.06,IV,0,5,4,7,62,7
14.0,I,7,0,1,7,62,7
14.5,I,7,0,1,7,59,4
14.62,I,7,0,1,7,59,4
14.75,I,7,0,1,7,55,0
14.88,I,7,0,1,7,57,2
15.0,V,2,7,5,7,57,2
15.12,V,2,7,5,7,59,4
16.0,I,7,0,1,7,59,4
16.5,I,7,0,1,7,59,4
16.62,I,7,0,1,7,62,7
16.75,I,7,0,1,7,62,7
16.88,I,7,0,1,7,62,7
17.0,I,7,0,1,7,62,7
17.0,IV,0,5,4,7,62,7
17.12,IV,0,5,4,7,60,5
17.38,IV,0,5,4,7,62,7
17.62,IV,0,5,4,7,60,5
17.75,IV,0,5,4,7,62,7
18.0,I,7,0,1,7,62,7
18.5,I,7,0,1,7,59,4
18.62,I,7,0,1,7,59,4
18.75,I,7,0,1,7,57,2
18.88,I,7,0,1,7,55,0
19.0,V,2,7,5,7,55,0
19.0,V,2,7,5,7,57,2
19.12,V,2,7,5,7,57,2
20.0,I,7,0,1,7,57,2
20.25,I,7,0,1,7,62,7
20.38,I,7,0,1,7,62,7
20.5,I,7,0,1,7,62,7
20.75,I,7,0,1,7,62,7
20.88,I,7,0,1,7,62,7
