Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
3.5,Vs4,8,7,5,1,61,0
3.62,Vs4,8,7,5,1,64,3
3.75,Vs4,8,7,5,1,61,0
3.88,Vs4,8,7,5,1,59,10
4.0,i,1,0,1,1,59,10
4.0,i,1,0,1,1,61,0
4.5,bVII,11,10,7,1,61,0
5.0,bVI,9,8,6,1,61,0
5.25,bVI,9,8,6,1,61,0
5.38,bVI,9,8,6,1,64,3
5.5,bVII,11,10,7,1,64,3
5.5,bVII,11,10,7,1,61,0
5.62,bVII,11,10,7,1,59,10
5.75,bVII,11,10,7,1,59,10
5.88,bVII,11,10,7,1,56,7
6.0,Vs4,8,7,5,1,56,7
7.5,bVI,9,8,6,1,56,7
7.5,bVI,9,8,6,1,64,3
7.62,bVI,9,8,6,1,64,3
7.88,bVI,9,8,6,1,64,3
7.94,bVI,9,8,6,1,64,3
8.0,bIII,4,3,3,1,64,3
8.0,bIII,4,3,3,1,64,3
8.5,V,8,7,5,1,64,3
9.0,i,1,0,1,1,64,3
9.25,i,1,0,1,1,64,3
9.38,i,1,0,1,1,64,3
9.5,i,1,0,1,1,64,3
9.5,bVI,9,8,6,1,64,3
9.62,bVI,9,8,6,1,64,3
9.88,bVI,9,8,6,1,64,3
9.94,bVI,9,8,6,1,63,2
10.0,Vs4,8,7,5,1,63,2
11.5,Vs4,8,7,5,1,56,7
11.62,Vs4,8,7,5,1,56,7
11.75,Vs4,8,7,5,1,58,9
11.88,Vs4,8,7,5,1,56,7
12.0,Vs4,8,7,5,1,64,3
12.0,i,1,0,1,1,64,3
12.12,i,1,0,1,1,61,0
12.5,bVII,11,10,7,1,61,0
13.0,bVI,9,8,6,1,61,0
13.25,bVI,9,8,6,1,61,0
13.38,bVI,9,8,6,1,64,3
13.5,bVI,9,8,6,1,61,0
13.5,bVII,11,10,7,1,61,0
13.62,bVII,11,10,7,1,59,10
13.75,bVII,11,10,7,1,59,10
13.88,bVII,11,10,7,1,56,7
14.0,Vs4,8,7,5,1,56,7
15.5,Vs4,8,7,5,1,64,3
15.62,Vs4,8,7,5,1,63,2
15.75,Vs4,8,7,5,1,61,0
15.88,Vs4,8,7,5,1,60,11
16.0,Vs4,8,7,5,1,61,0
16.0,i,1,0,1,1,61,0
16.12,i,1,0,1,1,61,0
