Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
1.0,bVII,5,10,7,7,62,7
1.25,i,7,0,1,7,62,7
2.0,bVII,5,10,7,7,62,7
2.25,i,7,0,1,7,62,7
3.0,bVII,5,10,7,7,62,7
3.25,i,7,0,1,7,62,7
4.0,bVII,5,10,7,7,62,7
4.25,i,7,0,1,7,62,7
4.75,i,7,0,1,7,55,0
4.88,i,7,0,1,7,58,3
5.0,bVII,5,10,7,7,58,3
5.0,bVII,5,10,7,7,62,7
5.12,bVII,5,10,7,7,62,7
5.25,i,7,0,1,7,62,7
5.62,i,7,0,1,7,55,0
5.75,i,7,0,1,7,55,0
5.88,i,7,0,1,7,55,0
5.94,i,7,0,1,7,53,10
6.0,bVII,5,10,7,7,53,10
6.12,bVII,5,10,7,7,55,0
6.25,i,7,0,1,7,55,0
6.75,i,7,0,1,7,60,5
6.88,i,7,0,1,7,60,5
7.0,bVII,5,10,7,7,60,5
7.0,bVII,5,10,7,7,58,3
7.12,bVII,5,10,7,7,57,2
7.25,i,7,0,1,7,57,2
7.25,i,7,0,1,7,55,0
7.62,i,7,0,1,7,53,10
7.75,i,7,0,1,7,55,0
7.88,i,7,0,1,7,55,0
7.94,i,7,0,1,7,57,2
8.0,bVII,5,10,7,7,57,2
8.12,bVII,5,10,7,7,53,10
8.25,i,7,0,1,7,53,10
8.25,i,7,0,1,7,50,7
8.75,i,7,0,1,7,55,0
8.88,i,7,0,1,7,58,3
9.0,bVII,5,10,7,7,58,3
9.0,bVII,5,10,7,7,62,7
9.12,bVII,5,10,7,7,62,7
9.25,i,7,0,1,7,62,7
9.62,i,7,0,1,7,53,10
9.75,i,7,0,1,7,55,0
10.0,i,7,0,1,7,55,0
10.0,bVII,5,10,7,7,55,0
10.25,i,7,0,1,7,55,0
10.75,i,7,0,1,7,55,0
10.88,i,7,0,1,7,58,3
11.0,i,7,0,1,7,62,7
11.0,bVII,5,10,7,7,62,7
11.12,bVII,5,10,7,7,62,7
11.25,i,7,0,1,7,62,7
11.62,i,7,0,1,7,53,10
11.75,i,7,0,1,7,55,0
11.81,i,7,0,1,7,55,0
12.0,i,7,0,1,7,55,0
12.0,bVII,5,10,7,7,55,0
12.25,i,7,0,1,7,55,0
12.75,i,7,0,1,7,55,0
12.88,i,7,0,1,7,58,3
13.0,i,7,0,1,7,62,7
13.0,bVII,5,10,7,7,62,7
13.12,bVII,5,10,7,7,62,7
13.25,i,7,0,1,7,62,7
13.75,i,7,0,1,7,55,0
13.81,i,7,0,1,7,55,0
13.88,i,7,0,1,7,55,0
14.0,i,7,0,1,7,53,10
14.0,bVII,5,10,7,7,53,10
14.12,bVII,5,10,7,7,55,0
14.25,i,7,0,1,7,55,0
14.62,i,7,0,1,7,55,0
14.75,i,7,0,1,7,60,5
14.88,i,7,0,1,7,60,5
15.0,bVII,5,10,7,7,60,5
15.0,bVII,5,10,7,7,58,3
15.12,bVII,5,10,7,7,57,2
15.25,i,7,0,1,7,57,2
15.62,i,7,0,1,7,55,0
15.75,i,7,0,1,7,60,5
15.88,i,7,0,1,7,60,5
16.0,bVII,5,10,7,7,60,5
16.0,bVII,5,10,7,7,58,3
16.12,bVII,5,10,7,7,57,2
16.25,i,7,0,1,7,57,2
17.0,bVII,5,10,7,7,57,2
17.25,i,7,0,1,7,57,2
18.0,bVII,5,10,7,7,57,2
18.25,i,7,0,1,7,57,2
19.0,bVII,5,10,7,7,57,2
19.25,i,7,0,1,7,57,2
20.0,bVII,5,10,7,7,57,2
20.25,i,7,0,1,7,57,2
21.0,bVII,5,10,7,7,57,2
21.25,i,7,0,1,7,57,2
22.0,bVII,5,10,7,7,57,2
22.25,i,7,0,1,7,57,2
23.0,bVII,5,10,7,7,57,2
23.25,i,7,0,1,7,57,2
24.0,bVII,5,10,7,7,57,2
24.25,i,7,0,1,7,57,2
25.0,bVII,5,10,7,7,57,2
25.25,i,7,0,1,7,57,2
26.0,bVII,5,10,7,7,57,2
26.25,i,7,0,1,7,57,2
27.0,bVII,5,10,7,7,57,2
27.25,i,7,0,1,7,57,2
28.0,bVII,5,10,7,7,57,2
28.25,i,7,0,1,7,57,2
29.0,bVII,5,10,7,7,57,2
29.25,i,7,0,1,7,57,2
30.0,bVII,5,10,7,7,57,2
30.25,i,7,0,1,7,57,2
31.0,bVII,5,10,7,7,57,2
31.25,i,7,0,1,7,57,2
32.0,bVII,5,10,7,7,57,2
32.25,i,7,0,1,7,57,2
32.75,i,7,0,1,7,55,0
32.88,i,7,0,1,7,58,3
33.0,bVII,5,10,7,7,58,3
33.0,bVII,5,10,7,7,62,7
33.12,bVII,5,10,7,7,62,7
33.25,i,7,0,1,7,62,7
33.62,i,7,0,1,7,55,0
33.75,i,7,0,1,7,55,0
33.88,i,7,0,1,7,55,0
33.94,i,7,0,1,7,53,10
34.0,bVII,5,10,7,7,53,10
34.12,bVII,5,10,7,7,55,0
34.25,i,7,0,1,7,55,0
34.75,i,7,0,1,7,60,5
34.88,i,7,0,1,7,60,5
35.0,bVII,5,10,7,7,60,5
35.0,bVII,5,10,7,7,58,3
35.12,bVII,5,10,7,7,57,2
35.25,bVII,5,10,7,7,55,0
35.25,i,7,0,1,7,55,0
35.62,i,7,0,1,7,53,10
35.75,i,7,0,1,7,55,0
35.88,i,7,0,1,7,55,0
35.94,i,7,0,1,7,57,2
36.0,bVII,5,10,7,7,57,2
36.12,bVII,5,10,7,7,53,10
36.25,i,7,0,1,7,53,10
36.25,i,7,0,1,7,50,7
36.75,i,7,0,1,7,55,0
36.88,i,7,0,1,7,58,3
37.0,bVII,5,10,7,7,58,3
37.0,bVII,5,10,7,7,62,7
37.12,bVII,5,10,7,7,62,7
37.25,i,7,0,1,7,62,7
37.62,i,7,0,1,7,53,10
37.75,i,7,0,1,7,55,0
38.0,i,7,0,1,7,55,0
38.0,bVII,5,10,7,7,55,0
38.25,i,7,0,1,7,55,0
38.75,i,7,0,1,7,55,0
38.88,i,7,0,1,7,58,3
39.0,i,7,0,1,7,62,7
39.0,bVII,5,10,7,7,62,7
39.12,bVII,5,10,7,7,62,7
39.25,i,7,0,1,7,62,7
39.62,i,7,0,1,7,53,10
39.75,i,7,0,1,7,55,0
39.81,i,7,0,1,7,55,0
40.0,bVII,5,10,7,7,55,0
40.0,bVII,5,10,7,7,55,0
40.25,i,7,0,1,7,55,0
40.75,i,7,0,1,7,55,0
40.88,i,7,0,1,7,58,3
41.0,i,7,0,1,7,62,7
41.0,bVII,5,10,7,7,62,7
41.12,bVII,5,10,7,7,62,7
41.25,i,7,0,1,7,62,7
41.75,i,7,0,1,7,55,0
41.81,i,7,0,1,7,55,0
41.88,i,7,0,1,7,55,0
42.0,i,7,0,1,7,53,10
42.0,bVII,5,10,7,7,53,10
42.12,bVII,5,10,7,7,55,0
42.25,i,7,0,1,7,55,0
42.62,i,7,0,1,7,55,0
42.75,i,7,0,1,7,60,5
42.88,i,7,0,1,7,60,5
43.0,bVII,5,10,7,7,60,5
43.0,bVII,5,10,7,7,58,3
43.12,bVII,5,10,7,7,57,2
43.25,i,7,0,1,7,57,2
43.62,i,7,0,1,7,55,0
43.75,i,7,0,1,7,60,5
43.88,i,7,0,1,7,60,5
44.0,i,7,0,1,7,58,3
44.0,bVII,5,10,7,7,58,3
44.12,bVII,5,10,7,7,57,2
44.25,i,7,0,1,7,57,2
45.0,i,7,0,1,7,55,0
45.0,bVII,5,10,7,7,55,0
45.25,bVII,5,10,7,7,55,0
45.25,i,7,0,1,7,55,0
45.38,i,7,0,1,7,55,0
45.5,i,7,0,1,7,55,0
45.62,i,7,0,1,7,55,0
46.0,bVII,5,10,7,7,55,0
46.0,bVII,5,10,7,7,55,0
46.25,bVII,5,10,7,7,55,0
46.25,i,7,0,1,7,55,0
46.38,i,7,0,1,7,55,0
47.0,bVII,5,10,7,7,55,0
47.0,bVII,5,10,7,7,55,0
47.25,bVII,5,10,7,7,55,0
47.25,i,7,0,1,7,55,0
47.38,i,7,0,1,7,55,0
47.5,i,7,0,1,7,55,0
47.62,i,7,0,1,7,55,0
48.0,i,7,0,1,7,55,0
48.0,bVII,5,10,7,7,55,0
48.12,bVII,5,10,7,7,55,0
48.25,bVII,5,10,7,7,70,3
48.25,i,7,0,1,7,70,3
48.38,i,7,0,1,7,65,10
49.0,i,7,0,1,7,55,0
49.0,bVII,5,10,7,7,55,0
49.25,bVII,5,10,7,7,55,0
49.25,i,7,0,1,7,55,0
49.38,i,7,0,1,7,55,0
49.5,i,7,0,1,7,55,0
49.62,i,7,0,1,7,55,0
50.0,i,7,0,1,7,55,0
50.0,bVII,5,10,7,7,55,0
50.25,i,7,0,1,7,55,0
50.25,i,7,0,1,7,55,0
50.38,i,7,0,1,7,55,0
51.0,i,7,0,1,7,55,0
51.0,bVII,5,10,7,7,55,0
51.25,bVII,5,10,7,7,55,0
51.25,i,7,0,1,7,55,0
51.38,i,7,0,1,7,55,0
51.5,i,7,0,1,7,55,0
51.62,i,7,0,1,7,55,0
52.0,bVII,5,10,7,7,55,0
52.0,bVII,5,10,7,7,55,0
52.12,bVII,5,10,7,7,55,0
52.25,i,7,0,1,7,55,0
52.25,i,7,0,1,7,60,5
52.38,i,7,0,1,7,60,5
53.0,bVII,5,10,7,7,60,5
53.25,i,7,0,1,7,60,5
54.0,bVII,5,10,7,7,60,5
54.25,i,7,0,1,7,60,5
55.0,bVII,5,10,7,7,60,5
55.25,i,7,0,1,7,60,5
56.0,bVII,5,10,7,7,60,5
56.25,i,7,0,1,7,60,5
57.0,bVII,5,10,7,7,60,5
57.25,i,7,0,1,7,60,5
58.0,bVII,5,10,7,7,60,5
58.25,i,7,0,1,7,60,5
59.0,bVII,5,10,7,7,60,5
59.25,i,7,0,1,7,60,5
60.0,bVII,5,10,7,7,60,5
60.25,i,7,0,1,7,60,5
61.0,bVII,5,10,7,7,60,5
61.25,i,7,0,1,7,60,5
62.0,bVII,5,10,7,7,60,5
62.25,i,7,0,1,7,60,5
63.0,bVII,5,10,7,7,60,5
63.25,i,7,0,1,7,60,5
64.0,bVII,5,10,7,7,60,5
64.25,i,7,0,1,7,60,5
65.0,bVII,5,10,7,7,60,5
65.25,i,7,0,1,7,60,5
66.0,bVII,5,10,7,7,60,5
66.25,i,7,0,1,7,60,5
67.0,bVII,5,10,7,7,60,5
67.25,i,7,0,1,7,60,5
68.0,bVII,5,10,7,7,60,5
68.25,i,7,0,1,7,60,5
68.75,i,7,0,1,7,55,0
68.88,i,7,0,1,7,58,3
69.0,bVII,5,10,7,7,58,3
69.0,bVII,5,10,7,7,62,7
69.12,bVII,5,10,7,7,62,7
69.25,i,7,0,1,7,62,7
69.62,i,7,0,1,7,55,0
69.75,i,7,0,1,7,55,0
