Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
3.25,I,7,0,1,7,62,7
3.5,I,7,0,1,7,62,7
3.75,I,7,0,1,7,67,0
4.0,I,7,0,1,7,64,9
4.25,I,7,0,1,7,64,9
4.5,I,7,0,1,7,62,7
4.5,V,2,7,5,7,62,7
4.62,V,2,7,5,7,64,9
4.75,V,2,7,5,7,62,7
5.0,V,2,7,5,7,59,4
5.0,I,7,0,1,7,59,4
5.5,V,2,7,5,7,59,4
5.5,V,2,7,5,7,59,4
5.88,V,2,7,5,7,62,7
6.0,V,2,7,5,7,59,4
6.0,I,7,0,1,7,59,4
6.5,V,2,7,5,7,59,4
7.0,I,7,0,1,7,59,4
7.25,I,7,0,1,7,62,7
7.5,V,2,7,5,7,62,7
7.5,V,2,7,5,7,62,7
7.75,V,2,7,5,7,67,0
8.0,I,7,0,1,7,67,0
8.0,I,7,0,1,7,64,9
8.25,I,7,0,1,7,64,9
8.5,I,7,0,1,7,62,7
8.5,V,2,7,5,7,62,7
8.62,V,2,7,5,7,64,9
8.75,V,2,7,5,7,62,7
9.0,V,2,7,5,7,59,4
9.0,I,7,0,1,7,59,4
9.25,I,7,0,1,7,59,4
9.5,I,7,0,1,7,59,4
9.5,V,2,7,5,7,59,4
9.88,V,2,7,5,7,62,7
10.0,I,7,0,1,7,62,7
10.12,I,7,0,1,7,57,2
10.25,I,7,0,1,7,59,4
10.5,V,2,7,5,7,59,4
11.0,I,7,0,1,7,59,4
11.25,I,7,0,1,7,59,4
11.5,I,7,0,1,7,59,4
11.5,V,2,7,5,7,59,4
11.75,V,2,7,5,7,62,7
12.0,vi,4,9,6,7,62,7
12.0,vi,4,9,6,7,58,3
12.25,vi,4,9,6,7,59,4
13.25,vi,4,9,6,7,55,0
13.5,vi,4,9,6,7,59,4
13.88,vi,4,9,6,7,57,2
14.0,IV,0,5,4,7,57,2
14.12,IV,0,5,4,7,55,0
15.0,V,2,7,5,7,55,0
15.5,V,2,7,5,7,62,7
15.75,V,2,7,5,7,67,0
16.0,V,2,7,5,7,64,9
16.0,I,7,0,1,7,64,9
16.25,I,7,0,1,7,64,9
16.5,I,7,0,1,7,62,7
16.5,V,2,7,5,7,62,7
16.62,V,2,7,5,7,64,9
16.75,V,2,7,5,7,62,7
17.0,V,2,7,5,7,59,4
17.0,I,7,0,1,7,59,4
17.25,I,7,0,1,7,59,4
17.5,V,2,7,5,7,59,4
17.5,V,2,7,5,7,59,4
17.88,V,2,7,5,7,62,7
18.0,I,7,0,1,7,62,7
18.0,I,7,0,1,7,57,2
18.25,I,7,0,1,7,59,4
18.5,V,2,7,5,7,59,4
19.0,I,7,0,1,7,59,4
19.25,I,7,0,1,7,55,0
19.5,I,7,0,1,7,59,4
19.62,I,7,0,1,7,62,7
19.75,I,7,0,1,7,59,4
19.81,I,7,0,1,7,57,2
19.88,I,7,0,1,7,55,0
20.06,I,7,0,1,7,55,0
20.5,IV,0,5,4,7,55,0
21.0,I,7,0,1,7,55,0
21.12,I,7,0,1,7,55,0
21.25,I,7,0,1,7,55,0
21.38,I,7,0,1,7,55,0
21.5,I,7,0,1,7,57,2
21.5,IV,0,5,4,7,57,2
21.62,IV,0,5,4,7,58,3
21.75,IV,0,5,4,7,57,2
22.0,I,7,0,1,7,57,2
22.0,I,7,0,1,7,55,0
22.5,IV,0,5,4,7,55,0
23.0,I,7,0,1,7,55,0
23.12,I,7,0,1,7,55,0
23.25,I,7,0,1,7,55,0
23.38,I,7,0,1,7,55,0
23.5,IV,0,5,4,7,55,0
23.5,IV,0,5,4,7,57,2
23.62,IV,0,5,4,7,59,4
23.75,IV,0,5,4,7,57,2
23.88,IV,0,5,4,7,55,0
24.0,IV,0,5,4,7,55,0
24.25,IV,0,5,4,7,55,0
24.38,IV,0,5,4,7,55,0
24.5,vi,4,9,6,7,55,0
24.5,vi,4,9,6,7,57,2
24.62,vi,4,9,6,7,59,4
24.75,vi,4,9,6,7,57,2
24.88,vi,4,9,6,7,55,0
25.0,vi,4,9,6,7,55,0
25.0,IV,0,5,4,7,55,0
25.12,IV,0,5,4,7,52,9
25.38,IV,0,5,4,7,55,0
25.5,IV,0,5,4,7,57,2
25.5,V,2,7,5,7,57,2
25.62,V,2,7,5,7,58,3
25.75,V,2,7,5,7,57,2
25.88,V,2,7,5,7,55,0
26.0,I,7,0,1,7,55,0
26.0,I,7,0,1,7,55,0
26.5,IV,0,5,4,7,55,0
27.0,I,7,0,1,7,55,0
27.25,I,7,0,1,7,62,7
27.5,I,7,0,1,7,62,7
27.75,I,7,0,1,7,67,0
28.0,I,7,0,1,7,64,9
28.25,I,7,0,1,7,64,9
28.5,I,7,0,1,7,62,7
28.5,V,2,7,5,7,62,7
28.62,V,2,7,5,7,64,9
28.75,V,2,7,5,7,62,7
