Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
9.25,I,0,0,1,0,52,4
9.38,I,0,0,1,0,52,4
9.5,I,0,0,1,0,52,4
9.69,I,0,0,1,0,50,2
9.75,I,0,0,1,0,52,4
9.88,I,0,0,1,0,55,7
10.0,iii,4,4,3,0,55,7
10.25,iii,4,4,3,0,59,11
10.31,iii,4,4,3,0,55,7
10.5,iii,4,4,3,0,55,7
10.88,iii,4,4,3,0,60,0
10.94,iii,4,4,3,0,60,0
11.0,iii,4,4,3,0,60,0
11.0,IV,5,5,4,0,60,0
11.38,IV,5,5,4,0,57,9
11.75,IV,5,5,4,0,55,7
11.81,IV,5,5,4,0,55,7
12.0,V,7,7,5,0,55,7
12.0,V,7,7,5,0,57,9
12.19,V,7,7,5,0,50,2
12.25,V,7,7,5,0,50,2
12.38,V,7,7,5,0,52,4
12.5,IV,5,5,4,0,52,4
12.5,IV,5,5,4,0,52,4
12.56,IV,5,5,4,0,52,4
12.75,IV,5,5,4,0,50,2
12.88,IV,5,5,4,0,48,0
13.0,I,0,0,1,0,48,0
13.38,I,0,0,1,0,52,4
13.44,I,0,0,1,0,50,2
13.5,I,0,0,1,0,52,4
13.69,I,0,0,1,0,52,4
13.75,I,0,0,1,0,52,4
13.88,I,0,0,1,0,55,7
14.0,iii,4,4,3,0,55,7
14.25,iii,4,4,3,0,57,9
14.31,iii,4,4,3,0,59,11
14.5,iii,4,4,3,0,59,11
14.69,iii,4,4,3,0,55,7
14.75,iii,4,4,3,0,57,9
14.94,iii,4,4,3,0,60,0
15.0,iii,4,4,3,0,60,0
15.0,IV,5,5,4,0,60,0
15.38,IV,5,5,4,0,57,9
15.5,IV,5,5,4,0,60,0
15.62,IV,5,5,4,0,62,2
15.88,IV,5,5,4,0,64,4
16.0,V,7,7,5,0,64,4
16.88,V,7,7,5,0,64,4
16.94,V,7,7,5,0,65,5
17.0,V,7,7,5,0,67,7
17.0,I,0,0,1,0,67,7
17.25,I,0,0,1,0,64,4
17.5,I,0,0,1,0,62,2
17.5,ii,2,2,2,0,62,2
17.62,ii,2,2,2,0,60,0
17.75,ii,2,2,2,0,62,2
17.88,ii,2,2,2,0,59,11
18.0,iii,4,4,3,0,59,11
18.12,iii,4,4,3,0,55,7
18.19,iii,4,4,3,0,57,9
18.5,biii,3,3,3,0,57,9
18.94,biii,3,3,3,0,60,0
19.0,biii,3,3,3,0,60,0
19.0,ii,2,2,2,0,60,0
19.25,ii,2,2,2,0,60,0
19.31,ii,2,2,2,0,60,0
19.44,ii,2,2,2,0,60,0
19.5,ii,2,2,2,0,60,0
19.62,ii,2,2,2,0,64,4
20.0,V,7,7,5,0,64,4
20.75,V,7,7,5,0,64,4
20.88,V,7,7,5,0,65,5
21.0,I,0,0,1,0,65,5
21.0,I,0,0,1,0,67,7
21.12,I,0,0,1,0,64,4
21.38,I,0,0,1,0,60,0
21.5,I,0,0,1,0,64,4
21.5,ii,2,2,2,0,64,4
21.75,ii,2,2,2,0,64,4
21.88,ii,2,2,2,0,60,0
22.0,iii,4,4,3,0,60,0
22.0,iii,4,4,3,0,55,7
22.06,iii,4,4,3,0,57,9
22.5,biii,3,3,3,0,57,9
22.62,biii,3,3,3,0,60,0
22.75,biii,3,3,3,0,60,0
22.88,biii,3,3,3,0,60,0
23.0,biii,3,3,3,0,60,0
23.0,ii,2,2,2,0,60,0
23.25,ii,2,2,2,0,57,9
23.38,ii,2,2,2,0,60,0
23.62,ii,2,2,2,0,64,4
23.75,ii,2,2,2,0,64,4
24.0,V,7,7,5,0,64,4
24.12,V,7,7,5,0,65,5
24.25,V,7,7,5,0,65,5
24.38,V,7,7,5,0,65,5
24.5,IV,5,5,4,0,65,5
24.5,IV,5,5,4,0,65,5
24.62,IV,5,5,4,0,67,7
24.88,IV,5,5,4,0,64,4
25.0,I,0,0,1,0,64,4
25.0,I,0,0,1,0,64,4
25.38,I,0,0,1,0,64,4
25.5,iii6,4,4,3,0,64,4
25.5,iii6,4,4,3,0,67,7
25.75,iii6,4,4,3,0,69,9
25.88,iii6,4,4,3,0,60,0
26.0,vi,9,9,6,0,60,0
26.12,vi,9,9,6,0,64,4
26.25,vi,9,9,6,0,64,4
26.38,vi,9,9,6,0,69,9
26.5,I64,0,0,1,0,69,9
26.62,I64,0,0,1,0,67,7
26.75,I64,0,0,1,0,64,4
27.0,IV,5,5,4,0,64,4
27.38,IV,5,5,4,0,60,0
27.5,IV,5,5,4,0,60,0
27.56,IV,5,5,4,0,60,0
27.69,IV,5,5,4,0,60,0
27.75,IV,5,5,4,0,60,0
27.88,IV,5,5,4,0,62,2
