Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
4.12,I,10,0,1,10,60,2
4.17,I,10,0,1,10,62,4
4.29,I,10,0,1,10,53,7
4.75,bVII,8,10,7,10,53,7
4.88,bVII,8,10,7,10,54,8
5.0,V/ii,7,9,6,10,54,8
5.08,V/ii,7,9,6,10,55,9
5.25,V/ii,7,9,6,10,59,1
5.38,V/ii,7,9,6,10,62,4
5.5,V/ii,7,9,6,10,67,9
5.58,V/ii,7,9,6,10,65,7
5.62,V/ii,7,9,6,10,67,9
5.67,V/ii,7,9,6,10,65,7
6.0,ii,0,2,2,10,65,7
6.12,ii,0,2,2,10,62,4
6.21,ii,0,2,2,10,63,5
6.38,ii,0,2,2,10,65,7
6.5,ii,0,2,2,10,67,9
7.75,ii,0,2,2,10,65,7
7.83,ii,0,2,2,10,67,9
7.92,ii,0,2,2,10,65,7
8.0,ii,0,2,2,10,67,9
8.0,V,5,7,5,10,67,9
8.17,V,5,7,5,10,57,11
9.0,V,5,7,5,10,53,7
9.17,V,5,7,5,10,57,11
9.33,V,5,7,5,10,60,2
9.5,viix43/V,4,6,4,10,60,2
9.5,viix43/V,4,6,4,10,70,0
9.67,viix43/V,4,6,4,10,67,9
9.75,viix43/V,4,6,4,10,69,11
9.92,viix43/V,4,6,4,10,67,9
10.0,I,10,0,1,10,67,9
10.12,I,10,0,1,10,67,9
10.17,I,10,0,1,10,65,7
10.25,I,10,0,1,10,67,9
10.33,I,10,0,1,10,65,7
10.5,viio/ii,11,1,2,10,65,7
11.0,ii,0,2,2,10,65,7
11.5,V,5,7,5,10,65,7
12.0,I,10,0,1,10,65,7
12.17,I,10,0,1,10,60,2
12.21,I,10,0,1,10,62,4
12.33,I,10,0,1,10,62,4
12.38,I,10,0,1,10,53,7
12.75,bVII,8,10,7,10,53,7
12.92,bVII,8,10,7,10,54,8
13.0,V/ii,7,9,6,10,54,8
13.0,V/ii,7,9,6,10,55,9
13.17,V/ii,7,9,6,10,59,1
13.42,V/ii,7,9,6,10,62,4
13.5,V/ii,7,9,6,10,65,7
13.62,V/ii,7,9,6,10,67,9
13.88,V/ii,7,9,6,10,65,7
13.92,V/ii,7,9,6,10,67,9
13.96,V/ii,7,9,6,10,65,7
14.0,V/ii,7,9,6,10,62,4
14.0,ii,0,2,2,10,62,4
14.17,ii,0,2,2,10,63,5
14.29,ii,0,2,2,10,67,9
15.67,ii,0,2,2,10,65,7
15.79,ii,0,2,2,10,67,9
15.83,ii,0,2,2,10,65,7
15.92,ii,0,2,2,10,67,9
15.96,ii,0,2,2,10,65,7
16.0,V,5,7,5,10,65,7
16.08,V,5,7,5,10,67,9
16.25,V,5,7,5,10,57,11
16.92,V,5,7,5,10,53,7
17.0,V,5,7,5,10,53,7
17.17,V,5,7,5,10,57,11
17.38,V,5,7,5,10,60,2
17.5,V,5,7,5,10,63,5
17.92,V,5,7,5,10,62,4
18.0,V,5,7,5,10,60,2
18.0,I,10,0,1,10,60,2
18.08,I,10,0,1,10,60,2
18.17,I,10,0,1,10,58,0
18.5,ii,0,2,2,10,58,0
19.0,viix43/V,4,6,4,10,58,0
19.5,V7/IV,10,0,1,10,58,0
19.92,V7/IV,10,0,1,10,69,11
20.0,V7/IV,10,0,1,10,70,0
20.0,IV,3,5,4,10,70,0
20.17,IV,3,5,4,10,67,9
21.0,IV,3,5,4,10,57,11
21.08,IV,3,5,4,10,58,0
21.38,IV,3,5,4,10,63,5
21.5,viix7/V,4,6,4,10,63,5
21.5,viix7/V,4,6,4,10,67,9
21.62,viix7/V,4,6,4,10,70,0
21.75,viix7/V,4,6,4,10,70,0
21.83,viix7/V,4,6,4,10,69,11
22.0,viix7/V,4,6,4,10,67,9
22.0,I,10,0,1,10,67,9
22.12,I,10,0,1,10,70,0
22.25,I,10,0,1,10,65,7
23.25,VII,9,11,7,10,65,7
23.5,I,10,0,1,10,65,7
23.75,bII,11,1,2,10,65,7
24.0,V7/V,0,2,2,10,65,7
24.0,V7/V,0,2,2,10,70,0
24.12,V7/V,0,2,2,10,67,9
25.0,V7/V,0,2,2,10,58,0
25.08,V7/V,0,2,2,10,60,2
25.42,V7/V,0,2,2,10,64,6
25.5,V7/V,0,2,2,10,67,9
25.62,V7/V,0,2,2,10,69,11
25.71,V7/V,0,2,2,10,70,0
25.92,V7/V,0,2,2,10,69,11
26.0,V7,5,7,5,10,69,11
26.0,V7,5,7,5,10,67,9
26.12,V7,5,7,5,10,69,11
26.83,V7,5,7,5,10,67,9
26.92,V7,5,7,5,10,69,11
26.96,V7,5,7,5,10,67,9
27.0,V7,5,7,5,10,69,11
27.04,V7,5,7,5,10,67,9
27.5,V7,5,7,5,10,65,7
28.0,I,10,0,1,10,65,7
28.17,I,10,0,1,10,60,2
28.21,I,10,0,1,10,62,4
28.29,I,10,0,1,10,53,7
28.75,bVII,8,10,7,10,53,7
28.92,bVII,8,10,7,10,54,8
29.0,V/ii,7,9,6,10,54,8
29.0,V/ii,7,9,6,10,55,9
29.08,V/ii,7,9,6,10,59,1
29.42,V/ii,7,9,6,10,62,4
29.54,V/ii,7,9,6,10,65,7
29.62,V/ii,7,9,6,10,67,9
29.71,V/ii,7,9,6,10,67,9
29.75,V/ii,7,9,6,10,65,7
30.0,ii,0,2,2,10,65,7
30.08,ii,0,2,2,10,62,4
30.17,ii,0,2,2,10,63,5
30.33,ii,0,2,2,10,65,7
30.42,ii,0,2,2,10,67,9
31.75,ii,0,2,2,10,65,7
31.88,ii,0,2,2,10,67,9
32.0,IV,3,5,4,10,67,9
