Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
1.62,I,2,0,1,2,54,4
1.75,I,2,0,1,2,54,4
1.81,I,2,0,1,2,57,7
2.0,I,2,0,1,2,59,9
2.75,I,2,0,1,2,54,4
2.88,I,2,0,1,2,57,7
3.0,I,2,0,1,2,59,9
3.75,I,2,0,1,2,54,4
3.88,I,2,0,1,2,57,7
4.0,I,2,0,1,2,59,9
4.5,I,2,0,1,2,61,11
4.88,I,2,0,1,2,57,7
5.0,I,2,0,1,2,54,4
5.75,I,2,0,1,2,61,11
5.88,I,2,0,1,2,62,0
6.0,I,2,0,1,2,64,2
6.12,I,2,0,1,2,62,0
6.25,I,2,0,1,2,62,0
6.38,I,2,0,1,2,62,0
6.62,I,2,0,1,2,62,0
6.75,I,2,0,1,2,61,11
6.88,I,2,0,1,2,62,0
7.0,I,2,0,1,2,64,2
7.25,I,2,0,1,2,62,0
7.38,I,2,0,1,2,62,0
7.75,I,2,0,1,2,61,11
7.88,I,2,0,1,2,62,0
8.0,IV,7,5,4,2,62,0
8.0,IV,7,5,4,2,64,2
8.38,IV,7,5,4,2,62,0
8.5,IV,7,5,4,2,59,9
8.75,IV,7,5,4,2,55,5
9.0,IV,7,5,4,2,52,2
9.0,iih65,4,2,2,2,52,2
9.75,iih65,4,2,2,2,59,9
9.88,iih65,4,2,2,2,59,9
10.0,iih65,4,2,2,2,59,9
10.0,I,2,0,1,2,59,9
10.12,I,2,0,1,2,57,7
10.38,I,2,0,1,2,57,7
10.88,I,2,0,1,2,57,7
11.0,V7,9,7,5,2,57,7
11.12,V7,9,7,5,2,59,9
11.25,V7,9,7,5,2,61,11
11.38,V7,9,7,5,2,59,9
11.5,V7,9,7,5,2,57,7
12.25,V7,9,7,5,2,57,7
12.5,V7,9,7,5,2,59,9
12.75,V7,9,7,5,2,61,11
13.0,V7,9,7,5,2,62,0
13.0,I,2,0,1,2,62,0
13.12,I,2,0,1,2,57,7
13.25,I,2,0,1,2,59,9
13.38,I,2,0,1,2,54,4
13.5,I,2,0,1,2,57,7
14.0,iii,6,4,3,2,57,7
14.0,iii,6,4,3,2,57,7
14.12,iii,6,4,3,2,66,4
14.38,iii,6,4,3,2,61,11
15.0,iii,6,4,3,2,62,0
15.0,I,2,0,1,2,62,0
15.12,I,2,0,1,2,57,7
15.25,I,2,0,1,2,59,9
15.38,I,2,0,1,2,54,4
15.5,I,2,0,1,2,57,7
16.0,iii,6,4,3,2,57,7
16.0,iii,6,4,3,2,57,7
16.12,iii,6,4,3,2,66,4
16.38,iii,6,4,3,2,61,11
16.88,iii,6,4,3,2,57,7
17.0,IV,7,5,4,2,57,7
17.0,IV,7,5,4,2,55,5
17.75,IV,7,5,4,2,55,5
17.88,IV,7,5,4,2,55,5
18.0,V7,9,7,5,2,55,5
18.0,V7,9,7,5,2,54,4
18.75,V7,9,7,5,2,50,0
18.88,V7,9,7,5,2,52,2
19.0,V7,9,7,5,2,52,2
19.0,IV,7,5,4,2,52,2
19.12,IV,7,5,4,2,50,0
19.88,IV,7,5,4,2,49,11
19.94,IV,7,5,4,2,50,0
20.0,V7,9,7,5,2,50,0
20.0,V7,9,7,5,2,49,11
20.62,V7,9,7,5,2,49,11
20.75,V7,9,7,5,2,50,0
20.88,V7,9,7,5,2,52,2
21.0,V7,9,7,5,2,52,2
21.0,I,2,0,1,2,52,2
21.25,I,2,0,1,2,50,0
22.0,I,2,0,1,2,52,2
22.12,I,2,0,1,2,50,0
23.0,IV,7,5,4,2,50,0
23.0,IV,7,5,4,2,52,2
23.12,IV,7,5,4,2,50,0
24.0,iih65,4,2,2,2,50,0
24.0,iih65,4,2,2,2,54,4
24.38,iih65,4,2,2,2,55,5
24.44,iih65,4,2,2,2,54,4
24.5,iih65,4,2,2,2,52,2
24.62,iih65,4,2,2,2,50,0
24.75,iih65,4,2,2,2,50,0
24.88,iih65,4,2,2,2,50,0
25.0,I,2,0,1,2,50,0
25.0,I,2,0,1,2,57,7
25.88,I,2,0,1,2,50,0
26.0,I,2,0,1,2,50,0
26.75,I,2,0,1,2,50,0
26.88,I,2,0,1,2,50,0
27.0,V7,9,7,5,2,50,0
27.0,V7,9,7,5,2,57,7
27.75,V7,9,7,5,2,50,0
27.88,V7,9,7,5,2,50,0
28.0,V7,9,7,5,2,49,11
28.62,V7,9,7,5,2,49,11
28.75,V7,9,7,5,2,50,0
28.88,V7,9,7,5,2,52,2
29.0,V7,9,7,5,2,52,2
29.0,I,2,0,1,2,52,2
29.25,I,2,0,1,2,50,0
30.62,I,2,0,1,2,54,4
30.75,I,2,0,1,2,54,4
30.88,I,2,0,1,2,57,7
30.94,I,2,0,1,2,59,9
31.62,I,2,0,1,2,50,0
31.75,I,2,0,1,2,54,4
31.88,I,2,0,1,2,57,7
32.0,I,2,0,1,2,59,9
32.75,I,2,0,1,2,54,4
32.88,I,2,0,1,2,57,7
33.0,I,2,0,1,2,59,9
33.5,I,2,0,1,2,61,11
33.88,I,2,0,1,2,57,7
34.0,I,2,0,1,2,57,7
34.06,I,2,0,1,2,54,4
34.81,I,2,0,1,2,61,11
34.88,I,2,0,1,2,61,11
34.94,I,2,0,1,2,62,0
35.0,I,2,0,1,2,64,2
35.12,I,2,0,1,2,62,0
35.38,I,2,0,1,2,62,0
35.75,I,2,0,1,2,61,11
35.88,I,2,0,1,2,62,0
36.0,I,2,0,1,2,64,2
36.25,I,2,0,1,2,62,0
36.38,I,2,0,1,2,62,0
36.88,I,2,0,1,2,62,0
37.0,I,2,0,1,2,64,2
37.0,IV,7,5,4,2,64,2
37.12,IV,7,5,4,2,62,0
37.38,IV,7,5,4,2,62,0
37.5,IV,7,5,4,2,62,0
37.62,IV,7,5,4,2,59,9
37.88,IV,7,5,4,2,62,0
38.0,iih65,4,2,2,2,62,0
38.0,iih65,4,2,2,2,66,4
38.38,iih65,4,2,2,2,67,5
38.44,iih65,4,2,2,2,66,4
38.5,iih65,4,2,2,2,64,2
38.75,iih65,4,2,2,2,62,0
38.88,iih65,4,2,2,2,62,0
39.0,iih65,4,2,2,2,69,7
39.0,I,2,0,1,2,69,7
39.75,I,2,0,1,2,62,0
39.88,I,2,0,1,2,62,0
40.75,I,2,0,1,2,62,0
40.88,I,2,0,1,2,62,0
41.0,V7,9,7,5,2,62,0
41.0,V7,9,7,5,2,69,7
41.75,V7,9,7,5,2,61,11
42.0,V7,9,7,5,2,61,11
43.0,V7,9,7,5,2,74,0
43.0,I,2,0,1,2,74,0
43.12,I,2,0,1,2,69,7
43.25,I,2,0,1,2,71,9
43.38,I,2,0,1,2,66,4
43.5,I,2,0,1,2,69,7
43.62,I,2,0,1,2,66,4
43.81,I,2,0,1,2,62,0
44.0,I,2,0,1,2,61,11
44.0,iii,6,4,3,2,61,11
44.12,iii,6,4,3,2,66,4
44.38,iii,6,4,3,2,61,11
45.0,iii,6,4,3,2,74,0
45.0,I,2,0,1,2,74,0
45.12,I,2,0,1,2,69,7
45.25,I,2,0,1,2,71,9
45.38,I,2,0,1,2,66,4
45.5,I,2,0,1,2,69,7
45.62,I,2,0,1,2,66,4
45.81,I,2,0,1,2,62,0
46.0,I,2,0,1,2,61,11
46.0,iii,6,4,3,2,61,11
46.12,iii,6,4,3,2,66,4
46.38,iii,6,4,3,2,61,11
47.0,iii,6,4,3,2,62,0
47.0,IV,7,5,4,2,62,0
47.75,IV,7,5,4,2,62,0
47.88,IV,7,5,4,2,66,4
48.0,V7,9,7,5,2,66,4
48.12,V7,9,7,5,2,61,11
48.88,V7,9,7,5,2,59,9
49.0,IV,7,5,4,2,59,9
49.12,IV,7,5,4,2,62,0
49.62,IV,7,5,4,2,62,0
49.88,IV,7,5,4,2,61,11
49.94,IV,7,5,4,2,62,0
50.0,V7,9,7,5,2,62,0
50.0,V7,9,7,5,2,61,11
50.75,V7,9,7,5,2,62,0
50.88,V7,9,7,5,2,64,2
51.0,I,2,0,1,2,64,2
51.0,I,2,0,1,2,64,2
51.12,I,2,0,1,2,62,0
52.0,I,2,0,1,2,64,2
52.12,I,2,0,1,2,62,0
53.0,IV,7,5,4,2,62,0
53.0,IV,7,5,4,2,64,2
53.12,IV,7,5,4,2,62,0
54.0,iih65,4,2,2,2,62,0
54.0,iih65,4,2,2,2,66,4
54.38,iih65,4,2,2,2,67,5
54.44,iih65,4,2,2,2,66,4
54.5,iih65,4,2,2,2,64,2
54.75,iih65,4,2,2,2,62,0
54.88,iih65,4,2,2,2,62,0
55.0,iih65,4,2,2,2,66,4
55.0,I,2,0,1,2,66,4
56.0,I,2,0,1,2,62,0
57.0,I,2,0,1,2,69,7
58.0,vi,11,9,6,2,69,7
58.0,vi,11,9,6,2,62,0
59.0,IV,7,5,4,2,62,0
59.0,IV,7,5,4,2,67,5
59.75,IV,7,5,4,2,66,4
59.88,IV,7,5,4,2,67,5
60.0,V7,9,7,5,2,67,5
60.0,V7,9,7,5,2,69,7
60.75,V7,9,7,5,2,68,6
61.0,V7,9,7,5,2,69,7
61.0,I,2,0,1,2,69,7
61.5,V7,9,7,5,2,69,7
62.0,I,2,0,1,2,69,7
62.5,IV,7,5,4,2,69,7
63.0,I,2,0,1,2,69,7
65.0,End,2,0,1,2,69,7
