Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
3.92,I,3,0,1,3,58,7
4.0,I,3,0,1,3,67,4
4.17,I,3,0,1,3,67,4
4.25,I,3,0,1,3,67,4
4.42,I,3,0,1,3,65,2
4.5,I,3,0,1,3,67,4
4.67,I,3,0,1,3,65,2
4.75,I,3,0,1,3,65,2
4.92,I,3,0,1,3,63,0
5.0,IV,8,5,4,3,63,0
5.0,IV,8,5,4,3,65,2
5.25,IV,8,5,4,3,63,0
5.42,IV,8,5,4,3,63,0
5.92,IV,8,5,4,3,63,0
6.0,IV,8,5,4,3,65,2
6.0,V,10,7,5,3,65,2
6.17,V,10,7,5,3,65,2
6.42,V,10,7,5,3,65,2
6.67,V,10,7,5,3,65,2
6.92,V,10,7,5,3,65,2
7.0,V,10,7,5,3,65,2
7.0,I,3,0,1,3,65,2
7.17,I,3,0,1,3,63,0
7.42,I,3,0,1,3,63,0
7.92,I,3,0,1,3,67,4
8.17,I,3,0,1,3,65,2
8.25,I,3,0,1,3,67,4
8.42,I,3,0,1,3,65,2
8.5,I,3,0,1,3,67,4
8.67,I,3,0,1,3,65,2
8.75,I,3,0,1,3,65,2
8.92,I,3,0,1,3,63,0
9.0,I,3,0,1,3,65,2
9.0,IV,8,5,4,3,65,2
9.25,IV,8,5,4,3,63,0
9.42,IV,8,5,4,3,63,0
9.92,IV,8,5,4,3,63,0
10.0,IV,8,5,4,3,65,2
10.0,V,10,7,5,3,65,2
10.17,V,10,7,5,3,65,2
10.42,V,10,7,5,3,65,2
10.67,V,10,7,5,3,65,2
10.92,V,10,7,5,3,65,2
11.0,I,3,0,1,3,65,2
11.0,I,3,0,1,3,65,2
11.17,I,3,0,1,3,63,0
11.42,I,3,0,1,3,63,0
12.25,I,3,0,1,3,67,4
12.92,I,3,0,1,3,63,0
13.0,I,3,0,1,3,65,2
13.0,IV,8,5,4,3,65,2
13.17,IV,8,5,4,3,63,0
13.42,IV,8,5,4,3,63,0
14.0,I,3,0,1,3,63,0
14.25,I,3,0,1,3,67,4
14.75,I,3,0,1,3,63,0
15.0,I,3,0,1,3,67,4
15.0,V,10,7,5,3,67,4
15.25,V,10,7,5,3,65,2
15.42,V,10,7,5,3,65,2
16.0,I,3,0,1,3,65,2
16.25,I,3,0,1,3,67,4
16.75,I,3,0,1,3,65,2
16.92,I,3,0,1,3,67,4
17.0,I,3,0,1,3,65,2
17.0,IV,8,5,4,3,65,2
17.17,IV,8,5,4,3,63,0
17.42,IV,8,5,4,3,63,0
17.92,IV,8,5,4,3,63,0
18.0,IV,8,5,4,3,65,2
18.0,V,10,7,5,3,65,2
18.17,V,10,7,5,3,65,2
18.42,V,10,7,5,3,65,2
18.67,V,10,7,5,3,65,2
18.92,V,10,7,5,3,65,2
19.0,I,3,0,1,3,65,2
19.0,I,3,0,1,3,65,2
19.17,I,3,0,1,3,63,0
19.42,I,3,0,1,3,63,0
22.0,I,3,0,1,3,67,4
22.17,I,3,0,1,3,67,4
22.25,I,3,0,1,3,67,4
22.42,I,3,0,1,3,65,2
22.5,I,3,0,1,3,67,4
22.67,I,3,0,1,3,65,2
22.75,I,3,0,1,3,65,2
22.92,I,3,0,1,3,63,0
23.0,IV,8,5,4,3,63,0
23.0,IV,8,5,4,3,65,2
23.25,IV,8,5,4,3,63,0
23.42,IV,8,5,4,3,63,0
23.92,IV,8,5,4,3,63,0
24.0,IV,8,5,4,3,65,2
24.0,V,10,7,5,3,65,2
24.17,V,10,7,5,3,65,2
24.42,V,10,7,5,3,65,2
24.67,V,10,7,5,3,65,2
24.92,V,10,7,5,3,65,2
25.0,I,3,0,1,3,65,2
25.0,I,3,0,1,3,65,2
25.17,I,3,0,1,3,63,0
25.42,I,3,0,1,3,63,0
25.92,I,3,0,1,3,58,7
26.0,I,3,0,1,3,67,4
26.17,I,3,0,1,3,65,2
26.25,I,3,0,1,3,67,4
26.42,I,3,0,1,3,67,4
26.67,I,3,0,1,3,65,2
26.75,I,3,0,1,3,65,2
27.0,IV,8,5,4,3,65,2
27.0,IV,8,5,4,3,65,2
27.17,IV,8,5,4,3,63,0
27.42,IV,8,5,4,3,63,0
27.92,IV,8,5,4,3,63,0
28.0,IV,8,5,4,3,65,2
28.0,V,10,7,5,3,65,2
28.17,V,10,7,5,3,65,2
28.42,V,10,7,5,3,65,2
28.67,V,10,7,5,3,65,2
28.92,V,10,7,5,3,65,2
29.0,V,10,7,5,3,65,2
29.0,I,3,0,1,3,65,2
29.17,I,3,0,1,3,63,0
29.42,I,3,0,1,3,63,0
30.25,I,3,0,1,3,67,4
30.92,I,3,0,1,3,63,0
31.0,I,3,0,1,3,65,2
31.0,IV,8,5,4,3,65,2
31.17,IV,8,5,4,3,63,0
31.42,IV,8,5,4,3,63,0
32.0,I,3,0,1,3,63,0
32.25,I,3,0,1,3,67,4
32.75,I,3,0,1,3,67,4
33.0,V,10,7,5,3,67,4
33.0,V,10,7,5,3,67,4
33.17,V,10,7,5,3,65,2
33.42,V,10,7,5,3,65,2
34.0,I,3,0,1,3,65,2
34.25,I,3,0,1,3,67,4
34.75,I,3,0,1,3,65,2
34.92,I,3,0,1,3,67,4
35.0,I,3,0,1,3,65,2
35.0,IV,8,5,4,3,65,2
35.17,IV,8,5,4,3,63,0
35.42,IV,8,5,4,3,63,0
35.92,IV,8,5,4,3,63,0
36.0,IV,8,5,4,3,65,2
36.0,V,10,7,5,3,65,2
36.17,V,10,7,5,3,65,2
36.42,V,10,7,5,3,65,2
36.67,V,10,7,5,3,65,2
36.92,V,10,7,5,3,65,2
37.0,I,3,0,1,3,65,2
37.0,I,3,0,1,3,65,2
37.17,I,3,0,1,3,63,0
37.42,I,3,0,1,3,63,0
41.0,IV,8,5,4,3,63,0
41.92,IV,8,5,4,3,63,0
42.0,IV,8,5,4,3,65,2
42.0,V,10,7,5,3,65,2
42.17,V,10,7,5,3,65,2
42.42,V,10,7,5,3,65,2
42.67,V,10,7,5,3,65,2
42.92,V,10,7,5,3,65,2
43.0,I,3,0,1,3,65,2
43.0,I,3,0,1,3,65,2
43.17,I,3,0,1,3,63,0
43.42,I,3,0,1,3,63,0
45.0,IV,8,5,4,3,63,0
45.92,IV,8,5,4,3,63,0
46.0,IV,8,5,4,3,65,2
46.0,V,10,7,5,3,65,2
46.17,V,10,7,5,3,65,2
46.42,V,10,7,5,3,65,2
46.67,V,10,7,5,3,65,2
46.92,V,10,7,5,3,65,2
47.0,V,10,7,5,3,65,2
47.0,I,3,0,1,3,65,2
47.17,I,3,0,1,3,63,0
47.42,I,3,0,1,3,63,0
48.0,I,3,0,1,3,67,4
48.17,I,3,0,1,3,67,4
48.25,I,3,0,1,3,67,4
48.42,I,3,0,1,3,65,2
48.5,I,3,0,1,3,67,4
48.67,I,3,0,1,3,65,2
48.75,I,3,0,1,3,65,2
48.92,I,3,0,1,3,63,0
49.0,IV,8,5,4,3,63,0
49.0,IV,8,5,4,3,65,2
49.17,IV,8,5,4,3,63,0
49.42,IV,8,5,4,3,63,0
49.92,IV,8,5,4,3,63,0
50.0,V,10,7,5,3,63,0
50.0,V,10,7,5,3,65,2
50.17,V,10,7,5,3,65,2
50.42,V,10,7,5,3,65,2
50.67,V,10,7,5,3,65,2
50.92,V,10,7,5,3,65,2
51.0,V,10,7,5,3,65,2
51.0,I,3,0,1,3,65,2
51.17,I,3,0,1,3,63,0
51.42,I,3,0,1,3,63,0
51.92,I,3,0,1,3,67,4
52.17,I,3,0,1,3,67,4
52.42,I,3,0,1,3,67,4
52.67,I,3,0,1,3,65,2
52.75,I,3,0,1,3,65,2
52.92,I,3,0,1,3,63,0
53.0,I,3,0,1,3,65,2
53.0,IV,8,5,4,3,65,2
53.17,IV,8,5,4,3,63,0
53.42,IV,8,5,4,3,63,0
53.92,IV,8,5,4,3,63,0
54.0,IV,8,5,4,3,65,2
54.0,V,10,7,5,3,65,2
54.17,V,10,7,5,3,65,2
54.42,V,10,7,5,3,65,2
54.67,V,10,7,5,3,65,2
54.92,V,10,7,5,3,65,2
55.0,V,10,7,5,3,65,2
55.0,I,3,0,1,3,65,2
55.17,I,3,0,1,3,63,0
55.42,I,3,0,1,3,63,0
56.25,I,3,0,1,3,67,4
56.92,I,3,0,1,3,63,0
57.0,I,3,0,1,3,65,2
57.0,IV,8,5,4,3,65,2
57.17,IV,8,5,4,3,63,0
57.42,IV,8,5,4,3,63,0
58.0,I,3,0,1,3,63,0
58.25,I,3,0,1,3,67,4
58.75,I,3,0,1,3,63,0
59.0,I,3,0,1,3,67,4
59.0,V,10,7,5,3,67,4
59.17,V,10,7,5,3,65,2
59.42,V,10,7,5,3,65,2
60.0,I,3,0,1,3,65,2
60.25,I,3,0,1,3,67,4
60.75,I,3,0,1,3,65,2
60.92,I,3,0,1,3,67,4
61.0,IV,8,5,4,3,67,4
61.0,IV,8,5,4,3,65,2
61.17,IV,8,5,4,3,63,0
61.42,IV,8,5,4,3,63,0
61.92,IV,8,5,4,3,63,0
62.0,IV,8,5,4,3,65,2
62.0,V,10,7,5,3,65,2
62.17,V,10,7,5,3,65,2
62.42,V,10,7,5,3,65,2
62.67,V,10,7,5,3,65,2
62.92,V,10,7,5,3,65,2
63.0,I,3,0,1,3,65,2
63.0,I,3,0,1,3,65,2
63.17,I,3,0,1,3,63,0
63.42,I,3,0,1,3,63,0
65.42,I,3,0,1,3,67,4
65.67,I,3,0,1,3,65,2
65.75,I,3,0,1,3,63,0
65.92,I,3,0,1,3,67,4
66.0,I,3,0,1,3,63,0
66.17,I,3,0,1,3,63,0
66.42,I,3,0,1,3,63,0
66.67,I,3,0,1,3,63,0
66.92,I,3,0,1,3,63,0
67.0,IV,8,5,4,3,63,0
67.0,IV,8,5,4,3,65,2
67.17,IV,8,5,4,3,63,0
67.42,IV,8,5,4,3,63,0
67.92,IV,8,5,4,3,63,0
68.0,IV,8,5,4,3,65,2
68.0,V,10,7,5,3,65,2
68.17,V,10,7,5,3,65,2
68.42,V,10,7,5,3,65,2
68.67,V,10,7,5,3,65,2
68.92,V,10,7,5,3,65,2
69.0,V,10,7,5,3,65,2
69.0,I,3,0,1,3,65,2
69.17,I,3,0,1,3,63,0
69.42,I,3,0,1,3,63,0
70.0,I,3,0,1,3,63,0
70.17,I,3,0,1,3,63,0
70.42,I,3,0,1,3,63,0
70.67,I,3,0,1,3,63,0
70.92,I,3,0,1,3,63,0
71.0,IV,8,5,4,3,63,0
71.0,IV,8,5,4,3,65,2
71.17,IV,8,5,4,3,63,0
71.42,IV,8,5,4,3,63,0
71.92,IV,8,5,4,3,63,0
72.0,IV,8,5,4,3,65,2
72.0,V,10,7,5,3,65,2
72.17,V,10,7,5,3,65,2
72.42,V,10,7,5,3,65,2
72.67,V,10,7,5,3,65,2
72.92,V,10,7,5,3,65,2
73.0,I,3,0,1,3,65,2
73.0,I,3,0,1,3,65,2
73.17,I,3,0,1,3,63,0
