Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
3.88,I,4,0,1,4,68,4
4.25,I,4,0,1,4,66,2
4.38,I,4,0,1,4,66,2
4.5,I,4,0,1,4,64,0
4.75,I,4,0,1,4,62,10
4.88,I,4,0,1,4,64,0
5.25,I,4,0,1,4,62,10
5.38,I,4,0,1,4,68,4
5.75,I,4,0,1,4,64,0
5.88,I,4,0,1,4,62,10
6.0,I,4,0,1,4,64,0
6.12,I,4,0,1,4,62,10
6.25,I,4,0,1,4,64,0
6.38,I,4,0,1,4,62,10
6.5,I,4,0,1,4,64,0
6.62,I,4,0,1,4,64,0
6.88,I,4,0,1,4,68,4
8.0,I,4,0,1,4,68,4
8.12,I,4,0,1,4,66,2
8.38,I,4,0,1,4,66,2
8.5,I,4,0,1,4,64,0
8.75,I,4,0,1,4,64,0
8.88,I,4,0,1,4,62,10
9.0,I,4,0,1,4,64,0
9.25,I,4,0,1,4,64,0
9.38,I,4,0,1,4,68,4
9.88,I,4,0,1,4,62,10
10.0,I,4,0,1,4,64,0
10.25,I,4,0,1,4,64,0
10.38,I,4,0,1,4,66,2
10.5,I,4,0,1,4,64,0
10.62,I,4,0,1,4,64,0
10.88,I,4,0,1,4,68,4
11.25,I,4,0,1,4,68,4
11.38,I,4,0,1,4,68,4
11.5,I,4,0,1,4,66,2
11.62,I,4,0,1,4,66,2
11.75,I,4,0,1,4,64,0
11.88,I,4,0,1,4,68,4
12.38,I,4,0,1,4,66,2
12.5,I,4,0,1,4,64,0
13.75,I,4,0,1,4,68,4
13.88,I,4,0,1,4,66,2
14.0,I,4,0,1,4,68,4
14.12,I,4,0,1,4,66,2
14.25,I,4,0,1,4,64,0
14.38,I,4,0,1,4,64,0
14.5,I,4,0,1,4,62,10
15.38,I,4,0,1,4,68,4
15.5,I,4,0,1,4,68,4
15.62,I,4,0,1,4,66,2
15.75,I,4,0,1,4,64,0
15.94,I,4,0,1,4,68,4
16.0,I,4,0,1,4,68,4
16.88,I,4,0,1,4,69,5
17.25,I,4,0,1,4,69,5
17.38,I,4,0,1,4,67,3
17.44,I,4,0,1,4,66,2
17.5,I,4,0,1,4,64,0
17.75,I,4,0,1,4,61,9
17.88,I,4,0,1,4,66,2
18.0,IV,9,5,4,4,66,2
18.12,IV,9,5,4,4,66,2
18.62,IV,9,5,4,4,69,5
18.75,IV,9,5,4,4,67,3
18.88,IV,9,5,4,4,66,2
19.0,IV,9,5,4,4,64,0
19.12,IV,9,5,4,4,66,2
19.62,IV,9,5,4,4,62,10
19.81,IV,9,5,4,4,64,0
20.0,IV,9,5,4,4,69,5
20.25,IV,9,5,4,4,69,5
20.38,IV,9,5,4,4,68,4
20.44,IV,9,5,4,4,66,2
20.5,IV,9,5,4,4,64,0
