Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
9.38,I,4,0,1,4,64,0
9.62,I,4,0,1,4,66,2
9.88,I,4,0,1,4,64,0
10.0,I,4,0,1,4,59,7
10.12,I,4,0,1,4,59,7
10.25,I,4,0,1,4,61,9
10.38,I,4,0,1,4,61,9
10.5,I,4,0,1,4,63,11
10.62,I,4,0,1,4,63,11
10.75,I,4,0,1,4,64,0
10.88,I,4,0,1,4,64,0
11.0,IV,9,5,4,4,64,0
11.12,IV,9,5,4,4,61,9
11.25,IV,9,5,4,4,69,5
11.62,IV,9,5,4,4,69,5
11.88,IV,9,5,4,4,68,4
12.0,V,11,7,5,4,68,4
12.12,V,11,7,5,4,68,4
12.19,V,11,7,5,4,69,5
12.25,V,11,7,5,4,68,4
12.38,V,11,7,5,4,66,2
13.0,I,4,0,1,4,66,2
13.38,I,4,0,1,4,64,0
13.62,I,4,0,1,4,66,2
13.88,I,4,0,1,4,64,0
14.0,I,4,0,1,4,59,7
14.25,I,4,0,1,4,61,9
14.38,I,4,0,1,4,61,9
14.5,I,4,0,1,4,63,11
14.75,I,4,0,1,4,64,0
14.88,I,4,0,1,4,64,0
15.0,I,4,0,1,4,61,9
15.0,IV,9,5,4,4,61,9
15.12,IV,9,5,4,4,69,5
15.38,IV,9,5,4,4,69,5
15.88,IV,9,5,4,4,68,4
16.0,V,11,7,5,4,68,4
16.12,V,11,7,5,4,68,4
16.19,V,11,7,5,4,69,5
16.25,V,11,7,5,4,68,4
16.38,V,11,7,5,4,66,2
17.0,ii,6,2,2,4,66,2
17.25,ii,6,2,2,4,61,9
17.5,ii,6,2,2,4,71,7
17.75,ii,6,2,2,4,69,5
18.0,ii,6,2,2,4,68,4
18.0,V,11,7,5,4,68,4
18.25,V,11,7,5,4,66,2
18.38,V,11,7,5,4,66,2
19.0,ii,8,2,2,6,66,2
19.25,ii,8,2,2,6,63,9
19.5,ii,8,2,2,6,73,7
19.75,ii,8,2,2,6,71,5
20.0,ii,8,2,2,6,70,4
20.0,V,1,7,5,6,70,4
20.25,V,1,7,5,6,68,2
20.38,V,1,7,5,6,68,2
20.62,V,1,7,5,6,68,2
20.75,V,1,7,5,6,70,4
21.0,I,6,0,1,6,70,4
21.12,I,6,0,1,6,68,2
21.25,I,6,0,1,6,66,0
22.38,I,6,0,1,6,70,4
22.62,I,6,0,1,6,68,2
22.75,I,6,0,1,6,66,0
22.88,I,6,0,1,6,65,11
23.0,ii7,8,2,2,6,65,11
23.12,ii7,8,2,2,6,66,0
24.0,V,1,7,5,6,66,0
24.12,V,1,7,5,6,65,11
24.25,V,1,7,5,6,66,0
24.38,V,1,7,5,6,68,2
24.62,V,1,7,5,6,65,11
24.75,V,1,7,5,6,63,9
24.88,V,1,7,5,6,65,11
25.0,I,6,0,1,6,65,11
25.12,I,6,0,1,6,63,9
25.19,I,6,0,1,6,65,11
25.25,I,6,0,1,6,63,9
25.5,I,6,0,1,6,61,7
26.38,I,6,0,1,6,70,4
26.62,I,6,0,1,6,68,2
26.75,I,6,0,1,6,66,0
26.88,I,6,0,1,6,65,11
27.0,ii7,8,2,2,6,65,11
27.12,ii7,8,2,2,6,66,0
28.0,V,1,7,5,6,66,0
29.0,V7,11,7,5,4,66,0
30.0,I,4,0,1,4,66,0
30.38,I,4,0,1,4,64,0
30.62,I,4,0,1,4,66,2
30.88,I,4,0,1,4,64,0
31.0,I,4,0,1,4,59,7
31.12,I,4,0,1,4,59,7
31.25,I,4,0,1,4,61,9
31.38,I,4,0,1,4,61,9
31.5,I,4,0,1,4,63,11
31.62,I,4,0,1,4,63,11
31.75,I,4,0,1,4,64,0
31.88,I,4,0,1,4,64,0
32.0,IV,9,5,4,4,64,0
32.12,IV,9,5,4,4,61,9
32.38,IV,9,5,4,4,69,5
32.62,IV,9,5,4,4,69,5
32.88,IV,9,5,4,4,68,4
33.0,IV,9,5,4,4,68,4
33.0,V,11,7,5,4,68,4
33.12,V,11,7,5,4,66,2
33.38,V,11,7,5,4,66,2
