Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
12.25,i,5,0,1,5,58,5
12.31,i,5,0,1,5,60,7
12.5,i,5,0,1,5,65,0
12.81,i,5,0,1,5,60,7
12.88,i,5,0,1,5,56,3
13.0,i,5,0,1,5,58,5
13.06,i,5,0,1,5,60,7
13.25,i,5,0,1,5,58,5
13.38,i,5,0,1,5,60,7
13.44,i,5,0,1,5,58,5
13.56,i,5,0,1,5,56,3
13.62,i,5,0,1,5,56,3
14.25,i,5,0,1,5,60,7
14.38,i,5,0,1,5,60,7
14.5,i,5,0,1,5,65,0
14.81,i,5,0,1,5,60,7
14.88,i,5,0,1,5,56,3
15.0,i,5,0,1,5,58,5
15.06,i,5,0,1,5,60,7
15.25,i,5,0,1,5,58,5
15.31,i,5,0,1,5,58,5
15.44,i,5,0,1,5,58,5
15.56,i,5,0,1,5,56,3
15.62,i,5,0,1,5,58,5
16.62,i,5,0,1,5,58,5
16.69,i,5,0,1,5,56,3
16.88,i,5,0,1,5,58,5
16.94,i,5,0,1,5,53,0
18.0,i,5,0,1,5,67,2
18.25,i,5,0,1,5,65,0
18.5,i,5,0,1,5,63,10
18.88,i,5,0,1,5,60,7
18.94,i,5,0,1,5,58,5
19.06,i,5,0,1,5,56,3
19.25,i,5,0,1,5,58,5
19.38,i,5,0,1,5,60,7
19.44,i,5,0,1,5,56,3
19.5,i,5,0,1,5,51,10
19.62,i,5,0,1,5,53,0
20.0,IV6,10,5,4,5,53,0
20.12,IV6,10,5,4,5,53,0
20.19,IV6,10,5,4,5,55,2
20.25,IV6,10,5,4,5,56,3
20.38,IV6,10,5,4,5,58,5
20.44,IV6,10,5,4,5,59,6
20.5,V,0,7,5,5,59,6
20.56,V,0,7,5,5,60,7
20.94,V,0,7,5,5,68,3
21.0,IV6,10,5,4,5,68,3
21.06,IV6,10,5,4,5,68,3
21.12,IV6,10,5,4,5,68,3
21.19,IV6,10,5,4,5,68,3
21.25,IV6,10,5,4,5,67,2
21.31,IV6,10,5,4,5,65,0
21.38,IV6,10,5,4,5,65,0
21.44,IV6,10,5,4,5,65,0
21.5,IV6,10,5,4,5,63,10
21.62,IV6,10,5,4,5,63,10
21.69,IV6,10,5,4,5,60,7
21.75,IV6,10,5,4,5,58,5
21.88,IV6,10,5,4,5,56,3
21.94,IV6,10,5,4,5,60,7
22.0,V,0,7,5,5,60,7
23.69,V,0,7,5,5,60,7
23.75,V,0,7,5,5,62,9
23.81,V,0,7,5,5,65,0
24.0,i,5,0,1,5,65,0
24.06,i,5,0,1,5,65,0
24.25,i,5,0,1,5,63,10
24.5,bVII,3,10,7,5,63,10
24.5,bVII,3,10,7,5,65,0
24.56,bVII,3,10,7,5,65,0
24.69,bVII,3,10,7,5,63,10
24.75,bVII,3,10,7,5,60,7
25.0,bVII,3,10,7,5,65,0
25.0,bVI,1,8,6,5,65,0
25.06,bVI,1,8,6,5,63,10
25.12,bVI,1,8,6,5,63,10
25.19,bVI,1,8,6,5,65,0
25.25,bVI,1,8,6,5,63,10
25.38,bVI,1,8,6,5,63,10
25.44,bVI,1,8,6,5,65,0
25.5,bVII,3,10,7,5,65,0
25.5,bVII,3,10,7,5,63,10
25.62,bVII,3,10,7,5,63,10
25.69,bVII,3,10,7,5,65,0
25.75,bVII,3,10,7,5,63,10
26.0,i,5,0,1,5,63,10
26.06,i,5,0,1,5,65,0
26.25,i,5,0,1,5,63,10
26.44,i,5,0,1,5,65,0
26.5,bVII,3,10,7,5,65,0
26.56,bVII,3,10,7,5,63,10
26.62,bVII,3,10,7,5,65,0
26.69,bVII,3,10,7,5,63,10
26.75,bVII,3,10,7,5,60,7
27.0,bVII,3,10,7,5,65,0
27.0,bVI,1,8,6,5,65,0
27.06,bVI,1,8,6,5,63,10
27.19,bVI,1,8,6,5,63,10
27.25,bVI,1,8,6,5,58,5
27.38,bVI,1,8,6,5,56,3
27.44,bVI,1,8,6,5,58,5
27.5,bVII,3,10,7,5,58,5
27.5,bVII,3,10,7,5,56,3
27.56,bVII,3,10,7,5,58,5
27.81,bVII,3,10,7,5,56,3
27.88,bVII,3,10,7,5,58,5
27.94,bVII,3,10,7,5,53,0
28.0,i,5,0,1,5,53,0
32.19,i,5,0,1,5,60,7
32.38,i,5,0,1,5,60,7
32.5,i,5,0,1,5,65,0
32.88,i,5,0,1,5,58,5
32.94,i,5,0,1,5,56,3
33.0,i,5,0,1,5,60,7
33.25,i,5,0,1,5,58,5
33.31,i,5,0,1,5,58,5
33.44,i,5,0,1,5,58,5
33.62,i,5,0,1,5,56,3
34.25,i,5,0,1,5,58,5
34.31,i,5,0,1,5,60,7
34.5,i,5,0,1,5,65,0
34.81,i,5,0,1,5,60,7
34.88,i,5,0,1,5,56,3
35.0,i,5,0,1,5,58,5
35.06,i,5,0,1,5,60,7
35.25,i,5,0,1,5,58,5
35.38,i,5,0,1,5,58,5
35.44,i,5,0,1,5,59,6
35.5,i,5,0,1,5,58,5
35.62,i,5,0,1,5,56,3
35.69,i,5,0,1,5,58,5
36.62,i,5,0,1,5,58,5
36.69,i,5,0,1,5,56,3
36.88,i,5,0,1,5,58,5
37.0,i,5,0,1,5,53,0
38.0,i,5,0,1,5,65,0
38.31,i,5,0,1,5,67,2
38.38,i,5,0,1,5,68,3
38.5,i,5,0,1,5,67,2
38.62,i,5,0,1,5,65,0
39.12,i,5,0,1,5,65,0
39.25,i,5,0,1,5,67,2
39.38,i,5,0,1,5,68,3
39.44,i,5,0,1,5,67,2
39.56,i,5,0,1,5,68,3
39.62,i,5,0,1,5,65,0
40.12,i,5,0,1,5,67,2
40.19,i,5,0,1,5,68,3
40.25,i,5,0,1,5,67,2
40.31,i,5,0,1,5,65,0
40.5,i,5,0,1,5,67,2
40.5,bVII,3,10,7,5,67,2
40.62,bVII,3,10,7,5,67,2
40.69,bVII,3,10,7,5,68,3
40.75,bVII,3,10,7,5,67,2
40.81,bVII,3,10,7,5,65,0
41.0,bVI,1,8,6,5,65,0
41.0,bVI,1,8,6,5,68,3
41.12,bVI,1,8,6,5,65,0
41.19,bVI,1,8,6,5,63,10
41.25,bVI,1,8,6,5,65,0
41.38,bVI,1,8,6,5,63,10
41.44,bVI,1,8,6,5,65,0
41.5,bVII,3,10,7,5,65,0
41.56,bVII,3,10,7,5,63,10
41.62,bVII,3,10,7,5,65,0
41.69,bVII,3,10,7,5,63,10
41.75,bVII,3,10,7,5,65,0
41.81,bVII,3,10,7,5,63,10
41.88,bVII,3,10,7,5,65,0
42.0,i,5,0,1,5,65,0
42.12,i,5,0,1,5,67,2
42.19,i,5,0,1,5,68,3
42.25,i,5,0,1,5,67,2
42.31,i,5,0,1,5,65,0
42.44,i,5,0,1,5,65,0
42.5,i,5,0,1,5,67,2
42.5,bVII,3,10,7,5,67,2
42.56,bVII,3,10,7,5,67,2
42.69,bVII,3,10,7,5,68,3
42.75,bVII,3,10,7,5,67,2
42.81,bVII,3,10,7,5,65,0
43.0,IV6,10,5,4,5,65,0
43.0,IV6,10,5,4,5,68,3
43.06,IV6,10,5,4,5,68,3
43.12,IV6,10,5,4,5,68,3
43.19,IV6,10,5,4,5,67,2
43.31,IV6,10,5,4,5,65,0
43.44,IV6,10,5,4,5,65,0
43.5,IV6,10,5,4,5,67,2
