Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
3.67,V,3,7,5,8,58,2
3.92,V,3,7,5,8,60,4
4.0,I,8,0,1,8,60,4
4.0,I,8,0,1,8,60,4
4.04,I,8,0,1,8,56,0
4.17,I,8,0,1,8,56,0
4.42,I,8,0,1,8,63,7
4.5,I,8,0,1,8,63,7
4.5,vi,5,9,6,8,63,7
4.54,vi,5,9,6,8,60,4
4.67,vi,5,9,6,8,60,4
5.0,IV,1,5,4,8,60,4
5.25,IV,1,5,4,8,61,5
5.33,IV,1,5,4,8,61,5
5.42,IV,1,5,4,8,60,4
5.5,V,3,7,5,8,60,4
5.58,V,3,7,5,8,60,4
5.75,V,3,7,5,8,58,2
6.0,I,8,0,1,8,58,2
6.25,I,8,0,1,8,56,0
6.33,I,8,0,1,8,58,2
6.42,I,8,0,1,8,60,4
6.5,vi,5,9,6,8,60,4
6.5,vi,5,9,6,8,60,4
6.58,vi,5,9,6,8,58,2
6.67,vi,5,9,6,8,56,0
7.0,IV,1,5,4,8,56,0
7.0,IV,1,5,4,8,61,5
7.17,IV,1,5,4,8,61,5
7.33,IV,1,5,4,8,61,5
7.42,IV,1,5,4,8,60,4
7.5,V,3,7,5,8,60,4
7.5,V,3,7,5,8,60,4
7.67,V,3,7,5,8,58,2
8.0,I,8,0,1,8,58,2
8.17,I,8,0,1,8,56,0
8.33,I,8,0,1,8,58,2
8.42,I,8,0,1,8,60,4
8.5,I,8,0,1,8,60,4
8.5,vi,5,9,6,8,60,4
8.58,vi,5,9,6,8,58,2
8.67,vi,5,9,6,8,56,0
9.0,IV,1,5,4,8,56,0
9.17,IV,1,5,4,8,61,5
9.33,IV,1,5,4,8,61,5
9.42,IV,1,5,4,8,60,4
9.5,IV,1,5,4,8,58,2
9.5,V,3,7,5,8,58,2
9.92,V,3,7,5,8,60,4
10.0,V,3,7,5,8,60,4
10.0,I,8,0,1,8,60,4
10.21,I,8,0,1,8,58,2
10.25,I,8,0,1,8,56,0
10.5,vi,5,9,6,8,56,0
11.0,IV,1,5,4,8,56,0
11.5,V,3,7,5,8,56,0
11.67,V,3,7,5,8,63,7
11.83,V,3,7,5,8,65,9
11.92,V,3,7,5,8,67,11
12.0,I,8,0,1,8,67,11
12.0,I,8,0,1,8,67,11
12.04,I,8,0,1,8,63,7
12.17,I,8,0,1,8,63,7
12.38,I,8,0,1,8,60,4
12.42,I,8,0,1,8,63,7
12.5,I,8,0,1,8,60,4
12.5,vi,5,9,6,8,60,4
12.58,vi,5,9,6,8,58,2
12.67,vi,5,9,6,8,56,0
13.0,IV,1,5,4,8,56,0
13.17,IV,1,5,4,8,56,0
13.25,IV,1,5,4,8,61,5
13.33,IV,1,5,4,8,61,5
13.42,IV,1,5,4,8,60,4
13.5,V,3,7,5,8,60,4
13.5,V,3,7,5,8,60,4
13.67,V,3,7,5,8,58,2
14.0,I,8,0,1,8,58,2
14.25,I,8,0,1,8,56,0
14.33,I,8,0,1,8,58,2
14.42,I,8,0,1,8,60,4
14.5,I,8,0,1,8,60,4
14.5,vi,5,9,6,8,60,4
14.58,vi,5,9,6,8,58,2
14.67,vi,5,9,6,8,56,0
14.92,vi,5,9,6,8,56,0
15.0,IV,1,5,4,8,56,0
15.0,IV,1,5,4,8,61,5
15.42,IV,1,5,4,8,60,4
15.5,IV,1,5,4,8,60,4
15.5,V,3,7,5,8,60,4
15.58,V,3,7,5,8,58,2
16.0,I,8,0,1,8,58,2
16.17,I,8,0,1,8,56,0
16.33,I,8,0,1,8,58,2
