Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
16.0,i,4,0,1,4,52,0
16.5,ii,6,2,2,4,52,0
16.5,ii,6,2,2,4,54,2
17.0,bIII,7,3,3,4,54,2
17.0,bIII,7,3,3,4,55,3
18.0,bVII,2,10,7,4,55,3
18.25,bVII,2,10,7,4,54,2
18.5,bVII,2,10,7,4,54,2
18.69,bVII,2,10,7,4,52,0
18.88,bVII,2,10,7,4,50,10
19.0,bVI,0,8,6,4,50,10
19.19,bVI,0,8,6,4,52,0
20.0,bIII,7,3,3,4,52,0
20.25,bIII,7,3,3,4,62,10
20.5,bIII,7,3,3,4,62,10
20.75,bIII,7,3,3,4,60,8
20.88,bIII,7,3,3,4,59,7
21.0,bVII,2,10,7,4,59,7
21.5,bVII,2,10,7,4,60,8
21.75,bVII,2,10,7,4,59,7
21.94,bVII,2,10,7,4,57,5
22.0,bVI,0,8,6,4,57,5
22.25,bVI,0,8,6,4,55,3
24.0,i,4,0,1,4,55,3
24.0,i,4,0,1,4,52,0
24.5,i,4,0,1,4,54,2
24.5,ii,6,2,2,4,54,2
24.88,ii,6,2,2,4,55,3
25.0,bIII,7,3,3,4,55,3
25.12,bIII,7,3,3,4,55,3
26.0,bVII,2,10,7,4,55,3
26.25,bVII,2,10,7,4,54,2
26.5,bVII,2,10,7,4,54,2
26.69,bVII,2,10,7,4,52,0
26.88,bVII,2,10,7,4,50,10
27.0,bVI,0,8,6,4,50,10
27.19,bVI,0,8,6,4,52,0
28.0,bIII,7,3,3,4,52,0
28.25,bIII,7,3,3,4,62,10
28.5,bIII,7,3,3,4,62,10
28.75,bIII,7,3,3,4,60,8
28.88,bIII,7,3,3,4,59,7
29.0,bVII,2,10,7,4,59,7
29.25,bVII,2,10,7,4,60,8
29.5,bVII,2,10,7,4,60,8
29.62,bVII,2,10,7,4,59,7
29.88,bVII,2,10,7,4,57,5
30.0,bVI,0,8,6,4,57,5
30.12,bVI,0,8,6,4,55,3
30.5,bVI,0,8,6,4,54,2
31.0,bVI,0,8,6,4,52,0
32.0,i,4,0,1,4,52,0
34.0,i,4,0,1,4,52,0
34.5,ii,6,2,2,4,52,0
34.5,ii,6,2,2,4,54,2
35.0,bIII,7,3,3,4,54,2
35.0,bIII,7,3,3,4,55,3
36.0,bVII,2,10,7,4,55,3
36.25,bVII,2,10,7,4,54,2
36.5,bVII,2,10,7,4,54,2
36.75,bVII,2,10,7,4,52,0
36.88,bVII,2,10,7,4,50,10
37.0,bVI,0,8,6,4,50,10
37.12,bVI,0,8,6,4,52,0
38.0,bIII,7,3,3,4,52,0
38.25,bIII,7,3,3,4,62,10
38.38,bIII,7,3,3,4,62,10
38.62,bIII,7,3,3,4,60,8
38.88,bIII,7,3,3,4,59,7
39.0,bVII,2,10,7,4,59,7
39.25,bVII,2,10,7,4,60,8
39.38,bVII,2,10,7,4,60,8
39.62,bVII,2,10,7,4,60,8
39.88,bVII,2,10,7,4,59,7
40.0,bVI,0,8,6,4,59,7
40.12,bVI,0,8,6,4,57,5
40.25,bVI,0,8,6,4,55,3
40.38,bVI,0,8,6,4,55,3
42.0,bVI,0,8,6,4,52,0
42.0,i,4,0,1,4,52,0
42.5,i,4,0,1,4,54,2
42.5,ii,6,2,2,4,54,2
43.0,ii,6,2,2,4,55,3
43.0,bIII,7,3,3,4,55,3
44.0,bVII,2,10,7,4,55,3
44.5,bVII,2,10,7,4,54,2
44.75,bVII,2,10,7,4,52,0
44.88,bVII,2,10,7,4,50,10
45.0,bVI,0,8,6,4,50,10
45.12,bVI,0,8,6,4,52,0
46.0,bIII,7,3,3,4,52,0
46.25,bIII,7,3,3,4,62,10
46.5,bIII,7,3,3,4,62,10
46.75,bIII,7,3,3,4,60,8
46.88,bIII,7,3,3,4,59,7
47.0,bVII,2,10,7,4,59,7
47.25,bVII,2,10,7,4,60,8
47.5,bVII,2,10,7,4,60,8
47.75,bVII,2,10,7,4,59,7
47.88,bVII,2,10,7,4,57,5
48.0,bVI,0,8,6,4,57,5
48.25,bVI,0,8,6,4,55,3
48.5,bVI,0,8,6,4,54,2
49.0,bVI,0,8,6,4,52,0
50.0,i,4,0,1,4,52,0
76.0,i,4,0,1,4,52,0
76.5,i,4,0,1,4,54,2
76.5,ii,6,2,2,4,54,2
77.0,ii,6,2,2,4,55,3
77.0,bIII,7,3,3,4,55,3
78.0,bVII,2,10,7,4,55,3
78.5,bVII,2,10,7,4,54,2
78.69,bVII,2,10,7,4,52,0
78.88,bVII,2,10,7,4,50,10
79.0,bVI,0,8,6,4,50,10
79.19,bVI,0,8,6,4,52,0
80.0,bIII,7,3,3,4,52,0
80.25,bIII,7,3,3,4,62,10
80.5,bIII,7,3,3,4,62,10
80.75,bIII,7,3,3,4,60,8
81.0,bVII,2,10,7,4,60,8
81.25,bVII,2,10,7,4,60,8
81.5,bVII,2,10,7,4,60,8
81.75,bVII,2,10,7,4,59,7
82.0,bVI,0,8,6,4,59,7
82.0,bVI,0,8,6,4,57,5
82.25,bVI,0,8,6,4,55,3
84.0,i,4,0,1,4,55,3
84.0,i,4,0,1,4,52,0
84.5,i,4,0,1,4,54,2
84.5,ii,6,2,2,4,54,2
85.0,ii,6,2,2,4,55,3
85.0,bIII,7,3,3,4,55,3
86.0,bVII,2,10,7,4,55,3
86.25,bVII,2,10,7,4,54,2
86.5,bVII,2,10,7,4,54,2
86.75,bVII,2,10,7,4,52,0
86.88,bVII,2,10,7,4,50,10
87.0,bVI,0,8,6,4,50,10
87.12,bVI,0,8,6,4,52,0
88.0,bIII,7,3,3,4,52,0
88.25,bIII,7,3,3,4,62,10
88.5,bIII,7,3,3,4,62,10
88.62,bIII,7,3,3,4,60,8
89.0,bVII,2,10,7,4,60,8
89.25,bVII,2,10,7,4,60,8
89.5,bVII,2,10,7,4,60,8
89.75,bVII,2,10,7,4,59,7
89.88,bVII,2,10,7,4,57,5
90.0,bVI,0,8,6,4,57,5
90.12,bVI,0,8,6,4,55,3
90.5,bVI,0,8,6,4,54,2
91.0,bVI,0,8,6,4,52,0
92.0,i,4,0,1,4,52,0
114.0,End,4,0,1,4,52,0
