Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
0.0,bVI,0,8,6,4,64,0
0.62,bVI,0,8,6,4,66,2
0.75,bVI,0,8,6,4,67,3
0.88,bVI,0,8,6,4,69,5
1.12,bVI,0,8,6,4,67,3
1.38,bVI,0,8,6,4,66,2
1.62,bVI,0,8,6,4,64,0
1.88,bVI,0,8,6,4,59,7
2.0,bVI,0,8,6,4,57,5
2.0,i,4,0,1,4,57,5
2.12,i,4,0,1,4,55,3
4.0,bVI,0,8,6,4,55,3
4.0,bVI,0,8,6,4,64,0
4.62,bVI,0,8,6,4,66,2
4.75,bVI,0,8,6,4,67,3
4.88,bVI,0,8,6,4,69,5
5.12,bVI,0,8,6,4,67,3
5.38,bVI,0,8,6,4,66,2
5.62,bVI,0,8,6,4,64,0
5.88,bVI,0,8,6,4,59,7
6.0,bVI,0,8,6,4,57,5
6.0,i,4,0,1,4,57,5
6.12,i,4,0,1,4,55,3
8.0,i,4,0,1,4,57,5
8.12,i,4,0,1,4,57,5
8.25,i,4,0,1,4,59,7
8.38,i,4,0,1,4,55,3
8.62,i,4,0,1,4,52,0
9.0,i,4,0,1,4,55,3
9.12,i,4,0,1,4,57,5
9.25,i,4,0,1,4,59,7
9.38,i,4,0,1,4,62,10
9.62,i,4,0,1,4,61,9
9.75,i,4,0,1,4,59,7
9.88,i,4,0,1,4,61,9
10.12,i,4,0,1,4,59,7
10.25,i,4,0,1,4,57,5
10.38,i,4,0,1,4,59,7
10.62,i,4,0,1,4,57,5
10.75,i,4,0,1,4,55,3
10.88,i,4,0,1,4,57,5
11.0,bVI,0,8,6,4,57,5
12.0,bVI,0,8,6,4,55,3
12.12,bVI,0,8,6,4,57,5
12.25,bVI,0,8,6,4,59,7
12.38,bVI,0,8,6,4,60,8
12.5,i,4,0,1,4,60,8
12.62,i,4,0,1,4,59,7
13.0,i,4,0,1,4,57,5
13.12,i,4,0,1,4,57,5
13.25,i,4,0,1,4,59,7
13.38,i,4,0,1,4,55,3
13.62,i,4,0,1,4,52,0
14.0,i,4,0,1,4,55,3
14.12,i,4,0,1,4,57,5
14.25,i,4,0,1,4,59,7
14.38,i,4,0,1,4,62,10
14.62,i,4,0,1,4,61,9
14.75,i,4,0,1,4,59,7
14.88,i,4,0,1,4,61,9
15.12,i,4,0,1,4,59,7
15.25,i,4,0,1,4,57,5
15.38,i,4,0,1,4,59,7
15.62,i,4,0,1,4,57,5
15.75,i,4,0,1,4,55,3
15.88,i,4,0,1,4,57,5
16.0,bVI,0,8,6,4,57,5
17.0,bVI,0,8,6,4,55,3
17.12,bVI,0,8,6,4,57,5
17.25,bVI,0,8,6,4,59,7
17.38,bVI,0,8,6,4,60,8
17.5,i,4,0,1,4,60,8
17.62,i,4,0,1,4,59,7
18.0,i,4,0,1,4,57,5
18.25,i,4,0,1,4,55,3
18.38,i,4,0,1,4,57,5
18.75,i,4,0,1,4,59,7
18.88,i,4,0,1,4,55,3
19.0,IVd43,9,5,4,4,55,3
