Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
36.25,i,4,0,1,4,67,3
36.38,i,4,0,1,4,67,3
36.5,i,4,0,1,4,67,3
36.75,i,4,0,1,4,64,0
36.88,i,4,0,1,4,64,0
37.0,i,4,0,1,4,64,0
37.25,i,4,0,1,4,64,0
37.38,i,4,0,1,4,64,0
37.5,i,4,0,1,4,64,0
37.62,i,4,0,1,4,62,10
37.88,i,4,0,1,4,64,0
38.25,i,4,0,1,4,64,0
38.38,i,4,0,1,4,64,0
38.5,i,4,0,1,4,64,0
38.62,i,4,0,1,4,59,7
38.75,i,4,0,1,4,62,10
38.88,i,4,0,1,4,64,0
39.0,bIII,7,3,3,4,64,0
39.0,bIII,7,3,3,4,62,10
39.12,bIII,7,3,3,4,64,0
40.0,i,4,0,1,4,64,0
40.12,i,4,0,1,4,59,7
40.25,i,4,0,1,4,67,3
40.38,i,4,0,1,4,67,3
40.5,i,4,0,1,4,67,3
40.75,i,4,0,1,4,62,10
40.88,i,4,0,1,4,64,0
41.0,i,4,0,1,4,64,0
41.25,i,4,0,1,4,64,0
41.38,i,4,0,1,4,64,0
41.5,i,4,0,1,4,64,0
41.62,i,4,0,1,4,62,10
41.88,i,4,0,1,4,64,0
42.25,i,4,0,1,4,64,0
42.38,i,4,0,1,4,64,0
42.5,i,4,0,1,4,64,0
42.62,i,4,0,1,4,59,7
42.75,i,4,0,1,4,62,10
42.88,i,4,0,1,4,64,0
43.0,bIII,7,3,3,4,64,0
43.0,bIII,7,3,3,4,62,10
43.12,bIII,7,3,3,4,64,0
44.0,ii,6,2,2,4,64,0
44.5,ii,6,2,2,4,66,2
44.5,v64,11,7,5,4,66,2
44.62,v64,11,7,5,4,66,2
44.88,v64,11,7,5,4,66,2
45.0,ii,6,2,2,4,66,2
45.12,ii,6,2,2,4,66,2
45.38,ii,6,2,2,4,69,5
45.5,v64,11,7,5,4,69,5
45.5,v64,11,7,5,4,68,4
45.62,v64,11,7,5,4,66,2
46.0,ii,6,2,2,4,66,2
46.5,v64,11,7,5,4,66,2
46.5,v64,11,7,5,4,69,5
46.62,v64,11,7,5,4,68,4
46.75,v64,11,7,5,4,66,2
46.88,v64,11,7,5,4,69,5
47.0,ii,6,2,2,4,69,5
47.12,ii,6,2,2,4,66,2
47.38,ii,6,2,2,4,66,2
47.5,v64,11,7,5,4,66,2
47.62,v64,11,7,5,4,61,9
48.0,ii,6,2,2,4,61,9
48.0,ii,6,2,2,4,66,2
48.5,ii,6,2,2,4,64,0
48.5,v,11,7,5,4,64,0
48.88,v,11,7,5,4,66,2
49.0,ii,6,2,2,4,66,2
49.5,v,11,7,5,4,66,2
50.0,ii,6,2,2,4,66,2
50.0,ii,6,2,2,4,66,2
50.38,ii,6,2,2,4,64,0
50.5,v,11,7,5,4,64,0
50.5,v,11,7,5,4,64,0
50.88,v,11,7,5,4,68,4
51.0,i,4,0,1,4,68,4
51.0,i,4,0,1,4,64,0
52.0,ii,6,2,2,4,64,0
52.0,ii,6,2,2,4,66,2
52.38,ii,6,2,2,4,64,0
52.5,v,11,7,5,4,64,0
52.62,v,11,7,5,4,64,0
52.88,v,11,7,5,4,64,0
53.0,i,4,0,1,4,64,0
53.88,i,4,0,1,4,59,7
54.0,i,4,0,1,4,62,10
54.12,i,4,0,1,4,64,0
54.25,i,4,0,1,4,64,0
54.38,i,4,0,1,4,59,7
54.5,i,4,0,1,4,62,10
54.62,i,4,0,1,4,64,0
54.75,i,4,0,1,4,64,0
55.5,iv,9,5,4,4,64,0
56.0,i,4,0,1,4,64,0
56.5,iv,9,5,4,4,64,0
57.0,i,4,0,1,4,64,0
57.5,iv,9,5,4,4,64,0
58.0,bIII,7,3,3,4,64,0
59.0,i,4,0,1,4,64,0
59.5,iv,9,5,4,4,64,0
60.0,i,4,0,1,4,64,0
60.5,iv,9,5,4,4,64,0
61.0,i,4,0,1,4,64,0
61.5,iv,9,5,4,4,64,0
62.0,bIII,7,3,3,4,64,0
63.0,i,4,0,1,4,64,0
63.25,i,4,0,1,4,67,3
63.38,i,4,0,1,4,67,3
63.5,i,4,0,1,4,67,3
63.75,i,4,0,1,4,62,10
63.88,i,4,0,1,4,64,0
64.0,i,4,0,1,4,64,0
64.25,i,4,0,1,4,67,3
64.38,i,4,0,1,4,67,3
64.5,i,4,0,1,4,67,3
64.62,i,4,0,1,4,67,3
64.88,i,4,0,1,4,67,3
64.94,i,4,0,1,4,66,2
65.0,i,4,0,1,4,64,0
65.25,i,4,0,1,4,64,0
65.38,i,4,0,1,4,64,0
65.5,i,4,0,1,4,64,0
65.62,i,4,0,1,4,59,7
65.75,i,4,0,1,4,62,10
65.88,i,4,0,1,4,64,0
66.0,i,4,0,1,4,62,10
66.0,bIII,7,3,3,4,62,10
66.12,bIII,7,3,3,4,64,0
67.0,i,4,0,1,4,64,0
67.25,i,4,0,1,4,67,3
67.38,i,4,0,1,4,67,3
67.5,i,4,0,1,4,67,3
67.75,i,4,0,1,4,67,3
67.88,i,4,0,1,4,67,3
68.0,i,4,0,1,4,67,3
68.25,i,4,0,1,4,67,3
68.38,i,4,0,1,4,67,3
68.5,i,4,0,1,4,67,3
68.62,i,4,0,1,4,64,0
68.88,i,4,0,1,4,64,0
69.25,i,4,0,1,4,67,3
69.38,i,4,0,1,4,67,3
69.5,i,4,0,1,4,67,3
69.62,i,4,0,1,4,67,3
69.75,i,4,0,1,4,67,3
69.81,i,4,0,1,4,66,2
69.88,i,4,0,1,4,64,0
70.0,bIII,7,3,3,4,64,0
70.62,bIII,7,3,3,4,67,3
71.0,ii,6,2,2,4,67,3
71.5,ii,6,2,2,4,66,2
71.5,v64,11,7,5,4,66,2
