Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
4.0,I,7,0,1,7,47,4
4.12,I,7,0,1,7,50,7
4.25,I,7,0,1,7,47,4
4.38,I,7,0,1,7,50,7
4.88,I,7,0,1,7,52,9
5.0,I,7,0,1,7,53,10
5.0,IV64,0,5,4,7,53,10
5.12,IV64,0,5,4,7,55,0
5.25,IV64,0,5,4,7,53,10
5.25,I,7,0,1,7,53,10
5.38,I,7,0,1,7,55,0
6.0,I,7,0,1,7,57,2
6.12,I,7,0,1,7,59,4
6.38,I,7,0,1,7,57,2
6.5,I,7,0,1,7,59,4
6.62,I,7,0,1,7,57,2
6.75,I,7,0,1,7,55,0
7.0,I,7,0,1,7,52,9
7.0,IV64,0,5,4,7,52,9
7.12,IV64,0,5,4,7,55,0
7.25,I,7,0,1,7,55,0
7.38,I,7,0,1,7,43,0
7.88,I,7,0,1,7,43,0
8.0,I,7,0,1,7,47,4
8.12,I,7,0,1,7,50,7
8.38,I,7,0,1,7,43,0
8.5,I,7,0,1,7,47,4
8.62,I,7,0,1,7,50,7
8.88,I,7,0,1,7,50,7
9.0,IV64,0,5,4,7,50,7
9.0,IV64,0,5,4,7,52,9
9.12,IV64,0,5,4,7,55,0
9.25,IV64,0,5,4,7,52,9
9.25,I,7,0,1,7,52,9
9.38,I,7,0,1,7,55,0
10.0,I,7,0,1,7,59,4
10.25,I,7,0,1,7,59,4
10.5,I,7,0,1,7,59,4
10.62,I,7,0,1,7,57,2
10.75,I,7,0,1,7,55,0
11.0,IV64,0,5,4,7,55,0
11.0,IV64,0,5,4,7,52,9
11.12,IV64,0,5,4,7,55,0
11.25,I,7,0,1,7,55,0
11.38,I,7,0,1,7,55,0
12.0,I,7,0,1,7,69,2
12.5,I,7,0,1,7,67,0
12.88,I,7,0,1,7,64,9
12.94,I,7,0,1,7,62,7
13.0,I,7,0,1,7,64,9
13.0,IV64,0,5,4,7,64,9
13.06,IV64,0,5,4,7,62,7
13.12,IV64,0,5,4,7,64,9
13.25,I,7,0,1,7,64,9
13.38,I,7,0,1,7,64,9
13.5,I,7,0,1,7,67,0
