Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
0.94,I,9,0,1,9,52,7
1.0,I,9,0,1,9,61,4
1.12,I,9,0,1,9,61,4
1.25,I,9,0,1,9,61,4
1.38,I,9,0,1,9,61,4
1.62,I,9,0,1,9,59,2
1.69,I,9,0,1,9,57,0
1.81,I,9,0,1,9,57,0
2.0,IV65,2,5,4,9,57,0
2.88,IV65,2,5,4,9,52,7
2.94,IV65,2,5,4,9,52,7
3.0,IV65,2,5,4,9,61,4
3.12,IV65,2,5,4,9,61,4
3.25,IV65,2,5,4,9,61,4
3.38,IV65,2,5,4,9,61,4
3.62,IV65,2,5,4,9,56,11
3.75,V,4,7,5,9,56,11
3.88,V,4,7,5,9,57,0
4.0,IV,2,5,4,9,57,0
4.62,IV,2,5,4,9,57,0
4.75,IV,2,5,4,9,66,9
4.88,IV,2,5,4,9,64,7
5.0,I,9,0,1,9,64,7
5.12,I,9,0,1,9,69,0
5.88,I,9,0,1,9,57,0
6.0,I,9,0,1,9,57,0
6.0,IV,2,5,4,9,57,0
8.0,I,9,0,1,9,57,0
8.88,I,9,0,1,9,52,7
8.94,I,9,0,1,9,52,7
9.0,I,9,0,1,9,61,4
9.12,I,9,0,1,9,61,4
9.25,I,9,0,1,9,61,4
9.38,I,9,0,1,9,61,4
9.62,I,9,0,1,9,59,2
9.75,I,9,0,1,9,57,0
10.0,IV65,2,5,4,9,57,0
10.88,IV65,2,5,4,9,52,7
10.94,IV65,2,5,4,9,52,7
11.0,IV65,2,5,4,9,61,4
11.12,IV65,2,5,4,9,61,4
11.25,IV65,2,5,4,9,61,4
11.38,IV65,2,5,4,9,61,4
11.62,IV65,2,5,4,9,56,11
11.75,V,4,7,5,9,56,11
11.88,V,4,7,5,9,57,0
12.0,IV,2,5,4,9,57,0
12.62,IV,2,5,4,9,57,0
12.75,IV,2,5,4,9,66,9
12.81,IV,2,5,4,9,64,7
12.88,IV,2,5,4,9,64,7
13.0,I,9,0,1,9,64,7
13.12,I,9,0,1,9,69,0
13.69,I,9,0,1,9,57,0
13.75,I,9,0,1,9,57,0
13.81,I,9,0,1,9,57,0
13.88,I,9,0,1,9,57,0
14.0,IV,2,5,4,9,57,0
15.62,IV,2,5,4,9,61,4
15.69,IV,2,5,4,9,61,4
15.88,IV,2,5,4,9,57,0
15.94,IV,2,5,4,9,59,2
16.0,ii7,11,2,2,9,59,2
17.62,ii7,11,2,2,9,61,4
17.69,ii7,11,2,2,9,61,4
17.88,ii7,11,2,2,9,52,7
17.94,ii7,11,2,2,9,52,7
18.0,I,9,0,1,9,52,7
19.62,I,9,0,1,9,61,4
19.69,I,9,0,1,9,61,4
19.88,I,9,0,1,9,62,5
19.94,I,9,0,1,9,61,4
20.0,I,9,0,1,9,59,2
20.0,ii7,11,2,2,9,59,2
21.62,ii7,11,2,2,9,61,4
21.69,ii7,11,2,2,9,61,4
21.88,ii7,11,2,2,9,52,7
21.94,ii7,11,2,2,9,52,7
22.0,I,9,0,1,9,52,7
24.94,I,9,0,1,9,52,7
25.0,I,9,0,1,9,61,4
25.12,I,9,0,1,9,61,4
25.25,I,9,0,1,9,61,4
25.38,I,9,0,1,9,61,4
25.62,I,9,0,1,9,59,2
25.75,I,9,0,1,9,57,0
26.0,IV65,2,5,4,9,57,0
26.94,IV65,2,5,4,9,52,7
27.0,IV65,2,5,4,9,61,4
27.12,IV65,2,5,4,9,61,4
27.25,IV65,2,5,4,9,61,4
27.38,IV65,2,5,4,9,61,4
27.62,IV65,2,5,4,9,56,11
27.75,V,4,7,5,9,56,11
27.88,V,4,7,5,9,57,0
28.0,IV,2,5,4,9,57,0
28.62,IV,2,5,4,9,57,0
28.75,IV,2,5,4,9,66,9
28.88,IV,2,5,4,9,64,7
29.0,I,9,0,1,9,64,7
29.12,I,9,0,1,9,69,0
29.88,I,9,0,1,9,57,0
30.0,IV,2,5,4,9,57,0
30.0,IV,2,5,4,9,57,0
32.0,I,9,0,1,9,57,0
32.94,I,9,0,1,9,52,7
33.0,I,9,0,1,9,61,4
33.06,I,9,0,1,9,61,4
33.12,I,9,0,1,9,61,4
33.38,I,9,0,1,9,62,5
33.62,I,9,0,1,9,61,4
33.75,I,9,0,1,9,57,0
34.0,IV65,2,5,4,9,57,0
34.94,IV65,2,5,4,9,59,2
35.0,IV65,2,5,4,9,61,4
35.12,IV65,2,5,4,9,60,3
35.25,IV65,2,5,4,9,61,4
35.38,IV65,2,5,4,9,64,7
35.62,IV65,2,5,4,9,56,11
35.75,V,4,7,5,9,56,11
35.88,V,4,7,5,9,57,0
36.0,IV,2,5,4,9,57,0
36.38,IV,2,5,4,9,57,0
