Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
8.0,IV,2,5,4,9,54,9
8.12,IV,2,5,4,9,54,9
8.19,IV,2,5,4,9,54,9
8.25,IV,2,5,4,9,54,9
8.38,IV,2,5,4,9,52,7
8.5,I,9,0,1,9,52,7
8.5,I,9,0,1,9,52,7
9.0,vi,6,9,6,9,52,7
9.0,vi,6,9,6,9,57,0
9.12,vi,6,9,6,9,59,2
9.19,vi,6,9,6,9,59,2
9.25,vi,6,9,6,9,59,2
9.31,vi,6,9,6,9,59,2
9.44,vi,6,9,6,9,57,0
9.5,V,4,7,5,9,57,0
9.5,V,4,7,5,9,56,11
9.56,V,4,7,5,9,56,11
9.62,V,4,7,5,9,57,0
10.0,V,4,7,5,9,54,9
10.0,IV,2,5,4,9,54,9
10.06,IV,2,5,4,9,54,9
10.12,IV,2,5,4,9,54,9
10.25,IV,2,5,4,9,54,9
10.31,IV,2,5,4,9,52,7
10.38,IV,2,5,4,9,52,7
10.5,I,9,0,1,9,52,7
11.0,vi,6,9,6,9,52,7
11.0,vi,6,9,6,9,57,0
11.06,vi,6,9,6,9,59,2
11.19,vi,6,9,6,9,59,2
11.25,vi,6,9,6,9,59,2
11.31,vi,6,9,6,9,59,2
11.38,vi,6,9,6,9,59,2
11.44,vi,6,9,6,9,61,4
11.5,V,4,7,5,9,61,4
11.5,V,4,7,5,9,56,11
11.62,V,4,7,5,9,57,0
11.75,V,4,7,5,9,57,0
11.88,V,4,7,5,9,59,2
12.0,IV,2,5,4,9,59,2
12.0,IV,2,5,4,9,61,4
12.06,IV,2,5,4,9,61,4
12.12,IV,2,5,4,9,62,5
12.25,IV,2,5,4,9,61,4
12.38,IV,2,5,4,9,59,2
12.44,IV,2,5,4,9,57,0
12.5,I,9,0,1,9,57,0
13.0,I,9,0,1,9,57,0
13.0,vi,6,9,6,9,57,0
13.06,vi,6,9,6,9,57,0
13.12,vi,6,9,6,9,59,2
13.25,vi,6,9,6,9,59,2
13.31,vi,6,9,6,9,59,2
13.38,vi,6,9,6,9,57,0
13.5,vi,6,9,6,9,56,11
13.5,V,4,7,5,9,56,11
13.56,V,4,7,5,9,56,11
13.62,V,4,7,5,9,57,0
13.75,V,4,7,5,9,57,0
14.0,V,4,7,5,9,61,4
14.0,IV,2,5,4,9,61,4
14.06,IV,2,5,4,9,61,4
14.12,IV,2,5,4,9,64,7
14.25,IV,2,5,4,9,61,4
14.38,IV,2,5,4,9,59,2
14.5,I,9,0,1,9,59,2
14.5,I,9,0,1,9,57,0
15.0,I,9,0,1,9,61,4
15.0,vi,6,9,6,9,61,4
15.12,vi,6,9,6,9,64,7
15.25,vi,6,9,6,9,64,7
15.31,vi,6,9,6,9,61,4
15.38,vi,6,9,6,9,61,4
15.5,V,4,7,5,9,61,4
15.5,V,4,7,5,9,64,7
15.56,V,4,7,5,9,61,4
15.62,V,4,7,5,9,59,2
15.75,V,4,7,5,9,57,0
16.0,IV,2,5,4,9,57,0
16.5,I,9,0,1,9,57,0
17.0,vi,6,9,6,9,57,0
17.5,V,4,7,5,9,57,0
18.0,IV,2,5,4,9,57,0
18.5,I,9,0,1,9,57,0
19.0,vi,6,9,6,9,57,0
19.5,V,4,7,5,9,57,0
20.0,IV,2,5,4,9,57,0
20.0,IV,2,5,4,9,54,9
20.12,IV,2,5,4,9,54,9
20.19,IV,2,5,4,9,54,9
20.25,IV,2,5,4,9,54,9
20.38,IV,2,5,4,9,52,7
20.5,I,9,0,1,9,52,7
20.5,I,9,0,1,9,52,7
21.0,I,9,0,1,9,57,0
21.0,vi,6,9,6,9,57,0
21.12,vi,6,9,6,9,59,2
21.19,vi,6,9,6,9,59,2
21.25,vi,6,9,6,9,59,2
21.44,vi,6,9,6,9,57,0
21.5,vi,6,9,6,9,56,11
21.5,V,4,7,5,9,56,11
21.56,V,4,7,5,9,56,11
21.62,V,4,7,5,9,57,0
21.69,V,4,7,5,9,57,0
21.75,V,4,7,5,9,57,0
21.81,V,4,7,5,9,57,0
21.88,V,4,7,5,9,57,0
22.0,IV,2,5,4,9,57,0
22.0,IV,2,5,4,9,54,9
22.06,IV,2,5,4,9,54,9
22.12,IV,2,5,4,9,57,0
22.19,IV,2,5,4,9,57,0
22.25,IV,2,5,4,9,54,9
22.38,IV,2,5,4,9,54,9
22.5,I,9,0,1,9,54,9
22.5,I,9,0,1,9,52,7
22.62,I,9,0,1,9,52,7
23.0,I,9,0,1,9,57,0
23.0,vi,6,9,6,9,57,0
23.06,vi,6,9,6,9,59,2
23.12,vi,6,9,6,9,59,2
23.19,vi,6,9,6,9,59,2
23.38,vi,6,9,6,9,59,2
23.44,vi,6,9,6,9,57,0
23.5,V,4,7,5,9,57,0
23.5,V,4,7,5,9,56,11
23.56,V,4,7,5,9,56,11
23.62,V,4,7,5,9,57,0
23.69,V,4,7,5,9,57,0
23.75,V,4,7,5,9,57,0
23.81,V,4,7,5,9,57,0
24.0,V,4,7,5,9,61,4
24.0,IV,2,5,4,9,61,4
24.12,IV,2,5,4,9,61,4
24.19,IV,2,5,4,9,61,4
24.25,IV,2,5,4,9,59,2
24.38,IV,2,5,4,9,57,0
24.5,I,9,0,1,9,57,0
24.5,I,9,0,1,9,57,0
24.88,I,9,0,1,9,52,7
25.0,I,9,0,1,9,57,0
25.0,vi,6,9,6,9,57,0
25.12,vi,6,9,6,9,59,2
25.19,vi,6,9,6,9,59,2
25.31,vi,6,9,6,9,59,2
25.38,vi,6,9,6,9,59,2
25.44,vi,6,9,6,9,57,0
25.5,V,4,7,5,9,57,0
25.5,V,4,7,5,9,56,11
25.62,V,4,7,5,9,57,0
25.69,V,4,7,5,9,57,0
25.75,V,4,7,5,9,57,0
25.81,V,4,7,5,9,57,0
26.0,V,4,7,5,9,61,4
26.0,IV,2,5,4,9,61,4
26.12,IV,2,5,4,9,61,4
26.19,IV,2,5,4,9,61,4
26.25,IV,2,5,4,9,59,2
26.38,IV,2,5,4,9,59,2
26.5,IV,2,5,4,9,59,2
26.5,I,9,0,1,9,59,2
26.62,I,9,0,1,9,57,0
26.75,I,9,0,1,9,57,0
27.0,vi,6,9,6,9,57,0
27.0,vi,6,9,6,9,61,4
27.12,vi,6,9,6,9,61,4
27.19,vi,6,9,6,9,64,7
27.25,vi,6,9,6,9,61,4
27.38,vi,6,9,6,9,61,4
27.44,vi,6,9,6,9,61,4
27.5,vi,6,9,6,9,64,7
27.5,V,4,7,5,9,64,7
27.56,V,4,7,5,9,61,4
27.62,V,4,7,5,9,61,4
27.75,V,4,7,5,9,61,4
27.81,V,4,7,5,9,59,2
27.88,V,4,7,5,9,57,0
28.0,IV,2,5,4,9,57,0
28.5,I,9,0,1,9,57,0
29.0,vi,6,9,6,9,57,0
29.5,V,4,7,5,9,57,0
30.0,IV,2,5,4,9,57,0
30.5,I,9,0,1,9,57,0
31.0,vi,6,9,6,9,57,0
31.5,V,4,7,5,9,57,0
31.88,V,4,7,5,9,52,7
32.0,IV,2,5,4,9,52,7
32.0,IV,2,5,4,9,54,9
32.06,IV,2,5,4,9,54,9
32.19,IV,2,5,4,9,54,9
32.38,IV,2,5,4,9,54,9
32.44,IV,2,5,4,9,54,9
32.5,I,9,0,1,9,54,9
32.5,I,9,0,1,9,54,9
32.62,I,9,0,1,9,52,7
32.94,I,9,0,1,9,52,7
33.0,vi,6,9,6,9,52,7
33.0,vi,6,9,6,9,57,0
33.12,vi,6,9,6,9,59,2
33.19,vi,6,9,6,9,59,2
33.25,vi,6,9,6,9,59,2
33.31,vi,6,9,6,9,59,2
33.38,vi,6,9,6,9,59,2
33.44,vi,6,9,6,9,57,0
33.5,vi,6,9,6,9,56,11
33.5,V,4,7,5,9,56,11
33.56,V,4,7,5,9,57,0
33.69,V,4,7,5,9,57,0
33.81,V,4,7,5,9,54,9
33.88,V,4,7,5,9,57,0
34.0,V,4,7,5,9,54,9
34.0,IV,2,5,4,9,54,9
34.06,IV,2,5,4,9,54,9
34.12,IV,2,5,4,9,54,9
34.19,IV,2,5,4,9,54,9
34.25,IV,2,5,4,9,57,0
34.44,IV,2,5,4,9,54,9
34.5,IV,2,5,4,9,54,9
34.5,I,9,0,1,9,54,9
34.62,I,9,0,1,9,52,7
34.94,I,9,0,1,9,52,7
35.0,I,9,0,1,9,57,0
35.0,vi,6,9,6,9,57,0
35.06,vi,6,9,6,9,59,2
35.12,vi,6,9,6,9,59,2
35.25,vi,6,9,6,9,59,2
35.31,vi,6,9,6,9,61,4
35.44,vi,6,9,6,9,57,0
35.5,vi,6,9,6,9,56,11
35.5,V,4,7,5,9,56,11
35.62,V,4,7,5,9,57,0
35.75,V,4,7,5,9,57,0
35.94,V,4,7,5,9,57,0
36.0,IV,2,5,4,9,57,0
36.0,IV,2,5,4,9,61,4
36.06,IV,2,5,4,9,61,4
36.12,IV,2,5,4,9,61,4
36.19,IV,2,5,4,9,61,4
36.25,IV,2,5,4,9,59,2
36.38,IV,2,5,4,9,57,0
36.5,IV,2,5,4,9,59,2
36.5,I,9,0,1,9,59,2
36.62,I,9,0,1,9,57,0
37.0,I,9,0,1,9,57,0
37.0,vi,6,9,6,9,57,0
37.06,vi,6,9,6,9,59,2
37.12,vi,6,9,6,9,59,2
37.19,vi,6,9,6,9,59,2
37.25,vi,6,9,6,9,59,2
37.38,vi,6,9,6,9,59,2
37.5,V,4,7,5,9,59,2
37.5,V,4,7,5,9,56,11
37.56,V,4,7,5,9,57,0
37.69,V,4,7,5,9,57,0
37.81,V,4,7,5,9,54,9
37.88,V,4,7,5,9,57,0
38.0,IV,2,5,4,9,57,0
38.0,IV,2,5,4,9,61,4
38.06,IV,2,5,4,9,61,4
38.12,IV,2,5,4,9,61,4
38.19,IV,2,5,4,9,64,7
38.31,IV,2,5,4,9,64,7
38.38,IV,2,5,4,9,61,4
38.5,IV,2,5,4,9,59,2
38.5,I,9,0,1,9,59,2
38.62,I,9,0,1,9,57,0
38.69,I,9,0,1,9,57,0
39.0,vi,6,9,6,9,57,0
39.0,vi,6,9,6,9,57,0
39.12,vi,6,9,6,9,59,2
39.25,vi,6,9,6,9,59,2
39.38,vi,6,9,6,9,61,4
39.5,vi,6,9,6,9,56,11
39.5,V,4,7,5,9,56,11
39.56,V,4,7,5,9,57,0
39.75,V,4,7,5,9,57,0
40.0,IV,2,5,4,9,57,0
40.5,I,9,0,1,9,57,0
41.0,vi,6,9,6,9,57,0
41.5,V,4,7,5,9,57,0
42.0,IV,2,5,4,9,57,0
42.5,I,9,0,1,9,57,0
43.0,vi,6,9,6,9,57,0
43.5,V,4,7,5,9,57,0
44.0,IV,2,5,4,9,57,0
44.0,IV,2,5,4,9,54,9
44.12,IV,2,5,4,9,54,9
44.19,IV,2,5,4,9,54,9
44.25,IV,2,5,4,9,54,9
44.38,IV,2,5,4,9,52,7
44.5,I,9,0,1,9,52,7
44.5,I,9,0,1,9,52,7
44.88,I,9,0,1,9,52,7
44.94,I,9,0,1,9,52,7
45.0,vi,6,9,6,9,52,7
45.0,vi,6,9,6,9,57,0
45.12,vi,6,9,6,9,59,2
45.19,vi,6,9,6,9,59,2
