Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
1.88,I,5,0,1,5,58,5
2.0,I,5,0,1,5,57,4
2.12,I,5,0,1,5,58,5
2.25,I,5,0,1,5,60,7
2.38,I,5,0,1,5,60,7
2.44,I,5,0,1,5,53,0
2.56,I,5,0,1,5,53,0
2.88,I,5,0,1,5,58,5
3.0,I,5,0,1,5,57,4
3.12,I,5,0,1,5,57,4
3.25,I,5,0,1,5,58,5
3.38,I,5,0,1,5,60,7
3.44,I,5,0,1,5,53,0
3.88,I,5,0,1,5,56,3
4.0,I,5,0,1,5,57,4
4.12,I,5,0,1,5,57,4
4.25,I,5,0,1,5,58,5
4.38,I,5,0,1,5,59,6
4.44,I,5,0,1,5,60,7
4.62,I,5,0,1,5,53,0
4.88,I,5,0,1,5,53,0
5.12,I,5,0,1,5,56,3
5.19,I,5,0,1,5,56,3
5.31,I,5,0,1,5,56,3
5.5,I,5,0,1,5,56,3
5.88,I,5,0,1,5,56,3
6.0,I,5,0,1,5,55,2
6.0,IV,10,5,4,5,55,2
6.12,IV,10,5,4,5,53,0
6.25,IV,10,5,4,5,55,2
6.38,IV,10,5,4,5,53,0
6.5,IV,10,5,4,5,55,2
6.62,IV,10,5,4,5,53,0
7.12,IV,10,5,4,5,56,3
7.19,IV,10,5,4,5,55,2
7.38,IV,10,5,4,5,53,0
7.62,IV,10,5,4,5,56,3
7.81,IV,10,5,4,5,55,2
7.88,IV,10,5,4,5,53,0
7.94,IV,10,5,4,5,48,7
8.0,I,5,0,1,5,48,7
9.75,I,5,0,1,5,57,4
9.81,I,5,0,1,5,57,4
10.0,V,0,7,5,5,57,4
10.0,V,0,7,5,5,55,2
10.25,V,0,7,5,5,55,2
10.38,V,0,7,5,5,53,0
10.44,V,0,7,5,5,55,2
10.62,V,0,7,5,5,48,7
11.12,V,0,7,5,5,48,7
11.25,V,0,7,5,5,48,7
11.38,V,0,7,5,5,48,7
11.5,V,0,7,5,5,48,7
11.62,V,0,7,5,5,46,5
11.75,V,0,7,5,5,44,3
11.88,V,0,7,5,5,43,2
12.0,I,5,0,1,5,43,2
12.0,I,5,0,1,5,41,0
12.88,I,5,0,1,5,57,4
12.94,I,5,0,1,5,57,4
13.12,I,5,0,1,5,57,4
13.25,I,5,0,1,5,58,5
13.38,I,5,0,1,5,60,7
13.44,I,5,0,1,5,53,0
13.56,I,5,0,1,5,53,0
13.88,I,5,0,1,5,57,4
14.0,I,5,0,1,5,57,4
14.12,I,5,0,1,5,57,4
14.19,I,5,0,1,5,58,5
14.38,I,5,0,1,5,60,7
14.5,I,5,0,1,5,53,0
15.0,I,5,0,1,5,56,3
15.12,I,5,0,1,5,57,4
15.25,I,5,0,1,5,58,5
15.31,I,5,0,1,5,59,6
15.44,I,5,0,1,5,60,7
15.62,I,5,0,1,5,53,0
15.88,I,5,0,1,5,53,0
16.0,I,5,0,1,5,55,2
16.06,I,5,0,1,5,55,2
16.25,I,5,0,1,5,55,2
16.38,I,5,0,1,5,55,2
16.5,I,5,0,1,5,55,2
16.56,I,5,0,1,5,56,3
16.81,I,5,0,1,5,56,3
16.88,I,5,0,1,5,56,3
17.0,IV,10,5,4,5,56,3
17.0,IV,10,5,4,5,55,2
17.12,IV,10,5,4,5,53,0
17.25,IV,10,5,4,5,55,2
17.38,IV,10,5,4,5,53,0
17.5,IV,10,5,4,5,55,2
17.62,IV,10,5,4,5,53,0
18.12,IV,10,5,4,5,56,3
18.25,IV,10,5,4,5,55,2
18.38,IV,10,5,4,5,53,0
18.5,IV,10,5,4,5,55,2
18.75,IV,10,5,4,5,53,0
19.0,IV,10,5,4,5,48,7
19.0,I,5,0,1,5,48,7
20.75,I,5,0,1,5,57,4
20.81,I,5,0,1,5,57,4
21.0,I,5,0,1,5,55,2
21.0,V,0,7,5,5,55,2
21.12,V,0,7,5,5,55,2
21.25,V,0,7,5,5,55,2
21.31,V,0,7,5,5,53,0
21.5,V,0,7,5,5,55,2
21.62,V,0,7,5,5,48,7
22.12,V,0,7,5,5,48,7
22.25,V,0,7,5,5,48,7
22.38,V,0,7,5,5,48,7
22.5,V,0,7,5,5,48,7
22.62,V,0,7,5,5,46,5
22.75,V,0,7,5,5,45,4
22.88,V,0,7,5,5,43,2
23.0,V,0,7,5,5,41,0
23.0,I,5,0,1,5,41,0
28.0,IV,10,5,4,5,41,0
30.0,I,5,0,1,5,41,0
32.0,V,0,7,5,5,41,0
34.0,I,5,0,1,5,41,0
34.88,I,5,0,1,5,57,4
35.0,I,5,0,1,5,58,5
35.06,I,5,0,1,5,57,4
35.25,I,5,0,1,5,60,7
35.38,I,5,0,1,5,60,7
35.5,I,5,0,1,5,53,0
35.62,I,5,0,1,5,53,0
35.75,I,5,0,1,5,53,0
35.81,I,5,0,1,5,53,0
35.94,I,5,0,1,5,57,4
36.12,I,5,0,1,5,58,5
36.19,I,5,0,1,5,59,6
36.38,I,5,0,1,5,60,7
36.44,I,5,0,1,5,53,0
36.88,I,5,0,1,5,57,4
37.0,I,5,0,1,5,58,5
37.12,I,5,0,1,5,57,4
37.25,I,5,0,1,5,58,5
37.38,I,5,0,1,5,59,6
37.44,I,5,0,1,5,60,7
37.56,I,5,0,1,5,53,0
37.88,I,5,0,1,5,56,3
38.0,I,5,0,1,5,56,3
38.12,I,5,0,1,5,56,3
38.25,I,5,0,1,5,56,3
38.38,I,5,0,1,5,56,3
38.44,I,5,0,1,5,55,2
38.62,I,5,0,1,5,56,3
38.75,I,5,0,1,5,55,2
38.81,I,5,0,1,5,56,3
38.94,I,5,0,1,5,55,2
39.0,IV,10,5,4,5,55,2
39.12,IV,10,5,4,5,53,0
39.25,IV,10,5,4,5,55,2
39.38,IV,10,5,4,5,53,0
39.5,IV,10,5,4,5,55,2
39.62,IV,10,5,4,5,53,0
40.12,IV,10,5,4,5,56,3
40.19,IV,10,5,4,5,55,2
40.31,IV,10,5,4,5,53,0
40.5,IV,10,5,4,5,56,3
40.62,IV,10,5,4,5,55,2
40.75,IV,10,5,4,5,53,0
41.0,I,5,0,1,5,53,0
41.0,I,5,0,1,5,48,7
42.75,I,5,0,1,5,57,4
42.81,I,5,0,1,5,57,4
43.0,V,0,7,5,5,57,4
43.0,V,0,7,5,5,55,2
43.12,V,0,7,5,5,55,2
43.25,V,0,7,5,5,55,2
43.38,V,0,7,5,5,53,0
43.44,V,0,7,5,5,55,2
43.62,V,0,7,5,5,48,7
44.12,V,0,7,5,5,48,7
44.19,V,0,7,5,5,48,7
44.38,V,0,7,5,5,48,7
44.5,V,0,7,5,5,48,7
