Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
4.12,I,4,0,1,4,47,7
4.25,I,4,0,1,4,55,3
4.38,I,4,0,1,4,55,3
4.5,I,4,0,1,4,54,2
4.62,I,4,0,1,4,52,0
4.75,I,4,0,1,4,52,0
4.88,I,4,0,1,4,52,0
5.0,IV,9,5,4,4,52,0
5.75,IV,9,5,4,4,52,0
5.81,IV,9,5,4,4,52,0
6.0,IV,9,5,4,4,56,4
6.0,I,4,0,1,4,56,4
6.25,I,4,0,1,4,54,2
6.38,I,4,0,1,4,55,3
6.5,I,4,0,1,4,54,2
6.62,I,4,0,1,4,52,0
6.88,I,4,0,1,4,52,0
7.0,IV,9,5,4,4,52,0
7.75,IV,9,5,4,4,52,0
7.88,IV,9,5,4,4,52,0
8.0,IV,9,5,4,4,56,4
8.0,I,4,0,1,4,56,4
8.25,I,4,0,1,4,56,4
8.38,I,4,0,1,4,56,4
8.5,I,4,0,1,4,54,2
8.62,I,4,0,1,4,52,0
8.75,I,4,0,1,4,52,0
8.88,I,4,0,1,4,52,0
9.0,IV,9,5,4,4,52,0
9.75,IV,9,5,4,4,52,0
9.81,IV,9,5,4,4,52,0
10.0,IV,9,5,4,4,56,4
10.0,I,4,0,1,4,56,4
10.38,I,4,0,1,4,56,4
10.5,I,4,0,1,4,54,2
10.62,I,4,0,1,4,52,0
10.75,I,4,0,1,4,52,0
10.88,I,4,0,1,4,52,0
11.0,IV,9,5,4,4,52,0
11.56,IV,9,5,4,4,49,9
11.62,IV,9,5,4,4,52,0
11.69,IV,9,5,4,4,49,9
11.75,IV,9,5,4,4,52,0
11.88,IV,9,5,4,4,52,0
12.0,IV,9,5,4,4,56,4
12.0,I,4,0,1,4,56,4
12.25,I,4,0,1,4,54,2
12.38,I,4,0,1,4,52,0
12.5,bVII,2,10,7,4,52,0
12.5,bVII,2,10,7,4,54,2
12.62,bVII,2,10,7,4,54,2
12.75,bVII,2,10,7,4,54,2
12.88,bVII,2,10,7,4,52,0
13.0,IV,9,5,4,4,52,0
13.0,IV,9,5,4,4,55,3
13.06,IV,9,5,4,4,55,3
13.12,IV,9,5,4,4,55,3
13.19,IV,9,5,4,4,55,3
13.25,IV,9,5,4,4,54,2
13.38,IV,9,5,4,4,52,0
13.5,bVI,0,8,6,4,52,0
13.5,bVI,0,8,6,4,55,3
13.62,bVI,0,8,6,4,55,3
13.75,bVI,0,8,6,4,54,2
13.88,bVI,0,8,6,4,52,0
14.0,I,4,0,1,4,52,0
15.0,IV,9,5,4,4,52,0
16.0,I,4,0,1,4,52,0
17.0,IV,9,5,4,4,52,0
18.0,I,4,0,1,4,52,0
18.12,I,4,0,1,4,44,4
18.25,I,4,0,1,4,55,3
18.44,I,4,0,1,4,55,3
18.5,I,4,0,1,4,54,2
18.75,I,4,0,1,4,52,0
18.94,I,4,0,1,4,54,2
19.0,IV,9,5,4,4,54,2
19.0,IV,9,5,4,4,52,0
19.75,IV,9,5,4,4,52,0
19.81,IV,9,5,4,4,52,0
19.94,IV,9,5,4,4,52,0
20.0,I,4,0,1,4,52,0
20.0,I,4,0,1,4,56,4
20.38,I,4,0,1,4,56,4
20.5,I,4,0,1,4,54,2
20.62,I,4,0,1,4,52,0
20.75,I,4,0,1,4,52,0
20.88,I,4,0,1,4,52,0
21.0,IV,9,5,4,4,52,0
21.0,IV,9,5,4,4,52,0
22.0,I,4,0,1,4,52,0
22.12,I,4,0,1,4,55,3
22.25,I,4,0,1,4,55,3
22.38,I,4,0,1,4,55,3
22.5,I,4,0,1,4,54,2
22.62,I,4,0,1,4,52,0
22.75,I,4,0,1,4,52,0
22.88,I,4,0,1,4,52,0
23.0,IV,9,5,4,4,52,0
23.75,IV,9,5,4,4,52,0
23.81,IV,9,5,4,4,52,0
24.0,IV,9,5,4,4,56,4
