Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
10.12,I,7,0,1,7,67,0
10.25,I,7,0,1,7,67,0
10.38,I,7,0,1,7,65,10
10.44,I,7,0,1,7,67,0
10.56,I,7,0,1,7,64,9
10.88,I,7,0,1,7,69,2
11.0,bVII,5,10,7,7,69,2
11.31,bVII,5,10,7,7,67,0
11.38,bVII,5,10,7,7,67,0
11.56,bVII,5,10,7,7,65,10
11.69,bVII,5,10,7,7,67,0
12.0,IV,0,5,4,7,67,0
12.12,IV,0,5,4,7,70,3
12.25,IV,0,5,4,7,64,9
12.38,IV,0,5,4,7,64,9
12.5,IV,0,5,4,7,67,0
12.62,IV,0,5,4,7,67,0
12.81,IV,0,5,4,7,64,9
12.88,IV,0,5,4,7,67,0
13.0,I,7,0,1,7,67,0
13.12,I,7,0,1,7,64,9
14.12,I,7,0,1,7,64,9
14.25,I,7,0,1,7,67,0
14.31,I,7,0,1,7,64,9
14.38,I,7,0,1,7,67,0
14.62,I,7,0,1,7,67,0
14.88,I,7,0,1,7,69,2
15.0,bVII,5,10,7,7,69,2
15.38,bVII,5,10,7,7,67,0
15.44,bVII,5,10,7,7,64,9
15.56,bVII,5,10,7,7,67,0
15.69,bVII,5,10,7,7,64,9
16.0,IV,0,5,4,7,64,9
16.12,IV,0,5,4,7,70,3
16.25,IV,0,5,4,7,64,9
16.38,IV,0,5,4,7,64,9
16.5,IV,0,5,4,7,67,0
16.62,IV,0,5,4,7,64,9
16.69,IV,0,5,4,7,67,0
16.81,IV,0,5,4,7,67,0
16.88,IV,0,5,4,7,67,0
17.0,I,7,0,1,7,67,0
17.06,I,7,0,1,7,67,0
17.25,I,7,0,1,7,67,0
18.12,I,7,0,1,7,58,3
18.25,I,7,0,1,7,67,0
18.31,I,7,0,1,7,67,0
18.5,I,7,0,1,7,67,0
18.62,I,7,0,1,7,64,9
19.0,v,2,7,5,7,64,9
19.25,v,2,7,5,7,69,2
19.31,v,2,7,5,7,70,3
19.5,v,2,7,5,7,69,2
19.62,v,2,7,5,7,67,0
19.88,v,2,7,5,7,64,9
20.0,IV,0,5,4,7,64,9
20.12,IV,0,5,4,7,70,3
20.25,IV,0,5,4,7,65,10
20.38,IV,0,5,4,7,64,9
20.5,IV,0,5,4,7,65,10
20.62,IV,0,5,4,7,67,0
20.69,IV,0,5,4,7,67,0
20.88,IV,0,5,4,7,67,0
21.0,I,7,0,1,7,67,0
21.38,I,7,0,1,7,62,7
22.25,I,7,0,1,7,67,0
22.31,I,7,0,1,7,67,0
22.44,I,7,0,1,7,67,0
22.62,I,7,0,1,7,64,9
23.0,v,2,7,5,7,64,9
23.25,v,2,7,5,7,69,2
23.31,v,2,7,5,7,70,3
23.5,v,2,7,5,7,69,2
23.62,v,2,7,5,7,67,0
