Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
3.88,V+11,0,7,5,5,53,0
3.94,V+11,0,7,5,5,55,2
4.0,I,5,0,1,5,55,2
4.0,I,5,0,1,5,57,4
4.38,I,5,0,1,5,53,0
4.5,IV,10,5,4,5,53,0
5.0,IV,10,5,4,5,53,0
5.25,I,5,0,1,5,53,0
5.25,I,5,0,1,5,53,0
5.38,I,5,0,1,5,55,2
5.5,V+11,0,7,5,5,55,2
5.56,V+11,0,7,5,5,57,4
5.88,V+11,0,7,5,5,57,4
6.0,I,5,0,1,5,57,4
6.0,I,5,0,1,5,57,4
6.38,I,5,0,1,5,53,0
6.5,IV,10,5,4,5,53,0
6.88,IV,10,5,4,5,53,0
6.94,IV,10,5,4,5,53,0
7.0,IV,10,5,4,5,53,0
7.12,IV,10,5,4,5,53,0
7.19,IV,10,5,4,5,53,0
7.25,I,5,0,1,5,53,0
7.38,I,5,0,1,5,55,2
7.5,V+11,0,7,5,5,55,2
7.88,V+11,0,7,5,5,53,0
7.94,V+11,0,7,5,5,55,2
8.0,I,5,0,1,5,55,2
8.0,I,5,0,1,5,57,4
8.38,I,5,0,1,5,53,0
8.5,IV,10,5,4,5,53,0
8.94,IV,10,5,4,5,41,0
9.0,IV,10,5,4,5,53,0
9.12,IV,10,5,4,5,53,0
9.19,IV,10,5,4,5,53,0
9.25,I,5,0,1,5,53,0
9.38,I,5,0,1,5,55,2
9.5,V+11,0,7,5,5,55,2
9.56,V+11,0,7,5,5,57,4
9.88,V+11,0,7,5,5,57,4
10.0,I,5,0,1,5,57,4
10.0,I,5,0,1,5,57,4
10.38,I,5,0,1,5,53,0
10.5,IV,10,5,4,5,53,0
10.88,IV,10,5,4,5,53,0
10.94,IV,10,5,4,5,53,0
11.0,IV,10,5,4,5,53,0
11.12,IV,10,5,4,5,53,0
11.25,I,5,0,1,5,53,0
11.38,I,5,0,1,5,55,2
11.5,V+11,0,7,5,5,55,2
12.0,I,5,0,1,5,55,2
12.5,IV,10,5,4,5,55,2
13.25,I,5,0,1,5,55,2
13.5,V,0,7,5,5,55,2
