Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
4.42,I,7,0,1,7,59,4
4.54,I,7,0,1,7,62,7
5.0,V7/vi,11,4,3,7,62,7
5.46,V7/vi,11,4,3,7,59,4
5.54,V7/vi,11,4,3,7,57,2
6.0,vi,4,9,6,7,57,2
6.5,I64,7,0,1,7,57,2
6.5,I64,7,0,1,7,59,4
6.58,I64,7,0,1,7,64,9
6.71,I64,7,0,1,7,62,7
6.83,I64,7,0,1,7,59,4
6.92,I64,7,0,1,7,57,2
6.96,I64,7,0,1,7,55,0
7.0,IV,0,5,4,7,55,0
7.5,viix7/V,1,6,4,7,55,0
7.92,viix7/V,1,6,4,7,55,0
8.0,viix7/V,1,6,4,7,57,2
8.0,I64,7,0,1,7,57,2
8.08,I64,7,0,1,7,59,4
8.25,I64,7,0,1,7,62,7
8.38,I64,7,0,1,7,64,9
8.5,V7/ii,4,9,6,7,64,9
9.0,V7/V,9,2,2,7,64,9
9.42,V7/V,9,2,2,7,55,0
9.5,V7,2,7,5,7,55,0
9.5,V7,2,7,5,7,57,2
9.58,V7,2,7,5,7,55,0
9.67,V7,2,7,5,7,59,4
9.79,V7,2,7,5,7,59,4
9.88,V7,2,7,5,7,59,4
10.0,bVId7/ii,5,10,7,7,59,4
10.5,V7/ii,4,9,6,7,59,4
11.0,V7/V,9,2,2,7,59,4
11.5,V7,2,7,5,7,59,4
11.83,V7,2,7,5,7,59,4
11.92,V7,2,7,5,7,59,4
11.96,V7,2,7,5,7,59,4
12.0,I,7,0,1,7,59,4
12.0,I,7,0,1,7,64,9
12.12,I,7,0,1,7,62,7
12.21,I,7,0,1,7,62,7
12.25,I,7,0,1,7,64,9
13.0,V7/vi,11,4,3,7,64,9
13.38,V7/vi,11,4,3,7,59,4
13.5,V7/vi,11,4,3,7,57,2
14.0,vi,4,9,6,7,57,2
14.5,I64,7,0,1,7,57,2
14.5,I64,7,0,1,7,59,4
14.58,I64,7,0,1,7,64,9
14.71,I64,7,0,1,7,62,7
