Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
24.25,I,1,0,1,1,64,3
24.75,I,1,0,1,1,61,0
24.88,I,1,0,1,1,64,3
25.12,I,1,0,1,1,66,5
25.38,I,1,0,1,1,66,5
25.62,I,1,0,1,1,61,0
26.25,I,1,0,1,1,64,3
26.62,I,1,0,1,1,61,0
26.75,I,1,0,1,1,61,0
26.88,I,1,0,1,1,64,3
27.25,I,1,0,1,1,61,0
27.38,I,1,0,1,1,61,0
28.25,I,1,0,1,1,64,3
28.38,I,1,0,1,1,64,3
28.62,I,1,0,1,1,61,0
29.0,I,1,0,1,1,64,3
29.12,I,1,0,1,1,66,5
29.38,I,1,0,1,1,66,5
29.62,I,1,0,1,1,61,0
30.38,I,1,0,1,1,64,3
30.5,I,1,0,1,1,63,2
30.62,I,1,0,1,1,61,0
30.75,I,1,0,1,1,61,0
30.88,I,1,0,1,1,61,0
31.0,I,1,0,1,1,64,3
31.12,I,1,0,1,1,61,0
31.25,I,1,0,1,1,61,0
31.38,I,1,0,1,1,61,0
32.25,I,1,0,1,1,73,0
32.88,I,1,0,1,1,76,3
33.0,bVII,11,10,7,1,76,3
33.12,bVII,11,10,7,1,76,3
34.0,bVI,9,8,6,1,76,3
34.12,bVI,9,8,6,1,73,0
34.25,bVI,9,8,6,1,73,0
34.38,bVI,9,8,6,1,71,10
34.5,bVI,9,8,6,1,73,0
34.62,bVI,9,8,6,1,73,0
34.75,bVI,9,8,6,1,73,0
35.0,bVII,11,10,7,1,73,0
35.12,bVII,11,10,7,1,73,0
35.25,bVII,11,10,7,1,73,0
35.38,bVII,11,10,7,1,75,2
35.5,bVII,11,10,7,1,76,3
35.62,bVII,11,10,7,1,73,0
35.75,bVII,11,10,7,1,73,0
36.0,bVII,11,10,7,1,73,0
36.0,I,1,0,1,1,73,0
36.88,I,1,0,1,1,76,3
37.0,bVII,11,10,7,1,76,3
37.12,bVII,11,10,7,1,76,3
38.0,bVI,9,8,6,1,76,3
38.12,bVI,9,8,6,1,73,0
38.25,bVI,9,8,6,1,73,0
38.38,bVI,9,8,6,1,71,10
38.5,bVI,9,8,6,1,73,0
38.62,bVI,9,8,6,1,73,0
38.75,bVI,9,8,6,1,73,0
39.0,bVII,11,10,7,1,73,0
39.12,bVII,11,10,7,1,73,0
39.25,bVII,11,10,7,1,73,0
39.38,bVII,11,10,7,1,75,2
39.5,bVII,11,10,7,1,76,3
39.62,bVII,11,10,7,1,73,0
39.75,bVII,11,10,7,1,73,0
40.0,I,1,0,1,1,73,0
40.0,I,1,0,1,1,73,0
44.25,I,1,0,1,1,64,3
44.62,I,1,0,1,1,61,0
44.75,I,1,0,1,1,61,0
44.88,I,1,0,1,1,64,3
45.12,I,1,0,1,1,66,5
45.38,I,1,0,1,1,66,5
45.62,I,1,0,1,1,61,0
46.25,I,1,0,1,1,64,3
46.62,I,1,0,1,1,61,0
46.75,I,1,0,1,1,61,0
46.88,I,1,0,1,1,64,3
47.25,I,1,0,1,1,61,0
47.38,I,1,0,1,1,61,0
48.25,I,1,0,1,1,64,3
48.38,I,1,0,1,1,63,2
48.62,I,1,0,1,1,61,0
48.75,I,1,0,1,1,61,0
48.88,I,1,0,1,1,64,3
49.12,I,1,0,1,1,66,5
