Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
2.38,I,5,0,1,5,53,0
2.5,I,5,0,1,5,55,2
2.62,I,5,0,1,5,57,4
2.88,I,5,0,1,5,55,2
3.38,I,5,0,1,5,53,0
3.5,I,5,0,1,5,55,2
3.62,I,5,0,1,5,57,4
3.88,I,5,0,1,5,57,4
4.0,I,5,0,1,5,58,5
4.38,I,5,0,1,5,57,4
4.5,I,5,0,1,5,55,2
4.75,I,5,0,1,5,55,2
5.0,V,0,7,5,5,55,2
6.0,IV,10,5,4,5,55,2
6.38,IV,10,5,4,5,58,5
6.5,IV,10,5,4,5,60,7
6.62,IV,10,5,4,5,62,9
6.88,IV,10,5,4,5,60,7
7.38,IV,10,5,4,5,58,5
7.5,IV,10,5,4,5,60,7
7.62,IV,10,5,4,5,62,9
7.88,IV,10,5,4,5,65,0
8.0,IV,10,5,4,5,58,5
8.38,IV,10,5,4,5,60,7
8.5,IV,10,5,4,5,60,7
8.62,IV,10,5,4,5,62,9
8.75,IV,10,5,4,5,60,7
9.0,I,5,0,1,5,60,7
10.38,I,5,0,1,5,53,0
10.5,I,5,0,1,5,55,2
10.62,I,5,0,1,5,57,4
10.88,I,5,0,1,5,55,2
11.38,I,5,0,1,5,53,0
11.5,I,5,0,1,5,55,2
11.62,I,5,0,1,5,57,4
11.88,I,5,0,1,5,57,4
12.0,I,5,0,1,5,58,5
12.38,I,5,0,1,5,57,4
12.5,I,5,0,1,5,55,2
12.62,I,5,0,1,5,55,2
12.88,I,5,0,1,5,55,2
13.0,V,0,7,5,5,55,2
14.0,IV,10,5,4,5,55,2
14.38,IV,10,5,4,5,58,5
14.5,IV,10,5,4,5,60,7
14.62,IV,10,5,4,5,62,9
14.88,IV,10,5,4,5,60,7
15.38,IV,10,5,4,5,58,5
15.5,IV,10,5,4,5,60,7
15.62,IV,10,5,4,5,62,9
15.88,IV,10,5,4,5,65,0
16.0,IV,10,5,4,5,58,5
16.12,IV,10,5,4,5,58,5
16.38,IV,10,5,4,5,60,7
16.62,IV,10,5,4,5,62,9
16.75,IV,10,5,4,5,60,7
17.0,I,5,0,1,5,60,7
18.0,vi,2,9,6,5,60,7
18.62,vi,2,9,6,5,69,4
18.75,vi,2,9,6,5,67,2
18.88,vi,2,9,6,5,69,4
19.0,IV,10,5,4,5,69,4
19.12,IV,10,5,4,5,72,7
19.38,IV,10,5,4,5,65,0
19.62,IV,10,5,4,5,65,0
19.75,IV,10,5,4,5,67,2
20.0,V,0,7,5,5,67,2
20.88,V,0,7,5,5,70,5
21.12,V,0,7,5,5,67,2
21.25,V,0,7,5,5,65,0
21.38,V,0,7,5,5,64,11
21.62,V,0,7,5,5,65,0
21.88,V,0,7,5,5,64,11
22.0,vi,2,9,6,5,64,11
22.0,vi,2,9,6,5,62,9
22.62,vi,2,9,6,5,69,4
22.75,vi,2,9,6,5,67,2
22.88,vi,2,9,6,5,69,4
23.0,IV,10,5,4,5,69,4
23.12,IV,10,5,4,5,72,7
23.38,IV,10,5,4,5,65,0
23.62,IV,10,5,4,5,65,0
23.75,IV,10,5,4,5,67,2
24.0,V,0,7,5,5,67,2
24.25,V,0,7,5,5,65,0
24.38,V,0,7,5,5,67,2
24.5,V,0,7,5,5,65,0
24.62,V,0,7,5,5,69,4
24.88,V,0,7,5,5,67,2
26.0,vi,2,9,6,5,67,2
26.62,vi,2,9,6,5,69,4
26.75,vi,2,9,6,5,67,2
26.88,vi,2,9,6,5,69,4
27.0,IV,10,5,4,5,69,4
27.12,IV,10,5,4,5,72,7
27.38,IV,10,5,4,5,65,0
27.62,IV,10,5,4,5,65,0
27.75,IV,10,5,4,5,67,2
28.0,V,0,7,5,5,67,2
28.88,V,0,7,5,5,70,5
29.12,V,0,7,5,5,67,2
29.25,V,0,7,5,5,65,0
29.38,V,0,7,5,5,64,11
29.62,V,0,7,5,5,65,0
30.0,I,5,0,1,5,65,0
30.38,I,5,0,1,5,53,0
30.5,I,5,0,1,5,55,2
30.62,I,5,0,1,5,57,4
30.88,I,5,0,1,5,55,2
32.0,I,5,0,1,5,58,5
32.12,I,5,0,1,5,58,5
32.25,I,5,0,1,5,58,5
32.38,I,5,0,1,5,57,4
32.5,I,5,0,1,5,55,2
32.88,I,5,0,1,5,55,2
33.0,V,0,7,5,5,55,2
34.0,IV,10,5,4,5,55,2
34.38,IV,10,5,4,5,58,5
34.5,IV,10,5,4,5,60,7
34.62,IV,10,5,4,5,62,9
34.88,IV,10,5,4,5,60,7
35.38,IV,10,5,4,5,58,5
35.5,IV,10,5,4,5,60,7
35.62,IV,10,5,4,5,62,9
35.88,IV,10,5,4,5,65,0
36.12,IV,10,5,4,5,58,5
36.38,IV,10,5,4,5,60,7
36.5,IV,10,5,4,5,60,7
36.62,IV,10,5,4,5,62,9
36.75,IV,10,5,4,5,60,7
37.0,I,5,0,1,5,60,7
38.38,I,5,0,1,5,53,0
38.5,I,5,0,1,5,55,2
38.62,I,5,0,1,5,57,4
38.88,I,5,0,1,5,55,2
39.38,I,5,0,1,5,53,0
39.5,I,5,0,1,5,55,2
39.62,I,5,0,1,5,57,4
39.88,I,5,0,1,5,57,4
40.0,I,5,0,1,5,58,5
40.38,I,5,0,1,5,57,4
40.5,I,5,0,1,5,55,2
40.62,I,5,0,1,5,55,2
40.88,I,5,0,1,5,55,2
41.0,V,0,7,5,5,55,2
42.0,IV,10,5,4,5,55,2
42.38,IV,10,5,4,5,58,5
42.5,IV,10,5,4,5,60,7
42.62,IV,10,5,4,5,62,9
42.88,IV,10,5,4,5,60,7
43.38,IV,10,5,4,5,58,5
43.5,IV,10,5,4,5,60,7
43.62,IV,10,5,4,5,62,9
43.88,IV,10,5,4,5,65,0
44.0,IV,10,5,4,5,58,5
44.12,IV,10,5,4,5,58,5
44.38,IV,10,5,4,5,60,7
44.62,IV,10,5,4,5,62,9
44.75,IV,10,5,4,5,60,7
45.0,I,5,0,1,5,60,7
46.0,vi,2,9,6,5,60,7
46.62,vi,2,9,6,5,69,4
46.75,vi,2,9,6,5,67,2
46.88,vi,2,9,6,5,69,4
47.0,IV,10,5,4,5,69,4
47.12,IV,10,5,4,5,72,7
47.38,IV,10,5,4,5,65,0
47.62,IV,10,5,4,5,65,0
47.75,IV,10,5,4,5,67,2
48.0,V,0,7,5,5,67,2
48.88,V,0,7,5,5,70,5
49.12,V,0,7,5,5,67,2
49.25,V,0,7,5,5,65,0
49.38,V,0,7,5,5,64,11
49.62,V,0,7,5,5,65,0
49.88,V,0,7,5,5,64,11
50.0,V,0,7,5,5,62,9
50.0,vi,2,9,6,5,62,9
50.62,vi,2,9,6,5,69,4
50.75,vi,2,9,6,5,67,2
50.88,vi,2,9,6,5,69,4
51.0,IV,10,5,4,5,69,4
51.12,IV,10,5,4,5,72,7
51.38,IV,10,5,4,5,65,0
51.62,IV,10,5,4,5,65,0
51.75,IV,10,5,4,5,67,2
52.0,V,0,7,5,5,67,2
52.25,V,0,7,5,5,65,0
52.38,V,0,7,5,5,67,2
52.5,V,0,7,5,5,65,0
52.62,V,0,7,5,5,69,4
52.88,V,0,7,5,5,67,2
54.0,vi,2,9,6,5,67,2
54.62,vi,2,9,6,5,69,4
54.75,vi,2,9,6,5,67,2
54.88,vi,2,9,6,5,69,4
55.0,IV,10,5,4,5,69,4
55.12,IV,10,5,4,5,72,7
55.38,IV,10,5,4,5,65,0
55.62,IV,10,5,4,5,65,0
55.75,IV,10,5,4,5,67,2
56.0,V,0,7,5,5,67,2
56.88,V,0,7,5,5,70,5
57.12,V,0,7,5,5,67,2
57.25,V,0,7,5,5,65,0
57.38,V,0,7,5,5,64,11
57.62,V,0,7,5,5,65,0
58.0,I,5,0,1,5,65,0
61.0,V,0,7,5,5,65,0
62.0,IV,10,5,4,5,65,0
65.0,I,5,0,1,5,65,0
69.0,V,0,7,5,5,65,0
70.0,IV,10,5,4,5,65,0
73.0,I,5,0,1,5,65,0
74.0,vi,2,9,6,5,65,0
74.62,vi,2,9,6,5,69,4
74.75,vi,2,9,6,5,67,2
74.88,vi,2,9,6,5,69,4
75.0,IV,10,5,4,5,69,4
75.12,IV,10,5,4,5,72,7
75.38,IV,10,5,4,5,65,0
75.62,IV,10,5,4,5,65,0
75.75,IV,10,5,4,5,67,2
