Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
11.25,I,7,0,1,7,70,3
11.38,I,7,0,1,7,70,3
11.62,I,7,0,1,7,70,3
11.75,I,7,0,1,7,69,2
12.0,I,7,0,1,7,67,0
12.25,I,7,0,1,7,64,9
13.38,I,7,0,1,7,70,3
13.62,I,7,0,1,7,69,2
13.88,I,7,0,1,7,67,0
14.0,I,7,0,1,7,67,0
14.88,I,7,0,1,7,79,0
15.25,I,7,0,1,7,69,2
15.38,I,7,0,1,7,70,3
15.56,I,7,0,1,7,70,3
15.69,I,7,0,1,7,70,3
15.88,I,7,0,1,7,69,2
16.0,I,7,0,1,7,67,0
16.0,IV,0,5,4,7,67,0
16.12,IV,0,5,4,7,67,0
17.38,IV,0,5,4,7,70,3
17.62,IV,0,5,4,7,69,2
17.88,IV,0,5,4,7,64,9
18.0,IV,0,5,4,7,67,0
18.0,I,7,0,1,7,67,0
18.25,I,7,0,1,7,64,9
19.25,I,7,0,1,7,69,2
19.38,I,7,0,1,7,70,3
19.5,I,7,0,1,7,69,2
19.62,I,7,0,1,7,70,3
19.75,I,7,0,1,7,69,2
19.88,I,7,0,1,7,67,0
20.0,I,7,0,1,7,69,2
20.0,V,2,7,5,7,69,2
20.25,V,2,7,5,7,69,2
20.38,V,2,7,5,7,67,0
21.0,IV,0,5,4,7,67,0
21.12,IV,0,5,4,7,65,10
21.38,IV,0,5,4,7,67,0
21.5,IV,0,5,4,7,70,3
21.62,IV,0,5,4,7,69,2
21.88,IV,0,5,4,7,67,0
22.0,IV,0,5,4,7,67,0
22.0,I,7,0,1,7,67,0
22.06,I,7,0,1,7,64,9
22.12,I,7,0,1,7,62,7
23.75,I,7,0,1,7,69,2
23.88,I,7,0,1,7,67,0
24.0,I,7,0,1,7,70,3
24.12,I,7,0,1,7,70,3
24.25,I,7,0,1,7,67,0
24.38,I,7,0,1,7,64,9
24.5,I,7,0,1,7,67,0
24.62,I,7,0,1,7,67,0
24.75,I,7,0,1,7,64,9
24.88,I,7,0,1,7,62,7
25.0,I,7,0,1,7,67,0
25.12,I,7,0,1,7,67,0
25.25,I,7,0,1,7,67,0
25.38,I,7,0,1,7,65,10
25.5,I,7,0,1,7,70,3
25.75,I,7,0,1,7,69,2
25.88,I,7,0,1,7,70,3
26.0,I,7,0,1,7,69,2
26.12,I,7,0,1,7,70,3
26.25,I,7,0,1,7,70,3
26.38,I,7,0,1,7,70,3
26.5,I,7,0,1,7,69,2
26.62,I,7,0,1,7,70,3
26.75,I,7,0,1,7,70,3
26.88,I,7,0,1,7,70,3
27.0,I,7,0,1,7,70,3
27.12,I,7,0,1,7,70,3
27.25,I,7,0,1,7,70,3
27.38,I,7,0,1,7,70,3
27.75,I,7,0,1,7,70,3
27.88,I,7,0,1,7,70,3
28.25,I,7,0,1,7,70,3
28.5,I,7,0,1,7,70,3
29.0,IV,0,5,4,7,70,3
29.0,IV,0,5,4,7,67,0
29.25,IV,0,5,4,7,79,0
30.38,IV,0,5,4,7,70,3
30.62,IV,0,5,4,7,69,2
30.88,IV,0,5,4,7,67,0
31.0,I,7,0,1,7,67,0
31.0,I,7,0,1,7,67,0
31.25,I,7,0,1,7,64,9
32.25,I,7,0,1,7,69,2
32.38,I,7,0,1,7,69,2
32.5,I,7,0,1,7,69,2
32.62,I,7,0,1,7,67,0
32.75,I,7,0,1,7,69,2
32.88,I,7,0,1,7,67,0
33.0,V,2,7,5,7,67,0
33.0,V,2,7,5,7,69,2
33.25,V,2,7,5,7,76,9
34.0,IV,0,5,4,7,76,9
34.12,IV,0,5,4,7,64,9
34.38,IV,0,5,4,7,67,0
34.5,IV,0,5,4,7,69,2
34.62,IV,0,5,4,7,69,2
34.88,IV,0,5,4,7,67,0
35.0,IV,0,5,4,7,67,0
35.0,I,7,0,1,7,67,0
35.06,I,7,0,1,7,64,9
35.12,I,7,0,1,7,62,7
37.0,I,7,0,1,7,71,4
37.12,I,7,0,1,7,71,4
37.25,I,7,0,1,7,69,2
37.38,I,7,0,1,7,67,0
37.5,I,7,0,1,7,67,0
37.62,I,7,0,1,7,67,0
37.75,I,7,0,1,7,67,0
37.88,I,7,0,1,7,64,9
38.0,I,7,0,1,7,67,0
38.12,I,7,0,1,7,64,9
38.25,I,7,0,1,7,67,0
38.38,I,7,0,1,7,67,0
