Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
0.0,i,3,0,1,3,63,0
1.17,i,3,0,1,3,58,7
1.25,i,3,0,1,3,58,7
1.42,i,3,0,1,3,58,7
1.5,i,3,0,1,3,63,0
1.67,i,3,0,1,3,63,0
1.75,i,3,0,1,3,66,3
2.0,v65,10,7,5,3,66,3
2.0,v65,10,7,5,3,68,5
2.25,v65,10,7,5,3,61,10
2.42,v65,10,7,5,3,61,10
2.67,v65,10,7,5,3,59,8
2.75,v65,10,7,5,3,58,7
3.67,v65,10,7,5,3,56,5
3.92,v65,10,7,5,3,58,7
4.0,v65,10,7,5,3,59,8
4.0,iv65,8,5,4,3,59,8
4.25,iv65,8,5,4,3,61,10
4.5,iv65,8,5,4,3,56,5
4.75,iv65,8,5,4,3,58,7
5.0,iv65,8,5,4,3,59,8
5.25,iv65,8,5,4,3,58,7
5.42,iv65,8,5,4,3,56,5
5.67,iv65,8,5,4,3,54,3
5.92,iv65,8,5,4,3,56,5
6.0,V,10,7,5,3,56,5
6.17,V,10,7,5,3,54,3
6.25,V,10,7,5,3,53,2
8.0,i,3,0,1,3,53,2
8.0,i,3,0,1,3,70,7
9.25,i,3,0,1,3,70,7
9.42,i,3,0,1,3,70,7
9.5,i,3,0,1,3,70,7
9.67,i,3,0,1,3,68,5
9.75,i,3,0,1,3,66,3
10.0,v65,10,7,5,3,66,3
10.0,v65,10,7,5,3,61,10
10.25,v65,10,7,5,3,63,0
10.5,v65,10,7,5,3,58,7
10.92,v65,10,7,5,3,56,5
11.0,v65,10,7,5,3,53,2
11.67,v65,10,7,5,3,56,5
11.92,v65,10,7,5,3,58,7
12.0,iv65,8,5,4,3,58,7
12.0,iv65,8,5,4,3,59,8
12.25,iv65,8,5,4,3,61,10
12.5,iv65,8,5,4,3,56,5
12.75,iv65,8,5,4,3,58,7
13.0,iv65,8,5,4,3,59,8
13.25,iv65,8,5,4,3,58,7
13.5,iv65,8,5,4,3,56,5
13.67,iv65,8,5,4,3,54,3
13.92,iv65,8,5,4,3,56,5
14.0,V,10,7,5,3,56,5
14.17,V,10,7,5,3,54,3
14.25,V,10,7,5,3,53,2
15.0,V,1,7,5,6,53,2
16.0,I,6,0,1,6,53,2
16.25,I,6,0,1,6,54,0
16.5,I,6,0,1,6,52,10
16.5,IV,11,5,4,6,52,10
16.67,IV,11,5,4,6,52,10
16.75,IV,11,5,4,6,51,9
17.0,I,6,0,1,6,51,9
17.0,I,6,0,1,6,42,0
17.25,I,6,0,1,6,44,2
17.5,IV,11,5,4,6,44,2
17.5,IV,11,5,4,6,47,5
17.75,IV,11,5,4,6,49,7
18.0,I,6,0,1,6,49,7
18.25,I,6,0,1,6,54,0
18.5,I,6,0,1,6,52,10
18.5,IV,11,5,4,6,52,10
18.67,IV,11,5,4,6,52,10
18.75,IV,11,5,4,6,51,9
19.0,IV,11,5,4,6,42,0
19.0,I,6,0,1,6,42,0
19.25,I,6,0,1,6,44,2
19.5,IV,11,5,4,6,44,2
19.5,IV,11,5,4,6,47,5
19.75,IV,11,5,4,6,49,7
20.0,I,6,0,1,6,49,7
20.25,I,6,0,1,6,54,0
20.5,I,6,0,1,6,52,10
20.5,IV,11,5,4,6,52,10
20.67,IV,11,5,4,6,52,10
20.75,IV,11,5,4,6,51,9
21.0,IV,11,5,4,6,42,0
21.0,I,6,0,1,6,42,0
21.25,I,6,0,1,6,44,2
21.5,IV,11,5,4,6,44,2
21.5,IV,11,5,4,6,47,5
21.75,IV,11,5,4,6,49,7
22.0,I,6,0,1,6,49,7
22.25,I,6,0,1,6,54,0
22.5,I,6,0,1,6,52,10
22.5,IV,11,5,4,6,52,10
22.67,IV,11,5,4,6,52,10
22.75,IV,11,5,4,6,51,9
23.0,I,6,0,1,6,51,9
23.0,I,6,0,1,6,42,0
23.25,I,6,0,1,6,44,2
23.5,I,6,0,1,6,47,5
23.5,IV,11,5,4,6,47,5
23.75,IV,11,5,4,6,49,7
24.0,I,8,0,1,8,49,7
24.0,I,8,0,1,8,72,4
24.5,IV,1,5,4,8,72,4
24.5,IV,1,5,4,8,73,5
25.0,I,8,0,1,8,73,5
25.0,I,8,0,1,8,75,7
25.42,I,8,0,1,8,68,0
25.5,IV,1,5,4,8,68,0
25.67,IV,1,5,4,8,68,0
25.92,IV,1,5,4,8,70,2
26.0,I,8,0,1,8,70,2
26.17,I,8,0,1,8,72,4
26.5,IV,1,5,4,8,72,4
27.0,I,8,0,1,8,72,4
27.5,IV,1,5,4,8,72,4
28.0,I,10,0,1,10,72,4
28.0,I,10,0,1,10,74,4
28.5,IV,3,5,4,10,74,4
28.5,IV,3,5,4,10,75,5
29.0,IV,3,5,4,10,77,7
29.0,I,10,0,1,10,77,7
29.42,I,10,0,1,10,70,0
29.5,IV,3,5,4,10,70,0
29.67,IV,3,5,4,10,70,0
29.92,IV,3,5,4,10,72,2
30.0,I,10,0,1,10,72,2
30.17,I,10,0,1,10,74,4
30.5,IV,3,5,4,10,74,4
31.0,I,10,0,1,10,74,4
31.5,IV,3,5,4,10,74,4
32.0,i,3,0,1,3,74,4
32.0,i,3,0,1,3,63,0
32.25,i,3,0,1,3,63,0
32.42,i,3,0,1,3,63,0
32.67,i,3,0,1,3,61,10
32.75,i,3,0,1,3,58,7
33.25,i,3,0,1,3,58,7
33.5,i,3,0,1,3,63,0
33.75,i,3,0,1,3,66,3
34.0,i,3,0,1,3,68,5
34.0,v65,10,7,5,3,68,5
34.25,v65,10,7,5,3,61,10
34.42,v65,10,7,5,3,61,10
34.67,v65,10,7,5,3,59,8
34.75,v65,10,7,5,3,58,7
36.0,v65,10,7,5,3,59,8
36.0,iv65,8,5,4,3,59,8
36.25,iv65,8,5,4,3,61,10
36.5,iv65,8,5,4,3,56,5
36.92,iv65,8,5,4,3,58,7
37.17,iv65,8,5,4,3,59,8
37.42,iv65,8,5,4,3,58,7
37.5,iv65,8,5,4,3,56,5
37.67,iv65,8,5,4,3,54,3
37.92,iv65,8,5,4,3,56,5
38.0,V,10,7,5,3,56,5
38.17,V,10,7,5,3,54,3
38.25,V,10,7,5,3,53,2
40.0,V,10,7,5,3,70,7
40.0,i,3,0,1,3,70,7
41.67,i,3,0,1,3,68,5
41.75,i,3,0,1,3,66,3
42.0,i,3,0,1,3,61,10
42.0,v65,10,7,5,3,61,10
42.25,v65,10,7,5,3,63,0
42.5,v65,10,7,5,3,58,7
42.92,v65,10,7,5,3,56,5
43.0,v65,10,7,5,3,54,3
43.5,v65,10,7,5,3,56,5
43.67,v65,10,7,5,3,58,7
44.0,v65,10,7,5,3,59,8
44.0,iv65,8,5,4,3,59,8
44.25,iv65,8,5,4,3,61,10
44.5,iv65,8,5,4,3,56,5
44.75,iv65,8,5,4,3,58,7
45.0,iv65,8,5,4,3,59,8
45.17,iv65,8,5,4,3,58,7
45.42,iv65,8,5,4,3,56,5
46.0,V,10,7,5,3,56,5
47.0,V,1,7,5,6,56,5
48.0,I,6,0,1,6,56,5
48.25,I,6,0,1,6,54,0
48.5,I,6,0,1,6,52,10
48.5,IV,11,5,4,6,52,10
48.67,IV,11,5,4,6,52,10
48.75,IV,11,5,4,6,51,9
49.0,I,6,0,1,6,51,9
49.0,I,6,0,1,6,42,0
49.25,I,6,0,1,6,44,2
49.5,I,6,0,1,6,47,5
49.5,IV,11,5,4,6,47,5
49.75,IV,11,5,4,6,49,7
50.0,I,6,0,1,6,49,7
50.25,I,6,0,1,6,54,0
50.5,IV,11,5,4,6,54,0
50.5,IV,11,5,4,6,52,10
50.67,IV,11,5,4,6,52,10
50.75,IV,11,5,4,6,51,9
51.0,I,6,0,1,6,51,9
51.0,I,6,0,1,6,42,0
51.25,I,6,0,1,6,44,2
51.5,IV,11,5,4,6,44,2
51.5,IV,11,5,4,6,47,5
51.75,IV,11,5,4,6,49,7
52.0,I,6,0,1,6,49,7
52.25,I,6,0,1,6,54,0
52.5,IV,11,5,4,6,54,0
52.5,IV,11,5,4,6,52,10
52.67,IV,11,5,4,6,52,10
52.75,IV,11,5,4,6,51,9
53.0,I,6,0,1,6,51,9
53.0,I,6,0,1,6,42,0
53.25,I,6,0,1,6,44,2
53.5,I,6,0,1,6,47,5
53.5,IV,11,5,4,6,47,5
53.75,IV,11,5,4,6,49,7
54.0,I,6,0,1,6,49,7
54.25,I,6,0,1,6,54,0
54.5,IV,11,5,4,6,54,0
54.5,IV,11,5,4,6,52,10
54.67,IV,11,5,4,6,52,10
54.75,IV,11,5,4,6,51,9
55.0,I,6,0,1,6,51,9
55.0,I,6,0,1,6,42,0
55.25,I,6,0,1,6,44,2
55.5,IV,11,5,4,6,44,2
55.5,IV,11,5,4,6,47,5
55.75,IV,11,5,4,6,49,7
56.0,I,8,0,1,8,49,7
56.0,I,8,0,1,8,72,4
56.5,I,8,0,1,8,73,5
56.5,IV,1,5,4,8,73,5
57.0,IV,1,5,4,8,75,7
57.0,I,8,0,1,8,75,7
57.42,I,8,0,1,8,68,0
57.5,IV,1,5,4,8,68,0
57.67,IV,1,5,4,8,68,0
57.92,IV,1,5,4,8,70,2
58.0,I,8,0,1,8,70,2
58.17,I,8,0,1,8,72,4
58.5,IV,1,5,4,8,72,4
59.0,I,8,0,1,8,72,4
59.5,IV,1,5,4,8,72,4
60.0,I,10,0,1,10,72,4
60.0,I,10,0,1,10,74,4
60.5,IV,3,5,4,10,74,4
60.5,IV,3,5,4,10,75,5
61.0,I,10,0,1,10,75,5
61.0,I,10,0,1,10,77,7
61.42,I,10,0,1,10,70,0
61.5,IV,3,5,4,10,70,0
61.67,IV,3,5,4,10,70,0
61.92,IV,3,5,4,10,72,2
62.0,I,10,0,1,10,72,2
62.17,I,10,0,1,10,74,4
62.5,IV,3,5,4,10,74,4
63.0,I,10,0,1,10,74,4
63.5,IV,3,5,4,10,74,4
64.0,I,10,0,1,10,74,4
64.5,IV,3,5,4,10,74,4
64.5,IV,3,5,4,10,60,2
64.75,IV,3,5,4,10,62,4
65.0,I,10,0,1,10,62,4
65.5,IV,3,5,4,10,62,4
66.0,I,10,0,1,10,62,4
66.5,IV,3,5,4,10,62,4
67.0,I,10,0,1,10,62,4
67.5,IV,3,5,4,10,62,4
68.0,I,10,0,1,10,62,4
