Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
0.12,I,0,0,1,0,63,3
0.25,I,0,0,1,0,63,3
0.38,I,0,0,1,0,63,3
0.5,I,0,0,1,0,63,3
0.75,I,0,0,1,0,63,3
0.88,I,0,0,1,0,63,3
1.0,I,0,0,1,0,63,3
1.12,I,0,0,1,0,63,3
1.25,I,0,0,1,0,63,3
1.38,I,0,0,1,0,63,3
1.5,I,0,0,1,0,72,0
2.0,IV,5,5,4,0,72,0
2.12,IV,5,5,4,0,63,3
2.25,IV,5,5,4,0,63,3
2.38,IV,5,5,4,0,60,0
2.5,IV,5,5,4,0,63,3
2.75,IV,5,5,4,0,60,0
2.88,IV,5,5,4,0,58,10
3.0,IV,5,5,4,0,60,0
3.25,IV,5,5,4,0,60,0
3.38,IV,5,5,4,0,48,0
4.0,V,7,7,5,0,48,0
4.12,V,7,7,5,0,62,2
4.25,V,7,7,5,0,62,2
4.38,V,7,7,5,0,63,3
4.5,V,7,7,5,0,63,3
4.62,V,7,7,5,0,62,2
5.0,IV,5,5,4,0,62,2
5.12,IV,5,5,4,0,57,9
5.25,IV,5,5,4,0,60,0
5.38,IV,5,5,4,0,60,0
5.5,IV,5,5,4,0,57,9
6.0,IV,5,5,4,0,63,3
6.0,I,0,0,1,0,63,3
6.25,I,0,0,1,0,58,10
6.5,I,0,0,1,0,60,0
6.75,I,0,0,1,0,60,0
6.88,I,0,0,1,0,72,0
7.12,I,0,0,1,0,60,0
7.25,I,0,0,1,0,70,10
7.38,I,0,0,1,0,72,0
7.5,I,0,0,1,0,60,0
8.12,I,0,0,1,0,62,2
8.25,I,0,0,1,0,62,2
8.38,I,0,0,1,0,62,2
8.5,I,0,0,1,0,63,3
8.75,I,0,0,1,0,63,3
8.88,I,0,0,1,0,63,3
9.0,I,0,0,1,0,63,3
9.12,I,0,0,1,0,63,3
9.25,I,0,0,1,0,63,3
9.38,I,0,0,1,0,63,3
9.5,I,0,0,1,0,63,3
10.0,IV,5,5,4,0,63,3
10.12,IV,5,5,4,0,60,0
10.25,IV,5,5,4,0,63,3
10.38,IV,5,5,4,0,60,0
10.5,IV,5,5,4,0,63,3
10.75,IV,5,5,4,0,60,0
10.88,IV,5,5,4,0,72,0
11.25,IV,5,5,4,0,57,9
11.38,IV,5,5,4,0,62,2
11.5,IV,5,5,4,0,63,3
12.0,V,7,7,5,0,63,3
12.12,V,7,7,5,0,62,2
12.25,V,7,7,5,0,62,2
12.38,V,7,7,5,0,62,2
12.5,V,7,7,5,0,63,3
13.0,IV,5,5,4,0,63,3
13.12,IV,5,5,4,0,57,9
13.25,IV,5,5,4,0,60,0
13.5,IV,5,5,4,0,55,7
14.0,I,0,0,1,0,55,7
14.0,I,0,0,1,0,64,4
14.25,I,0,0,1,0,57,9
14.5,I,0,0,1,0,62,2
14.75,I,0,0,1,0,60,0
14.88,I,0,0,1,0,72,0
15.12,I,0,0,1,0,60,0
15.25,I,0,0,1,0,67,7
15.38,I,0,0,1,0,72,0
15.5,I,0,0,1,0,60,0
16.0,IV,5,5,4,0,60,0
16.12,IV,5,5,4,0,65,5
16.38,IV,5,5,4,0,65,5
16.5,IV,5,5,4,0,65,5
16.75,IV,5,5,4,0,67,7
17.38,IV,5,5,4,0,72,0
18.0,I,0,0,1,0,72,0
18.88,I,0,0,1,0,60,0
18.94,I,0,0,1,0,59,11
19.12,I,0,0,1,0,72,0
19.25,I,0,0,1,0,60,0
20.0,IV,5,5,4,0,60,0
20.12,IV,5,5,4,0,65,5
20.38,IV,5,5,4,0,57,9
20.5,IV,5,5,4,0,60,0
20.62,IV,5,5,4,0,62,2
20.75,IV,5,5,4,0,63,3
21.62,IV,5,5,4,0,62,2
22.0,V,7,7,5,0,62,2
22.12,V,7,7,5,0,62,2
22.25,V,7,7,5,0,62,2
22.38,V,7,7,5,0,63,3
22.5,V,7,7,5,0,63,3
22.62,V,7,7,5,0,63,3
22.75,V,7,7,5,0,63,3
22.88,V,7,7,5,0,67,7
23.0,V,7,7,5,0,58,10
23.12,V,7,7,5,0,59,11
23.25,V,7,7,5,0,62,2
23.38,V,7,7,5,0,55,7
24.12,V,7,7,5,0,67,7
24.38,V,7,7,5,0,62,2
25.12,V,7,7,5,0,67,7
25.38,V,7,7,5,0,59,11
25.5,V,7,7,5,0,62,2
26.0,V,7,7,5,0,62,2
26.12,V,7,7,5,0,62,2
26.25,V,7,7,5,0,63,3
26.38,V,7,7,5,0,62,2
26.5,V,7,7,5,0,63,3
26.75,V,7,7,5,0,62,2
26.88,V,7,7,5,0,62,2
27.0,V,7,7,5,0,67,7
27.12,V,7,7,5,0,69,9
27.25,V,7,7,5,0,67,7
27.38,V,7,7,5,0,69,9
27.5,V,7,7,5,0,67,7
27.62,V,7,7,5,0,69,9
27.75,V,7,7,5,0,67,7
27.88,V,7,7,5,0,69,9
28.0,I,0,0,1,0,69,9
28.12,I,0,0,1,0,69,9
28.25,I,0,0,1,0,62,2
28.38,I,0,0,1,0,63,3
28.5,I,0,0,1,0,63,3
28.62,I,0,0,1,0,63,3
28.75,I,0,0,1,0,63,3
28.88,I,0,0,1,0,63,3
29.0,I,0,0,1,0,63,3
29.12,I,0,0,1,0,63,3
29.25,I,0,0,1,0,63,3
29.38,I,0,0,1,0,55,7
30.0,IV,5,5,4,0,55,7
30.12,IV,5,5,4,0,63,3
30.25,IV,5,5,4,0,63,3
30.38,IV,5,5,4,0,60,0
30.5,IV,5,5,4,0,63,3
30.62,IV,5,5,4,0,72,0
30.75,IV,5,5,4,0,60,0
30.81,IV,5,5,4,0,58,10
31.0,IV,5,5,4,0,60,0
31.12,IV,5,5,4,0,58,10
31.38,IV,5,5,4,0,63,3
31.5,IV,5,5,4,0,60,0
32.0,V,7,7,5,0,60,0
32.06,V,7,7,5,0,70,10
32.12,V,7,7,5,0,72,0
32.38,V,7,7,5,0,65,5
32.62,V,7,7,5,0,71,11
33.0,IV,5,5,4,0,71,11
33.06,IV,5,5,4,0,57,9
33.12,IV,5,5,4,0,65,5
33.38,IV,5,5,4,0,57,9
33.5,IV,5,5,4,0,67,7
33.75,IV,5,5,4,0,53,5
34.0,IV,5,5,4,0,58,10
34.0,I,0,0,1,0,58,10
34.12,I,0,0,1,0,57,9
34.25,I,0,0,1,0,57,9
34.38,I,0,0,1,0,58,10
34.5,I,0,0,1,0,70,10
34.62,I,0,0,1,0,58,10
34.75,I,0,0,1,0,58,10
34.88,I,0,0,1,0,72,0
35.0,I,0,0,1,0,72,0
35.12,I,0,0,1,0,60,0
35.25,I,0,0,1,0,71,11
35.38,I,0,0,1,0,74,2
35.5,I,0,0,1,0,64,4
35.75,I,0,0,1,0,55,7
38.0,IV,5,5,4,0,55,7
40.0,V,7,7,5,0,55,7
41.0,IV,5,5,4,0,55,7
42.0,I,0,0,1,0,55,7
46.0,IV,5,5,4,0,55,7
48.0,V,7,7,5,0,55,7
49.0,IV,5,5,4,0,55,7
50.0,I,0,0,1,0,55,7
50.12,I,0,0,1,0,65,5
50.38,I,0,0,1,0,67,7
51.88,I,0,0,1,0,65,5
52.0,IV,5,5,4,0,65,5
52.12,IV,5,5,4,0,67,7
52.38,IV,5,5,4,0,65,5
52.5,IV,5,5,4,0,65,5
52.75,IV,5,5,4,0,67,7
53.38,IV,5,5,4,0,72,0
54.0,I,0,0,1,0,72,0
55.06,I,0,0,1,0,60,0
55.25,I,0,0,1,0,72,0
56.0,IV,5,5,4,0,72,0
56.12,IV,5,5,4,0,72,0
56.38,IV,5,5,4,0,63,3
56.5,IV,5,5,4,0,65,5
56.75,IV,5,5,4,0,67,7
57.62,IV,5,5,4,0,62,2
58.0,V,7,7,5,0,62,2
58.12,V,7,7,5,0,62,2
58.25,V,7,7,5,0,62,2
58.38,V,7,7,5,0,63,3
58.5,V,7,7,5,0,63,3
58.62,V,7,7,5,0,62,2
58.75,V,7,7,5,0,62,2
58.88,V,7,7,5,0,67,7
59.0,V,7,7,5,0,58,10
59.12,V,7,7,5,0,59,11
59.25,V,7,7,5,0,62,2
59.38,V,7,7,5,0,62,2
59.5,V,7,7,5,0,55,7
60.12,V,7,7,5,0,67,7
60.38,V,7,7,5,0,62,2
61.12,V,7,7,5,0,67,7
61.38,V,7,7,5,0,62,2
61.5,V,7,7,5,0,67,7
62.0,V,7,7,5,0,62,2
62.12,V,7,7,5,0,62,2
62.25,V,7,7,5,0,63,3
62.38,V,7,7,5,0,63,3
62.5,V,7,7,5,0,62,2
62.75,V,7,7,5,0,62,2
62.88,V,7,7,5,0,62,2
63.0,V,7,7,5,0,67,7
63.12,V,7,7,5,0,69,9
63.25,V,7,7,5,0,67,7
63.38,V,7,7,5,0,69,9
63.5,V,7,7,5,0,67,7
63.62,V,7,7,5,0,69,9
63.75,V,7,7,5,0,67,7
63.88,V,7,7,5,0,69,9
64.0,I,0,0,1,0,69,9
64.12,I,0,0,1,0,69,9
64.25,I,0,0,1,0,69,9
64.38,I,0,0,1,0,69,9
64.5,I,0,0,1,0,69,9
64.62,I,0,0,1,0,67,7
64.75,I,0,0,1,0,65,5
64.88,I,0,0,1,0,64,4
65.0,I,0,0,1,0,64,4
65.12,I,0,0,1,0,64,4
65.25,I,0,0,1,0,65,5
65.38,I,0,0,1,0,55,7
66.0,IV,5,5,4,0,55,7
66.12,IV,5,5,4,0,62,2
66.25,IV,5,5,4,0,60,0
66.38,IV,5,5,4,0,69,9
66.5,IV,5,5,4,0,60,0
66.62,IV,5,5,4,0,58,10
66.75,IV,5,5,4,0,58,10
66.88,IV,5,5,4,0,57,9
67.0,IV,5,5,4,0,57,9
67.12,IV,5,5,4,0,53,5
67.38,IV,5,5,4,0,62,2
67.5,IV,5,5,4,0,60,0
68.0,V,7,7,5,0,60,0
68.06,V,7,7,5,0,71,11
68.12,V,7,7,5,0,62,2
68.38,V,7,7,5,0,65,5
68.62,V,7,7,5,0,67,7
69.0,IV,5,5,4,0,67,7
69.12,IV,5,5,4,0,67,7
69.25,IV,5,5,4,0,67,7
69.38,IV,5,5,4,0,62,2
69.62,IV,5,5,4,0,48,0
70.0,IV,5,5,4,0,70,10
70.0,I,0,0,1,0,70,10
70.25,I,0,0,1,0,60,0
70.38,I,0,0,1,0,60,0
70.5,I,0,0,1,0,70,10
70.75,I,0,0,1,0,60,0
70.88,I,0,0,1,0,72,0
71.0,I,0,0,1,0,72,0
71.12,I,0,0,1,0,63,3
71.25,I,0,0,1,0,64,4
71.38,I,0,0,1,0,72,0
71.5,I,0,0,1,0,60,0
71.62,I,0,0,1,0,55,7
73.0,End,0,0,1,0,55,7
