Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
27.92,vi,9,9,6,0,52,4
28.0,I,0,0,1,0,52,4
28.0,I,0,0,1,0,52,4
28.08,I,0,0,1,0,55,7
28.17,I,0,0,1,0,55,7
28.33,I,0,0,1,0,55,7
28.83,I,0,0,1,0,55,7
29.0,I,0,0,1,0,57,9
29.0,vi,9,9,6,0,57,9
29.17,vi,9,9,6,0,57,9
29.33,vi,9,9,6,0,57,9
30.0,I,0,0,1,0,57,9
30.08,I,0,0,1,0,52,4
30.17,I,0,0,1,0,55,7
30.33,I,0,0,1,0,55,7
30.5,I,0,0,1,0,55,7
30.83,I,0,0,1,0,55,7
30.92,I,0,0,1,0,55,7
31.0,I,0,0,1,0,57,9
31.0,vi,9,9,6,0,57,9
31.33,vi,9,9,6,0,57,9
31.5,vi,9,9,6,0,57,9
31.92,vi,9,9,6,0,55,7
32.0,IV,5,5,4,0,55,7
32.0,IV,5,5,4,0,57,9
32.33,IV,5,5,4,0,57,9
32.67,IV,5,5,4,0,57,9
32.83,IV,5,5,4,0,57,9
33.0,IV,5,5,4,0,57,9
33.33,IV,5,5,4,0,55,7
33.5,V,7,7,5,0,55,7
33.5,V,7,7,5,0,55,7
33.83,V,7,7,5,0,53,5
34.0,I,0,0,1,0,53,5
34.17,I,0,0,1,0,55,7
34.33,I,0,0,1,0,55,7
35.0,V,7,7,5,0,55,7
35.83,V,7,7,5,0,52,4
35.92,V,7,7,5,0,53,5
36.0,I,0,0,1,0,53,5
36.0,I,0,0,1,0,55,7
36.33,I,0,0,1,0,55,7
36.5,I,0,0,1,0,55,7
36.83,I,0,0,1,0,55,7
37.0,I,0,0,1,0,57,9
37.0,IV,5,5,4,0,57,9
37.33,IV,5,5,4,0,57,9
37.5,IV,5,5,4,0,59,11
37.5,V,7,7,5,0,59,11
37.83,V,7,7,5,0,57,9
38.0,V,7,7,5,0,60,0
38.0,vi,9,9,6,0,60,0
38.33,vi,9,9,6,0,60,0
38.5,vi,9,9,6,0,60,0
38.83,vi,9,9,6,0,60,0
38.92,vi,9,9,6,0,60,0
39.0,vi,9,9,6,0,60,0
39.0,IV,5,5,4,0,60,0
39.33,IV,5,5,4,0,60,0
39.5,IV,5,5,4,0,62,2
39.83,IV,5,5,4,0,60,0
40.0,IV,5,5,4,0,62,2
40.0,V,7,7,5,0,62,2
40.17,V,7,7,5,0,62,2
40.5,V,7,7,5,0,62,2
40.83,V,7,7,5,0,62,2
41.0,V7/vi,4,4,3,0,62,2
41.0,V7/vi,4,4,3,0,64,4
41.33,V7/vi,4,4,3,0,64,4
41.5,V7/vi,4,4,3,0,64,4
41.83,V7/vi,4,4,3,0,62,2
42.0,V7/vi,4,4,3,0,62,2
42.0,vi,9,9,6,0,62,2
42.17,vi,9,9,6,0,60,0
42.33,vi,9,9,6,0,60,0
43.5,vi,9,9,6,0,52,4
43.67,vi,9,9,6,0,55,7
44.0,IV,5,5,4,0,55,7
44.0,IV,5,5,4,0,57,9
44.5,IV,5,5,4,0,57,9
45.5,IV,5,5,4,0,57,9
45.83,IV,5,5,4,0,55,7
46.0,IV,5,5,4,0,52,4
46.0,vi,9,9,6,0,52,4
46.5,vi,9,9,6,0,52,4
47.5,vi,9,9,6,0,52,4
47.83,vi,9,9,6,0,55,7
48.0,vi,9,9,6,0,57,9
48.0,IV,5,5,4,0,57,9
48.5,IV,5,5,4,0,57,9
49.5,IV,5,5,4,0,57,9
49.83,IV,5,5,4,0,55,7
50.0,IV,5,5,4,0,52,4
50.0,I,0,0,1,0,52,4
50.67,I,0,0,1,0,53,5
50.83,I,0,0,1,0,52,4
51.0,V,7,7,5,0,52,4
51.0,V,7,7,5,0,50,2
52.0,V,7,7,5,0,48,0
52.0,I,0,0,1,0,48,0
53.0,vi,9,9,6,0,48,0
54.0,I,0,0,1,0,48,0
55.0,vi,9,9,6,0,48,0
55.83,vi,9,9,6,0,52,4
55.92,vi,9,9,6,0,53,5
56.0,I,0,0,1,0,53,5
56.0,I,0,0,1,0,55,7
56.33,I,0,0,1,0,55,7
56.5,I,0,0,1,0,55,7
56.83,I,0,0,1,0,55,7
56.92,I,0,0,1,0,55,7
57.0,I,0,0,1,0,57,9
57.0,vi,9,9,6,0,57,9
57.08,vi,9,9,6,0,57,9
57.17,vi,9,9,6,0,57,9
57.83,vi,9,9,6,0,52,4
58.0,I,0,0,1,0,52,4
58.0,I,0,0,1,0,55,7
58.33,I,0,0,1,0,55,7
58.5,I,0,0,1,0,55,7
58.83,I,0,0,1,0,55,7
59.0,I,0,0,1,0,57,9
59.0,vi,9,9,6,0,57,9
59.25,vi,9,9,6,0,57,9
59.33,vi,9,9,6,0,57,9
59.83,vi,9,9,6,0,55,7
60.0,IV,5,5,4,0,55,7
60.0,IV,5,5,4,0,57,9
60.17,IV,5,5,4,0,57,9
60.5,IV,5,5,4,0,57,9
60.83,IV,5,5,4,0,57,9
61.0,IV,5,5,4,0,57,9
61.33,IV,5,5,4,0,55,7
61.5,V,7,7,5,0,55,7
61.5,V,7,7,5,0,55,7
61.83,V,7,7,5,0,53,5
62.0,V,7,7,5,0,57,9
62.0,I,0,0,1,0,57,9
62.33,I,0,0,1,0,52,4
63.0,V,7,7,5,0,52,4
63.83,V,7,7,5,0,52,4
63.92,V,7,7,5,0,53,5
64.0,V,7,7,5,0,55,7
64.0,I,0,0,1,0,55,7
64.33,I,0,0,1,0,55,7
64.5,I,0,0,1,0,55,7
64.83,I,0,0,1,0,55,7
65.0,I,0,0,1,0,57,9
65.0,IV,5,5,4,0,57,9
65.17,IV,5,5,4,0,57,9
65.33,IV,5,5,4,0,59,11
65.5,V,7,7,5,0,59,11
65.83,V,7,7,5,0,59,11
65.92,V,7,7,5,0,59,11
66.0,V,7,7,5,0,60,0
66.0,vi,9,9,6,0,60,0
66.33,vi,9,9,6,0,60,0
66.5,vi,9,9,6,0,60,0
66.83,vi,9,9,6,0,60,0
66.92,vi,9,9,6,0,60,0
67.0,IV,5,5,4,0,60,0
67.0,IV,5,5,4,0,60,0
67.17,IV,5,5,4,0,60,0
67.33,IV,5,5,4,0,62,2
67.83,IV,5,5,4,0,60,0
68.0,IV,5,5,4,0,62,2
68.0,V,7,7,5,0,62,2
68.33,V,7,7,5,0,62,2
68.5,V,7,7,5,0,62,2
68.83,V,7,7,5,0,62,2
69.0,V7/vi,4,4,3,0,62,2
69.0,V7/vi,4,4,3,0,64,4
69.33,V7/vi,4,4,3,0,64,4
69.5,V7/vi,4,4,3,0,64,4
69.83,V7/vi,4,4,3,0,62,2
70.0,V7/vi,4,4,3,0,62,2
70.0,vi,9,9,6,0,62,2
70.17,vi,9,9,6,0,60,0
70.33,vi,9,9,6,0,60,0
71.5,vi,9,9,6,0,52,4
71.67,vi,9,9,6,0,55,7
72.0,vi,9,9,6,0,57,9
72.0,IV,5,5,4,0,57,9
72.5,IV,5,5,4,0,57,9
73.5,IV,5,5,4,0,57,9
73.83,IV,5,5,4,0,55,7
74.0,vi,9,9,6,0,55,7
74.0,vi,9,9,6,0,52,4
74.5,vi,9,9,6,0,52,4
75.5,vi,9,9,6,0,52,4
75.83,vi,9,9,6,0,55,7
76.0,IV,5,5,4,0,55,7
76.0,IV,5,5,4,0,57,9
76.5,IV,5,5,4,0,57,9
77.5,IV,5,5,4,0,57,9
77.83,IV,5,5,4,0,55,7
78.0,IV,5,5,4,0,52,4
78.0,I,0,0,1,0,52,4
78.67,I,0,0,1,0,53,5
78.83,I,0,0,1,0,52,4
79.0,V,7,7,5,0,52,4
79.0,V,7,7,5,0,50,2
80.0,V,7,7,5,0,48,0
80.0,I,0,0,1,0,48,0
81.0,vi,9,9,6,0,48,0
82.0,I,0,0,1,0,48,0
83.0,vi,9,9,6,0,48,0
84.0,I,0,0,1,0,48,0
84.17,I,0,0,1,0,52,4
84.25,I,0,0,1,0,55,7
84.42,I,0,0,1,0,55,7
84.5,I,0,0,1,0,55,7
84.83,I,0,0,1,0,55,7
85.0,I,0,0,1,0,57,9
85.0,vi,9,9,6,0,57,9
85.25,vi,9,9,6,0,57,9
85.33,vi,9,9,6,0,57,9
86.0,I,0,0,1,0,57,9
86.08,I,0,0,1,0,52,4
86.17,I,0,0,1,0,55,7
86.33,I,0,0,1,0,55,7
86.5,I,0,0,1,0,55,7
86.75,I,0,0,1,0,55,7
86.83,I,0,0,1,0,55,7
86.92,I,0,0,1,0,57,9
87.0,vi,9,9,6,0,57,9
87.17,vi,9,9,6,0,57,9
87.33,vi,9,9,6,0,57,9
87.58,vi,9,9,6,0,57,9
87.67,vi,9,9,6,0,57,9
88.0,IV,5,5,4,0,57,9
88.08,IV,5,5,4,0,57,9
88.17,IV,5,5,4,0,57,9
88.58,IV,5,5,4,0,57,9
88.67,IV,5,5,4,0,57,9
88.75,IV,5,5,4,0,57,9
88.83,IV,5,5,4,0,57,9
89.33,IV,5,5,4,0,55,7
89.5,V,7,7,5,0,55,7
89.5,V,7,7,5,0,55,7
89.83,V,7,7,5,0,53,5
90.0,V,7,7,5,0,55,7
90.0,I,0,0,1,0,55,7
90.33,I,0,0,1,0,55,7
91.0,V,7,7,5,0,55,7
91.83,V,7,7,5,0,52,4
91.92,V,7,7,5,0,52,4
92.0,V,7,7,5,0,55,7
92.0,I,0,0,1,0,55,7
92.33,I,0,0,1,0,55,7
92.5,I,0,0,1,0,55,7
92.83,I,0,0,1,0,55,7
92.92,I,0,0,1,0,55,7
93.0,I,0,0,1,0,57,9
93.0,IV,5,5,4,0,57,9
93.33,IV,5,5,4,0,57,9
93.5,IV,5,5,4,0,59,11
93.5,V,7,7,5,0,59,11
94.0,V,7,7,5,0,57,9
94.0,vi,9,9,6,0,57,9
94.17,vi,9,9,6,0,60,0
94.42,vi,9,9,6,0,60,0
94.58,vi,9,9,6,0,60,0
94.83,vi,9,9,6,0,60,0
95.0,vi,9,9,6,0,60,0
95.0,IV,5,5,4,0,60,0
95.17,IV,5,5,4,0,60,0
95.33,IV,5,5,4,0,62,2
95.83,IV,5,5,4,0,60,0
95.92,IV,5,5,4,0,60,0
96.0,V,7,7,5,0,60,0
96.0,V,7,7,5,0,62,2
96.33,V,7,7,5,0,62,2
96.5,V,7,7,5,0,62,2
96.67,V,7,7,5,0,62,2
97.0,V7/vi,4,4,3,0,62,2
97.0,V7/vi,4,4,3,0,64,4
97.33,V7/vi,4,4,3,0,64,4
97.5,V7/vi,4,4,3,0,64,4
97.83,V7/vi,4,4,3,0,62,2
98.0,vi,9,9,6,0,62,2
98.0,vi,9,9,6,0,62,2
98.17,vi,9,9,6,0,60,0
98.33,vi,9,9,6,0,60,0
99.5,vi,9,9,6,0,52,4
99.67,vi,9,9,6,0,55,7
