Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
1.0,I,4,0,1,4,64,0
1.0,I,4,0,1,4,64,0
1.17,I,4,0,1,4,64,0
1.33,I,4,0,1,4,64,0
1.42,I,4,0,1,4,59,7
1.5,I,4,0,1,4,62,10
1.67,I,4,0,1,4,64,0
1.83,I,4,0,1,4,59,7
1.92,I,4,0,1,4,59,7
2.0,I,4,0,1,4,64,0
2.08,I,4,0,1,4,64,0
2.17,I,4,0,1,4,64,0
2.25,I,4,0,1,4,64,0
2.42,I,4,0,1,4,59,7
2.5,I,4,0,1,4,62,10
2.83,I,4,0,1,4,59,7
2.92,I,4,0,1,4,59,7
3.0,I,4,0,1,4,64,0
3.08,I,4,0,1,4,64,0
3.17,I,4,0,1,4,66,2
3.25,I,4,0,1,4,67,3
3.33,I,4,0,1,4,64,0
3.42,I,4,0,1,4,66,2
3.5,I,4,0,1,4,64,0
3.67,I,4,0,1,4,62,10
3.75,I,4,0,1,4,59,7
3.92,I,4,0,1,4,61,9
4.17,I,4,0,1,4,62,10
4.25,I,4,0,1,4,59,7
4.42,I,4,0,1,4,57,5
4.5,I,4,0,1,4,55,3
4.67,I,4,0,1,4,52,0
4.75,I,4,0,1,4,52,0
4.92,I,4,0,1,4,52,0
5.0,IV,9,5,4,4,52,0
5.17,IV,9,5,4,4,52,0
5.25,IV,9,5,4,4,52,0
5.33,IV,9,5,4,4,52,0
5.42,IV,9,5,4,4,52,0
5.5,IV,9,5,4,4,56,4
5.67,IV,9,5,4,4,52,0
5.75,IV,9,5,4,4,49,9
5.92,IV,9,5,4,4,49,9
6.17,IV,9,5,4,4,52,0
6.25,IV,9,5,4,4,52,0
6.33,IV,9,5,4,4,52,0
6.42,IV,9,5,4,4,52,0
6.5,IV,9,5,4,4,56,4
6.67,IV,9,5,4,4,52,0
7.0,V,11,7,5,4,52,0
7.17,V,11,7,5,4,54,2
7.25,V,11,7,5,4,54,2
7.33,V,11,7,5,4,54,2
7.42,V,11,7,5,4,54,2
7.5,V,11,7,5,4,56,4
7.67,V,11,7,5,4,47,7
7.83,V,11,7,5,4,49,9
7.92,V,11,7,5,4,52,0
8.0,I,4,0,1,4,52,0
8.0,I,4,0,1,4,52,0
8.67,I,4,0,1,4,64,0
9.0,I,4,0,1,4,64,0
9.08,I,4,0,1,4,64,0
9.17,I,4,0,1,4,64,0
9.42,I,4,0,1,4,59,7
9.5,I,4,0,1,4,62,10
9.67,I,4,0,1,4,64,0
9.83,I,4,0,1,4,59,7
9.92,I,4,0,1,4,59,7
10.0,I,4,0,1,4,64,0
10.08,I,4,0,1,4,64,0
10.17,I,4,0,1,4,64,0
10.42,I,4,0,1,4,59,7
10.5,I,4,0,1,4,62,10
10.92,I,4,0,1,4,59,7
11.0,I,4,0,1,4,64,0
11.17,I,4,0,1,4,66,2
11.25,I,4,0,1,4,67,3
11.33,I,4,0,1,4,64,0
11.42,I,4,0,1,4,66,2
11.5,I,4,0,1,4,64,0
11.58,I,4,0,1,4,62,10
11.67,I,4,0,1,4,59,7
11.92,I,4,0,1,4,61,9
12.0,I,4,0,1,4,62,10
12.17,I,4,0,1,4,59,7
12.25,I,4,0,1,4,52,0
12.33,I,4,0,1,4,52,0
12.42,I,4,0,1,4,55,3
12.5,I,4,0,1,4,56,4
12.58,I,4,0,1,4,52,0
12.75,I,4,0,1,4,52,0
12.92,I,4,0,1,4,52,0
13.0,IV,9,5,4,4,52,0
13.17,IV,9,5,4,4,52,0
13.25,IV,9,5,4,4,52,0
13.33,IV,9,5,4,4,52,0
13.42,IV,9,5,4,4,52,0
13.5,IV,9,5,4,4,55,3
13.58,IV,9,5,4,4,52,0
13.67,IV,9,5,4,4,52,0
13.75,IV,9,5,4,4,52,0
13.92,IV,9,5,4,4,52,0
14.17,IV,9,5,4,4,52,0
14.25,IV,9,5,4,4,52,0
14.33,IV,9,5,4,4,52,0
14.42,IV,9,5,4,4,52,0
14.5,IV,9,5,4,4,55,3
14.67,IV,9,5,4,4,52,0
15.0,V,11,7,5,4,52,0
15.17,V,11,7,5,4,54,2
15.25,V,11,7,5,4,54,2
15.42,V,11,7,5,4,54,2
15.5,V,11,7,5,4,56,4
15.67,V,11,7,5,4,47,7
15.83,V,11,7,5,4,49,9
15.92,V,11,7,5,4,52,0
16.0,I,4,0,1,4,52,0
16.0,I,4,0,1,4,52,0
16.67,I,4,0,1,4,64,0
16.92,I,4,0,1,4,64,0
17.0,I,4,0,1,4,64,0
17.08,I,4,0,1,4,64,0
17.17,I,4,0,1,4,64,0
17.42,I,4,0,1,4,59,7
17.5,I,4,0,1,4,62,10
17.58,I,4,0,1,4,59,7
17.67,I,4,0,1,4,62,10
17.92,I,4,0,1,4,59,7
18.0,I,4,0,1,4,64,0
18.17,I,4,0,1,4,64,0
18.33,I,4,0,1,4,64,0
18.42,I,4,0,1,4,59,7
18.5,I,4,0,1,4,62,10
18.83,I,4,0,1,4,59,7
18.92,I,4,0,1,4,59,7
19.0,I,4,0,1,4,64,0
19.17,I,4,0,1,4,66,2
19.25,I,4,0,1,4,67,3
19.33,I,4,0,1,4,64,0
19.42,I,4,0,1,4,66,2
19.5,I,4,0,1,4,64,0
19.67,I,4,0,1,4,62,10
19.75,I,4,0,1,4,59,7
19.83,I,4,0,1,4,59,7
19.92,I,4,0,1,4,59,7
20.0,I,4,0,1,4,59,7
20.08,I,4,0,1,4,52,0
20.17,I,4,0,1,4,52,0
20.25,I,4,0,1,4,52,0
20.33,I,4,0,1,4,52,0
20.42,I,4,0,1,4,52,0
20.5,I,4,0,1,4,52,0
20.67,I,4,0,1,4,52,0
20.75,I,4,0,1,4,52,0
20.83,I,4,0,1,4,52,0
20.92,I,4,0,1,4,52,0
21.0,IV,9,5,4,4,52,0
21.17,IV,9,5,4,4,52,0
21.25,IV,9,5,4,4,52,0
21.33,IV,9,5,4,4,52,0
21.42,IV,9,5,4,4,52,0
21.5,IV,9,5,4,4,55,3
21.67,IV,9,5,4,4,52,0
21.75,IV,9,5,4,4,52,0
21.92,IV,9,5,4,4,52,0
22.17,IV,9,5,4,4,52,0
22.25,IV,9,5,4,4,52,0
22.42,IV,9,5,4,4,52,0
22.5,IV,9,5,4,4,55,3
22.67,IV,9,5,4,4,52,0
23.0,V,11,7,5,4,52,0
23.17,V,11,7,5,4,54,2
23.25,V,11,7,5,4,54,2
23.42,V,11,7,5,4,54,2
23.5,V,11,7,5,4,56,4
23.67,V,11,7,5,4,47,7
23.83,V,11,7,5,4,49,9
23.92,V,11,7,5,4,52,0
24.0,V,11,7,5,4,52,0
24.0,I,4,0,1,4,52,0
24.67,I,4,0,1,4,64,0
24.92,I,4,0,1,4,61,9
25.0,I,4,0,1,4,64,0
25.17,I,4,0,1,4,64,0
25.33,I,4,0,1,4,64,0
25.42,I,4,0,1,4,59,7
25.5,I,4,0,1,4,62,10
25.67,I,4,0,1,4,64,0
25.83,I,4,0,1,4,59,7
25.92,I,4,0,1,4,59,7
26.0,I,4,0,1,4,64,0
26.08,I,4,0,1,4,64,0
26.17,I,4,0,1,4,64,0
26.42,I,4,0,1,4,59,7
26.5,I,4,0,1,4,62,10
26.83,I,4,0,1,4,59,7
26.92,I,4,0,1,4,59,7
27.0,I,4,0,1,4,64,0
27.17,I,4,0,1,4,66,2
27.25,I,4,0,1,4,67,3
27.33,I,4,0,1,4,64,0
27.42,I,4,0,1,4,66,2
27.5,I,4,0,1,4,64,0
27.67,I,4,0,1,4,62,10
27.75,I,4,0,1,4,59,7
27.92,I,4,0,1,4,61,9
28.17,I,4,0,1,4,62,10
28.25,I,4,0,1,4,59,7
28.42,I,4,0,1,4,57,5
28.5,I,4,0,1,4,55,3
28.67,I,4,0,1,4,52,0
28.75,I,4,0,1,4,52,0
28.83,I,4,0,1,4,52,0
28.92,I,4,0,1,4,52,0
29.0,IV,9,5,4,4,52,0
29.0,IV,9,5,4,4,52,0
29.08,IV,9,5,4,4,52,0
29.17,IV,9,5,4,4,52,0
29.25,IV,9,5,4,4,52,0
29.33,IV,9,5,4,4,52,0
29.42,IV,9,5,4,4,52,0
29.5,IV,9,5,4,4,55,3
29.67,IV,9,5,4,4,52,0
29.75,IV,9,5,4,4,52,0
29.92,IV,9,5,4,4,49,9
30.17,IV,9,5,4,4,52,0
30.25,IV,9,5,4,4,52,0
30.33,IV,9,5,4,4,52,0
30.42,IV,9,5,4,4,52,0
30.5,IV,9,5,4,4,55,3
30.67,IV,9,5,4,4,52,0
31.0,V,11,7,5,4,52,0
31.17,V,11,7,5,4,54,2
31.25,V,11,7,5,4,54,2
31.42,V,11,7,5,4,54,2
31.5,V,11,7,5,4,56,4
31.67,V,11,7,5,4,47,7
31.83,V,11,7,5,4,49,9
31.92,V,11,7,5,4,52,0
32.0,I,4,0,1,4,52,0
32.0,I,4,0,1,4,52,0
37.0,IV,9,5,4,4,52,0
39.0,V,11,7,5,4,52,0
40.0,I,4,0,1,4,52,0
40.67,I,4,0,1,4,64,0
40.92,I,4,0,1,4,61,9
41.0,I,4,0,1,4,64,0
41.08,I,4,0,1,4,64,0
41.17,I,4,0,1,4,64,0
41.42,I,4,0,1,4,59,7
41.5,I,4,0,1,4,62,10
41.67,I,4,0,1,4,64,0
41.83,I,4,0,1,4,59,7
41.92,I,4,0,1,4,59,7
42.0,I,4,0,1,4,64,0
42.08,I,4,0,1,4,64,0
42.17,I,4,0,1,4,64,0
42.42,I,4,0,1,4,59,7
42.5,I,4,0,1,4,62,10
42.92,I,4,0,1,4,59,7
43.0,I,4,0,1,4,64,0
43.17,I,4,0,1,4,66,2
43.25,I,4,0,1,4,67,3
43.33,I,4,0,1,4,64,0
43.42,I,4,0,1,4,66,2
43.5,I,4,0,1,4,64,0
43.58,I,4,0,1,4,62,10
43.67,I,4,0,1,4,59,7
43.92,I,4,0,1,4,61,9
44.0,I,4,0,1,4,62,10
44.17,I,4,0,1,4,59,7
44.33,I,4,0,1,4,52,0
44.42,I,4,0,1,4,55,3
44.75,I,4,0,1,4,52,0
44.83,I,4,0,1,4,52,0
44.92,I,4,0,1,4,52,0
45.0,IV,9,5,4,4,52,0
45.17,IV,9,5,4,4,52,0
45.33,IV,9,5,4,4,52,0
45.42,IV,9,5,4,4,52,0
45.5,IV,9,5,4,4,55,3
45.67,IV,9,5,4,4,52,0
45.75,IV,9,5,4,4,52,0
45.83,IV,9,5,4,4,52,0
45.92,IV,9,5,4,4,52,0
46.17,IV,9,5,4,4,52,0
46.25,IV,9,5,4,4,52,0
46.42,IV,9,5,4,4,52,0
46.5,IV,9,5,4,4,55,3
46.67,IV,9,5,4,4,52,0
47.0,V,11,7,5,4,52,0
47.17,V,11,7,5,4,54,2
47.25,V,11,7,5,4,54,2
47.42,V,11,7,5,4,54,2
47.5,V,11,7,5,4,56,4
47.67,V,11,7,5,4,47,7
47.83,V,11,7,5,4,49,9
47.92,V,11,7,5,4,52,0
48.0,I,4,0,1,4,52,0
48.0,I,4,0,1,4,52,0
48.08,I,4,0,1,4,54,2
48.17,I,4,0,1,4,52,0
49.25,bII,5,1,2,4,52,0
49.5,I,4,0,1,4,52,0
50.0,End,4,0,1,4,52,0
