Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
0.0,ii,11,2,2,9,66,9
0.88,ii,11,2,2,9,64,7
1.0,ii,11,2,2,9,65,8
1.25,ii,11,2,2,9,64,7
1.38,ii,11,2,2,9,64,7
1.75,ii,11,2,2,9,62,5
2.0,ii,11,2,2,9,67,10
2.0,bVII,7,10,7,9,67,10
2.62,bVII,7,10,7,9,59,2
2.88,bVII,7,10,7,9,62,5
3.0,bVII,7,10,7,9,65,8
3.12,bVII,7,10,7,9,64,7
3.38,bVII,7,10,7,9,64,7
3.62,bVII,7,10,7,9,62,5
3.88,bVII,7,10,7,9,59,2
4.0,V,4,7,5,9,59,2
4.0,V,4,7,5,9,68,11
4.62,V,4,7,5,9,59,2
4.75,V,4,7,5,9,62,5
4.88,V,4,7,5,9,59,2
5.0,V,4,7,5,9,66,9
5.25,V,4,7,5,9,64,7
5.38,V,4,7,5,9,64,7
6.0,V,4,7,5,9,73,4
6.0,I,9,0,1,9,73,4
6.38,I,9,0,1,9,71,2
6.5,I,9,0,1,9,69,0
8.25,I,9,0,1,9,61,4
8.38,I,9,0,1,9,61,4
8.75,I,9,0,1,9,61,4
9.0,I,9,0,1,9,61,4
9.25,I,9,0,1,9,61,4
9.38,I,9,0,1,9,61,4
9.62,I,9,0,1,9,61,4
10.0,I,9,0,1,9,61,4
10.0,iii,1,4,3,9,61,4
10.25,iii,1,4,3,9,61,4
10.38,iii,1,4,3,9,61,4
10.62,iii,1,4,3,9,64,7
10.88,iii,1,4,3,9,61,4
11.5,iii,1,4,3,9,59,2
11.62,iii,1,4,3,9,57,0
12.0,vi,6,9,6,9,57,0
12.12,vi,6,9,6,9,60,3
12.25,vi,6,9,6,9,61,4
12.38,vi,6,9,6,9,60,3
12.5,vi,6,9,6,9,61,4
12.75,vi,6,9,6,9,60,3
13.0,vi,6,9,6,9,61,4
13.12,vi,6,9,6,9,60,3
13.38,vi,6,9,6,9,61,4
13.5,vi,6,9,6,9,61,4
14.0,vi,6,9,6,9,62,5
14.0,IV,2,5,4,9,62,5
14.25,IV,2,5,4,9,62,5
14.5,IV,2,5,4,9,62,5
14.5,bVII,7,10,7,9,62,5
14.62,bVII,7,10,7,9,62,5
14.88,bVII,7,10,7,9,61,4
15.0,I,9,0,1,9,61,4
16.25,I,9,0,1,9,61,4
16.5,I,9,0,1,9,61,4
16.75,I,9,0,1,9,61,4
17.0,I,9,0,1,9,61,4
17.25,I,9,0,1,9,61,4
17.38,I,9,0,1,9,61,4
17.62,I,9,0,1,9,61,4
18.0,I,9,0,1,9,61,4
18.0,iii,1,4,3,9,61,4
18.25,iii,1,4,3,9,61,4
18.5,iii,1,4,3,9,61,4
18.75,iii,1,4,3,9,64,7
19.0,iii,1,4,3,9,61,4
19.5,iii,1,4,3,9,59,2
19.62,iii,1,4,3,9,57,0
20.0,vi,6,9,6,9,57,0
20.25,vi,6,9,6,9,61,4
20.38,vi,6,9,6,9,60,3
20.5,vi,6,9,6,9,61,4
20.88,vi,6,9,6,9,60,3
21.0,vi,6,9,6,9,61,4
21.12,vi,6,9,6,9,60,3
21.25,vi,6,9,6,9,61,4
21.88,vi,6,9,6,9,57,0
22.0,IV,2,5,4,9,57,0
22.0,IV,2,5,4,9,62,5
