Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
1.0,I,5,0,1,5,57,4
1.62,I,5,0,1,5,57,4
1.75,I,5,0,1,5,60,7
1.88,I,5,0,1,5,62,9
2.0,I,5,0,1,5,55,2
2.0,V,0,7,5,5,55,2
2.75,V,0,7,5,5,55,2
2.88,V,0,7,5,5,57,4
3.0,V,0,7,5,5,58,5
3.25,V,0,7,5,5,65,0
3.62,V,0,7,5,5,65,0
3.75,V,0,7,5,5,64,11
3.88,V,0,7,5,5,60,7
4.0,V,0,7,5,5,62,9
4.0,I,5,0,1,5,62,9
4.12,I,5,0,1,5,60,7
4.19,I,5,0,1,5,58,5
4.25,I,5,0,1,5,57,4
4.88,I,5,0,1,5,60,7
5.0,I,5,0,1,5,62,9
5.0,IV,10,5,4,5,62,9
5.12,IV,10,5,4,5,62,9
5.38,IV,10,5,4,5,62,9
5.5,IV,10,5,4,5,67,2
5.56,IV,10,5,4,5,65,0
5.69,IV,10,5,4,5,64,11
5.81,IV,10,5,4,5,65,0
5.88,IV,10,5,4,5,62,9
6.0,IV,10,5,4,5,60,7
6.0,I,5,0,1,5,60,7
6.5,I,5,0,1,5,53,0
6.62,I,5,0,1,5,55,2
6.75,I,5,0,1,5,57,4
6.88,I,5,0,1,5,62,9
7.0,I,5,0,1,5,60,7
7.0,V,0,7,5,5,60,7
7.38,V,0,7,5,5,60,7
7.5,V,0,7,5,5,58,5
7.62,V,0,7,5,5,57,4
7.88,V,0,7,5,5,52,11
8.0,I,5,0,1,5,52,11
8.0,I,5,0,1,5,53,0
8.75,I,5,0,1,5,60,7
9.0,I,5,0,1,5,57,4
9.62,I,5,0,1,5,57,4
9.75,I,5,0,1,5,60,7
9.88,I,5,0,1,5,62,9
10.0,V,0,7,5,5,62,9
10.0,V,0,7,5,5,55,2
10.75,V,0,7,5,5,55,2
10.88,V,0,7,5,5,57,4
11.0,V,0,7,5,5,58,5
11.25,V,0,7,5,5,65,0
11.62,V,0,7,5,5,65,0
11.75,V,0,7,5,5,64,11
11.88,V,0,7,5,5,60,7
12.0,I,5,0,1,5,60,7
12.0,I,5,0,1,5,62,9
12.12,I,5,0,1,5,60,7
12.19,I,5,0,1,5,58,5
12.25,I,5,0,1,5,57,4
12.88,I,5,0,1,5,60,7
13.0,IV,10,5,4,5,60,7
13.0,IV,10,5,4,5,62,9
13.06,IV,10,5,4,5,62,9
13.38,IV,10,5,4,5,62,9
13.5,IV,10,5,4,5,67,2
13.56,IV,10,5,4,5,65,0
13.69,IV,10,5,4,5,64,11
13.81,IV,10,5,4,5,65,0
13.88,IV,10,5,4,5,62,9
14.0,I,5,0,1,5,62,9
14.0,I,5,0,1,5,60,7
14.5,I,5,0,1,5,53,0
14.62,I,5,0,1,5,55,2
14.75,I,5,0,1,5,57,4
14.88,I,5,0,1,5,62,9
15.0,I,5,0,1,5,60,7
15.0,V,0,7,5,5,60,7
15.38,V,0,7,5,5,60,7
15.5,V,0,7,5,5,58,5
15.62,V,0,7,5,5,57,4
15.88,V,0,7,5,5,52,11
16.0,I,5,0,1,5,52,11
16.0,I,5,0,1,5,53,0
17.19,I,5,0,1,5,53,0
17.25,I,5,0,1,5,65,0
17.31,I,5,0,1,5,62,9
17.44,I,5,0,1,5,62,9
17.62,I,5,0,1,5,60,7
17.75,I,5,0,1,5,60,7
17.88,I,5,0,1,5,58,5
17.94,I,5,0,1,5,62,9
18.0,IV,10,5,4,5,62,9
18.25,IV,10,5,4,5,65,0
18.38,IV,10,5,4,5,62,9
18.5,I6,5,0,1,5,62,9
18.75,I6,5,0,1,5,65,0
18.88,I6,5,0,1,5,58,5
19.0,ii,7,2,2,5,58,5
19.25,ii,7,2,2,5,65,0
19.38,ii,7,2,2,5,62,9
19.5,vi6,2,9,6,5,62,9
19.62,vi6,2,9,6,5,60,7
19.75,vi6,2,9,6,5,58,5
19.88,vi6,2,9,6,5,60,7
20.0,V6,0,7,5,5,60,7
20.25,V6,0,7,5,5,62,9
20.38,V6,0,7,5,5,60,7
20.75,V6,0,7,5,5,58,5
20.88,V6,0,7,5,5,57,4
21.0,I,5,0,1,5,57,4
21.12,I,5,0,1,5,55,2
21.19,I,5,0,1,5,53,0
22.19,I,5,0,1,5,53,0
22.25,I,5,0,1,5,65,0
22.38,I,5,0,1,5,62,9
22.44,I,5,0,1,5,62,9
22.62,I,5,0,1,5,60,7
22.69,I,5,0,1,5,60,7
22.81,I,5,0,1,5,58,5
22.88,I,5,0,1,5,62,9
23.0,IV,10,5,4,5,62,9
23.25,IV,10,5,4,5,65,0
23.38,IV,10,5,4,5,62,9
23.5,I6,5,0,1,5,62,9
23.75,I6,5,0,1,5,65,0
23.88,I6,5,0,1,5,58,5
24.0,ii,7,2,2,5,58,5
24.25,ii,7,2,2,5,65,0
24.38,ii,7,2,2,5,62,9
24.5,vi6,2,9,6,5,62,9
24.62,vi6,2,9,6,5,60,7
24.75,vi6,2,9,6,5,58,5
24.88,vi6,2,9,6,5,60,7
25.0,V6,0,7,5,5,60,7
25.25,V6,0,7,5,5,62,9
25.38,V6,0,7,5,5,60,7
25.62,V6,0,7,5,5,58,5
25.88,V6,0,7,5,5,57,4
26.0,I,5,0,1,5,57,4
26.12,I,5,0,1,5,55,2
26.19,I,5,0,1,5,53,0
26.62,I,5,0,1,5,57,4
26.75,I,5,0,1,5,60,7
26.88,I,5,0,1,5,62,9
27.0,I,5,0,1,5,63,10
27.5,I,5,0,1,5,63,10
28.0,V,0,7,5,5,63,10
28.0,V,0,7,5,5,64,11
28.12,V,0,7,5,5,65,0
28.25,V,0,7,5,5,67,2
28.5,V,0,7,5,5,67,2
29.75,V,0,7,5,5,60,7
29.81,V,0,7,5,5,62,9
29.94,V,0,7,5,5,57,4
30.0,I,5,0,1,5,57,4
30.62,I,5,0,1,5,57,4
30.75,I,5,0,1,5,60,7
30.88,I,5,0,1,5,62,9
30.94,I,5,0,1,5,55,2
31.0,V,0,7,5,5,55,2
31.75,V,0,7,5,5,55,2
31.88,V,0,7,5,5,57,4
32.0,V,0,7,5,5,58,5
32.25,V,0,7,5,5,65,0
32.62,V,0,7,5,5,65,0
32.75,V,0,7,5,5,64,11
32.88,V,0,7,5,5,60,7
33.0,I,5,0,1,5,60,7
33.0,I,5,0,1,5,62,9
33.12,I,5,0,1,5,60,7
33.19,I,5,0,1,5,58,5
33.25,I,5,0,1,5,57,4
33.88,I,5,0,1,5,60,7
34.0,IV,10,5,4,5,60,7
34.0,IV,10,5,4,5,62,9
34.12,IV,10,5,4,5,62,9
34.38,IV,10,5,4,5,62,9
34.5,IV,10,5,4,5,67,2
34.56,IV,10,5,4,5,65,0
34.69,IV,10,5,4,5,64,11
34.81,IV,10,5,4,5,65,0
34.88,IV,10,5,4,5,62,9
35.0,IV,10,5,4,5,60,7
35.0,I,5,0,1,5,60,7
35.5,I,5,0,1,5,53,0
35.62,I,5,0,1,5,55,2
35.75,I,5,0,1,5,57,4
35.88,I,5,0,1,5,62,9
36.0,I,5,0,1,5,60,7
36.0,V,0,7,5,5,60,7
36.38,V,0,7,5,5,60,7
36.5,V,0,7,5,5,58,5
36.62,V,0,7,5,5,57,4
36.88,V,0,7,5,5,52,11
37.0,V,0,7,5,5,53,0
37.0,I,5,0,1,5,53,0
38.12,I,5,0,1,5,53,0
38.25,I,5,0,1,5,65,0
38.31,I,5,0,1,5,62,9
38.44,I,5,0,1,5,62,9
38.62,I,5,0,1,5,60,7
38.75,I,5,0,1,5,60,7
38.81,I,5,0,1,5,58,5
38.88,I,5,0,1,5,62,9
39.0,IV,10,5,4,5,62,9
39.25,IV,10,5,4,5,65,0
39.38,IV,10,5,4,5,62,9
39.5,I6,5,0,1,5,62,9
39.75,I6,5,0,1,5,65,0
39.88,I6,5,0,1,5,58,5
40.0,ii,7,2,2,5,58,5
40.25,ii,7,2,2,5,65,0
40.38,ii,7,2,2,5,62,9
40.5,vi6,2,9,6,5,62,9
40.62,vi6,2,9,6,5,60,7
40.75,vi6,2,9,6,5,58,5
40.88,vi6,2,9,6,5,60,7
41.0,V6,0,7,5,5,60,7
41.12,V6,0,7,5,5,62,9
41.38,V6,0,7,5,5,60,7
41.75,V6,0,7,5,5,58,5
41.88,V6,0,7,5,5,57,4
42.0,I,5,0,1,5,57,4
42.06,I,5,0,1,5,55,2
42.12,I,5,0,1,5,53,0
43.19,I,5,0,1,5,57,4
43.25,I,5,0,1,5,65,0
43.38,I,5,0,1,5,67,2
43.44,I,5,0,1,5,70,5
43.62,I,5,0,1,5,65,0
43.69,I,5,0,1,5,67,2
43.81,I,5,0,1,5,67,2
43.94,I,5,0,1,5,65,0
44.0,I,5,0,1,5,62,9
44.0,IV,10,5,4,5,62,9
44.25,IV,10,5,4,5,65,0
44.38,IV,10,5,4,5,62,9
44.5,I6,5,0,1,5,62,9
44.75,I6,5,0,1,5,67,2
44.88,I6,5,0,1,5,62,9
44.94,I6,5,0,1,5,60,7
45.0,ii,7,2,2,5,60,7
45.0,ii,7,2,2,5,58,5
45.06,ii,7,2,2,5,55,2
45.25,ii,7,2,2,5,65,0
45.38,ii,7,2,2,5,62,9
45.5,vi6,2,9,6,5,62,9
45.62,vi6,2,9,6,5,60,7
45.75,vi6,2,9,6,5,58,5
45.88,vi6,2,9,6,5,60,7
46.0,V6,0,7,5,5,60,7
46.25,V6,0,7,5,5,62,9
46.38,V6,0,7,5,5,60,7
46.62,V6,0,7,5,5,58,5
46.88,V6,0,7,5,5,57,4
47.0,I,5,0,1,5,57,4
47.06,I,5,0,1,5,55,2
47.12,I,5,0,1,5,53,0
47.62,I,5,0,1,5,57,4
47.75,I,5,0,1,5,60,7
47.88,I,5,0,1,5,62,9
48.0,I,5,0,1,5,63,10
48.5,I,5,0,1,5,63,10
49.0,I,5,0,1,5,64,11
49.0,V,0,7,5,5,64,11
49.12,V,0,7,5,5,65,0
49.25,V,0,7,5,5,67,2
49.5,V,0,7,5,5,67,2
50.75,V,0,7,5,5,60,7
50.81,V,0,7,5,5,62,9
50.94,V,0,7,5,5,65,0
51.0,I,5,0,1,5,65,0
51.0,I,5,0,1,5,60,7
51.06,I,5,0,1,5,62,9
51.12,I,5,0,1,5,60,7
51.19,I,5,0,1,5,57,4
51.62,I,5,0,1,5,57,4
51.75,I,5,0,1,5,60,7
51.88,I,5,0,1,5,62,9
52.0,V,0,7,5,5,62,9
52.0,V,0,7,5,5,55,2
52.75,V,0,7,5,5,55,2
52.88,V,0,7,5,5,57,4
53.0,V,0,7,5,5,58,5
53.25,V,0,7,5,5,65,0
53.62,V,0,7,5,5,65,0
53.75,V,0,7,5,5,64,11
53.88,V,0,7,5,5,60,7
54.0,I,5,0,1,5,60,7
54.0,I,5,0,1,5,62,9
54.12,I,5,0,1,5,60,7
54.19,I,5,0,1,5,58,5
54.25,I,5,0,1,5,57,4
54.88,I,5,0,1,5,60,7
55.0,I,5,0,1,5,62,9
55.0,IV,10,5,4,5,62,9
55.12,IV,10,5,4,5,62,9
55.38,IV,10,5,4,5,62,9
55.5,IV,10,5,4,5,67,2
55.56,IV,10,5,4,5,65,0
55.69,IV,10,5,4,5,64,11
55.81,IV,10,5,4,5,65,0
55.88,IV,10,5,4,5,62,9
56.0,IV,10,5,4,5,60,7
56.0,I,5,0,1,5,60,7
56.5,I,5,0,1,5,53,0
56.62,I,5,0,1,5,55,2
56.75,I,5,0,1,5,57,4
56.88,I,5,0,1,5,62,9
57.0,V,0,7,5,5,62,9
57.0,V,0,7,5,5,60,7
57.38,V,0,7,5,5,60,7
57.5,V,0,7,5,5,58,5
57.62,V,0,7,5,5,57,4
57.88,V,0,7,5,5,52,11
58.0,I,5,0,1,5,52,11
58.12,I,5,0,1,5,53,0
58.25,I,5,0,1,5,55,2
58.38,I,5,0,1,5,57,4
58.5,I,5,0,1,5,59,6
58.62,I,5,0,1,5,60,7
58.75,I,5,0,1,5,64,11
58.88,I,5,0,1,5,65,0
59.0,I,5,0,1,5,68,3
59.12,I,5,0,1,5,69,4
59.25,I,5,0,1,5,71,6
59.38,I,5,0,1,5,72,7
59.5,I,5,0,1,5,77,0
60.0,I,5,0,1,5,53,0
60.5,I,5,0,1,5,57,4
60.75,I,5,0,1,5,60,7
61.0,bVII,3,10,7,5,60,7
61.0,bVII,3,10,7,5,67,2
61.06,bVII,3,10,7,5,65,0
61.12,bVII,3,10,7,5,67,2
61.25,bVII,3,10,7,5,65,0
62.0,IV,10,5,4,5,65,0
62.0,IV,10,5,4,5,67,2
62.06,IV,10,5,4,5,65,0
62.12,IV,10,5,4,5,67,2
62.25,IV,10,5,4,5,65,0
62.75,IV,10,5,4,5,63,10
62.81,IV,10,5,4,5,62,9
62.94,IV,10,5,4,5,60,7
63.0,I,5,0,1,5,60,7
64.0,I,5,0,1,5,53,0
64.5,I,5,0,1,5,57,4
64.75,I,5,0,1,5,60,7
65.0,I,5,0,1,5,67,2
65.0,bVII,3,10,7,5,67,2
65.06,bVII,3,10,7,5,65,0
65.12,bVII,3,10,7,5,67,2
65.25,bVII,3,10,7,5,65,0
66.0,IV,10,5,4,5,65,0
66.0,IV,10,5,4,5,67,2
66.06,IV,10,5,4,5,65,0
