Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
7.88,I,7,0,1,7,55,0
8.0,I,7,0,1,7,59,4
8.12,I,7,0,1,7,55,0
8.5,I,7,0,1,7,55,0
8.62,I,7,0,1,7,55,0
8.88,I,7,0,1,7,58,3
9.0,I,7,0,1,7,59,4
9.12,I,7,0,1,7,58,3
9.38,I,7,0,1,7,55,0
9.62,I,7,0,1,7,55,0
9.75,I,7,0,1,7,53,10
9.88,I,7,0,1,7,53,10
10.0,I,7,0,1,7,55,0
10.0,IV,0,5,4,7,55,0
11.88,IV,0,5,4,7,55,0
12.0,IV,0,5,4,7,58,3
12.0,I,7,0,1,7,58,3
12.12,I,7,0,1,7,57,2
12.25,I,7,0,1,7,55,0
12.38,I,7,0,1,7,58,3
12.5,I,7,0,1,7,57,2
12.62,I,7,0,1,7,55,0
12.88,I,7,0,1,7,58,3
13.0,V/V,9,2,2,7,58,3
13.12,V/V,9,2,2,7,57,2
13.25,V/V,9,2,2,7,55,0
13.5,V/V,9,2,2,7,55,0
13.62,V/V,9,2,2,7,55,0
13.88,V/V,9,2,2,7,57,2
14.0,V,2,7,5,7,57,2
15.88,V,2,7,5,7,55,0
16.0,V,2,7,5,7,59,4
16.0,I,7,0,1,7,59,4
16.12,I,7,0,1,7,55,0
16.5,I,7,0,1,7,55,0
16.75,I,7,0,1,7,55,0
16.88,I,7,0,1,7,58,3
17.12,I,7,0,1,7,57,2
17.38,I,7,0,1,7,55,0
17.62,I,7,0,1,7,55,0
17.88,I,7,0,1,7,53,10
18.0,IV,0,5,4,7,53,10
18.12,IV,0,5,4,7,55,0
19.62,IV,0,5,4,7,55,0
19.75,IV,0,5,4,7,55,0
19.88,IV,0,5,4,7,67,0
20.0,I,7,0,1,7,67,0
20.12,I,7,0,1,7,62,7
20.38,I,7,0,1,7,58,3
20.62,I,7,0,1,7,55,0
21.0,V,2,7,5,7,55,0
21.0,V,2,7,5,7,62,7
21.25,V,2,7,5,7,55,0
21.38,V,2,7,5,7,55,0
21.62,V,2,7,5,7,59,4
21.75,V,2,7,5,7,57,2
21.88,V,2,7,5,7,55,0
22.0,I,7,0,1,7,55,0
23.62,I,7,0,1,7,62,7
23.75,I,7,0,1,7,62,7
23.88,I,7,0,1,7,67,0
