Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
16.0,i,7,0,1,7,67,0
16.12,i,7,0,1,7,65,10
16.25,i,7,0,1,7,67,0
16.38,i,7,0,1,7,65,10
16.5,i,7,0,1,7,67,0
16.62,i,7,0,1,7,67,0
16.75,i,7,0,1,7,65,10
16.88,i,7,0,1,7,69,2
17.12,i,7,0,1,7,62,7
17.38,i,7,0,1,7,65,10
17.62,i,7,0,1,7,67,0
18.0,bVII,5,10,7,7,67,0
18.0,bVII,5,10,7,7,65,10
18.12,bVII,5,10,7,7,62,7
18.25,bVII,5,10,7,7,65,10
18.38,bVII,5,10,7,7,62,7
18.5,bVII,5,10,7,7,70,3
18.62,bVII,5,10,7,7,69,2
18.75,bVII,5,10,7,7,67,0
18.88,bVII,5,10,7,7,67,0
19.0,i,7,0,1,7,67,0
20.0,i,7,0,1,7,67,0
20.12,i,7,0,1,7,65,10
20.25,i,7,0,1,7,67,0
20.38,i,7,0,1,7,65,10
20.5,i,7,0,1,7,67,0
20.75,i,7,0,1,7,65,10
20.88,i,7,0,1,7,69,2
21.12,i,7,0,1,7,62,7
21.38,i,7,0,1,7,65,10
21.62,i,7,0,1,7,67,0
22.0,i,7,0,1,7,65,10
22.0,bVII,5,10,7,7,65,10
22.12,bVII,5,10,7,7,62,7
22.25,bVII,5,10,7,7,65,10
22.38,bVII,5,10,7,7,62,7
22.5,bVII,5,10,7,7,65,10
22.62,bVII,5,10,7,7,62,7
22.75,bVII,5,10,7,7,70,3
22.88,bVII,5,10,7,7,67,0
23.0,i,7,0,1,7,67,0
23.5,i,7,0,1,7,67,0
23.62,i,7,0,1,7,67,0
23.75,i,7,0,1,7,70,3
23.88,i,7,0,1,7,67,0
24.0,iv,0,5,4,7,67,0
24.0,iv,0,5,4,7,72,5
24.25,iv,0,5,4,7,72,5
24.5,v,2,7,5,7,72,5
24.5,v,2,7,5,7,70,3
24.62,v,2,7,5,7,69,2
24.75,v,2,7,5,7,67,0
24.88,v,2,7,5,7,67,0
25.0,i,7,0,1,7,67,0
25.12,i,7,0,1,7,67,0
25.19,i,7,0,1,7,65,10
25.25,i,7,0,1,7,62,7
25.62,i,7,0,1,7,67,0
25.75,i,7,0,1,7,70,3
25.88,i,7,0,1,7,67,0
26.0,iv,0,5,4,7,67,0
26.0,iv,0,5,4,7,72,5
26.25,iv,0,5,4,7,72,5
26.5,v,2,7,5,7,72,5
26.5,v,2,7,5,7,70,3
26.62,v,2,7,5,7,69,2
26.75,v,2,7,5,7,67,0
26.88,v,2,7,5,7,67,0
27.0,i,7,0,1,7,67,0
27.06,i,7,0,1,7,65,10
27.12,i,7,0,1,7,62,7
27.62,i,7,0,1,7,67,0
27.75,i,7,0,1,7,70,3
27.88,i,7,0,1,7,67,0
28.0,i,7,0,1,7,72,5
28.0,iv,0,5,4,7,72,5
28.25,iv,0,5,4,7,72,5
28.5,iv,0,5,4,7,73,6
28.5,v,2,7,5,7,73,6
28.62,v,2,7,5,7,72,5
28.75,v,2,7,5,7,70,3
28.88,v,2,7,5,7,74,7
29.0,i,7,0,1,7,74,7
29.12,i,7,0,1,7,72,5
29.19,i,7,0,1,7,70,3
29.25,i,7,0,1,7,67,0
29.88,i,7,0,1,7,72,5
30.0,iv,0,5,4,7,72,5
30.12,iv,0,5,4,7,70,3
30.25,iv,0,5,4,7,72,5
30.38,iv,0,5,4,7,70,3
30.5,iv,0,5,4,7,72,5
30.62,iv,0,5,4,7,70,3
30.88,iv,0,5,4,7,73,6
31.0,iv,0,5,4,7,74,7
31.0,v,2,7,5,7,74,7
31.12,v,2,7,5,7,70,3
31.25,v,2,7,5,7,72,5
31.38,v,2,7,5,7,70,3
31.5,v,2,7,5,7,72,5
31.75,v,2,7,5,7,70,3
31.88,v,2,7,5,7,72,5
32.0,i,7,0,1,7,72,5
32.06,i,7,0,1,7,70,3
32.12,i,7,0,1,7,67,0
32.75,bIII,10,3,3,7,67,0
33.0,iv,0,5,4,7,67,0
33.5,v,2,7,5,7,67,0
33.62,v,2,7,5,7,67,0
33.75,v,2,7,5,7,70,3
34.0,v,2,7,5,7,72,5
34.0,i,7,0,1,7,72,5
34.25,i,7,0,1,7,70,3
34.75,bIII,10,3,3,7,70,3
35.0,iv,0,5,4,7,70,3
35.5,v,2,7,5,7,70,3
35.62,v,2,7,5,7,67,0
35.75,v,2,7,5,7,70,3
35.88,v,2,7,5,7,67,0
36.0,v,2,7,5,7,72,5
36.0,i,7,0,1,7,72,5
36.25,i,7,0,1,7,70,3
36.75,bIII,10,3,3,7,70,3
37.0,iv,0,5,4,7,70,3
37.5,v,2,7,5,7,70,3
37.62,v,2,7,5,7,67,0
37.75,v,2,7,5,7,70,3
38.0,v,2,7,5,7,72,5
38.0,i,7,0,1,7,72,5
38.25,i,7,0,1,7,70,3
38.75,bIII,10,3,3,7,70,3
39.0,iv,0,5,4,7,70,3
39.5,v,2,7,5,7,70,3
40.0,i,7,0,1,7,70,3
42.0,bVII,5,10,7,7,70,3
43.0,i,7,0,1,7,70,3
46.0,bVII,5,10,7,7,70,3
47.0,i,7,0,1,7,70,3
48.0,i,7,0,1,7,67,0
48.12,i,7,0,1,7,65,10
48.25,i,7,0,1,7,67,0
48.38,i,7,0,1,7,65,10
48.5,i,7,0,1,7,67,0
48.62,i,7,0,1,7,65,10
48.75,i,7,0,1,7,65,10
48.88,i,7,0,1,7,69,2
49.12,i,7,0,1,7,62,7
49.38,i,7,0,1,7,65,10
49.62,i,7,0,1,7,67,0
49.88,i,7,0,1,7,67,0
50.0,bVII,5,10,7,7,67,0
50.0,bVII,5,10,7,7,65,10
50.12,bVII,5,10,7,7,62,7
50.25,bVII,5,10,7,7,65,10
50.38,bVII,5,10,7,7,62,7
50.5,bVII,5,10,7,7,65,10
50.62,bVII,5,10,7,7,62,7
50.75,bVII,5,10,7,7,70,3
50.88,bVII,5,10,7,7,67,0
51.0,i,7,0,1,7,67,0
52.0,i,7,0,1,7,67,0
52.12,i,7,0,1,7,65,10
52.25,i,7,0,1,7,67,0
52.38,i,7,0,1,7,65,10
52.5,i,7,0,1,7,67,0
52.62,i,7,0,1,7,65,10
52.75,i,7,0,1,7,65,10
52.88,i,7,0,1,7,69,2
53.12,i,7,0,1,7,62,7
53.38,i,7,0,1,7,65,10
53.62,i,7,0,1,7,67,0
54.0,bVII,5,10,7,7,67,0
54.0,bVII,5,10,7,7,65,10
54.12,bVII,5,10,7,7,62,7
54.25,bVII,5,10,7,7,65,10
54.38,bVII,5,10,7,7,62,7
54.5,bVII,5,10,7,7,70,3
54.67,bVII,5,10,7,7,69,2
54.83,bVII,5,10,7,7,67,0
55.0,i,7,0,1,7,67,0
55.0,i,7,0,1,7,67,0
55.5,i,7,0,1,7,67,0
55.62,i,7,0,1,7,67,0
55.75,i,7,0,1,7,70,3
55.88,i,7,0,1,7,67,0
56.0,iv,0,5,4,7,67,0
56.0,iv,0,5,4,7,72,5
56.25,iv,0,5,4,7,72,5
56.5,v,2,7,5,7,72,5
56.5,v,2,7,5,7,70,3
56.62,v,2,7,5,7,69,2
56.75,v,2,7,5,7,67,0
56.88,v,2,7,5,7,67,0
57.0,i,7,0,1,7,67,0
57.12,i,7,0,1,7,67,0
57.19,i,7,0,1,7,65,10
57.25,i,7,0,1,7,62,7
57.62,i,7,0,1,7,67,0
57.75,i,7,0,1,7,70,3
57.88,i,7,0,1,7,67,0
58.0,i,7,0,1,7,72,5
58.0,iv,0,5,4,7,72,5
58.25,iv,0,5,4,7,72,5
58.5,iv,0,5,4,7,70,3
58.5,v,2,7,5,7,70,3
58.62,v,2,7,5,7,69,2
58.75,v,2,7,5,7,67,0
58.88,v,2,7,5,7,67,0
59.0,i,7,0,1,7,67,0
59.06,i,7,0,1,7,65,10
59.12,i,7,0,1,7,62,7
59.62,i,7,0,1,7,67,0
59.75,i,7,0,1,7,70,3
59.88,i,7,0,1,7,67,0
60.0,iv,0,5,4,7,67,0
60.0,iv,0,5,4,7,72,5
60.25,iv,0,5,4,7,72,5
60.5,iv,0,5,4,7,73,6
60.5,v,2,7,5,7,73,6
60.62,v,2,7,5,7,72,5
60.75,v,2,7,5,7,70,3
60.88,v,2,7,5,7,74,7
61.0,i,7,0,1,7,74,7
61.12,i,7,0,1,7,72,5
61.19,i,7,0,1,7,70,3
61.25,i,7,0,1,7,67,0
62.0,iv,0,5,4,7,67,0
62.0,iv,0,5,4,7,72,5
62.12,iv,0,5,4,7,70,3
62.25,iv,0,5,4,7,72,5
62.38,iv,0,5,4,7,70,3
62.5,iv,0,5,4,7,72,5
62.62,iv,0,5,4,7,70,3
62.88,iv,0,5,4,7,77,10
63.0,v,2,7,5,7,77,10
63.12,v,2,7,5,7,73,6
63.25,v,2,7,5,7,72,5
63.38,v,2,7,5,7,70,3
63.5,v,2,7,5,7,72,5
63.62,v,2,7,5,7,70,3
63.75,v,2,7,5,7,70,3
