Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
16.12,i,11,0,1,11,66,7
16.19,i,11,0,1,11,66,7
16.25,i,11,0,1,11,66,7
16.38,i,11,0,1,11,64,5
16.44,i,11,0,1,11,64,5
16.5,i,11,0,1,11,64,5
16.62,i,11,0,1,11,66,7
17.0,V,6,7,5,11,66,7
17.12,V,6,7,5,11,66,7
17.25,V,6,7,5,11,66,7
17.31,V,6,7,5,11,64,5
17.44,V,6,7,5,11,64,5
17.5,V,6,7,5,11,64,5
18.0,bVII,9,10,7,11,64,5
18.12,bVII,9,10,7,11,66,7
18.25,bVII,9,10,7,11,66,7
18.38,bVII,9,10,7,11,64,5
18.44,bVII,9,10,7,11,64,5
18.5,bVII,9,10,7,11,64,5
18.62,bVII,9,10,7,11,66,7
19.0,IV,4,5,4,11,66,7
19.06,IV,4,5,4,11,66,7
19.19,IV,4,5,4,11,66,7
19.25,IV,4,5,4,11,66,7
19.38,IV,4,5,4,11,64,5
19.44,IV,4,5,4,11,64,5
19.5,IV,4,5,4,11,64,5
19.56,IV,4,5,4,11,62,3
19.62,IV,4,5,4,11,59,0
20.0,bVI,7,8,6,11,59,0
20.12,bVI,7,8,6,11,66,7
20.19,bVI,7,8,6,11,66,7
20.25,bVI,7,8,6,11,66,7
20.38,bVI,7,8,6,11,64,5
20.44,bVI,7,8,6,11,62,3
20.5,bVI,7,8,6,11,62,3
20.62,bVI,7,8,6,11,66,7
21.0,bIII,2,3,3,11,66,7
21.06,bIII,2,3,3,11,62,3
21.12,bIII,2,3,3,11,66,7
21.25,bIII,2,3,3,11,66,7
21.31,bIII,2,3,3,11,64,5
21.44,bIII,2,3,3,11,62,3
21.5,bIII,2,3,3,11,62,3
22.0,iv,4,5,4,11,62,3
22.06,iv,4,5,4,11,64,5
22.12,iv,4,5,4,11,64,5
22.19,iv,4,5,4,11,64,5
22.25,iv,4,5,4,11,64,5
22.31,iv,4,5,4,11,64,5
22.38,iv,4,5,4,11,64,5
22.44,iv,4,5,4,11,62,3
22.5,iv,4,5,4,11,64,5
22.62,iv,4,5,4,11,62,3
22.69,iv,4,5,4,11,66,7
23.0,V,6,7,5,11,66,7
23.06,V,6,7,5,11,66,7
23.12,V,6,7,5,11,66,7
23.19,V,6,7,5,11,66,7
23.25,V,6,7,5,11,66,7
23.38,V,6,7,5,11,64,5
23.44,V,6,7,5,11,64,5
23.5,V,6,7,5,11,66,7
24.0,i,11,0,1,11,66,7
24.12,i,11,0,1,11,66,7
24.19,i,11,0,1,11,66,7
24.31,i,11,0,1,11,67,8
24.38,i,11,0,1,11,66,7
24.44,i,11,0,1,11,66,7
24.5,i,11,0,1,11,67,8
24.62,i,11,0,1,11,66,7
25.0,V,6,7,5,11,66,7
25.06,V,6,7,5,11,66,7
25.12,V,6,7,5,11,66,7
25.19,V,6,7,5,11,66,7
25.25,V,6,7,5,11,66,7
25.31,V,6,7,5,11,64,5
25.44,V,6,7,5,11,64,5
26.0,bVII,9,10,7,11,64,5
26.19,bVII,9,10,7,11,64,5
26.25,bVII,9,10,7,11,64,5
26.31,bVII,9,10,7,11,64,5
26.38,bVII,9,10,7,11,64,5
26.44,bVII,9,10,7,11,61,2
26.5,bVII,9,10,7,11,64,5
26.56,bVII,9,10,7,11,64,5
26.69,bVII,9,10,7,11,66,7
26.81,bVII,9,10,7,11,66,7
26.88,bVII,9,10,7,11,66,7
26.94,bVII,9,10,7,11,66,7
27.0,IV,4,5,4,11,66,7
27.0,IV,4,5,4,11,66,7
27.06,IV,4,5,4,11,66,7
27.19,IV,4,5,4,11,66,7
27.25,IV,4,5,4,11,66,7
27.31,IV,4,5,4,11,64,5
27.44,IV,4,5,4,11,64,5
27.5,IV,4,5,4,11,64,5
27.56,IV,4,5,4,11,62,3
27.62,IV,4,5,4,11,59,0
28.0,bVI,7,8,6,11,59,0
28.12,bVI,7,8,6,11,66,7
28.19,bVI,7,8,6,11,66,7
28.25,bVI,7,8,6,11,66,7
28.31,bVI,7,8,6,11,64,5
28.44,bVI,7,8,6,11,62,3
28.5,bVI,7,8,6,11,62,3
28.62,bVI,7,8,6,11,66,7
29.0,bIII,2,3,3,11,66,7
29.12,bIII,2,3,3,11,59,0
29.19,bIII,2,3,3,11,57,10
29.25,bIII,2,3,3,11,66,7
29.38,bIII,2,3,3,11,64,5
29.44,bIII,2,3,3,11,62,3
29.5,bIII,2,3,3,11,62,3
30.0,iv,4,5,4,11,62,3
30.12,iv,4,5,4,11,64,5
30.19,iv,4,5,4,11,64,5
30.25,iv,4,5,4,11,64,5
30.31,iv,4,5,4,11,64,5
30.38,iv,4,5,4,11,64,5
30.44,iv,4,5,4,11,62,3
30.56,iv,4,5,4,11,64,5
30.62,iv,4,5,4,11,62,3
30.69,iv,4,5,4,11,66,7
31.0,V,6,7,5,11,66,7
31.12,V,6,7,5,11,66,7
31.19,V,6,7,5,11,64,5
31.25,V,6,7,5,11,66,7
31.38,V,6,7,5,11,70,11
31.5,V,6,7,5,11,64,5
32.0,bVI,7,8,6,11,64,5
32.12,bVI,7,8,6,11,67,8
32.19,bVI,7,8,6,11,67,8
32.31,bVI,7,8,6,11,67,8
32.38,bVI,7,8,6,11,67,8
32.44,bVI,7,8,6,11,67,8
32.56,bVI,7,8,6,11,67,8
32.75,bVI,7,8,6,11,69,10
32.88,bVI,7,8,6,11,67,8
32.94,bVI,7,8,6,11,67,8
33.0,bIII,2,3,3,11,67,8
33.0,bIII,2,3,3,11,66,7
33.06,bIII,2,3,3,11,66,7
33.88,bIII,2,3,3,11,66,7
33.94,bIII,2,3,3,11,66,7
34.0,bIII,2,3,3,11,66,7
34.0,V7,6,7,5,11,66,7
34.06,V7,6,7,5,11,64,5
34.12,V7,6,7,5,11,64,5
34.19,V7,6,7,5,11,64,5
34.88,V7,6,7,5,11,64,5
34.94,V7,6,7,5,11,64,5
35.0,i,11,0,1,11,64,5
35.0,i,11,0,1,11,64,5
35.06,i,11,0,1,11,62,3
35.12,i,11,0,1,11,62,3
35.19,i,11,0,1,11,62,3
36.0,bVI,7,8,6,11,62,3
36.0,bVI,7,8,6,11,67,8
36.06,bVI,7,8,6,11,67,8
36.12,bVI,7,8,6,11,67,8
36.19,bVI,7,8,6,11,67,8
36.31,bVI,7,8,6,11,67,8
36.44,bVI,7,8,6,11,67,8
36.5,bVI,7,8,6,11,67,8
36.62,bVI,7,8,6,11,67,8
36.75,bVI,7,8,6,11,69,10
36.88,bVI,7,8,6,11,67,8
36.94,bVI,7,8,6,11,67,8
37.0,bVI,7,8,6,11,66,7
37.0,bIII,2,3,3,11,66,7
37.06,bIII,2,3,3,11,66,7
37.88,bIII,2,3,3,11,66,7
37.94,bIII,2,3,3,11,66,7
38.0,iv,4,5,4,11,66,7
38.0,iv,4,5,4,11,66,7
38.06,iv,4,5,4,11,64,5
38.12,iv,4,5,4,11,64,5
38.19,iv,4,5,4,11,64,5
38.88,iv,4,5,4,11,67,8
38.94,iv,4,5,4,11,67,8
39.0,iv,4,5,4,11,67,8
39.0,V,6,7,5,11,67,8
39.06,V,6,7,5,11,66,7
39.12,V,6,7,5,11,66,7
39.19,V,6,7,5,11,66,7
40.0,i,11,0,1,11,66,7
40.06,i,11,0,1,11,66,7
40.12,i,11,0,1,11,66,7
40.19,i,11,0,1,11,66,7
40.25,i,11,0,1,11,67,8
40.31,i,11,0,1,11,66,7
40.44,i,11,0,1,11,66,7
40.5,i,11,0,1,11,67,8
40.62,i,11,0,1,11,66,7
41.0,V,6,7,5,11,66,7
41.06,V,6,7,5,11,66,7
41.12,V,6,7,5,11,66,7
41.19,V,6,7,5,11,66,7
41.25,V,6,7,5,11,66,7
41.31,V,6,7,5,11,64,5
41.44,V,6,7,5,11,64,5
41.56,V,6,7,5,11,66,7
42.0,bVII,9,10,7,11,66,7
42.06,bVII,9,10,7,11,64,5
42.12,bVII,9,10,7,11,64,5
42.19,bVII,9,10,7,11,64,5
42.25,bVII,9,10,7,11,64,5
42.31,bVII,9,10,7,11,64,5
42.38,bVII,9,10,7,11,66,7
42.44,bVII,9,10,7,11,64,5
42.56,bVII,9,10,7,11,66,7
42.62,bVII,9,10,7,11,64,5
42.69,bVII,9,10,7,11,66,7
43.0,IV,4,5,4,11,66,7
43.19,IV,4,5,4,11,66,7
43.25,IV,4,5,4,11,66,7
43.31,IV,4,5,4,11,64,5
43.44,IV,4,5,4,11,64,5
43.56,IV,4,5,4,11,62,3
43.62,IV,4,5,4,11,59,0
44.0,bVI,7,8,6,11,59,0
44.12,bVI,7,8,6,11,64,5
44.19,bVI,7,8,6,11,66,7
44.25,bVI,7,8,6,11,66,7
44.38,bVI,7,8,6,11,64,5
44.44,bVI,7,8,6,11,62,3
44.5,bVI,7,8,6,11,62,3
44.62,bVI,7,8,6,11,66,7
45.0,bIII,2,3,3,11,66,7
45.0,bIII,2,3,3,11,66,7
45.31,bIII,2,3,3,11,64,5
45.44,bIII,2,3,3,11,62,3
45.5,bIII,2,3,3,11,62,3
46.0,iv,4,5,4,11,62,3
46.12,iv,4,5,4,11,64,5
46.25,iv,4,5,4,11,64,5
46.38,iv,4,5,4,11,64,5
46.44,iv,4,5,4,11,62,3
46.5,iv,4,5,4,11,66,7
46.62,iv,4,5,4,11,64,5
47.0,V,6,7,5,11,64,5
47.12,V,6,7,5,11,66,7
47.25,V,6,7,5,11,66,7
47.38,V,6,7,5,11,64,5
47.44,V,6,7,5,11,64,5
47.56,V,6,7,5,11,66,7
48.0,i,11,0,1,11,66,7
48.12,i,11,0,1,11,66,7
48.19,i,11,0,1,11,66,7
48.31,i,11,0,1,11,66,7
48.38,i,11,0,1,11,66,7
48.44,i,11,0,1,11,66,7
48.5,i,11,0,1,11,67,8
48.62,i,11,0,1,11,66,7
49.0,V,6,7,5,11,66,7
49.06,V,6,7,5,11,66,7
49.31,V,6,7,5,11,66,7
49.44,V,6,7,5,11,64,5
49.5,V,6,7,5,11,64,5
49.62,V,6,7,5,11,66,7
49.81,V,6,7,5,11,61,2
49.88,V,6,7,5,11,61,2
50.0,bVII,9,10,7,11,61,2
50.06,bVII,9,10,7,11,64,5
50.19,bVII,9,10,7,11,64,5
50.25,bVII,9,10,7,11,64,5
50.31,bVII,9,10,7,11,64,5
50.44,bVII,9,10,7,11,64,5
50.5,bVII,9,10,7,11,64,5
50.56,bVII,9,10,7,11,64,5
50.69,bVII,9,10,7,11,66,7
50.88,bVII,9,10,7,11,61,2
51.0,IV,4,5,4,11,61,2
51.12,IV,4,5,4,11,66,7
51.25,IV,4,5,4,11,66,7
51.31,IV,4,5,4,11,64,5
51.44,IV,4,5,4,11,64,5
51.5,IV,4,5,4,11,64,5
51.62,IV,4,5,4,11,62,3
51.69,IV,4,5,4,11,59,0
52.0,bVI,7,8,6,11,59,0
52.12,bVI,7,8,6,11,66,7
52.25,bVI,7,8,6,11,66,7
52.38,bVI,7,8,6,11,66,7
52.5,bVI,7,8,6,11,66,7
52.56,bVI,7,8,6,11,64,5
52.62,bVI,7,8,6,11,62,3
52.69,bVI,7,8,6,11,62,3
52.81,bVI,7,8,6,11,64,5
52.88,bVI,7,8,6,11,66,7
53.0,bVI,7,8,6,11,66,7
53.0,bIII,2,3,3,11,66,7
53.31,bIII,2,3,3,11,64,5
53.38,bIII,2,3,3,11,62,3
53.44,bIII,2,3,3,11,62,3
54.0,iv,4,5,4,11,62,3
54.12,iv,4,5,4,11,64,5
54.19,iv,4,5,4,11,64,5
54.25,iv,4,5,4,11,64,5
54.38,iv,4,5,4,11,64,5
