Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
1.0,I,0,0,1,0,60,0
1.42,I,0,0,1,0,60,0
1.67,I,0,0,1,0,58,10
2.42,I,0,0,1,0,64,4
2.67,I,0,0,1,0,55,7
2.75,I,0,0,1,0,57,9
2.92,I,0,0,1,0,60,0
3.0,I,0,0,1,0,60,0
4.17,I,0,0,1,0,63,3
4.25,I,0,0,1,0,62,2
4.42,I,0,0,1,0,63,3
4.5,I,0,0,1,0,62,2
4.67,I,0,0,1,0,63,3
4.75,I,0,0,1,0,62,2
4.92,I,0,0,1,0,63,3
5.0,IV,5,5,4,0,63,3
5.0,IV,5,5,4,0,60,0
5.42,IV,5,5,4,0,60,0
5.67,IV,5,5,4,0,57,9
6.42,IV,5,5,4,0,64,4
6.67,IV,5,5,4,0,55,7
6.75,IV,5,5,4,0,57,9
6.92,IV,5,5,4,0,60,0
7.0,I,0,0,1,0,60,0
7.0,I,0,0,1,0,60,0
8.25,I,0,0,1,0,63,3
8.67,I,0,0,1,0,63,3
8.75,I,0,0,1,0,63,3
9.0,I,0,0,1,0,62,2
9.0,V,7,7,5,0,62,2
9.17,V,7,7,5,0,62,2
9.25,V,7,7,5,0,62,2
9.42,V,7,7,5,0,62,2
9.5,V,7,7,5,0,62,2
9.67,V,7,7,5,0,62,2
9.75,V,7,7,5,0,62,2
9.92,V,7,7,5,0,62,2
10.0,IV,5,5,4,0,62,2
10.0,IV,5,5,4,0,63,3
10.25,IV,5,5,4,0,62,2
10.5,IV,5,5,4,0,62,2
10.75,IV,5,5,4,0,60,0
10.92,IV,5,5,4,0,60,0
11.0,I,0,0,1,0,60,0
12.17,I,0,0,1,0,63,3
12.25,I,0,0,1,0,63,3
12.42,I,0,0,1,0,63,3
12.67,I,0,0,1,0,63,3
12.75,I,0,0,1,0,63,3
12.92,I,0,0,1,0,63,3
13.25,I,0,0,1,0,63,3
13.42,I,0,0,1,0,64,4
14.17,I,0,0,1,0,62,2
14.42,I,0,0,1,0,63,3
14.67,I,0,0,1,0,60,0
14.75,I,0,0,1,0,60,0
14.92,I,0,0,1,0,60,0
15.0,I,0,0,1,0,60,0
16.17,I,0,0,1,0,63,3
16.25,I,0,0,1,0,63,3
16.42,I,0,0,1,0,63,3
16.67,I,0,0,1,0,63,3
16.75,I,0,0,1,0,63,3
16.92,I,0,0,1,0,63,3
17.0,IV,5,5,4,0,63,3
17.25,IV,5,5,4,0,63,3
18.17,IV,5,5,4,0,63,3
18.42,IV,5,5,4,0,63,3
18.67,IV,5,5,4,0,60,0
18.75,IV,5,5,4,0,60,0
18.92,IV,5,5,4,0,60,0
19.0,IV,5,5,4,0,60,0
19.0,I,0,0,1,0,60,0
20.25,I,0,0,1,0,63,3
20.67,I,0,0,1,0,63,3
20.75,I,0,0,1,0,63,3
21.0,I,0,0,1,0,62,2
21.0,V,7,7,5,0,62,2
21.17,V,7,7,5,0,62,2
21.25,V,7,7,5,0,62,2
21.42,V,7,7,5,0,62,2
21.5,V,7,7,5,0,62,2
21.67,V,7,7,5,0,60,0
21.75,V,7,7,5,0,62,2
21.92,V,7,7,5,0,60,0
22.0,IV,5,5,4,0,60,0
22.0,IV,5,5,4,0,63,3
22.25,IV,5,5,4,0,62,2
22.5,IV,5,5,4,0,62,2
22.75,IV,5,5,4,0,60,0
22.92,IV,5,5,4,0,60,0
23.0,I,0,0,1,0,60,0
24.17,I,0,0,1,0,63,3
24.25,I,0,0,1,0,63,3
24.5,I,0,0,1,0,63,3
24.67,I,0,0,1,0,63,3
24.75,I,0,0,1,0,63,3
24.92,I,0,0,1,0,63,3
25.0,I,0,0,1,0,60,0
25.42,I,0,0,1,0,60,0
25.67,I,0,0,1,0,58,10
26.42,I,0,0,1,0,63,3
26.67,I,0,0,1,0,55,7
26.75,I,0,0,1,0,57,9
26.92,I,0,0,1,0,60,0
27.0,I,0,0,1,0,60,0
28.17,I,0,0,1,0,63,3
28.25,I,0,0,1,0,62,2
28.42,I,0,0,1,0,63,3
28.5,I,0,0,1,0,62,2
28.67,I,0,0,1,0,63,3
28.75,I,0,0,1,0,62,2
28.92,I,0,0,1,0,63,3
29.0,I,0,0,1,0,60,0
29.0,IV,5,5,4,0,60,0
29.42,IV,5,5,4,0,60,0
29.67,IV,5,5,4,0,57,9
30.42,IV,5,5,4,0,63,3
30.67,IV,5,5,4,0,55,7
30.75,IV,5,5,4,0,57,9
30.92,IV,5,5,4,0,60,0
31.0,I,0,0,1,0,60,0
31.0,I,0,0,1,0,60,0
32.25,I,0,0,1,0,63,3
32.67,I,0,0,1,0,63,3
32.75,I,0,0,1,0,63,3
33.0,I,0,0,1,0,62,2
33.0,V,7,7,5,0,62,2
33.17,V,7,7,5,0,62,2
33.25,V,7,7,5,0,62,2
33.42,V,7,7,5,0,62,2
33.5,V,7,7,5,0,62,2
33.67,V,7,7,5,0,60,0
33.75,V,7,7,5,0,62,2
33.92,V,7,7,5,0,60,0
34.0,IV,5,5,4,0,60,0
34.0,IV,5,5,4,0,63,3
34.25,IV,5,5,4,0,62,2
34.5,IV,5,5,4,0,62,2
34.75,IV,5,5,4,0,60,0
34.92,IV,5,5,4,0,60,0
35.0,I,0,0,1,0,60,0
41.0,IV,5,5,4,0,60,0
43.0,I,0,0,1,0,60,0
45.0,V,7,7,5,0,60,0
46.0,IV,5,5,4,0,60,0
47.0,I,0,0,1,0,60,0
48.17,I,0,0,1,0,63,3
48.25,I,0,0,1,0,63,3
48.42,I,0,0,1,0,62,2
48.67,I,0,0,1,0,62,2
48.75,I,0,0,1,0,63,3
48.92,I,0,0,1,0,63,3
49.42,I,0,0,1,0,63,3
50.17,I,0,0,1,0,63,3
50.42,I,0,0,1,0,62,2
50.67,I,0,0,1,0,60,0
50.75,I,0,0,1,0,60,0
50.92,I,0,0,1,0,60,0
51.0,I,0,0,1,0,60,0
52.17,I,0,0,1,0,63,3
52.25,I,0,0,1,0,63,3
52.42,I,0,0,1,0,63,3
52.67,I,0,0,1,0,63,3
52.75,I,0,0,1,0,63,3
52.92,I,0,0,1,0,63,3
53.0,IV,5,5,4,0,63,3
53.25,IV,5,5,4,0,63,3
54.17,IV,5,5,4,0,63,3
54.42,IV,5,5,4,0,63,3
54.67,IV,5,5,4,0,60,0
54.75,IV,5,5,4,0,60,0
54.92,IV,5,5,4,0,60,0
55.0,I,0,0,1,0,60,0
55.0,I,0,0,1,0,60,0
56.25,I,0,0,1,0,63,3
56.67,I,0,0,1,0,63,3
56.75,I,0,0,1,0,63,3
57.0,I,0,0,1,0,62,2
57.0,V,7,7,5,0,62,2
57.17,V,7,7,5,0,62,2
57.25,V,7,7,5,0,62,2
57.42,V,7,7,5,0,62,2
57.5,V,7,7,5,0,62,2
57.67,V,7,7,5,0,62,2
57.75,V,7,7,5,0,62,2
57.92,V,7,7,5,0,62,2
58.0,V,7,7,5,0,63,3
58.0,IV,5,5,4,0,63,3
58.25,IV,5,5,4,0,62,2
58.5,IV,5,5,4,0,62,2
58.75,IV,5,5,4,0,60,0
58.92,IV,5,5,4,0,60,0
59.0,I,0,0,1,0,60,0
65.0,IV,5,5,4,0,60,0
67.0,I,0,0,1,0,60,0
69.0,V,7,7,5,0,60,0
70.0,IV,5,5,4,0,60,0
71.0,I,0,0,1,0,60,0
72.17,I,0,0,1,0,63,3
72.25,I,0,0,1,0,63,3
72.42,I,0,0,1,0,63,3
72.67,I,0,0,1,0,63,3
72.75,I,0,0,1,0,63,3
72.92,I,0,0,1,0,62,2
73.42,I,0,0,1,0,64,4
74.17,I,0,0,1,0,63,3
74.42,I,0,0,1,0,63,3
74.67,I,0,0,1,0,60,0
74.75,I,0,0,1,0,60,0
74.92,I,0,0,1,0,60,0
75.0,I,0,0,1,0,60,0
76.17,I,0,0,1,0,63,3
76.25,I,0,0,1,0,62,2
76.42,I,0,0,1,0,63,3
76.5,I,0,0,1,0,62,2
76.67,I,0,0,1,0,63,3
76.75,I,0,0,1,0,62,2
76.92,I,0,0,1,0,63,3
77.0,IV,5,5,4,0,63,3
77.25,IV,5,5,4,0,63,3
78.17,IV,5,5,4,0,63,3
78.42,IV,5,5,4,0,63,3
78.67,IV,5,5,4,0,60,0
78.75,IV,5,5,4,0,60,0
78.92,IV,5,5,4,0,60,0
79.0,I,0,0,1,0,60,0
79.0,I,0,0,1,0,60,0
80.25,I,0,0,1,0,62,2
