Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
7.83,V7,4,7,5,9,45,0
8.0,V7,4,7,5,9,45,0
8.0,i,9,0,1,9,45,0
8.83,i,9,0,1,9,47,2
9.0,bIII,0,3,3,9,47,2
9.0,bIII,0,3,3,9,48,3
9.83,bIII,0,3,3,9,52,7
10.0,IV,2,5,4,9,52,7
10.0,IV,2,5,4,9,50,5
10.17,IV,2,5,4,9,45,0
10.33,IV,2,5,4,9,45,0
11.0,bVI,5,8,6,9,45,0
11.83,bVI,5,8,6,9,57,0
12.0,bVI,5,8,6,9,57,0
12.0,i,9,0,1,9,57,0
12.83,i,9,0,1,9,57,0
13.0,i,9,0,1,9,55,10
13.0,bIII,0,3,3,9,55,10
13.83,bIII,0,3,3,9,52,7
14.0,bIII,0,3,3,9,52,7
14.0,V,4,7,5,9,52,7
15.75,V,4,7,5,9,69,0
15.83,V,4,7,5,9,69,0
16.0,V,4,7,5,9,69,0
16.0,i,9,0,1,9,69,0
16.83,i,9,0,1,9,59,2
17.0,i,9,0,1,9,60,3
17.0,bIII,0,3,3,9,60,3
17.08,bIII,0,3,3,9,60,3
17.83,bIII,0,3,3,9,60,3
18.0,IV,2,5,4,9,60,3
18.0,IV,2,5,4,9,62,5
18.08,IV,2,5,4,9,57,0
18.17,IV,2,5,4,9,57,0
18.67,IV,2,5,4,9,57,0
18.83,IV,2,5,4,9,57,0
19.0,bVI,5,8,6,9,57,0
19.83,bVI,5,8,6,9,55,10
20.0,bVI,5,8,6,9,57,0
20.0,i,9,0,1,9,57,0
20.83,i,9,0,1,9,57,0
21.0,i,9,0,1,9,56,11
21.0,V,4,7,5,9,56,11
21.83,V,4,7,5,9,56,11
22.0,V,4,7,5,9,57,0
22.0,i,9,0,1,9,57,0
23.0,bIII,0,3,3,9,57,0
24.0,IV,2,5,4,9,57,0
25.0,bVI,5,8,6,9,57,0
26.0,i,9,0,1,9,57,0
27.0,V7,4,7,5,9,57,0
28.0,i,9,0,1,9,57,0
29.0,V7,4,7,5,9,57,0
29.83,V7,4,7,5,9,69,0
30.0,i,9,0,1,9,69,0
30.0,i,9,0,1,9,69,0
30.83,i,9,0,1,9,69,0
31.0,bIII,0,3,3,9,69,0
31.0,bIII,0,3,3,9,67,10
31.83,bIII,0,3,3,9,64,7
32.0,IV,2,5,4,9,64,7
32.0,IV,2,5,4,9,62,5
32.17,IV,2,5,4,9,57,0
33.0,bVI,5,8,6,9,57,0
34.0,i,9,0,1,9,57,0
34.0,i,9,0,1,9,69,0
34.83,i,9,0,1,9,69,0
35.0,bIII,0,3,3,9,69,0
35.0,bIII,0,3,3,9,67,10
35.83,bIII,0,3,3,9,64,7
36.0,V,4,7,5,9,64,7
36.0,V,4,7,5,9,64,7
37.83,V,4,7,5,9,69,0
38.0,i,9,0,1,9,69,0
38.0,i,9,0,1,9,69,0
38.83,i,9,0,1,9,69,0
39.0,bIII,0,3,3,9,69,0
39.0,bIII,0,3,3,9,67,10
39.83,bIII,0,3,3,9,60,3
40.0,IV,2,5,4,9,60,3
40.0,IV,2,5,4,9,62,5
40.17,IV,2,5,4,9,57,0
40.83,IV,2,5,4,9,57,0
41.0,bVI,5,8,6,9,57,0
