Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
7.94,iih7,2,2,2,0,55,7
8.0,I,0,0,1,0,55,7
8.0,I,0,0,1,0,55,7
8.12,I,0,0,1,0,60,0
8.19,I,0,0,1,0,60,0
8.38,I,0,0,1,0,62,2
8.44,I,0,0,1,0,62,2
8.62,I,0,0,1,0,64,4
8.69,I,0,0,1,0,64,4
8.94,I,0,0,1,0,60,0
9.0,iio,2,2,2,0,60,0
9.0,iio,2,2,2,0,62,2
9.09,iio,2,2,2,0,60,0
9.12,iio,2,2,2,0,62,2
9.94,iio,2,2,2,0,55,7
10.0,iio,2,2,2,0,55,7
10.0,I,0,0,1,0,55,7
10.12,I,0,0,1,0,60,0
10.19,I,0,0,1,0,60,0
10.38,I,0,0,1,0,62,2
10.44,I,0,0,1,0,62,2
10.62,I,0,0,1,0,64,4
10.69,I,0,0,1,0,64,4
10.94,I,0,0,1,0,60,0
11.0,iio,2,2,2,0,60,0
11.0,iio,2,2,2,0,62,2
11.09,iio,2,2,2,0,60,0
11.12,iio,2,2,2,0,62,2
11.94,iio,2,2,2,0,55,7
12.0,iio,2,2,2,0,55,7
12.0,I,0,0,1,0,55,7
12.12,I,0,0,1,0,60,0
12.19,I,0,0,1,0,60,0
12.38,I,0,0,1,0,62,2
12.44,I,0,0,1,0,62,2
12.62,I,0,0,1,0,64,4
12.69,I,0,0,1,0,64,4
12.94,I,0,0,1,0,60,0
13.0,I,0,0,1,0,62,2
13.0,iio,2,2,2,0,62,2
13.12,iio,2,2,2,0,64,4
13.16,iio,2,2,2,0,62,2
13.19,iio,2,2,2,0,60,0
13.22,iio,2,2,2,0,62,2
13.56,iio,2,2,2,0,60,0
13.59,iio,2,2,2,0,57,9
13.94,iio,2,2,2,0,55,7
14.0,iio,2,2,2,0,55,7
14.0,I,0,0,1,0,55,7
14.12,I,0,0,1,0,60,0
14.19,I,0,0,1,0,60,0
14.38,I,0,0,1,0,62,2
