Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
0.25,V7/IV,5,0,1,5,81,4
0.5,V7/IV,5,0,1,5,81,4
0.75,V7/IV,5,0,1,5,79,2
1.0,IV,10,5,4,5,79,2
1.0,IV,10,5,4,5,77,0
1.42,IV,10,5,4,5,74,9
1.5,IV,10,5,4,5,74,9
2.42,IV,10,5,4,5,58,5
2.58,IV,10,5,4,5,58,5
2.67,IV,10,5,4,5,60,7
2.75,IV,10,5,4,5,62,9
2.92,IV,10,5,4,5,60,7
3.0,I,5,0,1,5,60,7
4.42,I,5,0,1,5,53,0
4.58,I,5,0,1,5,57,4
4.75,I,5,0,1,5,62,9
4.92,I,5,0,1,5,60,7
5.0,V,0,7,5,5,60,7
5.33,V,0,7,5,5,58,5
5.42,V,0,7,5,5,55,2
5.5,V,0,7,5,5,52,11
5.54,V,0,7,5,5,50,9
5.58,V,0,7,5,5,48,7
6.42,V,0,7,5,5,55,2
6.54,V,0,7,5,5,57,4
6.58,V,0,7,5,5,53,0
6.83,V,0,7,5,5,55,2
6.92,V,0,7,5,5,57,4
7.0,V,0,7,5,5,55,2
7.0,I,5,0,1,5,55,2
7.04,I,5,0,1,5,57,4
8.25,I,5,0,1,5,81,4
8.5,I,5,0,1,5,81,4
8.75,I,5,0,1,5,79,2
9.0,IV,10,5,4,5,79,2
9.0,IV,10,5,4,5,77,0
9.42,IV,10,5,4,5,74,9
9.5,IV,10,5,4,5,74,9
10.42,IV,10,5,4,5,58,5
10.58,IV,10,5,4,5,58,5
10.71,IV,10,5,4,5,60,7
10.83,IV,10,5,4,5,62,9
10.92,IV,10,5,4,5,60,7
11.0,I,5,0,1,5,60,7
11.42,I,5,0,1,5,62,9
12.42,I,5,0,1,5,53,0
12.58,I,5,0,1,5,57,4
12.79,I,5,0,1,5,62,9
13.0,I,5,0,1,5,60,7
13.0,V,0,7,5,5,60,7
13.25,V,0,7,5,5,58,5
13.42,V,0,7,5,5,55,2
13.5,V,0,7,5,5,52,11
13.54,V,0,7,5,5,50,9
13.58,V,0,7,5,5,48,7
14.25,V,0,7,5,5,48,7
14.38,V,0,7,5,5,52,11
14.5,V,0,7,5,5,58,5
14.58,V,0,7,5,5,60,7
14.67,V,0,7,5,5,57,4
14.83,V,0,7,5,5,55,2
14.96,V,0,7,5,5,55,2
15.0,I,5,0,1,5,55,2
15.04,I,5,0,1,5,53,0
15.5,IV,10,5,4,5,53,0
16.0,I,5,0,1,5,53,0
16.46,I,5,0,1,5,58,5
16.5,I,5,0,1,5,60,7
16.71,I,5,0,1,5,57,4
16.75,I,5,0,1,5,55,2
16.92,I,5,0,1,5,53,0
16.96,I,5,0,1,5,57,4
18.46,I,5,0,1,5,65,0
18.67,I,5,0,1,5,62,9
18.79,I,5,0,1,5,60,7
18.83,I,5,0,1,5,58,5
18.92,I,5,0,1,5,58,5
19.0,IV,10,5,4,5,58,5
19.08,IV,10,5,4,5,62,9
20.46,IV,10,5,4,5,65,0
20.62,IV,10,5,4,5,62,9
20.71,IV,10,5,4,5,65,0
20.83,IV,10,5,4,5,62,9
20.88,IV,10,5,4,5,65,0
21.0,I,5,0,1,5,65,0
21.0,I,5,0,1,5,62,9
21.08,I,5,0,1,5,60,7
21.42,I,5,0,1,5,62,9
22.25,I,5,0,1,5,57,4
22.42,I,5,0,1,5,62,9
22.58,I,5,0,1,5,60,7
22.75,I,5,0,1,5,57,4
22.92,I,5,0,1,5,57,4
23.0,I,5,0,1,5,55,2
23.0,V,0,7,5,5,55,2
24.42,V,0,7,5,5,60,7
24.67,V,0,7,5,5,57,4
24.71,V,0,7,5,5,55,2
24.75,V,0,7,5,5,53,0
24.83,V,0,7,5,5,53,0
24.92,V,0,7,5,5,57,4
25.0,I,5,0,1,5,57,4
25.0,I,5,0,1,5,55,2
25.04,I,5,0,1,5,57,4
26.33,I,5,0,1,5,65,0
26.5,I,5,0,1,5,67,2
26.67,I,5,0,1,5,65,0
26.83,I,5,0,1,5,58,5
26.92,I,5,0,1,5,60,7
27.0,IV,10,5,4,5,60,7
27.0,IV,10,5,4,5,62,9
28.42,IV,10,5,4,5,65,0
28.54,IV,10,5,4,5,65,0
28.71,IV,10,5,4,5,67,2
28.83,IV,10,5,4,5,65,0
28.96,IV,10,5,4,5,67,2
29.0,IV,10,5,4,5,69,4
29.0,I,5,0,1,5,69,4
29.08,I,5,0,1,5,67,2
29.12,I,5,0,1,5,65,0
29.25,I,5,0,1,5,62,9
29.38,I,5,0,1,5,60,7
30.0,V,0,7,5,5,60,7
30.42,V,0,7,5,5,60,7
30.62,V,0,7,5,5,60,7
30.75,V,0,7,5,5,64,11
30.83,V,0,7,5,5,67,2
31.0,I,5,0,1,5,67,2
31.0,I,5,0,1,5,65,0
31.5,IV,10,5,4,5,65,0
31.88,IV,10,5,4,5,67,2
31.92,IV,10,5,4,5,69,4
32.0,V7/IV,5,0,1,5,69,4
32.25,V7/IV,5,0,1,5,81,4
32.5,V7/IV,5,0,1,5,81,4
32.75,V7/IV,5,0,1,5,79,2
33.0,V7/IV,5,0,1,5,77,0
33.0,IV,10,5,4,5,77,0
33.42,IV,10,5,4,5,74,9
33.5,IV,10,5,4,5,74,9
34.42,IV,10,5,4,5,58,5
34.58,IV,10,5,4,5,58,5
34.67,IV,10,5,4,5,60,7
34.75,IV,10,5,4,5,62,9
34.92,IV,10,5,4,5,60,7
35.0,I,5,0,1,5,60,7
35.42,I,5,0,1,5,62,9
36.42,I,5,0,1,5,53,0
36.58,I,5,0,1,5,57,4
36.75,I,5,0,1,5,62,9
36.92,I,5,0,1,5,60,7
37.0,V,0,7,5,5,60,7
37.33,V,0,7,5,5,58,5
37.42,V,0,7,5,5,55,2
37.5,V,0,7,5,5,52,11
37.54,V,0,7,5,5,50,9
37.58,V,0,7,5,5,48,7
38.42,V,0,7,5,5,55,2
38.54,V,0,7,5,5,57,4
38.58,V,0,7,5,5,53,0
38.83,V,0,7,5,5,55,2
38.92,V,0,7,5,5,57,4
39.0,I,5,0,1,5,57,4
39.0,I,5,0,1,5,55,2
39.04,I,5,0,1,5,57,4
40.25,I,5,0,1,5,81,4
40.5,I,5,0,1,5,81,4
40.75,I,5,0,1,5,79,2
41.0,IV,10,5,4,5,79,2
41.0,IV,10,5,4,5,77,0
41.42,IV,10,5,4,5,74,9
41.5,IV,10,5,4,5,74,9
42.42,IV,10,5,4,5,58,5
42.58,IV,10,5,4,5,58,5
42.71,IV,10,5,4,5,60,7
42.83,IV,10,5,4,5,62,9
42.92,IV,10,5,4,5,60,7
43.0,I,5,0,1,5,60,7
43.42,I,5,0,1,5,62,9
44.42,I,5,0,1,5,53,0
44.58,I,5,0,1,5,57,4
44.79,I,5,0,1,5,62,9
45.0,I,5,0,1,5,60,7
45.0,V,0,7,5,5,60,7
45.17,V,0,7,5,5,58,5
45.33,V,0,7,5,5,55,2
45.5,V,0,7,5,5,52,11
45.54,V,0,7,5,5,50,9
45.58,V,0,7,5,5,48,7
46.25,V,0,7,5,5,48,7
46.42,V,0,7,5,5,52,11
46.58,V,0,7,5,5,58,5
46.62,V,0,7,5,5,60,7
46.75,V,0,7,5,5,57,4
46.88,V,0,7,5,5,55,2
46.96,V,0,7,5,5,55,2
47.0,I,5,0,1,5,55,2
47.04,I,5,0,1,5,53,0
47.5,IV,10,5,4,5,53,0
48.0,I,5,0,1,5,53,0
48.25,I,5,0,1,5,72,7
48.5,I,5,0,1,5,69,4
48.67,I,5,0,1,5,67,2
48.75,I,5,0,1,5,65,0
49.0,I,5,0,1,5,69,4
49.42,I,5,0,1,5,60,7
49.75,I,5,0,1,5,57,4
49.79,I,5,0,1,5,55,2
49.92,I,5,0,1,5,53,0
50.0,I,5,0,1,5,57,4
50.25,I,5,0,1,5,77,0
50.5,I,5,0,1,5,77,0
50.67,I,5,0,1,5,74,9
50.75,I,5,0,1,5,72,7
51.0,I,5,0,1,5,77,0
51.0,IV,10,5,4,5,77,0
51.42,IV,10,5,4,5,65,0
51.5,IV,10,5,4,5,67,2
51.67,IV,10,5,4,5,65,0
51.83,IV,10,5,4,5,58,5
52.0,IV,10,5,4,5,62,9
52.25,IV,10,5,4,5,77,0
52.5,IV,10,5,4,5,77,0
52.75,IV,10,5,4,5,77,0
53.0,IV,10,5,4,5,77,0
53.0,I,5,0,1,5,77,0
53.17,I,5,0,1,5,74,9
53.25,I,5,0,1,5,72,7
53.46,I,5,0,1,5,65,0
53.54,I,5,0,1,5,62,9
53.62,I,5,0,1,5,65,0
53.88,I,5,0,1,5,62,9
53.92,I,5,0,1,5,65,0
54.0,I,5,0,1,5,62,9
54.12,I,5,0,1,5,60,7
54.25,I,5,0,1,5,74,9
54.5,I,5,0,1,5,72,7
54.75,I,5,0,1,5,69,4
55.0,V,0,7,5,5,69,4
55.0,V,0,7,5,5,67,2
55.42,V,0,7,5,5,62,9
55.46,V,0,7,5,5,60,7
55.58,V,0,7,5,5,63,10
55.67,V,0,7,5,5,64,11
55.83,V,0,7,5,5,64,11
55.96,V,0,7,5,5,62,9
56.08,V,0,7,5,5,62,9
56.17,V,0,7,5,5,60,7
56.25,V,0,7,5,5,72,7
56.5,V,0,7,5,5,69,4
56.67,V,0,7,5,5,67,2
56.75,V,0,7,5,5,65,0
57.0,I,5,0,1,5,65,0
57.0,I,5,0,1,5,69,4
57.42,I,5,0,1,5,60,7
57.5,I,5,0,1,5,62,9
57.62,I,5,0,1,5,60,7
57.71,I,5,0,1,5,57,4
57.75,I,5,0,1,5,55,2
57.79,I,5,0,1,5,53,0
57.92,I,5,0,1,5,53,0
58.0,I,5,0,1,5,57,4
58.08,I,5,0,1,5,55,2
