Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
6.88,I,7,0,1,7,62,7
7.0,I,7,0,1,7,62,7
7.25,I,7,0,1,7,62,7
7.5,I,7,0,1,7,59,4
7.75,I,7,0,1,7,62,7
7.88,I,7,0,1,7,60,5
8.0,IV,0,5,4,7,60,5
8.25,IV,0,5,4,7,64,9
8.5,I,7,0,1,7,64,9
8.5,I,7,0,1,7,62,7
9.0,I,7,0,1,7,59,4
9.12,I,7,0,1,7,59,4
9.38,I,7,0,1,7,57,2
9.5,I,7,0,1,7,59,4
9.56,I,7,0,1,7,57,2
9.75,I,7,0,1,7,59,4
9.88,I,7,0,1,7,55,0
10.0,IV,0,5,4,7,55,0
10.25,IV,0,5,4,7,60,5
10.5,IV,0,5,4,7,59,4
10.5,I,7,0,1,7,59,4
11.0,I,7,0,1,7,59,4
11.12,I,7,0,1,7,59,4
11.38,I,7,0,1,7,57,2
11.5,I,7,0,1,7,59,4
11.56,I,7,0,1,7,57,2
11.75,I,7,0,1,7,59,4
11.88,I,7,0,1,7,55,0
12.0,V,2,7,5,7,55,0
12.5,V,2,7,5,7,57,2
12.62,V,2,7,5,7,54,11
13.0,I,7,0,1,7,54,11
13.0,I,7,0,1,7,55,0
14.0,IV,0,5,4,7,55,0
14.5,V,2,7,5,7,55,0
15.0,I,7,0,1,7,55,0
16.0,V,2,7,5,7,55,0
16.5,I,7,0,1,7,55,0
16.88,I,7,0,1,7,62,7
17.0,I,7,0,1,7,62,7
17.25,I,7,0,1,7,62,7
17.5,I,7,0,1,7,59,4
17.62,I,7,0,1,7,59,4
17.75,I,7,0,1,7,62,7
17.88,I,7,0,1,7,60,5
18.0,IV,0,5,4,7,60,5
18.25,IV,0,5,4,7,64,9
18.5,IV,0,5,4,7,62,7
18.5,I,7,0,1,7,62,7
19.0,I,7,0,1,7,59,4
19.12,I,7,0,1,7,59,4
19.38,I,7,0,1,7,57,2
19.5,I,7,0,1,7,59,4
19.56,I,7,0,1,7,57,2
19.75,I,7,0,1,7,59,4
19.88,I,7,0,1,7,55,0
20.0,IV,0,5,4,7,55,0
20.25,IV,0,5,4,7,60,5
20.5,I,7,0,1,7,60,5
20.5,I,7,0,1,7,59,4
21.0,I,7,0,1,7,59,4
21.12,I,7,0,1,7,59,4
21.38,I,7,0,1,7,57,2
21.5,I,7,0,1,7,59,4
21.56,I,7,0,1,7,57,2
21.75,I,7,0,1,7,59,4
21.88,I,7,0,1,7,55,0
22.0,V,2,7,5,7,55,0
22.5,V,2,7,5,7,57,2
22.62,V,2,7,5,7,54,11
23.0,V,2,7,5,7,55,0
23.0,I,7,0,1,7,55,0
24.0,IV,0,5,4,7,55,0
24.5,V,2,7,5,7,55,0
25.0,I,7,0,1,7,55,0
