Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
1.0,Id7,2,0,1,2,62,0
2.38,Id7,2,0,1,2,60,10
2.5,Id7,2,0,1,2,62,0
2.62,Id7,2,0,1,2,60,10
2.75,Id7,2,0,1,2,62,0
2.88,Id7,2,0,1,2,65,3
3.12,Id7,2,0,1,2,62,0
4.5,Id7,2,0,1,2,65,3
4.62,Id7,2,0,1,2,67,5
4.75,Id7,2,0,1,2,69,7
4.88,Id7,2,0,1,2,67,5
5.0,Id7,2,0,1,2,65,3
5.0,IVd7,7,5,4,2,65,3
5.12,IVd7,7,5,4,2,67,5
6.38,IVd7,7,5,4,2,60,10
6.5,IVd7,7,5,4,2,62,0
6.62,IVd7,7,5,4,2,60,10
6.75,IVd7,7,5,4,2,62,0
6.88,IVd7,7,5,4,2,65,3
7.0,Id7,2,0,1,2,65,3
7.12,Id7,2,0,1,2,62,0
8.75,Id7,2,0,1,2,69,7
8.88,Id7,2,0,1,2,69,7
9.0,V7,9,7,5,2,69,7
9.75,V7,9,7,5,2,67,5
9.88,V7,9,7,5,2,67,5
10.0,IVd7,7,5,4,2,67,5
10.5,IVd7,7,5,4,2,65,3
10.62,IVd7,7,5,4,2,67,5
10.75,IVd7,7,5,4,2,65,3
10.88,IVd7,7,5,4,2,69,7
11.0,Id7,2,0,1,2,69,7
12.5,Id7,2,0,1,2,68,6
12.62,Id7,2,0,1,2,68,6
12.75,Id7,2,0,1,2,69,7
12.88,Id7,2,0,1,2,65,3
13.0,Id7,2,0,1,2,62,0
14.38,Id7,2,0,1,2,57,7
14.5,Id7,2,0,1,2,62,0
14.62,Id7,2,0,1,2,60,10
14.75,Id7,2,0,1,2,62,0
14.88,Id7,2,0,1,2,65,3
15.06,Id7,2,0,1,2,64,2
15.12,Id7,2,0,1,2,62,0
16.5,Id7,2,0,1,2,65,3
16.62,Id7,2,0,1,2,67,5
16.88,Id7,2,0,1,2,68,6
16.94,Id7,2,0,1,2,67,5
17.0,IVd7,7,5,4,2,67,5
17.12,IVd7,7,5,4,2,65,3
17.25,IVd7,7,5,4,2,67,5
18.38,IVd7,7,5,4,2,57,7
18.5,IVd7,7,5,4,2,62,0
18.62,IVd7,7,5,4,2,60,10
18.75,IVd7,7,5,4,2,62,0
18.88,IVd7,7,5,4,2,65,3
19.0,Id7,2,0,1,2,65,3
19.0,Id7,2,0,1,2,64,2
19.06,Id7,2,0,1,2,62,0
20.75,Id7,2,0,1,2,69,7
20.88,Id7,2,0,1,2,69,7
21.0,V7,9,7,5,2,69,7
21.75,V7,9,7,5,2,67,5
21.88,V7,9,7,5,2,67,5
22.0,IVd7,7,5,4,2,67,5
22.5,IVd7,7,5,4,2,65,3
22.62,IVd7,7,5,4,2,67,5
