Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
9.12,i,3,0,1,3,70,7
9.5,i,3,0,1,3,68,5
9.75,i,3,0,1,3,68,5
9.88,i,3,0,1,3,66,3
10.0,i,3,0,1,3,63,0
10.12,i,3,0,1,3,66,3
10.25,i,3,0,1,3,63,0
10.38,i,3,0,1,3,66,3
10.5,IV,8,5,4,3,66,3
10.5,IV,8,5,4,3,63,0
10.62,IV,8,5,4,3,63,0
10.75,i,3,0,1,3,63,0
11.5,i,3,0,1,3,63,0
11.62,i,3,0,1,3,63,0
11.88,i,3,0,1,3,65,2
12.0,V,10,7,5,3,65,2
12.38,V,10,7,5,3,63,0
12.5,V,10,7,5,3,65,2
12.62,V,10,7,5,3,60,9
12.75,V,10,7,5,3,63,0
13.0,IV,8,5,4,3,63,0
13.38,IV,8,5,4,3,61,10
13.5,IV,8,5,4,3,63,0
13.62,IV,8,5,4,3,63,0
13.75,IV,8,5,4,3,63,0
13.88,IV,8,5,4,3,75,0
14.0,i,3,0,1,3,75,0
14.38,i,3,0,1,3,63,0
14.5,i,3,0,1,3,66,3
14.5,IV,8,5,4,3,66,3
14.62,IV,8,5,4,3,63,0
14.75,IV,8,5,4,3,63,0
14.75,i,3,0,1,3,63,0
15.12,i,3,0,1,3,58,7
15.25,i,3,0,1,3,58,7
15.38,i,3,0,1,3,58,7
15.5,i,3,0,1,3,61,10
15.62,i,3,0,1,3,63,0
15.75,i,3,0,1,3,65,2
15.88,i,3,0,1,3,65,2
16.0,V,10,7,5,3,65,2
16.12,V,10,7,5,3,63,0
16.25,V,10,7,5,3,65,2
16.38,V,10,7,5,3,63,0
16.5,V,10,7,5,3,65,2
16.62,V,10,7,5,3,60,9
16.75,V,10,7,5,3,63,0
17.0,IV,8,5,4,3,63,0
17.38,IV,8,5,4,3,61,10
17.5,IV,8,5,4,3,63,0
17.62,IV,8,5,4,3,61,10
17.75,IV,8,5,4,3,63,0
17.88,IV,8,5,4,3,60,9
18.0,IV,8,5,4,3,72,9
18.0,vi,0,9,6,3,72,9
18.25,vi,0,9,6,3,66,3
18.38,vi,0,9,6,3,65,2
18.5,vi,0,9,6,3,66,3
18.62,vi,0,9,6,3,65,2
18.88,vi,0,9,6,3,63,0
18.94,vi,0,9,6,3,65,2
