Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
3.38,Id7,4,0,1,4,59,7
3.5,Id7,4,0,1,4,62,10
3.62,Id7,4,0,1,4,64,0
3.88,Id7,4,0,1,4,64,0
4.5,Id7,4,0,1,4,64,0
4.62,Id7,4,0,1,4,62,10
4.88,Id7,4,0,1,4,66,2
4.94,Id7,4,0,1,4,64,0
5.62,Id7,4,0,1,4,57,5
5.75,Id7,4,0,1,4,64,0
6.0,Id7,4,0,1,4,64,0
6.0,IVd7,9,5,4,4,64,0
6.5,IVd7,9,5,4,4,64,0
6.62,IVd7,9,5,4,4,62,10
6.88,IVd7,9,5,4,4,66,2
6.94,IVd7,9,5,4,4,64,0
7.0,Id7,4,0,1,4,64,0
7.75,Id7,4,0,1,4,64,0
7.88,Id7,4,0,1,4,62,10
8.0,Id7,4,0,1,4,64,0
8.25,Id7,4,0,1,4,62,10
8.38,Id7,4,0,1,4,59,7
8.88,Id7,4,0,1,4,64,0
9.0,Id7,4,0,1,4,66,2
9.38,Id7,4,0,1,4,64,0
9.5,Id7,4,0,1,4,62,10
9.75,Id7,4,0,1,4,64,0
9.88,Id7,4,0,1,4,62,10
10.0,V,11,7,5,4,62,10
10.12,V,11,7,5,4,59,7
11.75,V,11,7,5,4,63,11
12.0,V,11,7,5,4,59,7
12.0,I,4,0,1,4,59,7
12.5,I,4,0,1,4,61,9
12.62,I,4,0,1,4,63,11
12.88,I,4,0,1,4,64,0
13.5,I,4,0,1,4,66,2
13.62,I,4,0,1,4,67,3
13.88,I,4,0,1,4,66,2
14.0,IV,9,5,4,4,66,2
14.12,IV,9,5,4,4,64,0
14.88,IV,9,5,4,4,76,0
15.0,bVI,0,8,6,4,76,0
15.62,bVI,0,8,6,4,64,0
15.75,bVI,0,8,6,4,64,0
16.0,bVI,0,8,6,4,64,0
16.0,I,4,0,1,4,64,0
16.5,I,4,0,1,4,62,10
17.0,I,4,0,1,4,59,7
17.0,V,11,7,5,4,59,7
17.62,V,11,7,5,4,55,3
17.88,V,11,7,5,4,55,3
18.0,Id7,4,0,1,4,55,3
18.0,Id7,4,0,1,4,52,0
19.75,Id7,4,0,1,4,64,0
19.88,Id7,4,0,1,4,64,0
20.5,Id7,4,0,1,4,64,0
20.62,Id7,4,0,1,4,62,10
20.88,Id7,4,0,1,4,66,2
20.94,Id7,4,0,1,4,64,0
21.75,Id7,4,0,1,4,64,0
21.88,Id7,4,0,1,4,64,0
22.0,IVd7,9,5,4,4,64,0
22.38,IVd7,9,5,4,4,64,0
22.62,IVd7,9,5,4,4,62,10
22.88,IVd7,9,5,4,4,66,2
22.94,IVd7,9,5,4,4,64,0
23.0,Id7,4,0,1,4,64,0
23.75,Id7,4,0,1,4,64,0
23.88,Id7,4,0,1,4,62,10
24.0,Id7,4,0,1,4,64,0
24.25,Id7,4,0,1,4,62,10
24.38,Id7,4,0,1,4,59,7
24.88,Id7,4,0,1,4,66,2
25.12,Id7,4,0,1,4,66,2
25.25,Id7,4,0,1,4,64,0
25.38,Id7,4,0,1,4,62,10
25.75,Id7,4,0,1,4,64,0
25.88,Id7,4,0,1,4,62,10
26.0,V,11,7,5,4,62,10
26.12,V,11,7,5,4,59,7
28.0,V,11,7,5,4,59,7
28.0,I,4,0,1,4,59,7
28.5,I,4,0,1,4,61,9
28.62,I,4,0,1,4,63,11
28.88,I,4,0,1,4,64,0
29.5,I,4,0,1,4,66,2
29.62,I,4,0,1,4,67,3
29.88,I,4,0,1,4,66,2
30.0,IV,9,5,4,4,66,2
30.12,IV,9,5,4,4,64,0
30.88,IV,9,5,4,4,76,0
31.0,bVI,0,8,6,4,76,0
31.62,bVI,0,8,6,4,64,0
31.75,bVI,0,8,6,4,64,0
32.0,bVI,0,8,6,4,64,0
32.0,I,4,0,1,4,64,0
32.5,I,4,0,1,4,62,10
33.0,I,4,0,1,4,59,7
33.0,V,11,7,5,4,59,7
33.62,V,11,7,5,4,55,3
33.88,V,11,7,5,4,55,3
34.0,Id7,4,0,1,4,55,3
34.0,Id7,4,0,1,4,52,0
35.5,Id7,4,0,1,4,61,9
35.75,Id7,4,0,1,4,64,0
36.0,IV,9,5,4,4,64,0
36.0,IV,9,5,4,4,67,3
36.5,IV,9,5,4,4,66,2
36.88,IV,9,5,4,4,64,0
37.5,IV,9,5,4,4,61,9
37.75,IV,9,5,4,4,64,0
38.0,IV,9,5,4,4,67,3
38.5,IV,9,5,4,4,66,2
38.88,IV,9,5,4,4,64,0
39.5,IV,9,5,4,4,61,9
39.75,IV,9,5,4,4,64,0
40.0,IV,9,5,4,4,67,3
40.5,IV,9,5,4,4,66,2
41.0,IV,9,5,4,4,64,0
41.5,IV,9,5,4,4,64,0
42.0,IV,9,5,4,4,66,2
42.0,V,11,7,5,4,66,2
42.12,V,11,7,5,4,71,7
44.0,V,11,7,5,4,73,9
44.0,IV,9,5,4,4,73,9
45.38,IV,9,5,4,4,69,5
45.62,IV,9,5,4,4,67,3
45.88,IV,9,5,4,4,64,0
46.0,Id7,4,0,1,4,64,0
46.5,Id7,4,0,1,4,64,0
46.62,Id7,4,0,1,4,62,10
46.88,Id7,4,0,1,4,66,2
46.94,Id7,4,0,1,4,64,0
47.75,Id7,4,0,1,4,64,0
47.88,Id7,4,0,1,4,62,10
48.0,Id7,4,0,1,4,64,0
48.0,IVd7,9,5,4,4,64,0
48.25,IVd7,9,5,4,4,64,0
48.5,IVd7,9,5,4,4,64,0
48.62,IVd7,9,5,4,4,62,10
48.88,IVd7,9,5,4,4,66,2
48.94,IVd7,9,5,4,4,64,0
49.0,Id7,4,0,1,4,64,0
49.75,Id7,4,0,1,4,64,0
49.88,Id7,4,0,1,4,62,10
50.0,Id7,4,0,1,4,64,0
50.25,Id7,4,0,1,4,62,10
50.38,Id7,4,0,1,4,59,7
50.88,Id7,4,0,1,4,66,2
51.12,Id7,4,0,1,4,66,2
51.25,Id7,4,0,1,4,64,0
51.38,Id7,4,0,1,4,62,10
51.75,Id7,4,0,1,4,64,0
51.88,Id7,4,0,1,4,62,10
52.0,V,11,7,5,4,62,10
52.12,V,11,7,5,4,59,7
53.75,V,11,7,5,4,63,11
54.0,V,11,7,5,4,59,7
54.0,I,4,0,1,4,59,7
54.5,I,4,0,1,4,61,9
54.62,I,4,0,1,4,63,11
54.88,I,4,0,1,4,64,0
55.5,I,4,0,1,4,66,2
55.62,I,4,0,1,4,67,3
55.88,I,4,0,1,4,66,2
56.0,IV,9,5,4,4,66,2
56.12,IV,9,5,4,4,64,0
56.88,IV,9,5,4,4,76,0
57.0,bVI,0,8,6,4,76,0
57.62,bVI,0,8,6,4,64,0
57.75,bVI,0,8,6,4,64,0
58.0,I,4,0,1,4,64,0
58.0,I,4,0,1,4,64,0
58.5,I,4,0,1,4,62,10
59.0,I,4,0,1,4,59,7
59.0,V,11,7,5,4,59,7
59.62,V,11,7,5,4,55,3
59.88,V,11,7,5,4,55,3
60.0,Id7,4,0,1,4,55,3
60.0,Id7,4,0,1,4,52,0
68.0,V,11,7,5,4,52,0
70.0,I,4,0,1,4,52,0
72.0,IV,9,5,4,4,52,0
74.0,I,4,0,1,4,52,0
75.0,V,11,7,5,4,52,0
76.0,Id7,4,0,1,4,52,0
77.5,Id7,4,0,1,4,61,9
77.75,Id7,4,0,1,4,64,0
78.0,Id7,4,0,1,4,67,3
78.0,IV,9,5,4,4,67,3
78.5,IV,9,5,4,4,66,2
78.88,IV,9,5,4,4,64,0
79.5,IV,9,5,4,4,61,9
79.75,IV,9,5,4,4,64,0
80.0,IV,9,5,4,4,67,3
80.5,IV,9,5,4,4,66,2
80.88,IV,9,5,4,4,64,0
81.5,IV,9,5,4,4,61,9
81.75,IV,9,5,4,4,64,0
82.0,IV,9,5,4,4,67,3
82.5,IV,9,5,4,4,66,2
82.88,IV,9,5,4,4,64,0
83.5,IV,9,5,4,4,64,0
84.0,IV,9,5,4,4,66,2
84.0,V,11,7,5,4,66,2
84.12,V,11,7,5,4,71,7
86.0,V,11,7,5,4,73,9
86.0,IV,9,5,4,4,73,9
87.12,IV,9,5,4,4,69,5
87.75,IV,9,5,4,4,67,3
88.0,IV,9,5,4,4,64,0
88.0,Id7,4,0,1,4,64,0
88.5,Id7,4,0,1,4,64,0
88.62,Id7,4,0,1,4,62,10
88.88,Id7,4,0,1,4,66,2
88.94,Id7,4,0,1,4,64,0
89.75,Id7,4,0,1,4,64,0
89.88,Id7,4,0,1,4,62,10
90.0,Id7,4,0,1,4,64,0
90.0,IVd7,9,5,4,4,64,0
90.25,IVd7,9,5,4,4,64,0
90.5,IVd7,9,5,4,4,64,0
