Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
10.62,I,1,0,1,1,65,4
10.81,I,1,0,1,1,68,7
11.0,I,1,0,1,1,68,7
11.12,I,1,0,1,1,65,4
11.62,I,1,0,1,1,70,9
11.88,I,1,0,1,1,68,7
12.0,I,1,0,1,1,68,7
12.12,I,1,0,1,1,65,4
12.62,I,1,0,1,1,65,4
12.81,I,1,0,1,1,68,7
13.0,I,1,0,1,1,68,7
13.12,I,1,0,1,1,65,4
13.62,I,1,0,1,1,70,9
13.88,I,1,0,1,1,68,7
14.0,I,1,0,1,1,65,4
14.5,I,1,0,1,1,65,4
14.69,I,1,0,1,1,63,2
14.88,I,1,0,1,1,61,0
15.0,I,1,0,1,1,63,2
15.0,IV,6,5,4,1,63,2
15.38,IV,6,5,4,1,61,0
15.62,IV,6,5,4,1,61,0
16.38,IV,6,5,4,1,65,4
16.62,IV,6,5,4,1,63,2
16.81,IV,6,5,4,1,61,0
17.0,I,1,0,1,1,61,0
17.0,I,1,0,1,1,63,2
17.38,I,1,0,1,1,61,0
17.62,I,1,0,1,1,61,0
18.62,I,1,0,1,1,65,4
18.81,I,1,0,1,1,68,7
19.0,I,1,0,1,1,68,7
19.12,I,1,0,1,1,65,4
19.62,I,1,0,1,1,70,9
19.88,I,1,0,1,1,68,7
20.0,I,1,0,1,1,65,4
20.62,I,1,0,1,1,65,4
20.81,I,1,0,1,1,68,7
21.0,I,1,0,1,1,68,7
21.12,I,1,0,1,1,65,4
21.62,I,1,0,1,1,70,9
21.88,I,1,0,1,1,68,7
21.94,I,1,0,1,1,65,4
22.06,I,1,0,1,1,63,2
22.19,I,1,0,1,1,61,0
22.62,I,1,0,1,1,70,9
22.88,I,1,0,1,1,68,7
23.0,I,1,0,1,1,65,4
23.0,IV,6,5,4,1,65,4
23.12,IV,6,5,4,1,63,2
23.38,IV,6,5,4,1,61,0
24.5,IV,6,5,4,1,65,4
24.69,IV,6,5,4,1,63,2
24.88,IV,6,5,4,1,61,0
25.0,I,1,0,1,1,61,0
25.0,I,1,0,1,1,63,2
25.38,I,1,0,1,1,61,0
25.62,I,1,0,1,1,61,0
26.62,I,1,0,1,1,61,0
26.75,I,1,0,1,1,61,0
26.88,I,1,0,1,1,68,7
27.0,V,8,7,5,1,68,7
27.62,V,8,7,5,1,66,5
27.75,V,8,7,5,1,65,4
27.88,V,8,7,5,1,61,0
28.0,IV,6,5,4,1,61,0
28.62,IV,6,5,4,1,58,9
28.75,IV,6,5,4,1,58,9
28.88,IV,6,5,4,1,58,9
29.0,IV,6,5,4,1,61,0
29.0,I,1,0,1,1,61,0
29.12,I,1,0,1,1,61,0
30.62,I,1,0,1,1,61,0
30.75,I,1,0,1,1,61,0
30.88,I,1,0,1,1,68,7
31.0,V,8,7,5,1,68,7
31.62,V,8,7,5,1,66,5
31.75,V,8,7,5,1,65,4
31.88,V,8,7,5,1,61,0
32.0,IV,6,5,4,1,61,0
32.62,IV,6,5,4,1,58,9
32.75,IV,6,5,4,1,58,9
32.88,IV,6,5,4,1,58,9
33.0,IV,6,5,4,1,61,0
33.0,I,1,0,1,1,61,0
33.12,I,1,0,1,1,61,0
34.62,I,1,0,1,1,65,4
34.81,I,1,0,1,1,68,7
35.0,I,1,0,1,1,68,7
35.12,I,1,0,1,1,65,4
35.62,I,1,0,1,1,70,9
35.88,I,1,0,1,1,68,7
36.0,I,1,0,1,1,68,7
36.12,I,1,0,1,1,65,4
36.62,I,1,0,1,1,65,4
36.81,I,1,0,1,1,68,7
37.0,I,1,0,1,1,68,7
37.12,I,1,0,1,1,65,4
37.62,I,1,0,1,1,70,9
37.88,I,1,0,1,1,68,7
38.0,I,1,0,1,1,65,4
38.38,I,1,0,1,1,61,0
38.5,I,1,0,1,1,70,9
38.88,I,1,0,1,1,68,7
39.0,IV,6,5,4,1,68,7
39.12,IV,6,5,4,1,63,2
39.38,IV,6,5,4,1,61,0
40.38,IV,6,5,4,1,61,0
40.5,IV,6,5,4,1,70,9
40.69,IV,6,5,4,1,68,7
40.88,IV,6,5,4,1,68,7
40.94,IV,6,5,4,1,65,4
41.0,I,1,0,1,1,65,4
41.12,I,1,0,1,1,68,7
41.31,I,1,0,1,1,65,4
42.62,I,1,0,1,1,65,4
