Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
11.38,I,5,0,1,5,53,0
18.25,I,5,0,1,5,53,0
18.5,I,5,0,1,5,53,0
18.75,I,5,0,1,5,53,0
19.0,V,0,7,5,5,53,0
19.0,V,0,7,5,5,55,2
19.5,V,0,7,5,5,55,2
19.88,V,0,7,5,5,55,2
20.25,V,0,7,5,5,57,4
20.5,V,0,7,5,5,56,3
20.75,V,0,7,5,5,55,2
21.0,I,5,0,1,5,55,2
21.0,I,5,0,1,5,53,0
22.25,I,5,0,1,5,53,0
22.5,I,5,0,1,5,53,0
22.75,I,5,0,1,5,53,0
23.0,V,0,7,5,5,53,0
23.0,V,0,7,5,5,55,2
23.5,V,0,7,5,5,55,2
24.0,V,0,7,5,5,55,2
24.25,V,0,7,5,5,56,3
24.38,V,0,7,5,5,56,3
24.75,V,0,7,5,5,55,2
25.0,V,0,7,5,5,53,0
25.0,I,5,0,1,5,53,0
26.25,I,5,0,1,5,53,0
26.5,I,5,0,1,5,55,2
26.75,I,5,0,1,5,57,4
26.88,I,5,0,1,5,58,5
27.0,IV,10,5,4,5,58,5
27.5,IV,10,5,4,5,58,5
28.0,IV,10,5,4,5,58,5
28.25,IV,10,5,4,5,62,9
28.38,IV,10,5,4,5,60,7
28.75,IV,10,5,4,5,58,5
29.0,IV,10,5,4,5,55,2
29.0,I,5,0,1,5,55,2
29.25,I,5,0,1,5,57,4
30.25,I,5,0,1,5,53,0
30.38,I,5,0,1,5,52,11
30.75,I,5,0,1,5,50,9
31.0,I,5,0,1,5,48,7
31.0,V,0,7,5,5,48,7
32.25,V,0,7,5,5,55,2
32.5,V,0,7,5,5,53,0
32.75,V,0,7,5,5,52,11
33.0,I,5,0,1,5,52,11
33.0,I,5,0,1,5,53,0
35.0,I,10,0,1,10,53,0
36.5,I,10,0,1,10,46,0
42.25,I,10,0,1,10,46,0
42.5,I,10,0,1,10,46,0
42.75,I,10,0,1,10,46,0
43.0,I,10,0,1,10,48,2
43.0,V,5,7,5,10,48,2
43.25,V,5,7,5,10,48,2
43.5,V,5,7,5,10,48,2
43.75,V,5,7,5,10,48,2
43.88,V,5,7,5,10,48,2
44.25,V,5,7,5,10,50,4
44.5,V,5,7,5,10,50,4
44.62,V,5,7,5,10,48,2
45.0,V,5,7,5,10,46,0
45.0,I,10,0,1,10,46,0
46.25,I,10,0,1,10,46,0
46.5,I,10,0,1,10,46,0
46.75,I,10,0,1,10,46,0
47.0,I,10,0,1,10,48,2
47.0,V,5,7,5,10,48,2
47.75,V,5,7,5,10,48,2
47.88,V,5,7,5,10,48,2
48.25,V,5,7,5,10,50,4
48.38,V,5,7,5,10,50,4
48.75,V,5,7,5,10,50,4
48.88,V,5,7,5,10,48,2
49.0,I,10,0,1,10,48,2
49.25,I,10,0,1,10,46,0
50.25,I,10,0,1,10,46,0
50.5,I,10,0,1,10,48,2
50.75,I,10,0,1,10,50,4
51.0,IV,3,5,4,10,50,4
51.0,IV,3,5,4,10,51,5
51.75,IV,3,5,4,10,51,5
51.88,IV,3,5,4,10,51,5
52.25,IV,3,5,4,10,55,9
52.38,IV,3,5,4,10,53,7
52.75,IV,3,5,4,10,51,5
53.0,IV,3,5,4,10,50,4
53.0,I,10,0,1,10,50,4
54.25,I,10,0,1,10,46,0
54.38,I,10,0,1,10,45,11
54.75,I,10,0,1,10,43,9
55.0,I,10,0,1,10,41,7
55.0,V,5,7,5,10,41,7
56.25,V,5,7,5,10,48,2
56.5,V,5,7,5,10,46,0
56.75,V,5,7,5,10,45,11
57.0,V,5,7,5,10,46,0
57.0,I,10,0,1,10,46,0
59.0,I,3,0,1,3,46,0
60.5,I,3,0,1,3,51,0
66.25,I,3,0,1,3,51,0
66.5,I,3,0,1,3,51,0
66.75,I,3,0,1,3,51,0
67.0,V,10,7,5,3,51,0
67.0,V,10,7,5,3,53,2
67.5,V,10,7,5,3,53,2
67.88,V,10,7,5,3,53,2
68.25,V,10,7,5,3,55,4
68.5,V,10,7,5,3,55,4
68.75,V,10,7,5,3,53,2
69.0,V,10,7,5,3,51,0
69.0,I,3,0,1,3,51,0
70.25,I,3,0,1,3,51,0
70.5,I,3,0,1,3,51,0
70.75,I,3,0,1,3,51,0
71.0,I,3,0,1,3,53,2
71.0,V,10,7,5,3,53,2
71.5,V,10,7,5,3,53,2
71.88,V,10,7,5,3,53,2
72.25,V,10,7,5,3,56,5
72.62,V,10,7,5,3,55,4
72.75,V,10,7,5,3,53,2
73.0,I,3,0,1,3,53,2
73.0,I,3,0,1,3,51,0
74.25,I,3,0,1,3,51,0
74.5,I,3,0,1,3,53,2
74.75,I,3,0,1,3,55,4
75.0,IV,8,5,4,3,55,4
75.0,IV,8,5,4,3,56,5
75.5,IV,8,5,4,3,56,5
75.88,IV,8,5,4,3,56,5
76.25,IV,8,5,4,3,58,7
76.38,IV,8,5,4,3,60,9
76.62,IV,8,5,4,3,58,7
76.75,IV,8,5,4,3,56,5
77.0,IV,8,5,4,3,55,4
77.0,I,3,0,1,3,55,4
78.25,I,3,0,1,3,51,0
78.5,I,3,0,1,3,50,11
78.75,I,3,0,1,3,48,9
79.0,I,3,0,1,3,46,7
79.0,V,10,7,5,3,46,7
80.25,V,10,7,5,3,53,2
80.5,V,10,7,5,3,51,0
80.75,V,10,7,5,3,50,11
81.0,I,3,0,1,3,50,11
81.0,I,3,0,1,3,51,0
83.0,I,10,0,1,10,51,0
84.5,I,10,0,1,10,46,0
91.25,I,10,0,1,10,46,0
91.5,I,10,0,1,10,46,0
91.75,I,10,0,1,10,46,0
92.0,V,5,7,5,10,46,0
92.0,V,5,7,5,10,48,2
92.75,V,5,7,5,10,48,2
92.88,V,5,7,5,10,48,2
93.25,V,5,7,5,10,49,3
93.38,V,5,7,5,10,49,3
93.62,V,5,7,5,10,48,2
94.0,I,10,0,1,10,48,2
94.0,I,10,0,1,10,46,0
95.25,I,10,0,1,10,46,0
95.5,I,10,0,1,10,46,0
95.75,I,10,0,1,10,46,0
96.0,I,10,0,1,10,48,2
96.0,V,5,7,5,10,48,2
96.75,V,5,7,5,10,48,2
97.0,V,5,7,5,10,48,2
97.25,V,5,7,5,10,49,3
97.38,V,5,7,5,10,49,3
97.62,V,5,7,5,10,49,3
97.75,V,5,7,5,10,48,2
98.0,V,5,7,5,10,46,0
98.0,I,10,0,1,10,46,0
99.25,I,10,0,1,10,46,0
99.5,I,10,0,1,10,48,2
99.75,I,10,0,1,10,50,4
100.0,I,10,0,1,10,51,5
100.0,IV,3,5,4,10,51,5
100.25,IV,3,5,4,10,51,5
100.5,IV,3,5,4,10,51,5
100.62,IV,3,5,4,10,51,5
100.88,IV,3,5,4,10,51,5
101.25,IV,3,5,4,10,55,9
101.38,IV,3,5,4,10,53,7
101.75,IV,3,5,4,10,51,5
102.0,IV,3,5,4,10,50,4
102.0,I,10,0,1,10,50,4
103.25,I,10,0,1,10,46,0
103.5,I,10,0,1,10,45,11
103.75,I,10,0,1,10,43,9
104.0,V,5,7,5,10,43,9
104.0,V,5,7,5,10,41,7
105.25,V,5,7,5,10,48,2
105.5,V,5,7,5,10,46,0
105.75,V,5,7,5,10,45,11
106.0,V,5,7,5,10,46,0
106.0,I,10,0,1,10,46,0
108.0,I,5,0,1,5,46,0
109.75,I,5,0,1,5,41,0
116.25,I,5,0,1,5,41,0
116.5,I,5,0,1,5,41,0
116.75,I,5,0,1,5,41,0
117.0,V,0,7,5,5,41,0
117.0,V,0,7,5,5,43,2
117.5,V,0,7,5,5,43,2
117.88,V,0,7,5,5,43,2
118.25,V,0,7,5,5,45,4
118.5,V,0,7,5,5,45,4
118.75,V,0,7,5,5,43,2
119.0,I,5,0,1,5,43,2
119.0,I,5,0,1,5,41,0
120.25,I,5,0,1,5,41,0
120.5,I,5,0,1,5,41,0
120.75,I,5,0,1,5,41,0
121.0,V,0,7,5,5,41,0
121.0,V,0,7,5,5,43,2
121.62,V,0,7,5,5,43,2
122.0,V,0,7,5,5,43,2
122.25,V,0,7,5,5,45,4
122.38,V,0,7,5,5,45,4
122.75,V,0,7,5,5,43,2
123.0,V,0,7,5,5,41,0
123.0,I,5,0,1,5,41,0
124.25,I,5,0,1,5,41,0
124.5,I,5,0,1,5,43,2
124.75,I,5,0,1,5,45,4
125.0,IV,10,5,4,5,45,4
125.0,IV,10,5,4,5,46,5
125.5,IV,10,5,4,5,46,5
126.0,IV,10,5,4,5,46,5
126.25,IV,10,5,4,5,50,9
126.5,IV,10,5,4,5,48,7
126.75,IV,10,5,4,5,46,5
127.0,IV,10,5,4,5,43,2
127.0,I,5,0,1,5,43,2
127.25,I,5,0,1,5,45,4
128.25,I,5,0,1,5,41,0
128.38,I,5,0,1,5,40,11
128.75,I,5,0,1,5,38,9
129.0,V,0,7,5,5,38,9
129.0,V,0,7,5,5,36,7
130.25,V,0,7,5,5,43,2
130.5,V,0,7,5,5,41,0
130.75,V,0,7,5,5,40,11
131.0,I,5,0,1,5,40,11
131.0,I,5,0,1,5,41,0
134.0,End,5,0,1,5,41,0
