Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
3.88,I,4,0,1,4,59,7
4.0,I,4,0,1,4,59,7
4.12,I,4,0,1,4,59,7
4.25,I,4,0,1,4,59,7
4.38,I,4,0,1,4,59,7
4.5,I,4,0,1,4,59,7
4.62,I,4,0,1,4,59,7
4.75,I,4,0,1,4,59,7
5.0,I,4,0,1,4,59,7
5.12,I,4,0,1,4,59,7
5.25,I,4,0,1,4,61,9
5.38,I,4,0,1,4,59,7
5.62,I,4,0,1,4,57,5
5.75,I,4,0,1,4,56,4
6.0,IV,9,5,4,4,56,4
6.12,IV,9,5,4,4,57,5
6.25,IV,9,5,4,4,56,4
6.38,IV,9,5,4,4,56,4
6.5,IV,9,5,4,4,54,2
6.75,IV,9,5,4,4,52,0
6.88,IV,9,5,4,4,54,2
7.0,I,4,0,1,4,54,2
7.12,I,4,0,1,4,56,4
8.0,I,4,0,1,4,56,4
8.12,I,4,0,1,4,56,4
8.25,I,4,0,1,4,56,4
8.38,I,4,0,1,4,56,4
8.62,I,4,0,1,4,56,4
8.88,I,4,0,1,4,56,4
9.12,I,4,0,1,4,54,2
9.25,I,4,0,1,4,56,4
9.38,I,4,0,1,4,57,5
9.5,I,4,0,1,4,56,4
9.62,I,4,0,1,4,54,2
10.0,IV,9,5,4,4,54,2
10.12,IV,9,5,4,4,57,5
10.25,IV,9,5,4,4,56,4
10.38,IV,9,5,4,4,56,4
10.5,IV,9,5,4,4,54,2
10.75,IV,9,5,4,4,52,0
10.88,IV,9,5,4,4,54,2
11.0,I,4,0,1,4,54,2
11.12,I,4,0,1,4,56,4
11.62,I,4,0,1,4,59,7
12.0,V,11,7,5,4,59,7
12.0,V,11,7,5,4,59,7
12.12,V,11,7,5,4,59,7
12.25,V,11,7,5,4,59,7
12.38,V,11,7,5,4,59,7
12.5,V,11,7,5,4,59,7
12.62,V,11,7,5,4,59,7
13.0,V,11,7,5,4,59,7
13.0,I,4,0,1,4,59,7
13.12,I,4,0,1,4,59,7
13.25,I,4,0,1,4,59,7
13.38,I,4,0,1,4,61,9
13.5,I,4,0,1,4,59,7
14.0,V,11,7,5,4,59,7
14.0,V,11,7,5,4,59,7
14.12,V,11,7,5,4,59,7
14.25,V,11,7,5,4,59,7
14.38,V,11,7,5,4,59,7
14.5,V,11,7,5,4,59,7
14.62,V,11,7,5,4,59,7
14.88,V,11,7,5,4,56,4
15.0,V,11,7,5,4,59,7
15.0,I,4,0,1,4,59,7
15.12,I,4,0,1,4,58,6
15.25,I,4,0,1,4,59,7
15.38,I,4,0,1,4,61,9
15.5,I,4,0,1,4,57,5
15.88,I,4,0,1,4,58,6
16.0,I,4,0,1,4,59,7
16.0,V,11,7,5,4,59,7
16.12,V,11,7,5,4,59,7
16.25,V,11,7,5,4,59,7
16.38,V,11,7,5,4,59,7
16.5,V,11,7,5,4,59,7
16.62,V,11,7,5,4,59,7
16.88,V,11,7,5,4,58,6
17.0,I,4,0,1,4,58,6
17.0,I,4,0,1,4,59,7
17.12,I,4,0,1,4,59,7
17.25,I,4,0,1,4,59,7
17.38,I,4,0,1,4,61,9
17.5,I,4,0,1,4,59,7
17.75,I,4,0,1,4,52,0
18.0,IV,9,5,4,4,52,0
18.0,IV,9,5,4,4,57,5
18.25,IV,9,5,4,4,56,4
18.5,IV,9,5,4,4,52,0
18.75,IV,9,5,4,4,59,7
18.88,IV,9,5,4,4,61,9
19.0,IV,9,5,4,4,59,7
19.0,V,11,7,5,4,59,7
20.0,I,4,0,1,4,59,7
21.88,I,4,0,1,4,59,7
22.0,I,4,0,1,4,59,7
22.12,I,4,0,1,4,59,7
22.25,I,4,0,1,4,59,7
22.38,I,4,0,1,4,59,7
22.5,I,4,0,1,4,59,7
22.62,I,4,0,1,4,59,7
22.75,I,4,0,1,4,59,7
23.0,I,4,0,1,4,59,7
23.12,I,4,0,1,4,59,7
23.25,I,4,0,1,4,61,9
23.38,I,4,0,1,4,59,7
23.62,I,4,0,1,4,57,5
23.75,I,4,0,1,4,56,4
24.0,IV,9,5,4,4,56,4
24.12,IV,9,5,4,4,57,5
24.25,IV,9,5,4,4,56,4
24.38,IV,9,5,4,4,56,4
24.5,IV,9,5,4,4,54,2
24.75,IV,9,5,4,4,52,0
24.88,IV,9,5,4,4,54,2
25.0,I,4,0,1,4,54,2
25.12,I,4,0,1,4,56,4
26.0,I,4,0,1,4,56,4
26.12,I,4,0,1,4,56,4
26.25,I,4,0,1,4,56,4
26.38,I,4,0,1,4,56,4
26.62,I,4,0,1,4,56,4
26.88,I,4,0,1,4,56,4
27.12,I,4,0,1,4,54,2
27.25,I,4,0,1,4,56,4
27.38,I,4,0,1,4,57,5
27.5,I,4,0,1,4,56,4
27.62,I,4,0,1,4,54,2
28.0,IV,9,5,4,4,54,2
28.12,IV,9,5,4,4,57,5
28.25,IV,9,5,4,4,56,4
28.38,IV,9,5,4,4,56,4
28.5,IV,9,5,4,4,54,2
28.75,IV,9,5,4,4,52,0
28.88,IV,9,5,4,4,54,2
29.0,I,4,0,1,4,54,2
29.12,I,4,0,1,4,56,4
29.62,I,4,0,1,4,59,7
30.0,V,11,7,5,4,59,7
30.0,V,11,7,5,4,59,7
30.12,V,11,7,5,4,59,7
30.25,V,11,7,5,4,59,7
30.38,V,11,7,5,4,59,7
30.5,V,11,7,5,4,59,7
30.62,V,11,7,5,4,59,7
31.0,I,4,0,1,4,59,7
31.0,I,4,0,1,4,59,7
31.12,I,4,0,1,4,59,7
31.25,I,4,0,1,4,59,7
31.38,I,4,0,1,4,61,9
31.5,I,4,0,1,4,59,7
32.0,I,4,0,1,4,59,7
32.0,V,11,7,5,4,59,7
32.12,V,11,7,5,4,59,7
32.25,V,11,7,5,4,59,7
32.38,V,11,7,5,4,59,7
32.5,V,11,7,5,4,59,7
32.62,V,11,7,5,4,59,7
32.88,V,11,7,5,4,56,4
33.0,I,4,0,1,4,56,4
33.0,I,4,0,1,4,59,7
33.12,I,4,0,1,4,58,6
33.25,I,4,0,1,4,59,7
33.38,I,4,0,1,4,61,9
33.5,I,4,0,1,4,58,6
33.88,I,4,0,1,4,58,6
34.0,I,4,0,1,4,59,7
34.0,V,11,7,5,4,59,7
34.12,V,11,7,5,4,59,7
34.25,V,11,7,5,4,59,7
34.38,V,11,7,5,4,59,7
34.5,V,11,7,5,4,59,7
34.62,V,11,7,5,4,59,7
34.88,V,11,7,5,4,58,6
35.0,V,11,7,5,4,59,7
35.0,I,4,0,1,4,59,7
35.12,I,4,0,1,4,58,6
35.25,I,4,0,1,4,59,7
35.38,I,4,0,1,4,61,9
35.5,I,4,0,1,4,59,7
35.75,I,4,0,1,4,52,0
36.0,IV,9,5,4,4,52,0
36.0,IV,9,5,4,4,57,5
36.25,IV,9,5,4,4,56,4
36.5,IV,9,5,4,4,52,0
36.75,IV,9,5,4,4,59,7
37.0,IV,9,5,4,4,59,7
37.0,V,11,7,5,4,59,7
38.0,I,4,0,1,4,59,7
39.0,IV,9,5,4,4,59,7
40.0,V,11,7,5,4,59,7
41.0,I,4,0,1,4,59,7
43.0,IV,9,5,4,4,59,7
44.0,V,11,7,5,4,59,7
45.0,I,4,0,1,4,59,7
47.88,I,4,0,1,4,59,7
48.0,I,4,0,1,4,61,7
48.0,I,6,0,1,6,61,7
48.12,I,6,0,1,6,61,7
48.25,I,6,0,1,6,61,7
48.38,I,6,0,1,6,61,7
48.5,I,6,0,1,6,61,7
48.62,I,6,0,1,6,61,7
48.75,I,6,0,1,6,61,7
49.0,I,6,0,1,6,61,7
49.12,I,6,0,1,6,61,7
49.25,I,6,0,1,6,63,9
49.38,I,6,0,1,6,61,7
49.62,I,6,0,1,6,59,5
49.75,I,6,0,1,6,58,4
50.0,IV,11,5,4,6,58,4
50.12,IV,11,5,4,6,59,5
50.25,IV,11,5,4,6,58,4
50.38,IV,11,5,4,6,58,4
50.5,IV,11,5,4,6,56,2
50.75,IV,11,5,4,6,54,0
50.88,IV,11,5,4,6,56,2
51.0,I,6,0,1,6,56,2
51.12,I,6,0,1,6,58,4
52.0,I,6,0,1,6,58,4
52.12,I,6,0,1,6,58,4
52.25,I,6,0,1,6,58,4
52.38,I,6,0,1,6,58,4
52.62,I,6,0,1,6,58,4
52.88,I,6,0,1,6,58,4
53.12,I,6,0,1,6,56,2
53.25,I,6,0,1,6,58,4
53.38,I,6,0,1,6,59,5
53.5,I,6,0,1,6,58,4
53.62,I,6,0,1,6,56,2
54.0,IV,11,5,4,6,56,2
54.12,IV,11,5,4,6,59,5
54.25,IV,11,5,4,6,58,4
54.38,IV,11,5,4,6,58,4
54.5,IV,11,5,4,6,56,2
54.75,IV,11,5,4,6,54,0
54.88,IV,11,5,4,6,56,2
55.0,I,6,0,1,6,56,2
55.12,I,6,0,1,6,58,4
55.62,I,6,0,1,6,61,7
56.0,I,6,0,1,6,61,7
56.0,V,1,7,5,6,61,7
56.12,V,1,7,5,6,61,7
56.25,V,1,7,5,6,61,7
56.38,V,1,7,5,6,61,7
56.5,V,1,7,5,6,61,7
56.62,V,1,7,5,6,61,7
57.0,I,6,0,1,6,61,7
57.0,I,6,0,1,6,61,7
57.12,I,6,0,1,6,61,7
57.25,I,6,0,1,6,61,7
57.38,I,6,0,1,6,63,9
57.5,I,6,0,1,6,61,7
58.0,V,1,7,5,6,61,7
58.0,V,1,7,5,6,61,7
58.12,V,1,7,5,6,61,7
58.25,V,1,7,5,6,61,7
58.38,V,1,7,5,6,61,7
58.5,V,1,7,5,6,61,7
58.62,V,1,7,5,6,61,7
58.88,V,1,7,5,6,58,4
59.0,I,6,0,1,6,58,4
59.0,I,6,0,1,6,61,7
59.12,I,6,0,1,6,60,6
59.25,I,6,0,1,6,61,7
59.38,I,6,0,1,6,63,9
59.5,I,6,0,1,6,61,7
59.88,I,6,0,1,6,59,5
60.0,V,1,7,5,6,59,5
60.0,V,1,7,5,6,61,7
60.12,V,1,7,5,6,61,7
60.25,V,1,7,5,6,61,7
60.38,V,1,7,5,6,61,7
60.5,V,1,7,5,6,61,7
60.62,V,1,7,5,6,61,7
60.88,V,1,7,5,6,59,5
61.0,V,1,7,5,6,61,7
61.0,I,6,0,1,6,61,7
61.12,I,6,0,1,6,60,6
61.25,I,6,0,1,6,61,7
61.38,I,6,0,1,6,63,9
61.5,I,6,0,1,6,61,7
61.75,I,6,0,1,6,54,0
62.0,I,6,0,1,6,59,5
62.0,IV,11,5,4,6,59,5
62.25,IV,11,5,4,6,58,4
62.5,IV,11,5,4,6,54,0
62.75,IV,11,5,4,6,61,7
62.88,IV,11,5,4,6,63,9
63.0,IV,11,5,4,6,61,7
63.0,V,1,7,5,6,61,7
64.0,I,6,0,1,6,61,7
65.88,I,6,0,1,6,61,7
66.0,I,6,0,1,6,61,7
66.12,I,6,0,1,6,61,7
66.25,I,6,0,1,6,61,7
66.38,I,6,0,1,6,61,7
66.5,I,6,0,1,6,61,7
66.62,I,6,0,1,6,61,7
66.75,I,6,0,1,6,61,7
67.0,I,6,0,1,6,61,7
67.12,I,6,0,1,6,61,7
67.25,I,6,0,1,6,63,9
67.38,I,6,0,1,6,61,7
67.62,I,6,0,1,6,59,5
67.75,I,6,0,1,6,58,4
68.0,IV,11,5,4,6,58,4
68.12,IV,11,5,4,6,59,5
68.25,IV,11,5,4,6,58,4
68.38,IV,11,5,4,6,58,4
68.5,IV,11,5,4,6,56,2
68.75,IV,11,5,4,6,54,0
68.88,IV,11,5,4,6,56,2
69.0,I,6,0,1,6,56,2
69.12,I,6,0,1,6,58,4
70.0,I,6,0,1,6,58,4
70.12,I,6,0,1,6,58,4
70.25,I,6,0,1,6,58,4
70.38,I,6,0,1,6,58,4
70.62,I,6,0,1,6,58,4
70.88,I,6,0,1,6,58,4
71.12,I,6,0,1,6,56,2
71.25,I,6,0,1,6,58,4
71.38,I,6,0,1,6,59,5
71.5,I,6,0,1,6,58,4
71.62,I,6,0,1,6,56,2
72.0,IV,11,5,4,6,56,2
72.12,IV,11,5,4,6,59,5
72.25,IV,11,5,4,6,58,4
72.38,IV,11,5,4,6,58,4
72.5,IV,11,5,4,6,56,2
72.75,IV,11,5,4,6,54,0
72.88,IV,11,5,4,6,56,2
73.0,I,6,0,1,6,56,2
73.12,I,6,0,1,6,58,4
73.62,I,6,0,1,6,61,7
74.0,I,6,0,1,6,61,7
74.0,V,1,7,5,6,61,7
74.12,V,1,7,5,6,61,7
74.25,V,1,7,5,6,61,7
74.38,V,1,7,5,6,61,7
74.5,V,1,7,5,6,61,7
74.62,V,1,7,5,6,61,7
75.0,I,6,0,1,6,61,7
75.0,I,6,0,1,6,61,7
75.12,I,6,0,1,6,61,7
75.25,I,6,0,1,6,61,7
75.38,I,6,0,1,6,63,9
75.5,I,6,0,1,6,61,7
76.0,V,1,7,5,6,61,7
76.0,V,1,7,5,6,61,7
76.12,V,1,7,5,6,61,7
76.25,V,1,7,5,6,61,7
76.38,V,1,7,5,6,61,7
76.5,V,1,7,5,6,61,7
76.62,V,1,7,5,6,61,7
76.88,V,1,7,5,6,58,4
77.0,V,1,7,5,6,61,7
77.0,I,6,0,1,6,61,7
77.12,I,6,0,1,6,60,6
77.25,I,6,0,1,6,61,7
77.38,I,6,0,1,6,63,9
77.5,I,6,0,1,6,61,7
77.88,I,6,0,1,6,59,5
78.0,I,6,0,1,6,61,7
78.0,V,1,7,5,6,61,7
78.12,V,1,7,5,6,61,7
78.25,V,1,7,5,6,61,7
78.38,V,1,7,5,6,61,7
78.5,V,1,7,5,6,61,7
78.62,V,1,7,5,6,61,7
78.88,V,1,7,5,6,59,5
79.0,V,1,7,5,6,61,7
79.0,I,6,0,1,6,61,7
79.12,I,6,0,1,6,61,7
79.25,I,6,0,1,6,61,7
79.38,I,6,0,1,6,63,9
79.5,I,6,0,1,6,61,7
79.75,I,6,0,1,6,54,0
